HTLF,Heartland Financial USA,NASDAQ
14.55,14.42,14.55,14.14
14.43,14.25,14.46,14.19
14.39,13.49,14.39,13.48
13.51,13.91,13.97,13.50
14.07,14.29,14.39,13.91
14.69,13.76,14.69,13.64
13.61,13.66,13.93,13.50
13.95,13.65,13.97,13.58
13.58,13.57,13.84,13.37
13.69,13.51,13.80,13.32
13.51,13.95,13.95,13.37
13.75,13.57,14.00,13.35
13.84,13.37,13.84,13.25
13.71,13.66,14.03,13.44
13.39,13.81,13.81,13.39
13.26,13.62,13.79,13.25
13.47,13.96,14.10,13.47
14.03,14.01,14.12,13.73
14.16,13.95,14.16,13.95
14.04,14.02,14.13,13.79
14.00,13.96,14.04,13.96
13.86,13.99,14.06,13.86
13.84,13.94,14.24,13.84
14.03,14.08,14.24,13.95
14.02,13.38,14.02,13.38
13.65,13.76,13.91,13.37
13.64,13.48,13.64,13.25
13.50,13.91,13.92,13.31
13.71,14.00,14.01,13.57
14.12,14.12,14.12,13.83
14.18,14.25,14.25,13.96
14.11,14.25,14.25,14.06
14.15,14.13,14.24,14.00
13.77,14.30,14.39,13.77
14.22,14.43,14.46,13.95
14.45,14.51,14.65,14.25
14.35,14.55,14.65,14.35
14.61,14.52,14.71,13.96
14.52,14.85,14.88,14.34
14.84,15.00,15.00,14.55
15.09,14.81,15.09,14.70
14.89,15.06,15.06,14.89
15.13,15.91,15.99,14.87
15.85,15.98,16.20,15.84
15.97,16.49,16.50,15.79
16.44,16.75,16.96,16.37
16.58,16.68,16.83,16.19
16.82,16.56,16.82,16.50
16.47,16.32,16.47,16.19
16.40,16.06,16.40,15.85
16.00,16.05,16.15,15.84
15.98,15.81,15.98,15.76
16.00,16.22,16.22,16.00
16.06,16.25,16.25,16.00
16.21,16.04,16.24,15.78
15.98,15.82,15.98,15.75
15.93,15.93,16.00,15.63
15.97,16.24,16.24,15.91
16.25,16.10,16.25,15.84
16.18,15.88,16.24,15.61
15.73,15.97,16.08,15.73
16.03,15.85,16.08,15.65
15.89,16.22,16.22,15.67
16.06,16.34,16.51,16.06
16.25,16.35,16.50,16.17
16.31,16.36,16.43,16.31
16.30,16.12,16.39,16.07
16.10,16.12,16.25,15.95
16.19,16.48,16.50,16.10
16.50,16.96,16.98,16.41
16.87,16.92,16.99,16.82
16.89,16.85,17.00,16.69
16.76,16.83,16.95,16.68
16.67,17.21,17.21,16.67
17.10,17.17,17.23,17.00
16.93,17.64,17.71,16.93
17.71,17.93,17.98,17.42
17.94,18.10,18.47,17.88
18.60,18.52,19.43,18.08
18.75,19.74,19.93,18.63
19.87,20.03,20.12,19.44
19.97,19.11,19.97,19.02
19.00,19.90,19.90,18.81
19.54,19.44,19.54,19.15
19.44,19.15,19.61,19.10
19.03,18.30,19.13,17.99
18.24,18.19,18.40,17.89
18.75,19.12,19.25,18.60
18.86,19.99,19.99,18.86
19.33,20.78,20.82,19.33
20.65,20.75,20.85,20.06
20.55,20.16,20.55,19.83
20.34,19.89,20.46,19.67
20.32,19.60,20.32,19.53
19.57,19.10,19.62,19.02
19.00,17.93,19.10,17.82
17.62,18.17,18.34,17.51
18.13,17.89,18.35,17.68
17.44,17.53,17.74,17.40
17.50,17.41,18.22,17.37
17.80,18.00,18.00,17.56
17.88,17.88,18.05,17.69
17.62,17.42,17.79,17.29
17.45,18.05,18.06,17.13
17.94,18.04,18.59,17.94
17.54,16.90,17.78,16.80
16.95,16.76,17.28,16.71
