HUN,Huntsman Corporation Common Stock,NASDAQ
11.54,11.78,11.90,11.46
11.90,12.30,12.65,11.82
12.35,11.93,12.35,11.90
12.00,12.07,12.09,11.90
12.05,12.26,12.29,11.92
12.46,12.14,12.52,12.02
12.05,12.03,12.24,11.96
12.08,12.27,12.30,11.96
12.23,12.40,12.47,12.17
12.39,12.31,12.40,12.18
12.22,12.59,12.59,12.20
12.53,12.68,12.72,12.42
12.73,12.51,12.81,12.38
12.37,12.10,12.57,12.03
12.31,12.37,12.55,12.27
12.41,12.38,12.54,12.30
12.35,12.52,12.56,12.17
12.48,12.24,12.53,12.14
12.35,12.19,12.57,12.16
12.26,12.54,12.54,12.20
12.49,12.50,12.69,12.45
12.42,12.46,12.72,12.40
12.25,11.52,12.33,11.46
11.51,11.48,11.67,10.90
11.53,11.29,11.56,11.13
11.52,11.81,11.91,11.35
11.86,11.44,11.99,11.43
11.53,11.87,11.95,11.47
11.80,12.24,12.28,11.69
12.33,12.27,12.57,12.24
12.34,12.18,12.40,12.08
12.11,12.37,12.51,12.11
12.75,13.16,13.32,12.65
13.39,14.01,14.17,13.34
14.04,13.50,14.04,13.50
13.64,13.97,14.01,13.61
13.72,14.00,14.00,13.57
13.91,13.73,14.25,13.69
13.88,13.74,14.02,13.62
13.85,13.61,13.95,13.56
13.58,13.32,13.74,13.28
13.30,13.38,13.47,13.20
13.50,13.77,14.06,13.42
13.78,13.66,13.92,13.62
13.56,13.36,13.61,13.25
13.42,13.52,13.69,13.33
13.38,13.45,13.57,13.17
13.58,13.50,13.65,13.34
13.49,13.27,13.67,13.09
13.02,13.39,13.44,13.02
13.39,13.44,13.59,13.28
13.34,13.39,13.61,13.26
12.77,12.77,13.55,12.74
12.62,12.86,12.94,12.37
12.93,13.25,13.31,12.90
13.13,13.30,13.36,13.03
13.40,12.85,13.50,12.84
12.86,12.70,13.06,12.62
12.83,12.60,12.98,12.47
12.67,12.36,12.70,12.13
12.32,12.05,12.37,12.01
12.14,12.35,12.35,12.13
12.44,12.71,12.73,12.37
12.53,12.86,12.93,12.53
12.90,12.65,13.01,12.53
12.55,12.64,12.68,12.42
12.66,12.63,12.77,12.52
12.63,12.55,12.75,12.47
12.55,12.42,12.60,12.30
12.50,12.53,12.58,12.44
12.50,12.49,12.65,12.42
12.46,12.07,12.55,11.98
12.05,11.71,12.07,11.45
11.75,11.78,11.88,11.61
11.82,11.66,11.86,11.61
11.61,11.78,11.83,11.34
11.84,11.91,12.00,11.71
12.01,11.79,12.10,11.79
11.73,11.13,11.80,11.12
11.21,11.28,11.38,11.05
11.40,11.71,11.86,11.38
11.77,11.41,11.91,11.36
11.45,11.57,11.69,11.41
11.35,10.94,11.44,10.90
10.82,10.55,10.93,10.44
10.50,10.05,10.76,9.14
10.55,9.92,10.72,9.89
10.53,10.77,10.79,10.31
10.74,10.27,10.74,10.22
10.45,10.36,10.78,10.26
10.40,10.47,10.67,10.30
10.39,9.87,10.41,9.78
9.87,9.57,10.00,8.99
9.61,9.15,9.67,9.06
9.16,9.53,9.58,8.99
9.21,8.72,9.24,8.61
8.60,9.00,9.10,8.43
9.00,8.55,9.23,8.55
8.27,9.18,9.28,8.17
9.38,9.51,9.62,9.22
9.86,10.15,10.16,9.72
10.10,9.98,10.36,9.98
9.89,9.59,9.98,9.59
9.70,10.02,10.04,9.64
10.18,9.86,10.18,9.66
9.53,9.30,9.72,9.27
9.31,9.05,9.50,9.05
9.11,9.12,9.20,8.91
9.15,9.18,9.60,9.14
9.46,9.41,9.50,9.08
9.28,9.56,9.58,9.18
9.67,9.58,9.89,9.51
9.77,9.80,9.86,9.58
9.65,9.65,9.83,9.58
9.61,9.38,9.65,9.24
9.45,9.66,9.67,9.33
9.95,9.69,9.98,9.54
9.56,9.39,9.79,9.39
9.47,9.41,9.56,9.23
9.31,8.97,9.43,8.97
8.99,9.08,9.27,8.90
9.19,9.22,9.33,9.00
9.02,9.12,9.26,8.94
9.16,8.67,9.26,8.52
8.65,8.63,8.76,8.29
8.77,8.44,8.77,8.37
8.69,8.30,8.73,8.20
8.30,8.74,8.78,8.26
8.84,8.93,8.95,8.71
8.95,9.01,9.08,8.84
8.98,8.87,9.16,8.81
