HW,Headwaters Incorporated Common Stock,NASDAQ
6.55,6.73,6.77,6.55
6.75,6.46,6.75,6.31
6.43,6.49,6.63,6.38
6.54,6.61,6.61,6.34
6.53,6.51,6.62,6.49
6.59,6.39,6.64,6.33
6.32,6.38,6.40,6.16
6.38,6.29,6.43,5.86
6.24,6.14,6.33,6.04
6.14,6.03,6.15,5.85
6.03,6.24,6.29,5.99
6.17,6.16,6.23,6.00
6.16,6.10,6.42,6.01
6.08,5.75,6.09,5.69
5.82,5.85,5.90,5.65
5.80,5.69,5.87,5.67
5.61,5.45,5.65,5.35
5.46,5.39,5.52,5.29
5.43,5.49,5.59,5.29
5.52,5.49,5.59,5.28
5.51,5.51,5.56,5.36
5.21,5.29,5.46,5.15
5.26,4.87,5.26,4.59
4.88,4.80,4.88,4.56
4.80,4.68,4.91,4.63
4.77,4.74,4.78,4.61
4.75,4.61,4.75,4.52
4.61,5.00,5.03,4.61
5.00,4.93,5.03,4.80
4.98,5.12,5.13,4.93
5.14,4.83,5.14,4.83
4.80,4.87,4.96,4.75
4.81,4.91,4.95,4.70
4.93,4.94,4.99,4.70
4.95,4.83,4.97,4.80
4.86,4.98,4.98,4.82
4.87,4.97,4.97,4.74
4.99,4.99,5.03,4.82
5.04,5.17,5.19,5.02
5.19,5.34,5.36,5.16
5.36,5.34,5.49,5.27
5.32,5.34,5.43,5.29
5.38,5.55,5.57,5.38
5.56,5.33,5.59,5.30
5.30,5.25,5.30,5.13
5.23,5.27,5.29,5.19
5.22,5.35,5.35,5.19
5.37,5.31,5.39,5.21
5.27,5.13,5.27,4.99
5.16,5.04,5.17,5.00
5.05,5.17,5.17,5.03
5.18,5.14,5.19,5.04
4.79,4.79,5.19,4.78
4.75,4.96,4.99,4.68
4.98,5.01,5.05,4.90
4.96,5.00,5.04,4.87
5.04,4.82,5.13,4.81
4.85,4.84,4.96,4.74
4.85,4.80,4.90,4.64
4.80,4.72,4.91,4.64
4.68,4.59,4.72,4.58
4.64,4.79,4.83,4.64
4.80,5.13,5.13,4.80
5.05,5.00,5.05,4.95
4.96,4.98,5.04,4.91
4.95,4.84,4.97,4.83
4.83,4.85,5.00,4.81
4.84,4.86,4.97,4.81
4.83,4.81,4.93,4.77
4.82,5.05,5.07,4.71
5.05,5.18,5.30,4.97
5.18,5.12,5.21,4.95
5.07,5.15,5.18,4.99
5.17,5.41,5.41,5.16
5.42,5.49,5.50,5.38
5.39,5.63,5.63,5.36
5.56,5.88,5.88,5.54
5.88,6.11,6.12,5.83
6.08,6.00,6.31,5.88
6.00,5.86,6.01,5.82
5.91,6.21,6.22,5.87
6.23,6.00,6.28,5.97
6.01,5.84,6.13,5.76
5.72,5.64,6.00,5.50
5.64,5.25,5.71,5.22
5.22,5.20,5.46,4.50
5.12,4.75,5.12,4.70
5.10,5.07,5.11,4.96
4.99,4.90,5.04,4.88
4.89,5.09,5.13,4.89
5.07,5.10,5.28,5.02
5.04,4.83,5.07,4.75
4.84,4.80,4.99,4.57
4.86,4.60,4.89,4.58
4.59,4.14,4.59,4.14
4.02,3.80,4.03,3.75
3.81,4.07,4.11,3.68
4.08,3.92,4.11,3.91
3.79,3.82,3.84,3.64
3.87,3.89,4.09,3.85
4.07,4.12,4.14,3.94
4.10,3.95,4.10,3.93
3.83,3.80,4.06,3.80
3.84,3.77,3.89,3.72
3.80,3.75,3.86,3.72
3.66,3.42,3.74,3.40
3.47,3.36,3.63,3.35
3.39,3.30,3.49,3.25
3.36,3.28,3.43,3.25
3.38,3.52,3.56,3.31
3.51,3.58,3.66,3.50
3.64,3.51,3.70,3.51
3.62,3.64,3.64,3.51
3.59,3.57,3.63,3.55
3.56,3.50,3.62,3.43
3.52,3.51,3.57,3.46
3.63,3.41,3.63,3.40
3.41,3.33,3.53,3.33
3.33,3.26,3.38,3.22
3.23,3.09,3.28,3.09
3.12,3.10,3.25,3.06
3.09,3.10,3.24,3.09
3.09,2.99,3.09,2.88
2.98,2.84,3.03,2.83
2.81,2.77,2.86,2.70
2.78,2.70,2.97,2.63
2.77,2.71,2.91,2.69
2.73,2.80,2.80,2.63
2.88,2.80,2.97,2.79
2.80,2.80,2.87,2.76
2.79,3.41,3.43,2.79
3.41,3.16,3.47,3.07
3.20,3.18,3.24,3.07
3.19,3.13,3.23,3.01
3.09,2.95,3.13,2.90
2.96,2.82,2.98,2.77
2.76,2.98,2.99,2.76
3.06,2.93,3.11,2.91
2.94,3.12,3.12,2.94
3.09,3.16,3.16,3.06
3.18,3.44,3.44,3.13
3.48,3.53,3.74,3.43
3.54,3.45,3.57,3.29
3.49,3.49,3.52,3.37
3.40,3.46,3.52,3.39
3.51,3.70,3.71,3.45
3.80,3.77,3.88,3.62
3.81,3.87,3.89,3.75
3.85,3.78,3.85,3.66
3.68,3.87,3.87,3.52
3.85,3.74,3.89,3.73
3.69,3.74,3.78,3.51
3.64,3.42,3.64,3.35
3.41,3.52,3.68,3.36
3.51,3.33,3.56,3.33
3.30,3.41,3.42,3.24
3.47,3.52,3.59,3.40
3.50,3.52,3.57,3.39
3.48,3.26,3.50,3.26
3.26,3.25,3.27,3.04
3.22,3.06,3.30,3.06
3.00,2.90,3.03,2.90
2.89,2.80,2.97,2.78
2.83,2.90,2.96,2.82
2.98,3.15,3.27,2.91
3.14,3.10,3.26,3.10
3.09,3.07,3.15,3.03
3.13,3.23,3.23,3.07
3.27,3.22,3.27,3.18
