ICF,iShares Cohen & Steers REIT ETF,NASDAQ
53.09,52.11,53.31,51.85
52.17,52.32,52.34,51.50
52.23,52.19,52.72,52.05
52.15,52.68,53.04,51.68
52.53,52.25,52.63,51.80
52.50,52.58,52.92,52.29
52.09,51.64,52.58,51.40
51.78,52.77,52.91,51.75
52.66,52.67,52.88,52.30
52.43,52.23,52.60,52.01
52.07,53.39,53.48,52.07
52.87,52.68,52.97,52.18
52.65,51.13,53.04,50.99
50.93,49.95,51.46,49.63
50.35,50.15,50.42,49.14
49.81,49.69,50.47,49.59
49.70,50.07,50.15,48.85
50.40,49.63,50.40,49.20
49.92,49.32,50.43,48.97
49.63,50.31,50.45,49.59
50.37,51.04,51.33,49.92
50.73,50.25,50.78,49.84
49.82,48.36,49.87,48.30
48.42,49.27,49.49,47.79
49.32,48.21,49.65,48.05
48.60,48.06,48.88,47.64
48.06,48.17,48.79,47.23
48.12,48.46,48.49,47.49
47.97,48.93,48.94,47.72
49.30,50.30,50.45,49.21
50.58,50.80,51.04,50.34
50.69,51.52,51.77,50.46
51.24,51.69,51.96,51.17
51.75,51.86,52.20,51.55
51.63,51.46,52.00,51.28
51.43,51.97,52.00,51.41
51.22,52.27,52.32,51.05
52.25,52.12,52.85,51.99
52.37,52.69,52.89,52.37
52.79,52.73,53.06,52.62
52.79,52.63,52.92,52.51
52.67,52.87,52.99,52.53
53.15,54.36,54.50,52.98
54.38,54.90,55.17,54.33
54.78,55.15,55.84,54.58
55.28,55.53,55.68,54.94
55.28,55.92,55.98,55.09
56.39,56.44,56.74,55.94
56.13,56.26,56.63,55.66
56.26,57.68,57.90,56.26
57.88,58.55,58.72,57.72
58.56,58.29,58.83,58.14
57.69,57.69,58.50,57.65
57.31,58.33,58.57,57.16
58.25,58.21,58.35,57.62
57.54,58.00,58.40,57.49
58.33,58.27,59.27,58.21
58.50,57.92,58.67,57.67
58.20,57.91,58.25,57.61
58.07,57.87,58.20,57.66
57.69,57.28,57.91,57.20
57.55,57.48,57.75,57.00
57.80,58.83,58.92,57.65
58.70,60.19,60.31,58.50
60.00,58.66,60.13,58.40
58.36,58.62,58.79,58.28
58.90,59.72,59.82,58.70
59.89,59.30,59.89,59.22
59.32,60.82,61.02,59.25
61.24,60.67,61.36,60.32
60.28,58.91,60.50,58.86
58.74,57.60,59.31,57.51
57.20,57.83,58.33,57.00
58.33,58.79,58.86,57.59
58.87,59.88,60.34,58.82
59.47,60.98,61.22,59.17
61.12,61.91,61.91,60.52
62.04,62.36,62.83,61.76
61.87,60.39,62.31,60.31
60.79,60.61,61.11,60.27
61.27,63.40,63.48,61.06
63.28,61.36,63.77,61.25
61.87,63.47,63.95,61.73
