IDA,IDACORP,NASDAQ
32.36,32.17,32.48,32.01
32.10,31.83,32.21,31.34
31.70,32.24,32.32,31.65
32.16,32.23,32.29,32.01
32.10,32.30,32.33,32.00
32.49,32.47,32.51,32.22
32.38,32.50,32.84,32.29
32.58,32.88,32.93,32.50
32.98,32.82,32.98,32.69
32.90,32.53,32.90,32.14
32.65,33.22,33.32,32.57
32.91,32.77,33.04,32.32
32.83,32.20,33.05,32.05
32.21,31.54,32.44,31.45
31.71,31.62,31.98,31.43
31.46,31.72,31.96,31.30
31.61,31.64,31.75,31.41
31.64,31.50,31.74,31.21
31.56,31.35,31.75,31.35
31.48,31.31,31.65,31.11
31.26,31.15,31.40,30.85
30.86,30.65,31.15,30.49
30.52,30.44,30.66,30.26
30.50,30.51,30.52,29.98
31.34,31.04,31.50,30.66
31.35,31.39,31.60,30.97
31.33,31.45,31.59,30.89
31.34,31.58,31.74,31.17
31.40,31.75,31.80,31.31
31.95,32.48,32.49,31.90
32.55,32.42,32.58,32.13
32.42,32.57,32.79,32.40
32.55,33.02,33.33,32.55
33.15,32.70,33.21,32.61
33.50,33.61,33.97,33.41
33.81,33.94,34.18,33.59
33.78,33.89,33.95,33.48
33.25,33.03,33.56,32.92
33.20,33.47,33.50,33.06
33.64,33.96,33.96,33.53
34.08,33.84,34.17,33.70
34.01,33.81,34.01,33.51
33.81,34.33,34.38,33.67
34.40,34.32,34.46,34.06
34.05,34.37,34.50,34.05
34.27,34.50,34.53,34.15
34.34,34.94,34.95,34.34
34.94,35.11,35.11,34.80
35.16,35.11,35.29,34.87
35.11,35.49,35.52,35.10
35.50,35.20,35.69,35.17
35.11,34.95,35.59,34.92
35.02,35.02,35.32,34.75
34.84,34.94,35.04,34.69
34.87,35.26,35.29,34.70
35.22,34.70,35.24,34.66
34.67,34.39,35.01,34.36
34.58,34.35,34.77,34.23
34.42,34.68,34.71,34.24
34.81,34.72,35.21,34.44
34.71,34.62,34.92,34.62
34.82,35.12,35.15,34.82
35.10,35.36,35.43,34.99
35.11,35.91,35.93,35.11
35.69,35.56,35.76,35.34
35.53,35.03,35.53,35.01
35.16,35.06,35.26,34.70
35.14,35.01,35.19,34.80
34.93,34.99,35.07,34.63
35.03,35.64,35.66,34.97
35.46,35.45,35.53,35.22
35.43,35.27,35.62,35.09
35.10,35.19,35.38,34.89
35.37,35.56,35.60,35.24
35.70,35.71,35.80,35.50
35.46,35.98,36.00,35.40
35.98,36.50,36.50,35.77
36.43,36.21,36.59,36.18
36.01,35.65,36.50,35.60
35.87,36.07,36.31,35.66
36.08,36.59,36.78,35.88
36.52,36.08,36.79,36.08
36.11,36.81,36.93,35.85
36.46,35.71,36.69,35.44
35.45,35.36,35.92,35.24
35.34,33.86,35.34,33.28
33.72,33.34,34.08,33.00
34.10,34.48,34.57,33.84
33.94,34.65,35.20,33.94
34.67,35.23,35.30,34.40
35.06,35.03,35.38,34.75
34.80,34.60,34.93,34.39
34.61,34.75,34.96,33.99
34.91,34.25,35.24,34.17
34.08,34.07,34.28,33.69
33.45,32.55,33.81,32.54
32.09,32.35,32.49,31.83
32.22,32.40,32.85,31.95
31.77,31.88,31.93,31.22
31.98,32.06,32.42,31.86
32.53,32.80,32.96,32.43
32.88,33.05,33.41,32.67
32.78,32.53,33.08,32.53
32.79,33.03,33.03,32.31
32.93,33.40,33.53,32.90
32.80,31.89,32.99,31.81
31.87,31.85,32.41,31.78
31.86,32.15,32.22,31.57
32.39,31.73,32.47,31.62
32.30,32.74,32.74,32.18
32.49,32.85,32.87,32.38
33.02,33.25,33.48,32.80
33.38,34.18,34.26,33.25
33.95,34.47,34.76,33.87
34.45,34.85,34.88,34.17
34.88,34.98,35.00,34.70
35.28,34.66,35.28,34.48
34.63,33.78,34.86,33.74
33.72,33.51,33.72,33.10
33.31,33.44,33.88,33.11
33.53,33.57,34.05,33.14
33.65,34.28,34.50,33.50
33.84,33.61,33.98,33.35
33.69,33.27,34.10,33.19
33.40,32.78,33.40,32.46
33.04,32.82,33.05,32.48
33.18,33.02,33.55,32.79
33.20,34.05,34.05,33.04
34.27,34.58,34.60,34.13
34.62,34.84,34.85,34.32
34.66,34.67,34.94,34.43
34.73,35.29,35.34,34.73
35.07,35.28,35.37,34.80
35.21,35.65,35.73,34.96
35.40,34.73,35.48,34.60
34.80,34.94,35.03,34.28
34.53,35.32,35.34,34.32
35.51,34.46,35.51,34.43
34.92,35.45,35.52,34.87
35.28,35.95,36.13,35.14
36.13,36.42,36.56,35.91
36.64,36.88,36.93,36.50
36.88,36.25,36.98,36.19
36.61,35.77,36.73,35.47
35.34,35.22,35.89,35.14
35.91,35.76,36.02,35.50
35.54,35.46,36.02,35.27
35.51,35.99,36.10,35.46
35.89,36.10,36.16,35.52
35.45,36.05,36.34,35.14
36.35,36.61,36.70,36.16
36.17,36.52,36.96,35.95
35.90,35.60,36.08,35.45
35.16,35.46,35.71,35.08
35.25,35.43,35.81,35.19
35.25,35.41,35.71,35.01
35.73,35.82,36.39,35.45
35.82,35.77,36.08,35.37
35.56,35.28,35.70,35.15
35.04,35.14,35.20,34.79
35.37,35.19,35.70,35.16
34.84,34.98,35.38,34.60
34.75,35.17,35.24,34.57
35.29,34.97,35.44,34.85
35.15,35.66,35.74,34.71
35.63,34.96,35.71,34.95
34.77,35.06,35.41,34.64
35.55,36.05,36.18,35.30
35.98,36.04,36.14,35.81
36.23,36.09,36.45,35.99
36.08,35.77,36.09,35.71
35.93,35.47,35.93,35.41
35.67,35.63,35.88,35.49
35.73,35.66,35.92,35.45
35.86,35.84,35.98,35.72
35.87,35.70,35.88,35.58
35.64,35.51,35.80,35.34
35.38,35.02,35.47,34.88
35.12,34.85,35.16,34.72
34.95,35.00,35.39,34.70
34.99,34.68,35.14,34.63
34.68,34.78,35.07,34.52
34.60,34.30,34.77,34.30
34.80,34.71,34.84,34.47
34.68,35.04,35.20,34.49
35.16,35.49,35.52,34.75
35.41,35.74,35.89,35.32
35.91,35.92,36.39,35.88
36.44,36.66,36.97,36.28
36.67,36.37,37.00,36.19
36.55,36.86,36.87,36.38
