IDSA,Industrial Services of America,NASDAQ
9.70,9.85,10.42,9.55
9.90,9.55,9.92,9.45
9.45,9.58,9.73,9.45
9.64,9.61,9.85,9.51
9.71,9.68,9.72,9.68
9.64,9.70,9.70,9.62
9.72,9.57,9.72,9.57
9.68,9.71,9.74,9.62
9.67,9.80,10.00,9.66
9.81,9.73,9.81,9.63
9.65,9.78,9.78,9.65
9.75,9.64,9.78,9.56
9.59,9.54,9.75,9.50
9.51,9.41,9.76,9.40
9.39,9.41,9.49,9.39
9.38,9.40,9.54,9.38
9.56,9.56,9.62,9.35
9.54,9.40,9.54,9.39
9.51,9.30,9.58,9.30
9.31,9.38,9.60,9.31
9.39,9.74,9.75,9.39
9.66,9.70,9.78,9.64
9.58,9.57,9.58,9.57
9.50,9.61,9.61,9.50
10.50,10.00,10.79,9.62
10.03,9.95,10.09,9.81
9.99,9.83,9.99,9.79
9.84,10.10,10.10,9.75
9.97,10.07,10.11,9.95
10.08,10.01,10.08,9.97
9.96,10.12,10.12,9.96
10.35,10.08,10.35,10.05
10.13,10.09,10.15,10.00
10.19,10.00,10.30,10.00
10.05,10.00,10.09,10.00
10.01,9.96,10.06,9.96
9.92,9.95,9.95,9.78
10.01,10.05,10.05,10.00
10.14,10.33,10.44,10.06
10.30,10.86,11.19,10.30
10.98,10.80,11.21,10.70
10.99,11.37,11.47,10.70
11.37,11.30,11.59,11.30
11.57,11.58,11.60,11.39
11.55,11.64,11.70,11.34
11.73,11.52,11.73,11.52
11.51,11.52,11.74,11.35
11.63,11.59,11.63,11.45
11.30,11.73,11.74,11.30
11.44,12.24,12.29,11.42
12.14,12.06,12.30,12.03
12.08,11.92,12.29,11.87
12.12,12.45,12.64,11.50
12.45,15.38,15.46,12.25
15.45,15.10,15.45,14.53
15.32,15.97,15.97,14.90
16.00,15.42,16.40,15.36
15.36,16.65,16.75,15.35
16.99,16.90,17.90,16.77
17.53,16.88,17.53,16.41
17.09,16.44,17.73,16.06
16.61,17.89,17.90,16.61
18.00,18.80,18.93,17.92
19.00,18.94,19.01,18.20
18.94,18.87,19.46,18.27
18.85,19.01,19.78,17.85
19.49,19.40,19.69,18.70
19.84,19.88,20.18,19.50
19.88,20.12,20.28,19.75
20.15,19.95,20.28,19.75
19.99,16.91,19.99,16.71
16.73,16.56,17.20,16.20
17.18,16.38,17.18,16.14
16.38,16.32,16.58,15.82
16.34,16.90,16.93,16.30
16.58,17.09,17.15,16.52
17.00,16.94,17.00,16.70
16.86,18.68,18.91,16.85
18.51,18.87,19.80,18.47
19.19,18.47,19.30,18.06
19.08,18.90,19.08,18.42
18.90,18.01,18.91,17.62
18.86,20.46,21.22,18.50
20.69,20.53,20.70,18.78
20.50,21.65,22.24,19.21
21.65,20.01,22.90,18.10
20.42,19.62,20.58,18.75
21.99,18.27,22.00,17.68
18.00,19.99,20.00,17.77
20.23,19.88,20.23,18.97
19.71,19.55,19.71,18.93
19.20,19.00,19.47,18.80
19.00,18.84,19.15,18.26
19.00,18.00,19.14,17.77
17.82,16.97,18.18,16.97
16.51,15.38,16.51,14.61
15.09,15.50,15.93,14.64
16.07,16.06,16.38,15.71
15.65,15.43,15.92,15.09
15.89,15.60,16.35,15.45
16.01,16.98,16.98,15.84
16.84,16.87,17.18,16.10
17.13,16.02,17.13,16.02
11.00,10.57,11.00,10.52
10.83,11.50,11.66,10.65
11.07,10.83,11.14,10.74
10.81,10.02,11.00,10.00
10.05,9.51,10.39,9.23
9.50,9.51,9.95,9.46
9.75,9.81,10.01,9.61
9.81,10.40,10.56,9.60
10.72,10.66,11.17,10.49
10.94,11.17,11.20,10.62
11.20,10.94,11.25,10.78
11.13,10.84,11.13,10.61
10.89,10.99,11.07,10.52
11.25,10.68,11.39,10.60
10.82,10.50,10.82,10.40
10.52,10.43,10.76,10.07
10.08,11.98,12.31,10.06
12.11,12.31,12.44,11.30
12.79,12.24,12.80,12.05
12.06,11.10,12.06,11.00
11.03,11.18,11.31,11.01
11.15,10.41,11.16,10.02
