IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest,NASDAQ
13.63,13.48,13.63,13.41
13.52,13.45,13.52,13.35
13.42,13.39,13.44,13.30
13.41,13.48,13.49,13.37
13.47,13.59,13.59,13.44
13.59,13.54,13.61,13.48
13.50,13.49,13.56,13.44
13.44,13.59,13.59,13.44
13.51,13.65,13.66,13.51
13.69,13.65,13.69,13.54
13.57,13.69,13.78,13.57
13.57,13.62,13.69,13.48
13.65,13.51,13.66,13.44
13.43,13.27,13.48,13.26
13.32,13.39,13.51,13.32
13.27,13.34,13.43,13.25
13.38,13.28,13.41,13.17
13.43,13.23,13.44,13.02
13.40,13.26,13.47,13.20
13.25,13.32,13.35,13.25
13.27,13.54,13.54,13.27
13.45,13.60,13.61,13.45
13.52,13.27,13.52,13.25
13.20,13.07,13.20,12.62
13.04,13.07,13.12,12.89
13.15,13.28,13.38,13.15
13.29,13.30,13.32,13.18
13.32,13.35,13.36,13.24
13.30,13.24,13.30,13.18
13.50,13.64,13.64,13.37
13.69,13.59,13.78,13.51
13.55,13.66,13.73,13.52
13.68,13.68,13.75,13.58
13.75,14.02,14.04,13.72
14.00,14.02,14.06,13.89
14.08,14.09,14.14,14.00
14.04,14.20,14.20,13.96
14.12,14.30,14.30,13.99
14.26,14.28,14.52,14.20
14.29,14.24,14.31,14.19
14.21,14.14,14.29,14.07
14.09,14.10,14.10,14.00
14.08,14.34,14.37,14.08
14.27,14.19,14.28,14.03
14.11,14.27,14.35,14.11
14.20,14.26,14.34,14.17
14.18,14.39,14.49,14.15
14.44,14.47,14.60,14.33
14.43,14.43,14.50,14.36
14.44,14.57,14.60,14.42
14.58,14.59,14.70,14.56
14.55,14.67,14.70,14.55
14.17,14.17,14.77,14.17
14.23,14.44,14.50,14.19
14.50,14.62,14.63,14.42
14.60,14.85,14.85,14.51
14.93,14.99,15.07,14.92
15.02,14.97,15.03,14.89
15.01,14.90,15.08,14.86
15.02,14.90,15.03,14.80
14.83,14.83,14.91,14.82
14.50,14.28,14.78,14.18
14.21,14.26,14.39,14.16
14.20,14.24,14.34,14.18
14.20,14.18,14.30,14.17
14.14,14.22,14.23,14.08
14.22,14.20,14.32,14.18
14.27,14.20,14.28,14.20
14.08,14.21,14.24,14.08
14.24,14.51,14.51,14.24
14.44,14.28,14.45,14.26
14.21,14.07,14.26,14.03
14.01,14.03,14.24,14.00
14.19,14.16,14.19,14.07
14.22,14.29,14.33,14.17
14.30,14.44,14.53,14.22
14.49,14.44,14.53,14.33
14.40,14.29,14.48,14.27
14.29,14.00,14.31,14.00
14.14,14.02,14.14,13.92
14.13,14.15,14.27,14.09
14.11,13.95,14.19,13.94
13.95,13.97,14.02,13.95
