IID,Voya International High Dividend Equity Income Fund Common Shares of Beneficial Interest,NASDAQ
12.00,11.90,12.09,11.84
11.84,11.84,11.89,11.81
11.84,11.87,11.88,11.83
11.87,11.86,11.89,11.85
11.86,11.96,11.98,11.86
12.22,12.02,12.22,11.97
11.99,11.96,12.03,11.94
12.02,12.11,12.11,11.98
12.11,12.20,12.20,12.01
12.20,12.13,12.20,12.08
12.20,12.30,12.30,12.14
12.31,12.25,12.31,12.17
12.21,12.14,12.27,12.03
12.11,11.90,12.11,11.90
11.99,12.00,12.08,11.92
11.94,12.04,12.06,11.94
12.00,12.00,12.01,11.90
12.09,11.95,12.09,11.87
12.04,11.94,12.07,11.88
11.90,11.80,11.94,11.80
11.85,11.84,11.87,11.81
12.04,11.93,12.04,11.84
11.94,11.62,11.94,11.61
11.60,10.95,11.60,10.69
11.20,11.00,11.20,10.92
11.12,11.12,11.32,11.12
11.16,11.14,11.23,11.06
11.12,11.36,11.36,11.05
11.30,11.27,11.32,11.15
11.30,11.43,11.43,11.26
11.42,11.47,11.65,11.42
11.47,11.56,11.64,11.47
11.80,11.92,11.99,11.67
12.16,12.04,12.16,11.99
11.90,11.96,12.10,11.80
12.06,12.11,12.15,12.06
12.13,12.13,12.14,12.00
12.18,12.19,12.25,12.15
12.19,12.13,12.26,12.05
12.41,12.30,12.41,12.20
12.30,12.17,12.30,12.00
12.26,12.23,12.27,12.20
12.27,12.25,12.29,12.24
12.30,12.34,12.34,12.28
12.30,12.34,12.45,12.29
12.42,12.26,12.42,12.15
12.30,12.29,12.35,12.20
12.22,12.25,12.40,12.22
12.40,12.31,12.40,12.26
12.40,12.34,12.42,12.30
12.40,12.47,12.50,12.36
12.50,12.55,12.56,12.40
12.44,12.44,12.59,12.36
12.37,12.58,12.63,12.37
12.70,12.79,12.87,12.62
12.78,12.81,12.96,12.71
12.90,12.97,13.02,12.84
12.90,12.99,13.12,12.90
13.10,13.00,13.15,12.95
13.15,13.00,13.16,12.95
13.05,13.05,13.12,13.02
13.03,12.82,13.11,12.74
12.82,12.85,13.03,12.77
12.99,12.84,13.00,12.75
12.80,12.99,13.00,12.80
12.95,13.05,13.07,12.90
13.08,13.01,13.10,13.00
13.05,13.09,13.09,12.99
13.11,13.11,13.19,13.09
13.11,13.29,13.37,13.11
13.30,13.33,13.44,13.30
13.42,13.31,13.49,13.30
13.39,13.40,13.54,13.30
13.46,13.34,13.65,13.32
13.36,13.30,13.37,13.23
13.30,13.26,13.41,13.10
13.37,13.36,13.41,13.27
13.48,13.37,13.50,13.35
13.40,13.35,13.62,13.29
13.27,13.04,13.40,13.04
12.99,12.92,13.04,12.87
12.98,13.02,13.02,12.90
13.00,12.91,13.00,12.84
12.87,12.42,12.87,12.42
12.30,11.59,12.34,11.25
11.50,10.66,11.59,9.44
10.76,10.55,11.00,10.19
11.48,11.52,11.85,11.42
11.39,11.56,11.62,11.39
11.70,11.88,12.00,11.70
11.72,12.00,12.04,11.72
11.90,11.71,11.96,11.59
11.89,11.38,11.89,11.26
11.56,11.14,11.57,11.07
11.02,10.73,11.02,10.54
10.51,9.99,10.60,9.99
9.72,10.29,10.45,9.55
10.20,10.25,10.60,10.10
10.06,10.25,10.60,9.86
10.30,10.53,11.09,10.30
10.90,11.29,11.29,10.70
11.26,11.27,11.44,11.25
11.08,10.97,11.22,10.97
10.95,11.21,11.38,10.95
11.21,11.24,11.44,11.17
11.19,10.92,11.24,10.56
11.00,10.62,11.00,10.61
10.62,10.46,10.62,10.33
10.45,10.45,10.67,10.45
10.72,10.74,10.75,10.51
10.64,10.73,10.77,10.59
11.00,11.11,11.20,10.99
11.30,11.36,11.39,11.21
11.01,10.65,11.06,10.61
10.56,10.70,10.80,10.51
10.94,10.79,10.94,10.75
10.99,10.71,10.99,10.71
10.86,10.56,10.87,10.55
10.62,10.45,10.75,10.41
10.41,10.35,10.46,10.30
10.31,10.56,10.71,10.31
10.71,10.70,10.73,10.54
10.70,10.40,10.70,10.31
10.43,10.35,10.52,10.35
10.24,10.05,10.25,10.00
10.39,9.96,10.39,9.95
10.04,10.00,10.10,10.00
10.10,10.15,10.18,10.06
10.24,10.11,10.24,10.03
10.03,10.14,10.17,10.03
10.03,10.22,10.25,10.03
10.25,10.31,10.45,10.12
10.44,10.53,10.53,10.28
10.75,10.54,10.75,10.50
10.53,10.41,10.61,10.38
10.39,10.39,10.49,10.35
10.28,10.31,10.39,10.20
10.55,10.34,10.55,10.30
10.36,10.51,10.51,10.35
10.51,10.57,10.60,10.49
10.70,10.67,10.75,10.51
10.70,10.67,10.74,10.60
10.70,10.62,10.71,10.61
10.72,10.67,10.82,10.60
10.79,10.75,10.79,10.50
10.70,10.79,10.86,10.69
10.76,10.87,11.00,10.72
10.87,10.79,10.89,10.66
10.65,10.81,10.81,10.65
10.91,10.81,10.91,10.68
10.93,10.83,11.00,10.75
10.86,10.83,10.86,10.70
10.75,10.75,10.75,10.58
10.58,10.58,10.63,10.53
10.53,10.60,10.69,10.53
10.64,10.64,10.65,10.56
10.65,10.70,10.80,10.65
10.84,10.74,10.84,10.69
10.76,10.62,10.76,10.55
10.65,10.65,10.70,10.61
10.76,10.65,10.76,10.65
10.54,10.50,10.60,10.41
10.34,10.47,10.47,10.32
10.50,10.43,10.60,10.43
10.46,10.56,10.58,10.44
10.27,10.51,10.58,10.27
10.51,10.52,10.64,10.41
10.59,10.64,10.69,10.54
10.70,10.68,10.70,10.63
10.75,10.65,10.75,10.65
10.55,10.52,10.62,10.52
10.58,10.61,10.64,10.58
10.64,10.60,10.70,10.60
10.60,10.73,10.73,10.56
10.77,10.80,10.80,10.71
10.80,10.85,10.89,10.80
10.84,10.94,10.94,10.82
10.95,10.95,10.98,10.90
10.91,10.91,10.95,10.87
10.93,11.06,11.07,10.93
11.12,10.96,11.12,10.96
10.97,11.02,11.09,10.96
11.01,11.00,11.09,11.00
11.14,11.21,11.21,11.10
11.25,11.28,11.34,11.21
11.26,11.53,11.84,11.26
11.51,11.56,11.71,11.51
11.61,11.54,11.70,11.48
11.47,11.57,11.59,11.46
11.59,11.35,11.59,11.34
11.48,11.40,11.51,11.39
11.40,11.37,11.40,11.35
11.41,11.41,11.48,11.36
11.44,11.40,11.44,11.38
11.40,11.50,11.50,11.40
11.55,11.47,11.55,11.42
11.49,11.65,11.74,11.48
11.61,11.53,11.65,11.50
