IIM,Invesco Value Municipal Income Trust Common Stock,NASDAQ
14.05,14.03,14.14,13.97
14.02,13.99,14.06,13.85
13.92,13.99,14.02,13.92
14.02,14.01,14.02,13.95
14.09,14.05,14.10,14.00
14.10,14.04,14.10,14.03
14.00,14.04,14.06,14.00
14.02,14.09,14.09,14.02
14.09,14.18,14.18,14.09
14.20,14.12,14.21,14.10
14.11,14.13,14.15,14.11
14.10,14.11,14.13,13.96
14.11,14.07,14.11,14.01
14.02,13.99,14.09,13.99
13.98,13.95,14.06,13.90
14.01,13.99,14.01,13.91
13.95,14.03,14.04,13.95
14.02,13.94,14.08,13.94
14.06,14.00,14.06,13.95
14.05,14.01,14.05,13.94
14.05,14.05,14.05,14.01
14.09,13.99,14.09,13.99
14.00,13.99,14.02,13.96
13.97,14.02,14.03,13.95
14.03,14.08,14.11,14.00
14.07,14.12,14.15,14.05
14.12,14.13,14.17,14.06
14.02,14.03,14.12,14.01
14.01,14.02,14.05,14.00
14.00,14.03,14.03,13.95
13.98,13.99,14.02,13.97
13.98,13.95,13.98,13.91
13.92,13.81,13.97,13.80
13.73,13.76,13.87,13.69
13.68,13.84,13.86,13.68
13.80,13.91,13.93,13.80
13.85,14.00,14.00,13.83
14.02,14.00,14.03,13.98
13.96,14.09,14.11,13.96
14.05,14.03,14.09,14.01
14.01,14.00,14.05,14.00
14.00,14.12,14.14,14.00
14.12,14.14,14.18,14.10
14.14,14.20,14.20,14.11
14.13,14.14,14.18,14.09
14.10,14.17,14.17,14.10
14.09,14.12,14.17,14.05
14.08,14.14,14.14,14.08
14.07,14.15,14.18,14.07
14.10,14.12,14.17,14.08
14.08,14.05,14.09,14.04
13.98,14.01,14.05,13.97
14.02,14.02,14.05,13.99
13.98,13.96,14.03,13.96
13.95,14.04,14.04,13.94
14.07,14.02,14.07,13.99
14.08,14.10,14.20,14.02
14.13,14.11,14.18,14.08
14.18,14.09,14.18,14.07
14.06,14.04,14.08,14.01
14.02,14.00,14.03,14.00
14.02,14.01,14.07,14.00
14.01,14.07,14.07,13.99
14.04,14.10,14.12,14.02
14.02,14.08,14.17,14.02
14.13,14.07,14.14,14.04
14.06,14.09,14.14,14.06
14.14,14.10,14.15,14.09
14.10,14.11,14.16,14.07
14.11,14.06,14.11,14.06
14.05,14.07,14.12,14.05
14.11,14.07,14.11,14.06
14.06,14.10,14.13,14.06
14.15,14.15,14.20,14.12
14.09,14.12,14.14,14.06
14.03,14.11,14.13,14.03
14.09,14.12,14.18,14.09
14.10,14.11,14.17,14.10
14.09,14.10,14.14,14.05
14.12,14.12,14.16,14.11
14.15,14.12,14.21,14.12
14.20,14.17,14.20,14.12
14.19,14.18,14.19,14.14
14.14,14.24,14.24,14.14
14.19,14.19,14.27,14.19
14.24,14.21,14.24,14.10
14.22,14.11,14.25,14.08
14.23,14.08,14.44,14.07
14.09,14.14,14.14,14.09
14.18,14.24,14.24,14.15
14.19,14.28,14.30,14.19
14.24,14.22,14.28,14.20
14.20,14.23,14.27,14.18
14.21,14.25,14.28,14.16
14.17,14.18,14.20,14.11
14.10,14.07,14.10,13.90
14.08,14.04,14.08,13.91
14.09,14.13,14.15,14.04
13.97,14.18,14.18,13.96
14.17,14.30,14.37,14.17
14.41,14.34,14.41,14.27
14.39,14.36,14.39,14.31
14.35,14.46,14.46,14.32
14.42,14.55,14.55,14.41
14.43,14.49,14.53,14.43
14.46,14.47,14.50,14.41
14.43,14.47,14.50,14.43
14.52,14.49,14.52,14.44
14.46,14.53,14.54,14.44
14.60,14.51,14.60,14.51
14.48,14.54,14.55,14.46
14.48,14.50,14.57,14.48
14.54,14.54,14.59,14.49
14.46,14.42,14.51,14.40
14.49,14.44,14.49,14.40
14.48,14.44,14.48,14.39
14.43,14.39,14.44,14.37
14.38,14.35,14.50,14.33
14.41,14.45,14.45,14.32
14.41,14.48,14.50,14.41
14.52,14.51,14.55,14.46
14.51,14.41,14.55,14.41
14.39,14.50,14.50,14.35
14.49,14.55,14.58,14.49
14.52,14.57,14.58,14.50
14.55,14.57,14.59,14.53
14.61,14.62,14.63,14.54
14.57,14.65,14.66,14.57
14.62,14.45,14.67,14.45
14.50,14.55,14.55,14.47
14.50,14.55,14.57,14.45
14.52,14.64,14.64,14.52
14.59,14.65,14.65,14.58
14.63,14.62,14.65,14.60
14.60,14.69,14.69,14.60
14.70,14.78,14.78,14.63
14.75,14.87,14.89,14.75
14.84,14.88,14.88,14.81
14.90,14.90,14.91,14.75
14.87,14.80,14.90,14.76
14.77,14.75,14.82,14.71
14.72,14.68,14.74,14.68
14.74,14.82,14.82,14.59
14.80,14.76,14.85,14.75
14.81,14.75,14.83,14.75
14.75,14.79,14.86,14.72
14.74,14.91,14.91,14.70
14.97,14.98,15.00,14.93
14.94,14.99,15.00,14.93
14.98,14.98,15.07,14.98
14.99,15.10,15.13,14.98
15.13,15.15,15.17,14.99
15.18,15.18,15.18,15.07
15.15,15.30,15.31,15.15
15.27,15.32,15.32,15.25
15.37,15.33,15.45,15.25
15.30,15.26,15.31,15.25
15.17,15.18,15.29,15.16
15.23,15.23,15.26,15.17
15.14,15.13,15.21,15.13
15.07,15.16,15.20,15.07
15.09,15.17,15.20,15.09
15.10,15.31,15.34,15.10
15.21,15.26,15.30,15.19
15.30,15.36,15.37,15.20
15.43,15.51,15.51,15.38
15.52,15.61,15.66,15.51
15.71,15.58,15.71,15.58
15.54,15.51,15.59,15.50
15.50,15.55,15.57,15.50
15.46,15.64,15.64,15.46
15.68,15.69,15.69,15.60
15.56,15.59,15.64,15.56
15.65,15.65,15.65,15.56
15.60,15.62,15.66,15.58
15.59,15.67,15.67,15.59
15.58,15.24,15.65,15.00
15.24,15.31,15.31,15.14
15.35,15.37,15.45,15.29
15.34,15.25,15.43,15.18
15.29,15.23,15.29,15.15
15.25,15.28,15.30,15.20
15.31,15.35,15.35,15.24
15.39,15.39,15.46,15.34
15.40,15.40,15.40,15.31
15.34,15.57,15.57,15.34
15.52,15.30,15.58,15.30
15.30,15.38,15.38,15.26
15.35,15.41,15.41,15.32
15.35,15.34,15.39,15.31
15.30,15.28,15.32,15.19
15.23,15.19,15.23,15.16
15.24,15.20,15.24,15.14
15.15,15.33,15.33,15.15
15.28,15.40,15.41,15.23
15.33,15.40,15.40,15.32
15.35,15.39,15.41,15.25
15.41,15.28,15.41,15.25
15.25,15.22,15.37,15.21
15.22,15.18,15.26,15.14
15.13,15.15,15.16,15.10
15.06,15.20,15.36,15.03
15.27,15.09,15.28,15.09
15.17,15.17,15.18,15.10
15.23,15.27,15.29,15.18
15.29,15.27,15.37,15.26
15.20,15.15,15.27,15.09
15.21,15.21,15.23,15.15
15.28,15.32,15.32,15.20
15.34,15.18,15.37,15.17
15.24,15.24,15.24,15.18
15.19,15.31,15.31,15.19
15.31,15.35,15.48,15.27
15.30,15.46,15.46,15.30
15.48,15.47,15.48,15.36
15.42,15.29,15.44,15.16
15.24,14.78,15.24,14.58
14.66,14.25,14.66,14.11
14.10,14.23,14.37,13.97
14.20,13.68,14.26,13.62
13.56,13.92,13.96,13.22
13.78,13.97,14.10,13.77
13.98,13.81,13.98,13.67
13.88,14.05,14.08,13.78
14.04,14.35,14.35,14.03
14.24,14.34,14.38,14.18
14.39,14.42,14.45,14.34
14.46,14.52,14.56,14.45
14.52,14.47,14.55,14.46
14.40,14.40,14.48,14.38
14.35,14.12,14.46,14.12
13.92,13.96,14.08,13.91
14.00,13.99,14.13,13.97
13.93,13.85,14.06,13.82
13.80,13.56,13.80,13.53
13.61,13.39,13.61,13.28
13.45,13.44,13.45,13.28
13.40,13.29,13.40,13.25
13.25,13.16,13.33,13.05
13.12,13.00,13.12,12.88
12.99,13.14,13.18,12.83
13.04,13.41,13.43,13.04
13.38,13.60,13.70,13.38
13.60,13.04,13.66,13.04
13.06,13.01,13.11,13.01
13.00,13.31,13.34,13.00
13.39,13.39,13.39,13.16
13.38,13.40,13.42,13.33
13.41,13.25,13.47,13.25
13.24,13.24,13.30,13.13
13.32,13.32,13.32,13.16
13.32,13.50,13.53,13.32
13.54,13.48,13.54,13.40
13.52,13.48,13.56,13.48
13.49,13.51,13.51,13.46
13.49,13.34,13.53,13.34
13.33,13.41,13.43,13.31
13.43,13.21,13.44,13.21
13.20,13.18,13.24,13.11
13.10,12.97,13.10,12.95
12.92,12.71,12.92,12.68
12.62,12.59,12.62,12.31
12.37,12.63,12.71,12.37
12.58,12.58,12.65,12.47
12.58,12.82,12.86,12.53
12.88,12.97,13.00,12.88
12.96,13.05,13.08,12.96
13.07,13.16,13.16,13.04
13.21,13.18,13.25,13.15
13.14,13.14,13.20,13.10
13.16,12.93,13.16,12.64
13.00,12.97,13.02,12.94
12.97,13.05,13.07,12.97
13.00,13.06,13.10,13.00
13.13,13.02,13.13,13.00
12.97,12.96,13.03,12.95
13.00,13.00,13.04,12.97
12.99,13.02,13.04,12.96
13.03,13.01,13.03,12.94
13.00,13.01,13.03,12.97
12.98,12.98,13.10,12.95
13.00,12.96,13.02,12.91
12.92,12.93,12.95,12.91
12.97,13.05,13.07,12.94
13.09,13.16,13.18,13.05
13.19,13.13,13.19,13.12
13.15,12.95,13.15,12.93
12.94,13.01,13.08,12.94
13.01,13.10,13.10,13.01
13.06,13.10,13.12,13.04
