ILF,iShares Latin America 40 ETF,NASDAQ
48.54,49.35,49.36,48.52
49.35,49.45,49.66,49.00
49.40,49.56,49.87,49.26
49.32,49.45,49.51,49.03
49.68,49.82,49.85,49.43
50.17,49.53,50.21,49.10
48.90,48.76,49.20,48.48
49.27,48.90,49.34,48.39
48.65,48.23,48.65,48.12
48.20,47.48,48.32,47.42
47.84,48.31,48.31,47.67
47.35,46.87,47.50,46.45
46.73,44.95,46.93,44.95
44.62,44.33,45.18,44.11
44.79,44.29,45.10,44.14
43.75,43.87,44.60,43.43
43.59,43.43,43.75,42.77
44.00,43.55,44.01,42.77
44.02,42.62,44.19,42.48
43.12,44.15,44.20,43.11
44.50,44.69,44.82,44.05
44.51,44.20,44.69,44.03
43.44,41.84,43.44,41.84
41.81,41.87,41.95,40.39
41.81,41.45,42.35,41.41
42.71,42.98,43.46,42.38
42.99,42.75,43.24,42.34
42.83,44.02,44.03,42.49
43.01,43.75,43.89,42.89
44.37,44.90,44.98,44.27
45.32,45.14,45.33,44.70
44.83,45.45,45.69,44.82
45.13,45.52,45.72,45.03
45.78,45.24,45.84,45.06
44.83,44.02,45.24,43.77
44.15,44.03,44.44,43.80
43.16,44.31,44.43,42.90
44.59,44.95,44.95,44.05
45.49,45.42,45.57,44.97
45.79,46.12,46.34,45.71
46.42,46.27,46.90,45.91
46.55,46.06,46.55,45.67
46.75,47.11,47.11,46.48
47.14,46.88,47.27,46.69
46.55,47.42,47.77,46.55
47.59,47.77,48.09,47.43
47.57,47.81,47.84,47.21
48.11,47.71,48.13,47.67
47.54,47.59,47.81,47.15
47.78,48.22,48.22,47.56
48.48,48.12,48.59,47.93
47.89,47.56,48.11,47.27
46.84,46.84,47.82,46.77
46.29,47.10,47.17,46.08
47.52,47.71,47.73,47.24
47.19,47.00,47.70,46.95
47.39,46.54,47.57,46.52
46.57,46.56,46.97,46.16
46.95,47.75,47.76,46.89
48.00,47.98,48.15,47.60
47.95,48.27,48.35,47.82
48.82,49.15,49.28,48.79
49.55,49.64,49.69,49.32
49.41,49.77,49.90,49.35
49.68,49.23,49.77,48.86
48.71,49.44,49.49,48.54
49.56,49.78,49.83,49.33
49.76,49.46,49.83,49.40
49.36,49.35,49.56,48.91
49.83,49.78,49.93,49.57
49.62,49.50,50.00,49.45
49.35,48.38,49.37,48.05
47.93,48.25,48.50,47.57
48.73,48.44,48.79,48.40
48.53,48.06,48.72,47.63
47.91,48.52,48.54,47.45
48.20,48.80,48.84,48.15
49.02,48.66,49.21,48.61
47.99,46.66,48.17,46.62
47.25,47.18,47.37,46.30
47.80,48.31,48.46,47.74
48.38,47.87,48.62,47.81
47.99,47.69,48.42,47.39
46.79,45.53,46.83,45.48
44.67,44.95,45.79,44.07
44.46,43.20,45.38,40.51
43.29,43.19,43.85,41.77
46.15,46.21,46.46,45.47
45.41,45.59,46.34,45.36
45.97,46.16,46.54,45.84
46.16,45.53,46.33,45.53
45.04,44.55,45.24,43.91
44.36,43.96,44.81,43.00
44.74,43.06,44.87,42.92
41.85,42.10,42.55,41.34
40.51,40.27,41.21,39.96
39.60,41.69,41.72,39.44
41.71,41.02,42.06,41.02
39.41,40.87,40.93,39.21
41.57,41.21,42.40,40.96
42.68,43.54,43.54,42.37
43.24,42.81,43.43,42.54
42.92,42.59,43.78,42.49
42.92,43.94,43.95,42.75
44.37,43.57,44.43,42.87
42.74,42.14,43.19,42.06
42.26,41.55,42.46,41.50
41.96,42.52,42.66,41.60
42.96,42.60,43.50,42.46
