INZ,Ing Groep NV Perpetual Debt Securities,NASDAQ
19.40,19.41,19.57,19.35
19.59,19.80,19.80,19.45
19.74,20.09,20.13,19.73
20.50,20.30,20.50,20.00
20.36,20.54,20.84,20.31
20.82,20.87,20.94,20.59
20.84,20.60,21.00,20.54
20.66,20.62,20.77,20.32
20.68,20.49,20.70,20.46
20.63,20.61,20.69,20.53
20.71,20.80,20.97,20.68
20.66,20.75,20.79,20.55
20.60,20.49,20.65,20.29
20.54,20.41,20.63,20.13
20.46,20.39,20.52,20.26
20.29,20.40,20.40,20.20
20.27,20.05,20.27,19.92
20.28,19.85,20.28,19.43
19.76,19.81,20.11,19.69
19.89,19.96,20.00,19.81
19.96,20.23,20.28,19.96
20.38,20.29,20.45,20.23
20.30,19.52,20.30,19.50
19.52,19.21,19.52,18.90
19.14,19.02,19.14,18.75
19.25,19.02,19.39,18.84
19.06,19.15,19.15,18.91
19.14,19.17,19.21,19.08
19.14,19.10,19.36,19.06
18.96,19.61,19.62,18.96
19.73,19.95,20.10,19.70
19.90,20.30,20.41,19.90
20.19,20.26,20.40,20.00
20.36,20.41,20.48,20.35
20.41,20.27,20.47,20.07
20.33,20.36,20.40,20.26
19.96,19.97,20.05,19.79
20.05,20.00,20.10,19.97
20.02,20.07,20.10,19.94
20.10,20.00,20.16,20.00
20.06,19.92,20.11,19.85
20.14,19.96,20.14,19.82
20.04,20.00,20.07,19.96
20.06,20.12,20.15,20.02
20.14,20.39,20.39,20.08
20.46,20.49,20.66,20.45
20.54,20.59,20.64,20.42
20.74,20.74,20.80,20.61
20.79,20.71,20.81,20.65
20.80,20.92,20.94,20.71
20.90,21.15,21.17,20.90
21.25,21.17,21.35,21.11
21.41,21.41,21.41,21.10
21.37,21.36,21.37,21.18
21.45,21.41,21.47,21.29
21.33,21.54,21.56,21.30
21.60,21.51,21.78,21.46
21.52,21.53,21.60,21.29
21.57,21.60,21.67,21.43
21.70,21.79,21.84,21.65
21.79,21.84,21.86,21.32
21.84,21.84,21.86,21.40
21.75,21.80,21.90,21.47
21.69,21.82,21.84,21.64
21.82,21.72,21.84,21.68
21.75,21.65,21.75,21.54
21.65,21.77,21.80,21.65
21.83,21.81,21.86,21.77
21.84,21.85,21.95,21.78
21.87,21.96,21.99,21.87
21.96,21.89,21.98,21.86
21.92,21.46,21.94,21.46
21.00,21.38,21.55,20.99
21.55,21.34,21.63,21.28
21.44,21.35,21.45,21.25
21.35,21.11,21.36,20.97
21.17,21.09,21.27,21.07
21.12,21.08,21.26,20.98
20.98,20.67,20.98,20.62
20.80,20.52,20.83,20.49
20.52,20.39,20.54,20.16
20.39,20.22,20.46,20.15
20.35,20.57,20.57,20.22
20.80,20.29,20.80,20.29
19.70,19.25,20.34,19.18
19.00,17.63,19.00,16.80
17.80,18.05,18.19,17.11
19.67,19.57,20.20,19.48
19.29,19.58,19.83,19.29
19.94,19.95,20.15,19.91
20.10,19.92,20.10,19.92
19.92,19.42,19.92,19.21
19.49,18.92,19.60,18.70
19.29,18.99,19.30,18.95
18.99,18.76,19.13,18.56
17.96,18.13,18.40,17.85
17.84,18.38,18.63,17.80
17.63,18.50,18.79,17.63
17.63,18.15,18.15,17.20
18.49,18.56,18.71,18.20
18.89,18.59,18.89,18.42
18.50,18.44,18.61,18.20
18.31,18.45,18.56,18.14
18.35,18.65,18.65,18.21
18.87,18.59,18.87,18.35
18.34,18.20,18.34,17.94
18.07,17.92,18.11,17.87
17.54,17.81,18.10,17.54
17.79,17.86,18.16,17.79
18.00,18.05,18.11,17.90
18.05,18.40,18.52,18.05
18.56,18.55,18.63,18.32
18.55,18.52,18.55,18.37
18.58,18.53,18.69,18.41
18.50,18.55,18.65,18.48
18.65,18.68,18.73,18.56
19.00,18.73,19.01,18.69
18.73,18.57,18.82,18.50
18.64,18.60,18.64,18.46
18.69,18.65,18.70,18.53
18.65,18.80,18.80,18.63
18.90,18.88,18.94,18.75
18.75,18.56,18.79,18.49
18.58,18.63,18.65,18.43
18.64,18.49,18.69,18.35
18.60,18.63,18.73,18.41
18.68,18.69,18.83,18.61
18.69,18.74,18.80,18.69
18.91,19.07,19.07,18.80
19.08,19.38,19.39,19.07
19.47,19.30,19.47,19.18
19.35,19.57,19.60,19.33
19.57,19.65,19.74,19.48
19.68,20.00,20.03,19.65
