IONS,Ionis Pharmaceuticals,NASDAQ
11.24,11.27,11.40,11.10
11.45,11.54,11.55,11.19
11.57,11.50,11.70,11.45
11.53,11.41,11.63,11.23
11.36,11.50,11.50,11.27
11.62,11.63,11.72,11.52
11.51,11.29,11.62,11.23
11.35,11.45,11.48,11.32
11.49,11.65,11.70,11.42
11.68,11.29,11.68,11.21
11.27,11.38,11.44,11.25
11.27,11.27,11.33,10.97
11.32,11.09,11.34,10.80
11.12,11.15,11.24,11.00
11.26,10.98,11.26,10.85
10.90,10.71,10.93,10.71
10.68,11.57,11.63,10.60
11.55,11.27,11.55,11.20
11.34,11.16,11.41,11.16
11.35,11.37,11.45,11.07
11.41,11.76,11.80,11.20
11.70,11.74,11.82,11.48
11.71,11.12,11.73,11.12
11.19,11.04,11.26,10.76
11.09,11.00,11.24,10.92
11.16,11.04,11.24,10.97
9.03,8.98,9.50,8.85
9.06,8.66,9.14,8.59
8.66,9.01,9.05,8.65
9.03,9.32,9.38,9.01
9.37,9.29,9.42,9.26
9.32,9.06,9.37,9.00
9.07,8.97,9.10,8.95
8.99,9.03,9.03,8.80
9.04,8.90,9.06,8.90
8.91,8.83,8.94,8.76
8.76,8.92,8.95,8.73
8.96,8.84,8.97,8.76
8.84,9.09,9.14,8.83
9.19,8.91,9.19,8.86
8.91,8.84,8.94,8.81
8.88,8.78,9.00,8.76
8.87,8.90,8.97,8.81
9.01,8.91,9.01,8.86
8.91,9.12,9.14,8.88
9.19,10.05,10.06,9.19
9.98,9.98,10.08,9.72
10.05,9.69,10.09,9.66
10.15,9.87,10.15,9.79
9.94,9.80,9.94,9.64
9.79,9.80,9.95,9.77
9.76,9.71,9.83,9.70
9.78,9.94,9.95,9.70
9.86,10.18,10.24,9.76
10.23,10.65,10.66,10.14
10.65,10.80,11.25,10.65
10.81,10.61,11.10,10.60
10.67,10.36,10.72,10.26
10.42,10.31,10.46,10.24
10.35,10.30,10.50,10.21
10.94,10.93,11.43,10.85
11.07,10.85,11.27,10.83
11.00,11.13,11.18,10.90
11.13,11.00,11.17,10.92
11.03,10.79,11.10,10.70
10.75,10.81,10.96,10.70
10.84,10.82,10.97,10.70
10.90,10.73,10.91,10.70
10.74,10.70,10.78,10.65
10.75,10.94,10.96,10.75
10.92,10.80,11.00,10.76
10.80,10.79,10.92,10.62
10.73,10.60,10.83,10.50
10.66,10.80,10.87,10.53
10.84,10.70,10.90,10.66
10.66,10.70,10.76,10.51
10.67,10.70,10.88,10.66
10.70,10.65,10.81,10.60
10.62,10.51,10.79,10.50
10.71,10.65,10.71,10.50
10.75,11.02,11.08,10.62
11.05,10.76,11.24,10.75
10.75,10.88,10.97,10.69
10.75,10.47,10.78,10.38
10.31,9.95,10.41,9.87
9.99,9.58,10.12,9.00
9.59,9.38,9.88,8.96
9.64,9.69,10.15,9.52
9.71,9.84,10.14,9.50
9.89,10.01,10.08,9.83
9.97,10.09,10.15,9.97
10.02,9.76,10.04,9.66
9.78,9.69,9.90,9.50
9.80,9.67,9.92,9.60
9.67,9.32,9.67,9.16
9.11,8.84,9.20,8.75
8.73,8.88,9.12,8.56
8.90,8.88,9.11,8.84
8.66,8.87,8.90,8.46
8.92,8.94,9.10,8.86
9.10,9.29,9.29,8.96
9.24,9.20,9.42,9.07
9.11,9.07,9.42,9.02
9.17,10.24,10.24,9.17
10.23,10.07,10.36,9.90
9.79,9.76,10.00,9.70
9.77,9.32,9.88,9.30
9.31,9.05,9.40,8.90
9.15,8.84,9.24,8.78
8.94,9.21,9.21,8.88
9.10,9.32,9.41,9.10
9.42,9.44,9.62,9.33
9.55,9.71,9.72,9.46
9.60,9.59,9.73,9.42
9.62,9.35,9.62,9.30
9.43,9.36,9.49,9.16
9.41,9.14,9.57,9.13
9.19,9.19,9.46,9.16
9.21,9.21,9.32,9.09
9.13,9.40,9.49,9.13
9.45,9.84,9.93,9.31
9.90,10.00,10.14,9.86
9.81,9.67,9.95,9.59
9.62,9.57,9.78,9.51
9.57,9.22,9.57,9.08
9.28,9.17,9.52,9.16
9.30,9.10,9.44,9.03
9.11,9.30,9.31,9.03
9.36,9.34,9.41,9.19
9.35,9.62,9.63,9.33
9.60,9.47,9.79,9.42
9.54,9.74,9.77,9.54
9.68,9.70,9.77,9.59
9.67,9.51,9.74,9.40
9.42,9.09,9.51,9.07
9.13,9.22,9.29,9.00
9.10,9.35,9.38,9.06
9.38,9.24,9.45,9.13
9.38,9.47,9.52,9.33
9.39,9.68,9.71,9.23
9.74,10.07,10.19,9.71
10.14,10.00,10.18,9.86
9.95,9.69,10.02,9.68
9.78,9.79,9.89,9.54
9.64,9.89,10.03,9.60
10.01,9.99,10.08,9.89
9.98,9.99,10.11,9.83
9.23,9.43,9.68,9.13
9.31,9.00,9.35,8.96
8.93,9.10,9.12,8.89
9.19,8.87,9.19,8.78
8.75,8.75,8.90,8.65
8.64,8.45,8.71,8.42
8.41,8.55,8.57,8.41
8.51,8.38,8.57,8.38
8.34,8.29,8.43,8.14
8.34,8.36,8.43,8.29
8.33,8.30,8.42,8.25
8.25,7.99,8.30,7.98
7.98,7.95,8.10,7.90
7.98,7.78,8.00,7.76
7.71,7.78,7.81,7.59
7.74,8.20,8.20,7.67
8.19,7.83,8.21,7.83
7.94,7.96,8.00,7.78
7.96,7.85,8.04,7.85
7.82,7.81,7.99,7.78
8.00,8.00,8.09,7.88
8.04,8.12,8.14,7.97
8.20,8.20,8.23,8.05
8.15,7.95,8.16,7.92
7.96,8.12,8.16,7.91
8.20,8.09,8.30,8.06
8.12,8.16,8.21,8.01
8.21,8.36,8.42,8.15
8.33,8.23,8.41,8.21
8.22,8.25,8.30,8.13
8.26,8.28,8.32,8.17
8.38,8.26,8.44,8.26
8.26,8.65,8.67,8.21
8.68,8.81,8.92,8.53
8.74,8.57,8.88,8.51
8.50,8.49,8.75,8.49
8.63,8.65,8.67,8.54
8.68,8.36,8.68,8.32
8.42,8.32,8.42,8.20
8.27,8.18,8.29,8.08
8.27,8.40,8.43,8.05
8.42,8.27,8.42,8.19
8.23,8.05,8.29,7.86
8.14,8.14,8.22,8.08
8.16,8.29,8.31,8.16
8.32,8.45,8.54,8.31
8.43,8.63,8.67,8.43
8.65,8.56,8.78,8.51
8.51,8.48,8.62,8.43
8.50,8.43,8.56,8.42
8.49,8.82,8.83,8.40
8.92,9.12,9.21,8.86
9.18,9.46,9.48,9.15
9.38,9.38,9.51,9.26
9.43,9.40,9.49,9.34
9.41,9.04,9.42,8.93
9.11,9.22,9.28,9.11
9.31,9.03,9.31,8.98
8.95,8.92,9.06,8.83
8.90,9.07,9.11,8.87
9.16,9.02,9.17,8.92
9.01,9.14,9.18,8.94
9.18,9.01,9.18,8.95
9.12,9.10,9.19,9.03
9.11,9.19,9.19,8.98
9.29,9.46,9.46,9.26
9.50,9.90,9.95,9.39
9.85,9.70,9.92,9.66
9.72,9.70,9.80,9.55
9.76,9.84,9.88,9.69
9.75,9.80,9.90,9.74
9.75,9.78,9.87,9.70
9.80,9.95,10.06,9.73
9.91,9.81,9.95,9.78
9.85,9.80,9.90,9.73
9.88,9.71,10.01,9.68
9.73,9.69,9.79,9.58
9.69,9.60,9.83,9.58
9.50,9.48,9.64,9.31
9.53,9.74,9.75,9.46
9.67,9.66,9.70,9.60
9.57,9.61,9.63,9.50
9.51,9.44,9.56,9.41
9.55,9.64,9.73,9.55
9.63,9.60,9.66,9.52
9.55,9.52,9.67,9.51
9.55,9.51,9.60,9.40
9.57,9.61,9.70,9.55
9.65,9.51,9.68,9.44
9.56,9.49,9.56,9.45
9.50,9.63,9.64,9.43
9.62,9.64,9.69,9.55
9.63,9.81,9.82,9.63
9.82,9.94,9.98,9.82
9.97,10.27,10.39,9.92
10.25,10.26,10.31,10.14
10.27,10.25,10.36,10.20
10.27,10.32,10.37,10.20
10.32,10.51,10.59,10.30
10.55,10.46,10.63,10.35
10.45,10.50,10.53,10.33
10.54,10.33,10.54,10.21
10.37,10.32,10.40,10.24
