IPE,SPDR Bloomberg Barclays TIPS ETF,NASDAQ
51.25,51.31,51.34,51.17
51.50,51.46,51.55,51.43
51.52,51.40,51.52,51.30
51.42,51.42,51.53,51.38
51.66,51.58,51.68,51.47
51.49,51.49,51.62,51.43
51.68,51.70,51.79,51.67
51.62,51.47,51.66,51.45
51.50,51.58,51.72,51.47
51.76,51.74,51.82,51.69
51.69,51.74,51.76,51.62
51.86,51.82,51.92,51.74
51.80,51.92,51.96,51.74
51.85,51.80,51.91,51.72
51.80,51.74,51.88,51.73
51.89,51.90,51.90,51.76
52.00,51.73,52.01,51.72
51.70,51.80,51.83,51.67
51.86,51.96,52.02,51.69
51.83,51.89,51.94,51.75
51.96,52.02,52.03,51.91
51.87,51.80,51.91,51.76
51.79,51.94,51.97,51.79
51.93,51.85,52.00,51.76
51.78,51.75,51.80,51.71
51.65,51.62,51.78,51.56
51.69,51.43,51.70,51.31
51.40,51.25,51.40,51.20
51.39,51.36,51.43,51.30
51.16,51.40,51.45,51.16
51.39,51.34,51.51,51.24
51.40,51.31,51.40,51.18
51.12,51.21,51.21,50.97
51.05,51.07,51.18,51.01
51.15,51.25,51.29,51.11
51.30,51.14,51.33,51.08
51.29,51.15,51.29,51.11
51.20,51.29,51.37,51.19
51.25,51.32,51.37,51.25
51.25,51.36,51.36,51.22
51.22,51.31,51.36,51.20
51.34,51.38,51.51,51.31
51.28,51.24,51.37,51.16
51.17,51.21,51.23,51.13
51.35,51.25,51.35,51.18
51.16,51.25,51.26,51.15
51.16,51.27,51.29,51.16
51.29,51.39,51.46,51.28
51.36,51.42,51.43,51.31
51.45,51.62,51.62,51.45
51.68,51.73,51.73,51.56
51.69,51.56,51.69,51.54
51.45,51.45,51.59,51.43
51.52,51.52,51.53,51.46
51.49,51.47,51.55,51.43
51.22,51.02,51.26,50.93
51.00,50.95,51.08,50.82
50.92,51.03,51.07,50.92
51.03,50.95,51.08,50.91
50.96,51.01,51.01,50.86
51.01,51.20,51.25,50.99
50.98,51.01,51.05,50.87
50.65,50.68,50.85,50.47
50.95,50.94,50.95,50.80
50.99,51.21,51.34,50.89
51.29,51.26,51.40,51.20
51.22,51.27,51.32,51.09
51.28,51.40,51.45,51.28
51.50,51.45,51.54,51.39
51.40,51.38,51.49,51.35
51.40,51.54,51.59,51.38
51.62,51.65,51.76,51.56
51.66,51.54,51.68,51.53
51.54,51.68,51.68,51.52
51.72,51.80,51.85,51.69
51.82,51.66,51.91,51.64
51.60,51.69,51.72,51.55
51.73,51.70,51.85,51.64
51.91,52.08,52.11,51.83
51.94,51.87,52.00,51.82
51.98,52.22,52.26,51.98
52.25,52.35,52.40,52.21
52.19,52.19,52.20,52.12
52.32,52.32,52.37,52.24
52.34,52.29,52.48,52.18
52.43,52.51,52.76,52.28
52.48,52.42,52.72,52.34
52.23,52.30,52.43,52.09
52.42,52.38,52.45,52.22
52.36,52.42,52.46,52.33
52.55,52.49,52.66,52.31
52.57,52.63,52.76,52.57
52.50,52.43,52.74,52.43
52.52,52.75,52.82,52.46
52.68,52.36,52.81,52.35
52.11,52.35,52.37,51.93
52.38,52.37,52.45,52.10
52.38,52.41,52.51,52.35
52.38,52.21,52.46,52.18
52.30,52.38,52.38,52.15
52.20,52.17,52.26,52.08
52.21,52.40,52.48,52.21
52.23,52.13,52.23,52.00
52.09,52.01,52.18,51.97
51.74,52.10,52.12,51.74
52.30,52.33,52.38,52.22
52.23,52.40,52.40,52.23
52.18,52.22,52.34,52.18
52.10,52.29,52.29,52.07
52.11,51.90,52.18,51.90
52.15,52.15,52.28,52.01
52.00,52.23,52.23,51.98
52.16,52.18,52.26,52.08
52.19,52.26,52.32,52.18
52.48,52.57,52.61,52.35
52.44,52.50,52.54,52.44
52.31,52.52,52.55,52.24
52.47,52.65,52.70,52.47
52.70,52.62,52.73,52.54
52.69,52.49,52.70,52.49
52.59,52.69,52.70,52.48
52.80,52.79,52.81,52.66
52.81,52.92,52.92,52.73
52.80,52.77,52.93,52.71
52.64,52.39,52.69,52.37
52.36,52.27,52.43,52.27
52.15,52.30,52.36,52.09
52.25,52.10,52.30,52.09
52.10,52.23,52.23,51.96
52.07,52.21,52.26,52.07
52.19,52.25,52.35,52.14
52.22,52.18,52.22,52.10
52.18,52.32,52.39,52.18
52.43,52.39,52.50,52.34
52.34,52.17,52.37,52.17
52.14,51.96,52.17,51.95
52.10,52.06,52.11,51.98
52.12,52.31,52.33,52.10
52.33,52.29,52.33,52.18
52.19,52.06,52.29,52.01
52.01,52.09,52.15,52.00
52.08,51.99,52.15,51.99
52.00,52.25,52.27,51.99
52.18,52.31,52.39,52.17
52.44,52.53,52.58,52.40
52.51,52.50,52.56,52.37
52.58,52.79,52.83,52.58
52.72,52.66,52.79,52.60
52.68,52.86,52.86,52.68
52.96,52.86,52.97,52.85
52.83,52.85,52.85,52.74
52.81,53.20,53.20,52.79
53.27,53.19,53.27,53.11
53.16,52.84,53.19,52.82
52.92,52.97,53.09,52.85
53.30,53.19,53.30,53.14
53.16,53.05,53.17,53.00
53.11,52.97,53.17,52.93
52.94,53.01,53.17,52.94
53.09,52.95,53.09,52.92
52.84,52.98,52.98,52.75
53.05,53.10,53.27,53.00
53.13,53.13,53.23,53.04
53.20,53.43,53.43,53.20
53.39,53.06,53.42,53.03
53.29,53.34,53.36,53.20
53.53,53.48,53.55,53.39
53.26,53.21,53.26,52.89
53.16,53.13,53.21,53.07
52.92,53.07,53.11,52.92
53.34,53.37,53.37,53.20
53.33,53.21,53.33,53.14
53.05,53.08,53.15,53.01
53.12,53.13,53.25,53.07
53.10,53.49,53.53,53.10
53.50,53.47,53.58,53.43
53.33,53.30,53.47,53.26
53.16,53.11,53.20,53.06
53.11,53.05,53.24,53.04
53.16,53.24,53.30,53.12
53.39,53.95,53.95,53.35
54.19,54.04,54.30,54.04
54.17,53.93,54.17,53.87
53.79,53.70,53.87,53.69
53.73,53.92,53.94,53.73
