ISHG,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fund,NASDAQ
104.60,104.64,104.87,104.35
105.14,104.70,105.14,104.45
104.74,104.80,104.90,104.34
104.08,104.15,104.24,104.03
104.55,104.91,104.91,104.26
105.10,105.55,105.69,105.10
105.71,105.56,105.97,105.38
105.83,105.76,105.83,105.67
105.80,105.96,105.96,105.68
105.33,105.25,105.44,105.19
105.04,104.73,105.04,104.73
104.17,103.84,104.17,103.69
103.78,104.11,104.11,103.29
104.29,104.30,104.30,104.29
103.87,103.89,104.30,103.87
104.09,104.01,104.19,103.74
104.09,103.57,104.32,103.57
103.50,103.21,103.50,103.11
102.95,102.65,102.95,102.41
102.95,102.65,102.95,102.47
103.07,103.15,103.22,102.91
102.79,102.31,102.80,102.30
102.29,102.09,102.29,101.67
101.96,101.27,101.96,101.08
101.44,101.46,101.88,101.44
102.16,102.25,102.31,101.66
102.27,102.23,102.29,102.00
101.81,101.99,102.23,101.52
101.45,101.79,101.79,101.45
101.56,102.46,102.46,101.49
101.73,101.57,102.04,101.26
101.60,101.33,101.60,101.00
100.89,101.15,101.15,100.29
101.16,101.08,101.33,100.98
101.11,101.07,101.35,101.06
101.36,101.26,101.69,101.26
101.48,101.78,101.80,101.07
101.56,102.18,102.20,101.56
101.68,101.73,101.73,101.31
101.57,101.88,102.14,101.57
102.49,102.58,102.85,102.18
102.42,102.00,102.46,102.00
101.72,101.49,101.85,101.49
101.96,101.85,101.96,101.53
101.43,101.49,101.79,101.25
101.58,101.62,102.00,101.58
101.82,101.71,101.95,101.50
102.40,102.49,102.53,102.14
102.00,102.02,102.02,101.92
102.52,102.72,102.72,102.20
102.41,102.77,102.93,102.41
102.22,101.71,102.29,101.71
101.46,101.46,101.59,101.08
101.00,101.50,101.51,100.88
101.40,101.42,101.55,101.04
100.15,100.12,100.24,99.93
99.82,99.42,100.00,99.42
99.62,100.33,100.33,99.62
100.37,100.43,100.77,100.27
100.73,100.62,100.73,100.51
100.82,101.04,101.13,100.82
100.54,101.00,101.23,100.54
100.60,100.28,100.75,100.17
100.09,100.12,100.18,99.54
100.09,100.15,100.21,99.69
100.16,100.13,100.30,100.07
100.23,100.72,100.72,100.23
100.91,101.31,101.31,100.91
101.27,101.43,101.66,100.88
101.54,101.87,101.89,101.38
101.27,101.45,101.51,100.96
100.88,100.98,101.14,100.85
100.44,101.00,101.00,100.44
100.52,100.68,100.76,100.52
100.11,100.14,100.46,100.11
99.82,99.86,99.89,99.59
99.41,99.99,99.99,99.07
99.47,99.52,99.52,99.07
99.19,98.40,99.19,98.40
98.26,98.24,98.66,97.99
98.67,98.73,98.98,98.64
99.11,98.95,99.22,98.79
99.09,98.50,99.09,98.45
97.62,97.35,97.89,97.34
96.10,96.47,96.82,95.95
96.28,95.96,96.31,95.64
95.62,96.00,96.27,95.61
97.75,97.13,98.09,96.75
96.60,96.89,96.98,96.59
96.46,96.79,96.84,96.46
95.90,95.74,96.24,95.74
96.09,95.00,96.09,95.00
94.97,94.97,95.15,94.75
95.16,94.26,95.35,94.02
94.61,94.68,95.08,94.51
95.50,95.89,96.26,95.06
96.25,96.21,96.62,96.06
95.34,95.50,95.63,95.24
94.54,95.02,95.06,94.53
94.75,94.40,94.78,94.40
94.82,95.15,95.43,94.34
95.00,94.60,95.44,94.28
94.54,94.97,95.16,94.50
94.31,94.44,94.64,93.91
94.05,94.27,94.27,94.05
93.42,93.49,93.49,93.42
93.07,92.90,93.07,92.71
92.74,93.25,93.27,92.74
93.69,93.51,93.69,93.51
93.92,94.15,94.37,93.92
94.01,93.89,94.05,93.89
94.89,94.67,95.05,94.67
95.21,95.20,95.34,95.12
94.88,95.19,95.30,94.88
95.50,95.87,95.92,95.50
95.51,95.76,95.76,95.51
95.78,95.61,95.78,95.61
95.39,95.35,95.54,95.26
95.34,95.38,95.76,95.02
95.38,96.13,96.13,95.35
95.79,95.94,95.98,95.72
95.64,95.64,95.98,95.53
95.43,95.24,95.54,95.24
95.62,95.27,95.83,95.27
96.11,96.94,96.98,96.11
97.20,97.30,97.49,97.20
97.35,97.67,97.93,97.35
97.49,98.05,98.13,97.49
97.64,97.95,97.96,97.64
97.39,97.82,97.82,97.39
97.52,97.40,97.52,97.40
97.57,98.23,98.23,97.57
98.29,98.53,98.53,98.29
98.94,99.40,99.49,98.94
99.63,99.59,99.97,99.59
99.66,99.88,99.88,99.59
99.27,99.44,99.59,98.97
99.15,98.90,99.20,98.90
99.58,99.76,99.76,99.57
99.19,99.73,99.73,99.09
99.89,99.89,99.89,99.78
99.96,99.65,99.98,99.65
100.09,99.99,100.09,99.99
100.49,100.45,100.53,100.45
100.67,100.86,100.86,100.67
100.87,101.54,101.54,100.87
101.95,101.87,102.15,101.75
101.98,101.36,101.98,101.21
101.52,101.57,101.83,101.52
102.16,102.47,102.61,102.16
102.14,102.01,102.26,101.86
101.21,101.79,101.79,101.19
100.55,100.20,100.55,100.14
99.66,100.11,100.12,99.66
99.60,99.60,99.88,99.60
100.35,100.02,100.36,100.00
100.14,100.26,100.42,100.12
100.21,100.55,100.55,100.21
100.57,100.05,100.57,100.05
99.40,99.34,99.40,99.03
99.59,99.61,99.61,99.34
100.02,99.59,100.02,99.59
99.14,99.35,99.67,99.12
99.60,99.75,99.79,99.54
99.73,99.92,100.10,99.73
99.87,99.71,99.87,99.51
100.01,99.89,100.01,99.72
100.58,100.59,100.59,100.58
100.28,100.59,100.59,100.28
100.68,100.93,100.93,100.68
100.61,100.06,100.61,100.06
100.17,100.25,100.48,100.17
100.35,100.12,100.39,100.12
100.26,100.26,100.26,100.20
100.96,101.28,101.28,100.89
101.24,101.96,102.26,101.24
101.46,101.17,101.58,101.17
101.77,101.57,101.77,101.32
101.50,101.50,101.50,101.44
101.40,101.65,101.65,101.37
102.08,102.79,102.82,101.89
103.61,103.50,103.91,103.40
103.45,103.45,103.45,103.29
104.00,104.29,104.29,103.88
104.31,104.13,104.31,103.89
104.09,104.51,104.78,103.95
104.69,104.80,105.05,104.68
105.46,105.17,105.46,104.83
105.68,105.64,105.82,105.52
105.45,105.52,105.58,105.34
106.00,106.28,106.31,106.00
106.35,106.76,107.00,106.35
107.08,106.59,107.12,106.53
107.06,107.05,107.49,107.05
107.11,107.06,107.11,106.88
106.86,107.29,107.35,106.68
107.23,107.55,107.65,107.23
108.17,107.82,108.17,107.74
108.31,107.69,108.31,107.39
107.39,107.70,107.79,107.31
106.21,106.26,106.64,106.21
107.14,107.54,107.54,107.14
107.54,107.30,107.92,107.13
106.93,107.23,107.23,106.93
107.77,107.76,107.96,107.46
106.96,106.83,106.98,106.77
106.44,105.75,106.44,105.75
106.96,106.82,107.11,106.82
107.00,107.10,107.15,106.85
106.84,106.68,106.95,106.66
107.32,107.57,107.57,107.32
107.45,107.47,107.52,107.41
108.79,108.29,108.79,108.29
107.49,107.55,107.93,107.49
107.05,106.99,107.05,106.99
107.00,105.87,107.00,105.87
105.44,105.98,105.98,104.94
105.18,104.97,105.18,104.68
105.14,105.24,105.38,105.04
105.00,104.71,105.03,104.45
104.15,103.68,104.15,103.62
103.81,103.68,104.18,103.68
104.54,104.19,104.54,104.04
104.59,104.69,104.69,104.21
104.63,104.61,104.66,104.45
103.86,103.26,103.86,103.26
103.30,103.22,103.39,103.15
102.18,102.48,102.48,102.18
101.38,101.58,101.68,101.28
100.91,101.21,101.59,100.91
101.47,101.38,101.60,101.18
101.94,102.52,102.58,101.94
103.56,103.80,103.80,103.54
103.00,103.51,103.51,103.00
103.60,102.98,103.60,102.98
102.45,102.58,102.77,102.39
102.72,102.56,102.72,102.23
102.07,102.34,102.52,102.07
102.73,103.75,103.75,102.73
103.16,103.31,103.68,103.16
102.88,102.18,102.88,102.18
102.00,102.28,102.50,101.94
102.27,102.00,102.35,101.77
103.00,102.11,103.00,102.07
102.08,101.68,102.24,101.68
101.81,102.05,102.16,101.81
102.11,102.15,102.46,102.11
102.38,102.61,102.67,102.32
103.01,102.62,103.01,102.46
103.23,103.21,103.47,103.21
103.82,103.48,103.82,103.48
104.55,104.21,104.65,104.02
103.87,104.25,104.43,103.84
104.25,103.85,104.25,103.59
102.68,102.65,106.00,102.43
102.65,101.68,102.65,101.68
101.70,101.66,101.93,101.37
101.66,101.93,101.99,101.35
101.65,101.91,101.95,101.50
102.16,102.95,103.02,102.16
103.86,103.72,104.16,103.54
103.64,103.81,104.06,103.64
104.25,104.16,104.25,103.89
104.91,104.91,104.91,104.91
