ISRG,Intuitive Surgical,NASDAQ
307.20,308.77,309.09,305.80
308.01,307.38,309.92,304.00
305.45,311.84,312.79,305.45
310.72,310.67,314.00,309.42
310.67,308.96,312.70,308.49
308.96,311.29,312.50,307.40
309.37,304.39,309.66,302.78
305.60,306.04,308.17,301.29
305.76,308.00,309.75,305.46
308.90,308.58,310.00,305.29
307.00,310.81,317.20,307.00
312.10,308.99,312.54,302.89
308.80,304.49,311.99,301.65
328.75,340.35,346.29,328.51
340.64,338.51,342.63,337.00
334.66,335.45,340.00,333.11
333.62,339.21,339.94,333.52
337.42,335.01,340.95,333.34
335.08,328.06,337.00,326.87
328.36,328.65,331.21,323.73
328.46,335.59,337.88,326.63
334.00,332.24,337.09,331.11
332.24,321.20,333.71,321.20
321.75,325.41,326.45,315.52
325.50,323.95,328.69,321.96
328.00,326.84,329.74,324.14
326.84,321.95,327.41,318.11
320.79,329.77,330.00,320.66
326.01,331.82,332.95,324.50
333.48,334.30,335.29,330.40
336.77,341.15,341.18,335.51
340.95,344.75,344.90,339.16
342.18,346.52,349.50,342.18
348.99,346.99,349.24,344.02
347.49,342.68,349.00,341.66
343.29,344.21,345.27,341.01
339.70,343.81,344.14,335.47
345.18,347.14,349.00,341.68
349.98,358.63,359.15,349.08
357.80,361.30,366.50,355.77
363.37,362.80,367.00,361.02
358.36,354.49,359.48,350.50
353.10,358.40,359.64,352.51
356.62,355.97,359.25,355.62
353.66,355.66,358.88,352.25
356.00,357.44,360.00,354.58
357.00,357.80,358.68,354.00
357.92,358.90,362.30,355.76
357.50,356.00,361.99,353.74
357.69,355.51,358.55,354.15
356.50,356.18,359.00,354.23
356.68,353.59,357.49,352.69
356.70,349.18,360.00,347.19
346.00,347.80,349.98,340.68
348.53,348.97,349.77,344.22
349.11,346.12,349.31,343.43
347.37,342.06,347.69,341.48
342.06,342.00,345.20,338.52
342.10,347.79,348.50,340.20
349.43,348.91,351.00,341.90
348.80,348.13,350.00,345.05
351.79,349.60,352.34,345.97
352.50,345.80,353.99,344.50
344.84,343.30,346.00,342.90
344.00,333.37,344.50,331.80
331.26,340.10,340.66,330.05
342.00,350.62,351.14,340.26
352.75,354.21,354.50,350.59
354.38,367.43,369.80,354.01
370.00,383.95,384.55,369.02
385.09,388.01,393.92,378.81
379.00,360.39,392.99,359.87
360.59,361.98,369.69,355.20
363.98,366.68,368.74,362.71
364.78,365.98,370.71,362.00
364.00,368.73,373.66,360.50
369.33,364.98,370.89,363.76
364.89,362.17,366.94,358.48
360.00,357.80,367.25,356.20
360.02,360.09,362.71,359.00
361.51,368.38,371.66,361.00
368.01,360.56,371.53,360.56
363.00,372.22,373.06,362.30
368.91,361.72,369.50,359.01
351.70,346.94,353.98,341.10
345.97,337.29,349.66,314.15
336.01,324.32,337.99,311.39
341.00,344.44,345.96,338.06
341.19,344.79,347.50,338.00
348.00,354.50,356.31,347.01
355.90,350.81,358.88,350.00
348.52,340.12,349.71,336.16
342.98,341.10,343.89,334.37
344.58,332.48,345.81,331.80
330.35,328.77,335.80,322.39
321.19,311.90,322.85,310.64
305.01,321.08,321.80,301.05
323.55,316.36,325.05,315.27
310.90,319.16,320.25,304.61
322.06,317.47,333.83,306.60
324.63,330.45,330.76,321.00
330.60,322.77,331.11,320.60
330.50,324.17,330.50,317.57
325.47,334.12,334.12,323.26
334.34,337.38,340.00,334.13
331.73,324.67,333.46,324.09
326.30,321.03,327.65,320.27
321.36,322.63,324.46,316.49
325.42,321.22,328.43,320.47
327.16,330.95,331.38,322.14
326.59,337.11,337.74,326.59
332.00,327.40,333.58,325.81
327.70,333.41,333.81,324.92
331.60,334.43,336.55,330.59
337.79,340.33,341.07,334.00
340.43,349.90,350.82,338.01
356.12,351.29,358.89,349.14
352.98,345.09,356.89,343.77
344.70,338.42,344.94,336.00
335.82,331.91,339.38,330.71
332.44,337.42,337.83,330.01
338.45,335.60,339.97,331.05
330.00,324.85,330.17,317.81
325.54,315.62,328.83,315.05
315.75,312.07,317.98,301.66
312.53,309.90,314.34,306.46
313.35,314.94,321.15,312.30
315.95,322.22,322.97,314.71
326.33,321.25,328.45,318.00
322.00,318.89,323.15,316.73
317.73,317.47,319.73,315.75
320.05,329.62,331.75,319.01
330.03,337.77,341.05,330.03
338.70,335.67,340.12,332.23
335.46,324.61,336.58,323.96
326.00,323.08,327.48,320.65
318.75,326.09,326.96,318.00
327.30,316.10,329.94,314.00
308.24,316.98,324.20,306.81
315.95,334.37,334.86,315.93
333.34,340.51,344.59,333.20
343.00,335.46,344.72,332.10
336.12,330.07,337.92,328.35
333.00,327.25,334.02,322.28
323.15,328.37,333.44,322.70
333.29,336.81,338.12,332.00
336.04,334.64,337.74,332.95
335.02,335.35,337.56,333.92
334.31,334.92,335.63,330.41
332.88,332.16,334.40,326.13
333.03,331.42,334.72,329.18
327.25,327.63,329.68,322.82
321.23,317.00,325.29,314.52
312.08,317.00,320.12,311.00
316.67,315.70,318.61,314.10
311.27,309.35,316.72,308.69
313.25,316.92,317.71,309.69
315.49,314.05,317.52,312.03
312.03,306.50,313.01,303.93
304.84,293.50,306.90,292.00
294.25,282.94,298.75,282.04
275.49,269.12,277.78,265.56
271.61,276.40,278.86,269.55
278.25,267.96,280.00,267.96
269.00,273.07,273.33,262.01
271.25,268.35,273.66,266.64
265.52,265.03,269.65,262.62
271.21,274.06,275.99,265.75
273.99,277.32,277.65,271.25
280.00,281.18,284.93,278.00
279.04,278.02,282.42,277.14
278.84,280.22,283.65,278.70
284.00,282.86,285.98,280.22
283.81,280.03,283.81,278.50
282.37,279.36,283.61,278.04
277.79,285.91,287.65,276.10
281.41,293.74,295.32,281.41
293.46,292.25,294.19,289.26
294.53,295.77,301.42,293.03
297.40,306.34,307.44,297.00
309.04,305.14,310.81,303.86
304.67,301.20,310.43,300.66
298.17,299.05,303.80,297.13
303.68,305.58,306.20,300.57
298.35,290.26,298.62,288.22
290.30,290.03,292.66,284.41
288.71,286.98,293.87,285.54
292.00,283.74,292.00,282.00
286.51,289.61,291.07,284.27
288.60,283.25,289.55,280.35
286.22,292.89,293.76,283.07
291.89,292.88,294.99,288.74
293.50,287.16,293.55,285.69
288.10,289.82,291.14,285.27
288.02,290.50,293.45,288.02
290.29,286.63,292.00,286.00
288.01,275.70,289.41,275.66
276.03,274.17,276.40,270.48
277.03,279.81,281.59,271.25
280.00,285.59,286.91,278.45
283.14,279.04,283.14,275.16
263.31,259.45,263.31,255.10
262.48,256.84,262.48,255.21
256.84,265.84,268.38,255.75
269.31,265.80,269.50,263.76
262.14,263.93,266.79,260.57
261.00,260.89,262.00,256.20
261.38,262.77,264.36,260.24
261.88,262.95,264.70,261.09
264.24,262.01,266.74,260.43
262.44,266.26,267.25,262.08
266.75,269.98,270.21,264.57
274.77,275.80,276.75,274.00
276.90,278.27,279.00,275.77
276.76,277.10,278.75,275.95
278.08,277.96,280.74,276.03
278.10,277.07,279.86,272.50
274.62,273.21,275.77,270.01
272.12,267.68,272.33,265.15
269.37,268.20,270.35,265.00
265.70,262.56,269.44,260.12
263.19,262.42,266.00,261.40
264.87,260.14,266.75,259.51
259.49,247.50,260.12,246.05
247.51,254.99,256.47,247.12
251.74,251.28,254.05,250.29
253.00,257.08,259.50,252.13
255.00,254.84,258.11,252.76
253.23,254.45,256.16,250.40
251.61,260.29,262.39,250.59
261.44,266.31,267.76,261.23
267.57,268.43,269.73,267.04
267.20,271.32,272.00,267.20
271.00,270.19,271.97,267.79
273.00,260.65,273.97,260.30
261.05,260.05,263.67,257.85
260.60,260.50,262.34,259.37
260.89,260.07,261.99,258.17
260.00,254.70,261.40,253.25
254.99,260.00,261.33,254.78
258.69,256.26,260.49,254.00
256.50,263.25,263.54,255.08
264.50,265.76,269.05,263.71
266.32,270.55,270.88,265.86
271.31,266.86,271.99,264.25
267.70,266.01,269.49,265.25
265.27,263.22,266.74,262.32
262.95,262.34,264.00,260.64
262.14,260.60,262.97,260.17
260.50,259.39,262.50,258.30
258.84,256.96,258.98,256.59
256.91,257.75,259.15,255.02
261.80,269.00,271.42,261.80
271.42,271.70,272.91,270.12
270.12,273.63,275.00,268.02
274.86,268.68,274.86,267.50
268.33,267.40,269.97,265.13
266.57,271.58,272.22,265.55
272.58,280.99,284.38,272.03
283.93,282.21,284.80,278.49
281.99,279.11,281.99,277.50
279.54,288.28,288.95,279.10
289.00,296.32,297.01,288.46
296.59,290.45,296.59,288.91
288.06,289.83,290.92,282.32
323.18,326.58,334.39,321.68
326.48,327.99,334.00,324.12
324.48,330.93,331.85,322.25
327.53,338.06,338.86,327.35
337.75,334.17,337.85,333.75
335.39,327.93,335.94,325.95
327.38,322.91,329.37,322.03
324.98,332.58,337.90,324.33
331.33,327.79,332.55,326.57
326.60,330.48,331.28,325.00
330.07,331.26,332.70,327.03
329.92,333.42,334.86,329.00
334.10,333.93,337.97,332.51
335.70,333.55,337.41,332.22
330.57,337.20,338.00,329.07
335.54,345.27,346.79,334.03
344.86,344.31,344.97,340.63
341.63,341.19,344.26,339.77
341.19,339.99,344.89,338.43
339.99,340.99,341.91,335.00
340.98,340.92,343.41,339.07
337.65,331.11,340.58,328.75
329.19,327.14,331.93,321.96
325.77,328.01,328.51,324.58
328.64,334.93,338.00,328.21
335.53,327.95,337.75,325.99
330.61,319.81,330.79,318.60
318.91,322.81,323.76,316.63
327.51,331.72,332.50,325.45
329.63,332.04,332.55,325.64
332.49,329.59,333.52,325.69
328.66,331.73,333.38,325.85
330.80,330.21,333.26,326.40
327.28,324.91,332.07,323.56
323.54,325.43,327.41,321.01
322.45,327.79,328.97,321.76
323.52,326.20,327.50,317.56
324.14,319.24,326.22,315.01
323.42,321.04,326.00,319.55
322.64,316.90,324.93,315.86
320.87,325.10,326.00,319.81
326.00,323.91,328.56,322.31
322.85,320.93,325.00,317.01
323.19,330.50,330.55,321.55
331.96,329.82,334.56,328.42
331.40,330.38,333.72,330.23
330.25,335.29,336.15,327.35
337.59,338.21,338.80,334.90
338.15,333.46,339.56,333.46
336.02,344.84,350.97,336.02
346.16,346.75,351.48,345.02
