ITR,SPDR Bloomberg Barclays Intermediate Term Corporate Bond ETF (based on Barclays Capital Intermediate U.S. Corporate Index symbol LD06TRUU,NASDAQ
31.77,31.73,31.77,31.57
31.76,31.74,31.90,31.68
31.73,31.86,31.93,31.72
31.87,31.86,31.89,31.82
31.98,31.94,31.98,31.76
31.96,31.99,32.01,31.81
32.05,32.02,32.05,31.96
32.05,32.00,32.05,31.96
32.00,32.01,32.03,31.90
32.05,32.04,32.08,31.93
31.97,32.00,32.01,31.96
32.03,32.05,32.06,31.92
32.13,32.08,32.14,32.02
32.06,32.08,32.10,31.98
32.00,32.13,32.13,31.94
32.14,32.11,32.14,32.01
32.11,32.06,32.11,32.00
32.08,32.10,32.10,32.05
32.02,32.21,32.22,31.97
32.03,32.06,32.08,31.86
32.04,32.05,32.05,31.92
32.01,32.00,32.09,31.89
31.95,32.07,32.07,31.89
32.09,32.12,32.17,31.99
32.07,32.06,32.07,32.03
32.07,32.04,32.10,32.00
32.03,31.97,32.03,31.92
31.94,31.94,31.95,31.89
31.93,31.99,32.00,31.92
32.00,31.99,32.00,31.89
31.88,31.99,32.06,31.88
31.98,31.92,31.98,31.83
31.91,31.97,31.99,31.87
31.96,32.01,32.05,31.89
31.95,32.13,32.13,31.95
32.09,32.14,32.18,32.00
32.15,32.16,32.17,32.13
32.24,32.18,32.28,32.06
32.13,32.12,32.18,31.94
32.19,32.22,32.22,32.13
32.17,32.22,32.24,32.14
32.17,32.24,32.24,32.16
32.16,32.21,32.21,32.13
32.11,32.19,32.20,32.11
32.20,32.20,32.26,32.17
32.17,32.24,32.27,32.17
32.09,32.16,32.19,32.09
32.14,32.20,32.26,32.06
32.19,32.22,32.22,32.10
32.27,32.27,32.30,32.15
32.27,32.34,32.35,32.23
32.24,32.35,32.40,32.23
32.37,32.37,32.41,32.27
32.41,32.46,32.46,32.30
32.48,32.47,32.51,32.33
32.37,32.14,32.38,32.11
32.21,32.22,32.28,32.12
32.14,32.31,32.32,32.12
32.15,32.25,32.35,32.15
32.15,32.30,32.33,32.15
32.39,32.30,32.40,32.23
32.12,32.21,32.25,32.11
32.05,32.10,32.11,31.94
32.21,32.04,32.21,32.03
32.03,32.14,32.19,32.03
32.24,32.22,32.28,32.20
32.11,32.21,32.28,32.11
32.19,32.32,32.33,32.19
32.37,32.29,32.37,32.24
32.29,32.24,32.42,32.24
32.39,32.44,32.44,32.35
32.42,32.50,32.59,32.42
32.40,32.49,32.52,32.40
32.39,32.50,32.50,32.39
32.44,32.48,32.54,32.44
32.47,32.49,32.58,32.47
32.38,32.45,32.46,32.38
32.48,32.44,32.51,32.34
32.44,32.42,32.53,32.35
32.45,32.47,32.51,32.36
32.41,32.43,32.46,32.40
32.48,32.54,32.56,32.37
32.42,32.32,32.42,32.32
32.39,32.45,32.45,32.35
32.47,32.53,32.60,32.46
32.49,32.76,32.76,32.35
32.38,32.18,32.51,32.05
32.24,32.55,32.72,32.24
32.35,32.24,32.39,32.18
32.29,32.39,32.40,32.26
32.40,32.37,32.41,32.31
32.41,32.45,32.51,32.40
32.37,32.44,32.52,32.37
32.41,32.44,32.56,32.41
32.36,32.52,32.59,32.36
32.50,32.56,32.56,32.45
32.62,32.48,32.62,32.40
32.44,32.51,32.54,32.40
32.42,32.43,32.46,32.26
32.38,32.45,32.46,32.31
32.32,32.27,32.34,32.18
32.30,32.29,32.36,32.22
32.29,32.25,32.36,32.16
32.25,32.16,32.30,32.09
32.07,32.20,32.30,32.05
