ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),NASDAQ
23.02,23.61,23.79,23.02
23.61,23.69,23.70,23.35
23.58,23.40,23.58,23.23
23.23,22.88,23.30,22.80
22.99,22.77,23.12,22.56
22.94,22.48,22.94,22.09
22.32,22.00,22.49,21.92
22.51,21.98,22.56,21.80
21.99,21.65,22.27,21.50
21.78,21.12,21.88,20.98
21.26,21.30,21.58,21.09
20.83,20.54,20.90,20.04
20.52,19.86,20.68,19.71
19.80,19.63,20.14,19.37
19.91,19.67,20.15,19.51
19.34,19.53,19.94,19.03
19.27,19.44,19.58,19.05
19.68,19.54,19.83,19.08
19.93,19.16,19.97,18.89
19.45,20.12,20.12,19.37
20.35,20.50,20.59,19.99
20.35,20.07,20.35,19.87
19.59,19.01,19.63,18.78
18.90,18.57,19.11,17.86
18.58,18.54,18.91,18.36
19.26,19.62,19.81,19.10
19.64,19.66,19.82,19.38
19.46,20.15,20.24,19.30
19.47,20.05,20.06,19.40
20.57,20.43,20.57,20.09
20.70,20.69,20.81,20.41
20.49,20.85,21.00,20.43
20.46,20.77,20.94,20.46
20.67,20.33,20.88,20.28
19.97,19.67,20.13,19.46
19.78,19.50,19.86,19.45
18.91,19.56,19.78,18.89
19.59,19.96,20.03,19.38
20.20,20.39,20.46,20.20
20.63,20.76,20.86,20.55
20.95,20.73,21.27,20.60
20.92,20.74,21.01,20.52
20.94,21.02,21.07,20.79
21.09,20.88,21.19,20.81
20.70,21.31,21.49,20.59
21.32,21.38,21.75,21.24
21.20,21.56,21.57,21.09
21.75,21.29,21.75,21.18
21.20,21.32,21.43,21.00
21.33,21.43,21.57,21.19
21.64,21.11,21.69,21.05
20.99,20.81,21.04,20.55
20.49,20.49,20.91,20.33
20.28,20.88,20.92,20.21
21.06,20.94,21.07,20.69
20.53,20.33,20.77,20.28
20.55,20.33,20.82,20.32
20.41,20.58,20.65,20.29
20.84,21.28,21.32,20.81
21.42,21.46,21.52,21.22
21.54,21.99,22.09,21.54
22.19,22.41,22.50,22.00
22.35,22.55,22.68,22.30
22.29,22.38,22.59,22.23
22.33,21.92,22.33,21.77
21.82,22.59,22.71,21.71
22.48,22.74,22.80,22.45
22.80,22.52,22.80,22.49
22.62,22.48,22.65,22.27
22.51,22.50,22.90,22.44
22.60,22.62,22.97,22.56
22.43,21.88,22.50,21.60
21.71,21.55,21.93,21.27
21.77,21.74,21.89,21.49
21.73,21.39,21.87,21.00
21.37,21.55,21.62,21.02
21.39,21.50,21.58,21.19
21.62,21.51,21.79,21.42
21.28,20.56,21.31,20.53
21.01,21.06,21.15,20.50
21.41,21.71,21.90,21.25
21.79,21.68,22.20,21.61
21.84,21.81,22.10,21.59
21.36,20.79,21.41,20.76
20.42,20.55,20.94,20.07
20.22,19.71,20.67,18.35
19.66,19.61,19.80,18.58
21.05,21.30,21.34,20.81
20.83,20.83,21.34,20.62
21.07,20.89,21.24,20.79
20.84,20.57,20.99,20.53
20.22,20.00,20.30,19.66
20.08,19.74,20.34,19.19
20.25,19.25,20.57,19.13
18.24,18.19,18.31,17.65
17.64,17.56,18.08,17.15
17.34,18.20,18.23,17.13
18.05,17.45,18.29,17.39
16.81,17.10,17.38,16.33
17.71,17.64,18.01,17.26
18.47,18.61,18.61,18.14
18.38,18.41,18.58,18.16
18.64,18.53,19.06,18.19
18.61,19.26,19.26,18.48
19.25,19.02,19.42,18.76
18.63,18.25,18.71,18.16
18.36,17.67,18.37,17.59
17.74,18.30,18.34,17.50
18.51,18.06,18.62,18.04
18.62,19.05,19.11,18.58
18.71,19.27,19.33,18.71
19.59,18.99,19.59,18.95
19.17,19.69,19.74,19.09
19.38,19.71,19.86,19.28
19.80,19.62,19.95,19.38
19.61,19.71,19.93,19.57
20.21,19.93,20.35,19.79
20.00,19.62,20.20,19.57
19.56,19.72,19.76,19.17
19.59,19.19,19.59,18.99
19.23,19.42,19.43,18.85
19.49,19.39,19.61,19.16
18.82,18.21,18.85,18.11
18.43,18.01,18.68,17.94
18.37,18.90,18.94,17.93
18.98,19.21,19.34,18.76
19.25,19.20,19.41,18.93
19.29,20.53,20.59,19.29
20.59,21.16,21.28,20.57
21.12,21.52,21.66,20.99
21.29,21.08,21.64,20.89
21.31,21.33,21.50,21.18
21.09,21.04,21.31,20.86
21.04,20.91,21.16,20.57
20.93,20.21,20.93,20.17
20.36,20.60,20.74,20.27
20.50,21.07,21.18,20.40
21.21,20.80,21.25,20.66
21.22,21.70,21.75,21.17
21.54,21.93,21.93,21.52
21.89,21.89,21.99,21.67
22.02,21.87,22.20,21.80
21.99,22.42,22.56,21.80
22.50,22.30,22.61,22.00
22.08,22.39,22.57,21.96
22.71,22.80,22.86,22.54
22.22,21.93,22.22,21.82
21.94,21.63,21.98,21.37
21.66,21.66,21.88,21.58
21.61,21.83,21.97,21.56
22.04,21.96,22.14,21.90
21.73,21.84,21.98,21.60
21.39,21.14,21.42,20.87
20.85,21.28,21.33,20.82
21.27,21.39,21.55,21.21
21.36,21.67,21.67,21.30
21.72,21.73,21.83,21.66
21.76,21.77,21.80,21.55
21.66,21.36,21.86,21.29
21.24,21.40,21.42,21.09
21.44,21.10,21.61,21.10
20.87,20.80,20.90,20.51
20.69,20.67,20.74,20.26
20.83,20.29,20.87,20.24
20.49,21.13,21.13,20.27
21.06,20.80,21.12,20.71
21.09,21.57,21.59,21.05
21.88,21.90,22.17,21.72
21.83,21.92,22.01,21.71
22.23,21.85,22.33,21.78
21.63,21.61,21.87,21.54
21.71,21.78,21.94,21.69
21.92,21.64,22.04,21.59
21.76,21.67,21.81,21.59
22.07,22.58,22.59,22.03
22.74,22.99,23.13,22.63
22.84,22.88,22.90,22.60
22.83,22.78,22.87,22.64
22.79,22.67,23.07,22.44
22.75,22.73,22.87,22.59
22.60,22.48,22.67,22.32
22.73,22.79,23.04,22.63
22.70,22.84,23.26,22.64
22.83,22.75,23.11,22.56
22.64,22.81,23.01,22.56
22.92,23.29,23.30,22.80
23.06,23.55,23.64,23.06
23.85,24.18,24.18,23.72
24.27,24.58,24.64,24.24
24.39,24.48,24.49,24.26
24.68,25.24,25.47,24.51
25.23,24.98,25.38,24.90
25.25,24.93,25.27,24.67
25.00,25.59,25.74,25.00
25.67,25.57,25.83,25.41
25.56,25.60,25.62,25.24
25.73,26.05,26.23,25.68
25.90,25.56,26.00,25.34
25.81,25.84,25.84,25.41
25.41,26.14,26.15,25.41
25.39,25.20,25.67,24.98
25.26,25.67,25.95,25.24
25.57,25.05,25.92,24.89
25.34,25.15,25.50,25.08
25.41,25.46,25.70,25.32
25.33,25.26,25.35,25.09
24.97,24.38,25.18,24.31
24.59,24.40,24.72,24.32
24.53,24.56,24.65,24.43
24.81,25.07,25.16,24.76
25.26,25.34,25.51,24.81
25.26,25.38,25.51,25.10
25.53,26.26,26.26,25.49
26.07,26.24,26.30,25.91
25.91,26.08,26.20,25.85
25.97,25.10,26.09,24.97
25.30,25.17,25.47,24.78
24.91,24.91,25.02,24.71
24.61,24.61,24.91,24.33
24.69,24.72,24.97,24.48
24.50,23.82,24.54,23.65
23.94,24.05,24.27,23.93
24.52,24.69,24.90,24.41
24.63,24.67,24.86,24.18
24.46,24.33,24.60,23.97
23.92,23.38,23.93,23.23
23.92,23.97,24.31,23.82
23.44,23.37,23.65,23.25
23.20,23.42,23.49,22.90
23.17,23.33,23.57,22.71
23.81,23.80,24.03,23.65
23.90,24.18,24.19,23.83
23.66,23.78,23.98,23.55
23.52,23.54,23.63,23.36
23.98,23.57,24.07,23.51
23.54,23.20,23.57,22.92
23.06,22.77,23.13,22.56
22.65,22.85,22.86,22.47
22.77,23.10,23.18,22.68
22.75,23.16,23.17,22.67
23.00,22.66,23.03,22.60
22.66,22.75,22.78,22.52
22.59,22.89,22.92,22.50
22.97,22.49,23.00,22.49
22.80,23.03,23.23,22.79
22.98,23.54,23.54,22.93
23.41,23.50,23.75,23.40
23.33,23.27,23.52,23.24
23.25,23.05,23.31,23.02
23.36,23.90,23.93,23.33
24.02,24.01,24.20,23.88
24.16,24.01,24.26,23.78
24.39,24.53,24.61,24.26
24.53,24.39,24.60,24.07
24.35,24.43,24.77,24.26
24.16,23.71,24.28,23.71
23.84,23.10,23.89,23.04
22.94,23.31,23.37,22.63
23.55,23.71,23.74,23.45
23.92,24.26,24.33,23.77
24.26,23.96,24.43,23.86
23.84,23.81,23.96,23.60
23.55,23.46,23.58,23.27
23.31,23.08,23.35,23.03
