IYM,iShares U.S. Basic Materials ETF,NASDAQ
60.45,61.89,61.90,60.45
62.03,62.42,62.53,61.85
62.47,63.59,63.88,62.46
63.26,63.24,63.41,62.62
63.20,64.12,64.17,62.93
65.23,63.95,65.30,63.62
63.04,62.71,63.39,62.05
62.75,63.30,63.33,61.86
63.16,62.70,63.49,62.50
62.51,62.03,62.71,61.80
62.04,63.20,63.21,61.97
62.56,62.16,62.56,61.29
61.95,59.27,61.97,59.22
58.82,57.94,59.90,57.79
58.70,58.50,59.24,58.35
57.79,57.85,59.04,57.56
57.70,57.41,58.19,56.22
57.87,56.28,57.98,55.76
56.68,54.75,57.34,54.70
55.39,57.29,57.29,55.36
57.58,57.46,57.75,56.57
57.22,57.00,58.05,56.78
56.13,54.47,56.20,54.43
54.45,55.46,55.55,53.35
55.45,54.46,55.97,54.45
55.42,56.12,56.56,55.11
55.93,55.81,56.39,55.04
55.87,57.09,57.23,55.58
56.24,57.29,57.38,55.76
58.24,58.80,58.93,58.11
59.22,58.95,59.39,58.37
58.65,59.59,59.71,58.58
59.24,59.91,60.28,59.13
60.35,59.81,60.45,59.56
59.53,58.31,59.66,58.10
58.38,58.49,59.06,58.13
57.56,58.84,58.86,57.01
58.94,58.89,59.09,58.17
59.35,60.12,60.16,58.98
60.65,61.00,61.51,60.58
61.48,61.51,62.21,61.26
61.54,61.56,61.90,61.05
62.18,62.72,62.99,62.04
62.98,62.58,63.20,62.36
62.06,62.37,62.90,61.99
62.42,62.40,63.05,61.91
62.05,62.56,62.66,61.60
63.03,63.19,63.50,62.83
62.88,62.69,62.94,62.18
63.04,63.75,63.81,63.04
63.99,64.14,64.68,63.92
64.29,63.44,64.57,63.38
62.47,62.47,63.93,62.37
61.62,63.27,63.33,61.53
63.23,64.14,64.18,62.98
63.72,64.03,64.42,63.52
64.46,62.49,64.55,62.40
62.87,63.01,63.61,62.46
63.35,63.87,64.18,63.35
64.12,63.94,64.41,63.40
63.78,63.57,64.25,63.46
64.22,64.77,64.85,64.15
65.22,65.90,65.90,64.91
65.66,66.12,66.35,65.52
66.08,65.76,66.41,65.40
65.31,65.87,65.90,65.00
66.03,66.08,66.22,65.67
66.21,65.89,66.38,65.67
65.80,65.71,65.89,65.15
66.07,66.30,66.40,65.69
66.20,66.16,66.48,65.99
65.84,64.70,66.07,64.25
64.22,64.47,64.61,63.24
64.95,64.69,65.23,64.44
64.78,64.62,64.94,63.80
64.04,65.08,65.10,63.34
65.20,66.18,66.18,65.05
66.42,66.16,66.88,66.05
65.99,64.03,66.12,63.87
64.52,64.76,65.06,63.98
65.34,65.40,65.72,65.06
65.64,64.03,65.87,63.94
64.27,64.03,64.46,63.13
63.04,61.48,63.10,61.07
60.52,60.93,61.99,59.96
60.55,59.09,61.80,55.41
59.19,58.19,60.05,57.18
60.86,61.38,61.47,60.33
60.84,60.69,61.64,60.58
61.04,62.27,62.38,61.04
62.26,61.69,62.99,61.49
61.02,59.95,61.19,59.30
59.96,59.20,60.20,57.84
59.89,58.36,60.80,58.22
57.99,57.62,58.27,56.39
56.26,54.92,56.48,54.83
54.35,56.59,56.88,53.94
56.53,55.62,56.90,55.60
53.82,56.66,56.69,53.62
57.36,56.38,57.98,56.24
57.91,59.28,59.37,57.53
59.19,58.31,59.29,57.77
57.36,56.11,58.37,56.03
56.35,58.11,58.11,56.25
58.41,57.36,58.56,56.46
56.14,54.80,56.61,54.65
54.91,53.66,55.27,53.63
53.87,54.95,55.05,53.53
55.65,54.97,56.58,54.73
56.24,57.23,57.31,56.15
56.76,57.98,58.06,56.73
58.81,57.63,59.02,57.54
58.30,59.19,59.27,57.96
58.98,59.14,59.55,58.49
59.44,58.83,59.50,57.97
58.84,59.21,59.45,58.80
60.16,59.53,61.03,59.06
59.52,58.09,59.82,57.97
58.06,58.09,58.52,57.01
57.54,56.49,57.99,56.36
56.68,57.34,57.78,56.22
57.43,56.67,57.55,56.53
55.56,54.31,55.56,53.92
54.33,53.54,55.15,53.44
53.60,53.20,54.22,52.07
53.52,52.85,53.66,52.42
53.91,53.00,54.39,52.42
53.08,55.36,55.38,52.89
55.85,56.26,56.32,55.24
56.19,57.49,57.70,56.18
57.09,56.51,57.35,56.17
57.67,57.69,58.06,57.20
57.34,57.47,57.97,56.97
57.55,57.26,57.55,56.42
56.88,55.39,56.88,55.21
55.51,55.44,55.76,54.80
54.82,57.16,57.26,54.65
57.87,56.99,58.25,56.57
57.79,58.87,59.13,57.79
58.80,59.99,60.07,58.77
59.97,60.40,60.43,59.71
60.85,59.76,60.99,59.38
59.40,59.41,59.99,59.12
59.86,59.52,60.47,58.83
58.71,59.93,60.22,58.71
60.83,61.70,61.86,60.82
61.23,60.76,61.32,60.52
60.93,61.48,61.56,60.62
61.11,61.49,61.55,60.98
60.91,61.45,62.02,60.69
61.82,61.79,61.94,61.33
60.99,61.05,61.46,60.39
59.80,58.97,59.89,58.74
58.07,59.20,59.58,57.96
58.94,58.90,59.30,58.67
58.70,59.19,59.63,58.58
60.12,60.65,61.18,60.12
60.69,60.87,61.17,60.14
60.56,59.59,61.01,59.28
59.15,59.20,59.27,58.57
59.44,58.59,59.82,58.53
57.50,57.05,57.87,56.99
56.79,57.14,57.32,55.87
57.54,57.08,58.11,56.91
57.58,58.94,58.94,56.84
58.78,58.02,59.05,58.02
57.81,58.67,59.04,57.80
59.63,60.68,60.76,59.57
60.75,61.29,61.32,60.40
61.88,62.02,62.15,61.54
61.77,61.50,61.93,61.22
61.65,62.01,62.43,61.65
62.61,61.57,62.74,61.34
61.76,61.94,62.24,61.58
62.54,63.03,63.17,62.52
62.78,62.99,63.42,62.50
62.61,62.92,62.98,62.30
62.75,63.49,63.63,62.75
63.65,63.47,63.78,63.03
63.51,64.18,64.32,63.15
64.19,63.95,64.26,63.27
64.03,64.21,64.81,64.00
63.33,63.47,64.21,63.03
64.22,64.93,65.08,64.20
65.10,64.74,65.22,64.72
64.60,65.13,65.33,63.69
65.06,64.83,65.26,64.67
65.26,64.59,65.59,63.96
65.25,65.56,65.63,65.00
65.40,64.48,65.47,64.18
65.24,66.37,66.59,65.21
66.51,67.00,67.24,66.48
67.38,66.43,67.39,65.80
66.54,67.91,68.10,66.54
68.06,67.90,68.29,67.62
67.73,67.95,68.11,66.86
68.72,69.00,69.34,68.50
69.06,68.41,69.08,67.98
68.88,68.36,68.89,67.55
68.16,68.63,68.68,67.77
67.37,66.68,67.74,66.25
67.05,68.23,68.72,66.67
68.61,68.17,68.90,67.37
68.44,67.76,68.44,67.47
68.45,68.99,69.43,68.45
68.24,68.98,69.11,67.87
68.30,68.19,68.30,67.26
68.82,68.17,68.99,67.80
68.05,68.64,68.79,67.88
69.09,68.79,69.60,68.40
69.46,69.37,69.79,69.11
69.51,69.17,69.51,68.07
70.35,71.47,71.49,70.31
71.61,72.04,72.44,71.50
71.75,72.49,72.59,71.61
72.90,71.10,73.22,70.65
71.31,71.75,71.81,70.28
71.35,72.53,72.61,71.33
71.71,70.74,72.00,70.21
70.87,70.23,71.22,70.20
69.50,68.50,69.58,67.91
68.72,68.66,69.34,68.28
69.71,70.23,70.78,69.71
70.00,71.00,71.05,69.67
70.57,71.17,71.25,69.99
70.18,69.84,70.18,69.42
70.32,71.19,71.19,70.32
70.39,70.34,70.61,70.15
69.93,70.64,70.83,68.99
70.07,70.52,71.20,69.78
71.73,72.44,72.47,71.62
72.66,73.57,73.68,72.62
73.10,74.35,74.49,73.10
74.17,74.64,74.78,74.17
75.82,74.54,75.85,74.52
74.48,73.75,74.91,73.37
74.41,74.09,74.49,73.62
74.38,74.82,74.94,73.89
75.45,75.06,75.79,74.97
75.28,75.03,75.47,74.70
74.71,74.43,75.29,74.37
74.66,74.95,74.97,73.95
75.13,75.45,75.55,74.80
75.65,75.91,76.06,75.42
76.33,76.84,76.94,76.18
76.85,76.44,76.85,76.17
76.21,76.76,76.89,76.21
76.54,76.60,76.68,76.07
76.82,76.77,76.93,76.60
76.87,77.23,77.38,76.87
77.29,77.35,77.72,77.20
77.42,77.46,77.64,77.18
78.22,78.20,79.05,78.13
78.49,77.65,78.61,76.49
77.25,77.88,78.00,76.88
78.05,77.27,78.05,76.98
77.41,77.08,77.66,76.25
76.76,77.19,77.35,75.96
77.72,78.13,78.24,77.60
78.88,78.66,78.88,78.22
78.89,78.08,78.89,77.91
77.96,77.86,77.98,77.38
78.01,78.47,78.49,78.00
78.58,76.44,78.58,76.32
75.68,75.30,75.71,74.50
75.88,74.85,76.13,74.81
74.80,75.72,76.14,74.80
75.39,75.68,75.74,74.78
76.04,77.54,77.70,76.04
77.76,76.83,77.76,76.28
76.70,75.91,77.15,75.68
76.06,77.17,77.32,76.06
77.85,79.33,79.47,77.85
79.16,79.16,79.78,78.76
79.00,79.26,79.41,78.07
79.56,79.10,79.56,78.48
79.35,79.35,80.13,79.22
79.68,79.77,79.86,79.02
79.35,78.70,79.58,78.30
78.13,79.13,79.48,78.06
78.89,79.58,79.82,78.69
79.73,80.75,80.82,79.73
80.62,80.22,80.96,80.02
80.69,81.07,81.15,80.38
81.17,81.68,81.77,80.66
81.74,80.73,81.74,80.38
79.86,77.93,80.33,77.83
77.88,77.68,78.43,76.10
77.52,77.33,78.38,76.25
78.03,78.58,78.60,77.89
79.15,79.30,79.50,78.51
79.60,77.68,79.91,77.66
77.56,78.22,78.64,77.43
79.22,79.98,79.99,79.13
80.00,79.43,80.14,78.78
79.88,78.02,80.05,77.50
78.13,78.63,78.87,76.95
78.38,77.37,78.38,77.03
76.26,75.40,76.41,75.03
74.72,76.50,76.79,74.72
76.63,76.96,77.43,76.00
74.65,76.76,77.25,74.25
76.89,75.66,77.39,74.75
76.83,77.10,77.69,76.59
78.28,77.36,78.40,77.16
78.60,78.75,78.79,77.98
78.75,78.54,78.82,78.04
78.53,79.72,79.97,78.14
80.30,80.12,80.34,79.23
80.21,80.39,81.04,80.02
80.45,79.84,80.90,79.83
79.97,80.77,80.77,79.44
81.45,81.61,81.73,80.54
81.58,81.76,82.25,81.58
82.17,81.94,82.39,81.64
82.42,82.59,82.86,82.25
82.45,83.57,84.04,82.20
84.23,82.92,84.27,82.67
82.99,82.85,83.77,82.42
83.48,82.59,83.70,82.16
82.61,81.21,82.85,80.83
80.28,79.58,80.56,79.34
80.35,79.35,80.35,78.70
78.93,79.57,79.76,78.85
80.01,80.17,80.28,79.26
79.30,79.02,79.43,78.15
79.16,80.24,80.35,79.16
81.74,81.56,82.02,81.33
81.98,82.71,82.71,81.66
82.78,82.33,82.90,81.88
82.48,83.10,83.44,82.36
83.04,83.16,83.24,81.58
83.24,83.49,83.99,83.04
83.69,83.95,84.21,83.38
84.28,83.52,84.81,83.28
83.24,82.13,83.34,81.56
82.07,80.68,82.09,80.12
80.06,79.63,81.26,79.21
80.80,80.21,81.56,79.79
80.65,81.56,81.79,80.37
81.77,82.06,82.22,81.31
81.87,79.76,81.98,79.45
79.53,79.72,80.24,78.66
79.81,78.48,80.02,78.20
78.11,78.09,79.78,77.80
77.67,77.62,78.18,76.81
77.90,79.20,79.29,77.50
79.40,78.94,79.78,78.53
78.84,78.21,78.90,77.63
76.90,77.09,77.34,76.41
77.69,77.54,78.47,77.10
77.36,78.82,79.21,77.22
78.63,79.16,79.32,78.27
79.58,80.07,80.48,79.58
80.98,80.86,81.37,79.69
80.38,78.43,80.70,78.31
78.50,78.44,79.33,77.57
77.19,77.31,78.00,76.99
77.12,76.16,77.72,76.03
76.74,76.35,77.16,76.21
75.96,75.46,76.22,75.18
75.74,76.60,76.92,75.66
76.09,75.57,76.62,75.35
75.81,74.80,76.08,74.21
75.77,76.38,76.75,75.63
75.62,74.74,76.11,74.43
74.63,73.83,74.97,72.73
74.59,73.77,74.70,73.48
73.56,74.42,74.70,73.56
75.09,76.72,76.85,75.09
76.47,76.52,77.51,76.27
75.28,76.54,76.63,74.41
76.50,75.63,76.68,75.45
75.71,75.84,76.13,74.71
76.08,77.29,77.30,76.02
77.77,78.31,78.83,77.38
78.56,79.14,79.50,78.31
79.08,79.93,80.04,78.59
80.03,80.11,80.44,79.73
79.95,80.13,80.43,79.33
80.91,81.50,81.89,80.91
80.43,80.88,80.94,79.96
79.71,78.87,79.85,78.50
78.58,78.61,79.44,78.48
79.08,79.50,80.35,79.02
79.85,78.64,80.23,78.42
78.94,79.62,79.68,78.75
79.55,78.96,79.87,78.59
79.68,80.18,80.21,79.64
80.44,80.09,80.45,79.69
80.45,81.22,81.38,80.21
81.14,81.12,81.35,80.70
80.26,80.70,81.29,80.21
80.71,80.03,80.71,79.78
79.71,78.06,80.01,77.91
78.31,77.88,79.14,77.78
77.17,77.25,77.84,76.16
78.92,77.14,78.92,76.33
76.53,74.55,77.28,74.53
74.72,74.69,75.07,72.60
73.32,68.69,73.32,68.69
69.99,68.04,70.45,65.82
65.76,62.52,66.57,62.07
63.88,66.57,66.57,62.23
65.22,64.43,67.09,64.40
65.13,67.95,68.93,64.89
68.76,68.55,69.16,68.03
69.00,69.87,69.92,68.82
68.99,68.51,69.63,67.94
68.91,68.52,69.81,68.15
66.67,64.54,66.71,63.88
63.28,63.38,65.69,63.28
65.01,63.26,65.10,63.08
63.37,65.39,65.39,63.23
65.29,66.32,66.37,64.67
66.67,65.80,66.90,65.31
65.26,67.42,67.51,64.26
68.35,69.92,69.97,68.32
69.54,70.55,70.96,69.33
71.11,70.65,71.86,70.02
70.64,69.54,71.24,69.46
67.87,68.02,68.63,67.50
65.57,67.45,67.50,65.57
68.68,69.55,69.57,68.46
69.28,68.62,69.83,68.33
67.87,66.54,67.98,66.14
65.68,65.87,66.74,64.45
66.12,66.87,67.17,65.47
67.40,67.63,68.49,65.86
68.55,68.81,68.91,67.63
68.83,68.94,69.49,68.24
67.48,67.76,68.10,66.62
67.94,66.69,68.55,66.61
66.27,63.17,66.27,63.14
60.44,59.16,60.85,58.17
58.10,58.56,59.54,57.93
