JBK,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I,NASDAQ
18.98,19.25,19.25,18.98
19.17,19.26,19.26,19.17
19.19,19.46,19.46,19.19
19.33,19.41,19.41,19.33
19.44,19.69,19.69,19.44
19.71,19.41,19.71,19.41
19.40,19.48,19.48,19.40
19.44,19.46,19.55,19.43
19.26,19.45,19.46,18.86
19.38,19.35,19.42,19.35
19.34,19.60,19.60,19.34
19.45,19.74,19.74,19.45
19.79,19.78,19.79,19.65
19.75,19.45,19.76,19.45
19.64,19.54,19.64,19.52
19.54,19.94,19.94,19.54
19.98,20.20,20.25,19.98
20.21,20.19,20.21,19.59
20.15,19.37,20.24,19.37
19.46,19.74,19.74,19.46
19.82,20.24,20.24,19.82
20.20,20.34,20.92,19.69
20.37,20.85,21.75,20.19
21.12,20.93,21.32,20.93
21.09,21.09,21.10,20.73
21.09,21.00,21.09,20.83
20.05,19.85,20.05,19.84
20.30,19.80,20.34,19.71
19.64,19.64,19.64,19.64
19.81,19.60,19.81,19.60
19.52,19.32,19.54,19.32
19.32,19.37,19.37,19.32
20.27,19.93,20.27,19.50
19.84,19.59,19.86,19.49
19.68,19.70,19.70,19.68
19.61,19.25,19.61,19.04
19.03,19.22,19.22,19.02
19.22,19.14,19.26,19.14
19.22,19.25,19.25,19.22
19.33,19.38,19.38,19.26
19.26,19.15,19.26,19.15
19.15,19.15,19.15,19.15
19.15,19.15,19.15,19.15
19.17,19.14,19.22,19.00
19.25,19.26,19.26,19.20
19.26,19.26,19.26,19.26
19.15,19.32,19.32,19.15
19.15,19.39,19.39,19.15
19.45,19.30,19.65,19.30
19.32,19.44,19.44,19.21
19.26,19.26,19.57,19.26
19.25,19.37,19.37,19.25
19.55,19.55,19.55,19.42
19.55,19.55,19.55,19.55
19.59,19.75,19.75,19.59
19.75,19.75,19.75,19.75
19.48,19.70,19.84,19.48
19.74,19.75,19.75,19.74
19.89,19.43,19.96,19.12
19.27,19.50,19.50,19.27
19.52,19.80,19.84,19.50
19.88,19.80,20.01,19.80
19.88,19.99,19.99,19.88
20.07,19.83,20.07,19.83
19.89,20.05,20.05,19.89
20.30,20.20,20.43,20.20
20.40,20.42,20.42,20.40
20.50,20.12,20.51,20.12
20.15,20.34,20.50,20.15
20.34,20.34,20.34,20.34
20.34,20.34,20.34,20.34
20.09,20.04,20.09,19.96
19.88,20.30,20.30,19.40
20.41,20.28,20.50,20.25
20.16,20.21,20.21,19.92
20.25,20.36,20.39,20.24
20.36,20.36,20.36,20.36
20.36,20.25,20.36,20.23
20.22,19.79,20.22,19.20
19.98,19.95,19.98,19.95
20.07,19.95,20.07,19.92
19.95,18.78,19.95,18.77
18.98,19.10,19.16,18.98
18.85,18.98,18.98,18.80
18.76,18.84,18.85,18.71
18.83,18.56,18.89,18.56
18.50,18.35,18.70,18.35
18.36,18.55,18.78,18.36
22.26,18.75,22.26,18.15
18.83,18.83,18.83,18.83
18.85,17.76,18.85,17.41
17.89,18.37,18.37,17.89
18.30,18.01,18.31,18.01
18.05,17.89,18.05,17.89
17.92,18.10,18.20,17.85
17.89,18.30,18.30,17.80
18.75,18.45,18.87,18.45
18.45,18.45,18.45,18.45
18.45,18.45,18.45,18.45
18.30,17.94,18.34,17.94
18.21,18.20,18.25,18.07
18.30,18.42,18.67,18.30
18.50,18.18,18.50,18.18
18.41,18.39,18.41,17.98
18.35,18.38,18.38,18.35
18.35,18.49,18.49,18.15
18.60,18.28,18.60,18.21
18.54,18.40,18.54,18.40
18.12,18.29,18.40,18.03
18.10,18.20,18.30,18.10
18.30,18.21,18.49,18.21
18.48,18.55,19.44,18.33
18.44,18.60,18.90,18.44
18.58,18.50,18.88,18.50
18.55,18.58,18.82,18.54
18.55,18.50,18.55,18.50
18.55,18.68,18.70,18.55
18.71,18.53,18.83,18.52
18.52,18.30,18.69,18.26
18.35,18.18,18.43,18.07
18.17,18.50,18.75,18.17
18.57,18.70,18.70,18.57
18.62,18.69,18.69,18.61
18.60,18.70,18.70,18.60
18.60,19.10,19.10,18.60
18.95,18.84,19.07,18.84
18.75,18.75,18.75,18.75
18.98,18.74,19.08,18.74
18.70,19.11,19.11,18.70
19.02,19.02,19.02,19.02
19.02,19.02,19.02,19.02
19.20,19.21,19.24,19.20
19.10,19.43,19.43,19.10
19.76,19.93,19.93,19.76
19.84,19.64,19.84,19.39
19.64,19.64,19.64,19.64
21.17,19.92,21.17,19.76
20.00,20.88,20.89,20.00
20.75,20.74,20.75,20.47
20.74,20.74,20.74,20.74
21.00,21.15,21.15,20.81
21.03,21.10,21.15,20.98
21.21,21.27,21.27,21.21
21.19,20.48,21.19,20.20
20.48,20.48,20.48,20.48
20.47,20.74,20.75,20.47
20.70,20.51,20.91,20.37
20.67,20.80,20.80,20.66
20.64,20.64,20.64,20.64
20.51,20.90,20.90,20.51
20.90,21.36,21.36,20.90
21.50,21.92,22.99,21.50
21.60,21.15,21.60,21.14
21.15,21.15,21.15,21.15
21.15,21.15,21.15,21.05
21.65,21.35,21.65,21.25
21.41,21.35,21.41,21.35
21.41,21.16,21.46,21.16
21.07,20.69,21.07,20.69
20.48,20.09,20.59,20.09
20.12,20.00,20.14,19.99
19.90,19.56,19.90,19.51
19.58,19.64,19.64,19.58
19.78,19.90,19.90,19.77
19.81,19.98,19.98,19.76
20.00,19.80,20.25,19.80
19.92,19.83,19.96,19.71
19.77,19.80,19.91,19.73
19.88,20.00,20.00,19.65
20.00,19.92,20.16,19.82
19.92,19.87,20.03,19.82
19.93,19.87,19.96,19.75
19.97,19.97,19.97,19.75
19.88,20.08,20.15,19.88
20.23,20.16,20.30,20.09
20.09,20.25,20.38,20.05
20.20,20.35,20.41,20.11
20.29,20.36,20.44,20.29
20.35,20.36,20.36,20.34
20.50,20.36,20.50,20.35
20.49,20.45,20.80,20.45
20.58,20.53,20.90,20.53
20.55,20.73,20.89,20.55
20.75,21.26,21.29,20.75
21.14,21.11,21.14,21.10
21.20,21.20,21.20,21.20
21.06,21.13,21.40,21.06
21.12,21.20,21.75,21.03
21.46,21.01,21.48,21.00
20.92,21.25,21.25,20.85
21.53,21.69,21.69,21.37
21.64,21.65,21.72,21.45
21.60,21.50,21.65,21.50
21.69,21.50,21.69,21.50
21.54,21.66,21.66,21.54
21.72,21.56,21.72,21.56
21.71,21.72,21.72,21.71
21.69,20.77,21.69,20.77
21.11,21.05,21.36,20.99
21.07,20.87,21.11,20.87
21.11,21.15,21.44,21.10
21.19,21.20,21.20,21.19
21.37,21.37,21.37,21.37
21.37,21.49,21.49,21.37
21.50,21.60,21.65,21.44
21.60,21.60,21.60,21.60
21.69,21.45,21.69,21.45
21.53,21.53,21.53,21.53
21.49,21.67,21.70,21.39
21.67,21.81,21.81,21.67
21.78,22.24,22.24,21.78
22.19,22.20,22.21,21.90
22.20,22.18,22.20,22.10
22.30,22.30,22.30,22.30
22.58,22.20,22.58,22.11
22.11,22.20,22.20,22.00
22.35,22.00,22.35,22.00
22.00,22.00,22.00,22.00
21.76,21.78,21.78,21.50
21.70,21.92,21.92,21.70
21.60,21.92,21.92,21.60
21.81,21.94,22.15,21.81
21.90,21.90,21.90,21.90
21.90,21.90,21.90,21.90
22.01,22.01,22.01,22.01
22.09,21.85,22.30,21.85
22.15,22.29,22.29,21.99
22.29,22.29,22.29,22.29
22.07,22.00,22.23,22.00
22.00,22.00,22.00,22.00
22.00,21.82,22.00,21.76
21.79,21.80,21.80,21.79
21.85,22.01,22.40,21.85
21.86,21.86,21.86,21.86
21.80,21.90,21.90,21.80
21.78,21.66,21.78,21.66
21.51,21.51,21.51,21.51
21.58,21.60,21.60,21.58
21.60,21.11,21.60,21.11
21.26,21.30,21.38,21.26
21.40,21.40,21.40,21.40
21.40,21.40,21.40,21.40
21.40,21.40,21.40,21.40
21.40,21.25,21.40,21.25
21.54,21.55,21.55,21.54
21.59,21.59,21.59,21.59
21.50,21.35,21.56,21.35
21.58,21.60,21.67,21.58
21.80,21.96,21.96,21.80
21.65,21.60,21.66,21.60
21.60,21.60,21.60,21.60
21.80,21.83,21.83,21.80
22.13,22.25,22.25,22.13
22.10,21.90,22.10,21.64
22.06,22.01,22.06,21.95
21.98,22.10,22.10,21.97
22.24,22.24,22.24,22.24
22.25,22.25,22.25,22.25
22.11,22.09,22.25,22.09
22.25,22.25,22.25,22.25
22.16,22.08,22.16,22.08
22.10,22.10,22.10,22.10
22.10,22.05,22.10,22.05
22.15,22.00,22.15,22.00
21.95,21.95,21.95,21.95
21.90,21.90,21.91,21.90
21.84,22.08,22.08,21.84
21.96,21.90,21.96,21.90
21.85,21.80,21.87,21.80
22.00,22.00,22.04,22.00
22.00,22.10,22.20,22.00
22.49,22.40,22.49,22.19
22.40,22.40,22.40,22.40
22.40,22.40,22.40,22.40
22.40,22.40,22.40,22.40
22.31,22.30,22.31,22.30
22.35,22.30,22.35,22.30
22.00,22.15,22.27,22.00
22.46,22.11,22.49,22.04
21.70,21.53,21.70,21.53
21.70,21.69,21.70,21.50
21.70,21.69,21.70,21.69
21.69,21.55,21.69,21.52
21.56,21.56,21.56,21.56
21.56,21.69,21.69,21.56
21.69,21.69,21.69,21.69
21.51,21.51,21.51,21.51
21.59,21.59,21.59,21.59
21.59,21.59,21.59,21.59
21.65,21.93,21.93,21.65
21.75,21.75,21.75,21.75
21.75,21.75,21.75,21.75
21.63,21.50,21.63,21.47
21.50,21.85,21.85,21.50
21.85,21.85,21.85,21.85
