JJP,iPath Bloomberg Precious Metals Subindex Total Return SM Index ETN,NASDAQ
58.91,58.84,58.94,58.81
59.49,59.12,59.49,58.92
60.30,60.08,60.30,60.08
60.04,60.29,60.35,60.04
60.20,60.49,60.49,60.20
61.63,61.34,61.63,61.34
60.87,60.00,61.17,59.96
60.63,60.67,60.67,60.60
60.74,61.03,61.03,60.64
60.60,60.25,60.60,60.23
60.88,60.84,60.88,60.84
59.80,59.04,59.80,58.75
58.78,58.00,58.78,58.00
57.02,57.43,57.43,57.02
57.60,57.74,57.74,57.60
57.05,57.41,57.62,57.05
57.41,57.41,57.41,57.41
57.29,57.29,57.29,57.29
56.28,56.57,56.57,56.10
56.84,57.57,57.57,56.84
58.03,58.20,58.20,58.03
57.95,57.76,57.95,57.76
56.40,54.81,56.40,54.73
54.20,54.70,54.70,53.40
54.70,54.70,54.70,54.70
55.15,55.03,55.15,55.03
54.96,54.99,54.99,54.96
55.31,56.25,56.25,55.31
55.60,56.03,56.03,55.60
57.02,57.59,57.70,57.02
57.79,57.57,57.79,57.56
57.79,57.78,57.81,57.78
57.59,57.77,58.10,57.59
57.62,57.42,57.62,57.42
57.15,56.68,57.15,56.68
56.62,56.62,56.62,56.62
56.64,57.21,57.25,56.50
57.41,57.93,58.00,57.41
57.94,57.94,57.94,57.94
58.70,59.03,59.08,58.70
59.42,59.42,59.42,59.42
59.42,59.42,59.42,59.42
59.42,59.40,59.62,59.40
59.26,58.89,59.26,58.89
58.44,58.87,58.87,58.44
58.07,58.07,58.07,58.07
57.97,57.97,57.97,57.97
57.71,57.83,57.83,57.70
58.07,58.04,58.07,58.03
58.04,58.04,58.04,58.04
58.04,58.04,58.04,58.04
58.04,58.04,58.04,58.04
57.91,57.91,58.62,57.72
57.19,57.00,57.19,56.97
57.50,57.83,58.00,57.50
57.05,57.05,57.05,57.05
57.08,57.08,57.08,56.88
57.54,57.73,57.74,57.54
58.33,58.33,58.33,58.33
58.02,58.02,58.02,58.02
