KBAL,Kimball International,NASDAQ
8.67,8.96,8.97,8.51
8.94,8.61,9.00,8.53
8.57,8.00,8.67,7.93
8.15,7.96,8.16,7.92
7.91,8.20,8.25,7.91
8.25,8.11,8.30,7.93
8.00,8.20,8.38,8.00
8.22,8.23,8.36,8.14
8.25,8.23,8.29,8.10
8.27,8.03,8.32,8.00
8.05,8.45,8.45,8.05
8.32,8.18,8.51,8.10
8.19,8.34,9.59,8.19
8.15,8.22,8.57,8.15
8.31,8.52,8.58,8.11
8.45,7.98,8.56,7.98
7.94,8.28,8.35,7.94
8.33,8.04,8.33,7.86
8.09,7.88,8.38,7.79
7.94,7.79,8.02,7.75
7.82,7.55,7.97,7.55
7.54,7.51,7.64,7.50
7.46,7.33,7.59,7.30
7.30,7.21,7.30,7.01
7.22,6.51,7.27,6.45
6.65,6.81,6.86,6.50
6.75,6.47,6.79,6.40
6.43,6.53,6.77,6.35
6.44,6.24,6.49,6.20
6.34,6.23,6.42,6.10
6.28,6.34,6.39,6.13
6.39,6.44,6.50,6.28
6.43,6.67,6.71,6.40
6.68,6.75,6.86,6.57
6.75,6.79,6.85,6.63
6.80,6.71,6.80,6.60
6.60,6.72,6.84,6.60
6.71,6.61,6.77,6.60
6.68,6.83,6.86,6.65
6.83,7.12,7.12,6.83
7.12,7.03,7.14,6.98
7.11,7.21,7.22,7.05
7.25,7.38,7.38,7.20
7.35,7.43,7.50,7.27
7.21,7.50,7.74,7.01
7.48,7.22,7.52,7.16
7.14,7.40,7.45,7.14
7.41,7.22,7.44,7.20
7.22,7.27,7.32,7.21
7.33,7.31,7.33,7.21
7.28,7.16,7.30,7.14
7.19,7.29,7.34,7.15
7.34,7.83,7.84,7.20
7.69,7.60,7.84,7.53
7.58,7.55,7.62,7.36
7.44,7.23,7.44,7.19
7.24,7.12,7.39,7.10
7.14,7.01,7.21,6.95
7.09,7.02,7.16,6.93
7.01,7.00,7.12,6.87
6.94,6.95,7.20,6.92
7.00,7.09,7.09,6.83
7.11,7.19,7.25,7.06
7.11,7.35,7.45,7.11
7.32,7.34,7.45,7.17
7.28,7.43,7.46,7.26
7.45,7.22,7.45,7.15
7.20,7.26,7.27,7.11
7.26,7.38,7.40,7.20
7.42,7.60,7.62,7.33
7.60,7.75,7.78,7.56
7.74,7.92,8.05,7.57
7.85,7.91,8.10,7.68
7.97,7.77,7.99,7.66
7.76,7.95,8.00,7.56
7.83,8.03,8.05,7.74
8.06,8.48,8.48,7.88
8.44,8.24,8.44,7.79
8.17,7.97,8.27,7.93
8.01,8.10,8.18,7.93
8.15,8.65,8.65,8.11
8.63,8.04,8.63,7.99
8.07,8.38,8.38,7.92
8.23,7.80,8.23,7.69
7.77,7.37,8.05,7.33
7.34,7.20,7.74,7.02
7.15,6.77,7.18,6.57
7.36,7.55,7.58,7.11
7.40,7.58,7.84,7.13
7.59,7.86,7.87,7.35
7.80,7.68,7.92,7.55
7.61,7.41,7.61,7.23
7.46,7.55,7.59,7.12
7.70,7.30,7.77,7.25
7.24,7.07,7.24,7.00
6.83,6.78,7.05,6.72
6.59,6.90,6.98,6.59
6.90,6.59,6.90,6.49
6.42,6.54,6.99,6.24
6.64,6.53,6.73,6.45
7.24,7.21,7.32,6.68
7.16,7.03,7.23,6.86
6.92,6.45,7.01,6.43
6.48,6.74,6.77,6.41
6.71,6.80,6.97,6.58
6.50,6.31,6.63,6.29
6.32,6.19,6.40,6.18
6.22,6.19,6.34,6.05
6.30,5.84,6.33,5.80
6.01,6.16,6.19,5.88
6.03,6.37,6.37,6.03
6.44,6.18,6.55,6.14
6.22,6.35,6.41,6.00
6.28,6.13,6.34,6.09
6.19,6.12,6.25,5.97
6.17,6.10,6.20,6.06
6.24,6.10,6.24,6.02
6.14,5.90,6.17,5.87
5.86,5.56,5.92,5.53
5.50,5.67,5.75,5.50
5.73,5.97,5.99,5.72
5.94,5.83,6.00,5.73
5.69,5.58,5.76,5.52
5.60,5.53,5.73,5.48
5.51,5.62,5.65,5.45
5.67,5.65,5.67,5.48
5.75,5.34,5.83,5.28
5.38,5.57,5.57,5.31
5.63,5.45,5.65,5.30
5.45,5.50,5.51,5.39
5.49,5.39,5.50,5.35
5.47,5.67,5.69,5.37
5.62,5.51,5.62,5.41
5.50,5.71,5.73,5.35
5.63,5.58,5.70,5.49
5.60,5.62,5.63,5.37
5.50,5.66,5.66,5.35
5.71,5.40,5.72,5.33
5.53,5.61,5.64,5.50
5.56,6.00,6.01,5.48
6.01,6.30,6.31,5.90
6.35,6.36,6.47,6.29
6.32,6.27,6.35,6.20
6.32,6.35,6.43,6.23
6.20,6.24,6.50,6.17
6.42,6.21,6.42,6.10
6.15,6.12,6.30,6.04
6.15,5.97,6.18,5.94
5.88,5.92,6.00,5.85
5.78,5.65,5.89,5.55
5.73,5.92,5.96,5.63
5.81,5.61,5.90,5.53
5.48,5.21,5.48,5.20
5.19,5.37,5.41,5.19
5.32,5.20,5.32,5.16
5.18,5.27,5.31,5.12
5.36,5.49,5.52,5.24
5.47,5.24,5.47,5.15
5.19,5.06,5.19,5.00
5.02,5.13,5.15,4.97
5.17,4.91,5.24,4.90
4.81,4.90,5.04,4.81
4.83,5.05,5.07,4.81
5.07,4.95,5.12,4.91
5.05,5.12,5.13,4.99
5.08,5.05,5.14,4.95
5.04,5.17,5.23,4.90
5.25,5.40,5.44,5.01
5.42,5.39,5.46,5.27
5.49,5.66,5.67,5.45
5.64,5.15,5.64,5.11
5.16,5.22,5.29,5.13
5.34,5.25,5.34,5.12
5.27,5.37,5.48,5.27
5.44,5.59,5.63,5.31
5.58,5.46,5.62,5.40
5.41,5.31,5.44,5.20
5.28,5.29,5.33,5.07
5.36,5.42,5.49,5.12
5.46,5.64,5.66,5.32
5.62,5.59,5.79,5.52
5.53,5.41,5.67,5.36
5.34,5.43,5.60,5.34
5.53,5.70,5.73,5.53
5.72,5.61,5.74,5.59
5.62,5.69,5.70,5.34
5.64,5.68,5.76,5.53
5.75,5.83,5.89,5.71
5.89,5.77,5.89,5.62
5.76,5.51,5.80,5.51
5.61,6.05,6.13,5.53
6.08,6.06,6.08,5.90
6.14,5.96,6.14,5.93
5.98,6.15,6.24,5.76
6.10,6.08,6.21,5.94
6.05,6.04,6.18,5.95
6.07,6.28,6.34,5.99
6.25,6.47,6.50,6.21
6.58,6.35,6.66,6.27
6.39,6.30,6.43,6.26
6.18,6.29,6.43,6.07
6.36,6.59,6.68,6.31
6.66,6.41,6.68,6.21
6.27,6.54,6.56,6.20
6.58,6.38,6.68,6.36
6.32,6.28,6.44,6.24
6.22,6.18,6.22,6.03
6.22,5.95,6.22,5.87
5.93,6.08,6.17,5.86
6.09,5.86,6.16,5.72
5.97,5.99,6.11,5.84
5.98,6.09,6.15,5.93
6.23,6.58,6.60,6.19
6.50,6.68,6.69,6.40
6.64,6.48,6.64,6.36
6.48,6.44,6.60,6.40
6.48,6.39,6.60,6.36
6.31,6.36,6.49,6.31
6.29,6.19,6.34,6.18
6.21,6.02,6.21,6.00
5.97,5.88,6.02,5.71
5.92,5.76,5.97,5.73
5.84,5.98,6.07,5.76
5.98,5.92,5.98,5.76
5.91,5.90,5.94,5.69
5.81,5.68,5.84,5.64
5.75,5.90,5.94,5.53
5.84,5.73,5.86,5.67
5.66,5.91,5.94,5.53
5.80,5.86,6.05,5.75
6.01,6.24,6.26,5.87
6.25,6.39,6.43,6.20
6.36,6.60,6.67,6.27
6.56,6.74,6.86,6.47
6.86,6.89,7.07,6.68
6.94,6.83,6.98,6.83
6.95,6.83,7.06,6.79
6.86,6.96,7.02,6.72
7.00,6.92,7.00,6.87
6.98,6.94,7.00,6.89
6.95,6.72,7.00,6.66
6.77,7.10,7.11,6.77
7.08,6.97,7.09,6.81
6.96,7.02,7.12,6.81
7.04,7.06,7.08,6.94
7.06,7.10,7.14,6.94
7.11,7.06,7.17,7.02
7.03,7.13,7.14,7.03
7.12,7.11,7.15,7.07
7.15,6.98,7.15,6.96
6.98,6.98,7.05,6.96
6.98,6.90,7.02,6.90
7.02,7.32,7.40,6.88
7.32,7.09,7.44,7.09
7.10,7.11,7.17,7.00
7.09,6.96,7.09,6.87
6.95,6.79,7.04,6.70
6.72,6.87,6.90,6.60
6.90,7.18,7.26,6.83
7.21,7.22,7.28,7.13
7.23,7.03,7.23,7.00
7.06,7.14,7.18,7.02
7.15,7.19,7.22,7.10
7.22,6.94,7.23,6.89
6.87,6.70,7.04,6.70
6.77,6.74,7.00,6.72
6.76,6.67,6.90,6.61
6.63,6.94,6.98,6.63
7.00,7.12,7.12,6.89
7.08,7.00,7.12,6.98
7.02,6.82,7.15,6.80
