KFS,Kingsway Financial Services,NASDAQ
1.75,1.70,1.84,1.70
1.73,1.59,1.73,1.54
1.55,1.61,1.66,1.48
1.62,1.54,1.62,1.52
1.56,1.57,1.57,1.50
1.56,1.53,1.58,1.50
1.50,1.48,1.50,1.44
1.51,1.42,1.51,1.39
1.43,1.41,1.44,1.38
1.39,1.37,1.39,1.30
1.34,1.34,1.35,1.33
1.35,1.32,1.35,1.31
1.36,1.60,1.60,1.34
1.60,1.47,1.62,1.44
1.64,1.73,1.96,1.63
1.76,1.61,1.76,1.60
1.60,1.63,1.64,1.54
1.70,1.59,1.70,1.57
1.59,1.60,1.64,1.55
1.61,1.58,1.61,1.54
1.55,1.61,1.61,1.51
1.58,1.59,1.65,1.58
1.59,1.58,1.64,1.54
1.56,1.64,1.64,1.54
1.65,1.59,1.70,1.59
1.64,1.59,1.64,1.56
1.59,1.59,1.60,1.57
1.55,1.63,1.63,1.55
1.58,1.58,1.60,1.56
1.55,1.60,1.62,1.55
1.62,1.65,1.65,1.57
1.62,1.67,1.68,1.62
1.70,1.67,1.70,1.66
1.66,1.65,1.67,1.61
1.65,1.62,1.65,1.61
1.60,1.64,1.65,1.60
1.59,1.62,1.63,1.59
1.62,1.63,1.66,1.61
1.60,1.65,1.67,1.60
1.65,1.65,1.69,1.63
1.64,1.66,1.69,1.64
1.70,1.64,1.70,1.64
1.67,1.79,1.90,1.66
1.79,1.79,1.85,1.73
1.75,1.71,1.79,1.70
1.66,1.77,1.77,1.66
1.82,1.76,1.82,1.69
1.73,1.71,1.75,1.70
1.72,1.70,1.72,1.66
1.68,1.73,1.82,1.68
1.75,1.70,1.75,1.70
1.72,1.69,1.72,1.68
1.60,1.60,1.71,1.59
1.55,1.61,1.61,1.52
1.64,1.71,1.71,1.61
1.70,1.65,1.74,1.64
1.69,1.73,1.73,1.67
1.74,1.73,1.74,1.70
1.75,1.65,1.78,1.61
1.66,1.59,1.66,1.56
1.63,1.60,1.64,1.57
1.55,2.05,2.39,1.53
2.10,2.30,2.30,2.05
2.36,2.55,2.72,2.28
2.53,2.46,2.55,2.33
2.36,2.40,2.43,2.35
2.44,2.45,2.49,2.33
2.45,2.40,2.46,2.39
2.40,2.40,2.44,2.32
2.44,2.37,2.44,2.36
2.40,2.42,2.42,2.33
2.42,2.59,2.71,2.40
2.66,2.51,2.66,2.49
2.53,2.50,2.62,2.43
2.52,2.45,2.53,2.45
