KIM,Kimco Realty Corporation Common Stock,NASDAQ
13.62,13.66,13.88,13.56
13.58,13.59,13.72,13.41
13.59,13.65,13.76,13.51
13.58,14.11,14.14,13.58
14.05,13.93,14.18,13.78
14.06,14.13,14.17,13.88
13.75,13.74,14.06,13.67
13.72,14.19,14.39,13.68
14.11,13.97,14.19,13.80
13.88,13.62,13.99,13.54
13.37,13.81,13.86,13.33
13.65,13.61,13.67,13.40
13.67,13.27,13.75,13.25
13.28,13.04,13.53,12.96
13.28,13.05,13.28,12.80
12.98,12.84,13.10,12.79
12.85,12.83,12.90,12.52
12.99,12.59,12.99,12.40
12.69,12.62,12.84,12.46
12.72,12.93,12.93,12.66
12.95,13.01,13.09,12.76
12.97,12.66,13.07,12.54
12.57,12.66,12.91,12.49
12.66,12.97,13.19,12.63
12.95,12.60,13.11,12.58
12.75,12.80,12.89,12.56
12.83,12.76,13.00,12.50
12.78,12.73,12.85,12.54
12.63,12.82,12.84,12.50
12.95,13.23,13.26,12.88
13.33,13.42,13.57,13.23
13.34,13.74,13.86,13.34
13.70,13.71,13.79,13.49
13.70,13.64,13.80,13.59
13.57,13.44,13.68,13.38
13.51,13.80,13.80,13.44
13.61,13.95,14.01,13.48
13.98,13.89,14.09,13.88
13.95,14.00,14.10,13.87
14.07,14.02,14.12,13.94
14.00,14.00,14.14,13.89
14.05,14.04,14.09,13.94
14.13,14.61,14.66,14.01
14.61,14.75,14.85,14.60
14.69,14.68,14.93,14.54
14.75,14.75,14.87,14.57
14.69,14.93,14.95,14.56
15.01,15.12,15.20,14.96
15.02,15.09,15.19,14.86
15.17,15.57,15.63,15.11
15.63,15.90,16.05,15.55
15.91,15.64,15.91,15.60
15.57,15.57,15.76,15.45
15.48,15.79,15.85,15.36
15.84,15.69,15.90,15.54
15.64,15.88,15.99,15.62
15.99,16.06,16.44,15.98
16.10,16.10,16.23,15.88
16.19,16.16,16.21,15.94
16.17,16.04,16.21,15.97
15.89,15.64,15.94,15.63
15.79,15.74,15.88,15.58
15.75,16.06,16.13,15.74
16.00,16.53,16.55,15.94
16.47,15.99,16.55,15.92
15.96,16.09,16.22,15.87
16.15,16.40,16.47,16.09
16.42,16.16,16.51,16.16
16.15,16.50,16.59,16.15
16.66,16.29,16.72,16.23
16.28,15.65,16.30,15.58
15.59,15.13,15.77,15.11
15.01,15.15,15.31,14.81
15.34,15.12,15.34,14.92
15.11,15.31,15.51,15.06
15.18,15.70,15.77,15.05
15.75,15.75,15.91,15.57
15.75,15.91,16.14,15.75
15.76,15.36,16.00,15.34
15.54,15.49,15.70,15.32
15.64,16.29,16.30,15.64
16.21,15.59,16.48,15.57
15.76,16.11,16.18,15.74
15.88,15.70,16.01,15.47
15.40,15.30,15.67,15.14
15.21,15.05,15.66,13.71
15.11,15.01,15.66,14.65
15.86,16.35,16.39,15.81
16.08,16.40,16.59,15.87
16.49,16.60,16.71,16.36
16.55,16.20,16.65,16.17
15.92,15.73,16.06,15.57
15.74,15.60,16.13,15.20
15.83,15.03,15.99,14.97
14.94,14.69,15.37,14.33
14.35,13.80,14.44,13.78
13.56,14.28,14.30,13.43
14.31,13.81,14.36,13.77
13.34,13.86,13.89,13.07
14.08,13.80,14.33,13.68
14.12,14.56,14.58,13.94
14.50,14.30,14.66,14.24
14.13,14.07,14.54,13.99
14.22,14.48,14.50,14.00
14.44,14.41,14.56,14.24
14.09,13.31,14.34,13.23
13.42,13.43,13.73,13.33
13.37,13.69,13.71,13.03
13.81,13.72,14.20,13.64
