KOOL,Cesca Therapeutics Inc. - Common Stock,NASDAQ
0.59,0.59,0.59,0.57
0.57,0.59,0.60,0.57
0.58,0.59,0.61,0.58
0.60,0.60,0.61,0.59
0.60,0.60,0.62,0.59
0.61,0.59,0.61,0.59
0.59,0.59,0.60,0.58
0.59,0.58,0.60,0.58
0.58,0.58,0.59,0.57
0.58,0.57,0.58,0.56
0.58,0.58,0.59,0.56
0.59,0.60,0.60,0.56
0.59,0.59,0.60,0.57
0.58,0.57,0.59,0.56
0.57,0.58,0.59,0.57
0.58,0.56,0.59,0.56
0.57,0.57,0.57,0.55
0.55,0.56,0.57,0.55
0.56,0.55,0.56,0.55
0.55,0.53,0.55,0.50
0.52,0.55,0.58,0.52
0.57,0.56,0.58,0.55
0.56,0.51,0.56,0.51
0.60,0.60,0.63,0.57
0.60,0.57,0.60,0.55
0.58,0.59,0.60,0.56
0.58,0.58,0.59,0.57
0.58,0.59,0.60,0.58
0.57,0.58,0.59,0.56
0.59,0.61,0.61,0.59
0.61,0.62,0.62,0.60
0.60,0.59,0.61,0.58
0.58,0.58,0.60,0.57
0.59,0.59,0.60,0.58
0.59,0.58,0.59,0.56
0.58,0.59,0.59,0.57
0.56,0.57,0.59,0.55
0.56,0.57,0.58,0.55
0.56,0.58,0.58,0.54
0.59,0.58,0.59,0.56
0.57,0.57,0.58,0.57
0.57,0.57,0.58,0.56
0.58,0.58,0.59,0.57
0.58,0.58,0.58,0.57
0.56,0.58,0.58,0.56
0.58,0.58,0.58,0.56
0.58,0.57,0.58,0.56
0.57,0.57,0.57,0.56
0.57,0.58,0.58,0.56
0.57,0.62,0.67,0.57
0.64,0.64,0.65,0.62
0.62,0.64,0.64,0.61
0.62,0.66,0.67,0.62
0.67,0.74,0.76,0.66
0.75,0.77,0.80,0.71
0.76,0.72,0.76,0.72
0.72,0.72,0.73,0.70
0.72,0.75,0.75,0.72
0.75,0.73,0.75,0.73
0.74,0.72,0.76,0.72
0.73,0.70,0.73,0.70
0.73,0.69,0.73,0.69
0.73,0.69,0.73,0.68
0.69,0.71,0.75,0.69
0.71,0.71,0.72,0.71
0.72,0.72,0.73,0.71
0.70,0.73,0.74,0.69
0.74,0.79,0.79,0.71
0.79,0.79,0.80,0.76
0.80,0.80,0.81,0.78
0.81,0.79,0.81,0.77
0.79,0.78,0.80,0.77
0.78,0.73,0.78,0.73
0.73,0.73,0.76,0.73
0.73,0.74,0.76,0.72
0.73,0.74,0.75,0.73
0.75,0.74,0.75,0.73
0.74,0.79,0.85,0.74
0.79,0.79,0.82,0.78
0.79,0.78,0.80,0.78
0.80,0.77,0.80,0.77
0.78,0.77,0.78,0.76
0.78,0.80,0.82,0.78
0.80,0.80,0.81,0.77
0.80,0.80,0.80,0.77
0.80,0.76,0.81,0.75
0.68,0.67,0.70,0.65
0.69,0.67,0.70,0.65
0.67,0.65,0.67,0.63
0.64,0.65,0.66,0.63
0.64,0.65,0.65,0.61
0.64,0.62,0.64,0.61
0.61,0.61,0.61,0.60
0.60,0.63,0.63,0.60
0.62,0.60,0.62,0.59
0.60,0.60,0.60,0.57
0.58,0.59,0.60,0.56
0.60,0.60,0.60,0.58
0.55,0.59,0.60,0.55
0.58,0.61,0.61,0.58
0.61,0.60,0.61,0.60
0.59,0.59,0.61,0.58
0.56,0.60,0.62,0.56
0.60,0.60,0.60,0.58
0.58,0.60,0.61,0.58
0.58,0.61,0.61,0.57
0.61,0.60,0.61,0.57
0.60,0.58,0.60,0.56
0.60,0.59,0.60,0.57
0.57,0.58,0.59,0.57
0.57,0.60,0.60,0.57
0.59,0.59,0.60,0.57
0.59,0.62,0.62,0.59
0.62,0.61,0.62,0.59
0.59,0.60,0.61,0.59
0.60,0.59,0.61,0.53
0.57,0.56,0.59,0.54
0.54,0.51,0.55,0.47
0.44,0.48,0.50,0.44
0.49,0.48,0.50,0.48
0.51,0.47,0.51,0.46
0.50,0.50,0.51,0.48
0.50,0.46,0.50,0.46
0.49,0.49,0.50,0.47
0.46,0.47,0.47,0.44
0.44,0.47,0.48,0.44
0.47,0.44,0.49,0.44
0.45,0.45,0.47,0.44
0.46,0.46,0.49,0.46
0.45,0.51,0.53,0.40
0.50,0.50,0.50,0.48
0.49,0.51,0.52,0.47
0.52,0.57,0.57,0.50
0.57,0.57,0.59,0.53
0.57,0.59,0.59,0.54
0.58,0.57,0.59,0.55
0.56,0.60,0.60,0.56
0.60,0.59,0.60,0.58
0.58,0.59,0.61,0.58
0.60,0.58,0.61,0.57
0.59,0.57,0.59,0.56
0.56,0.58,0.60,0.56
0.58,0.56,0.60,0.56
0.57,0.57,0.58,0.56
0.54,0.57,0.57,0.53
0.57,0.56,0.57,0.55
0.56,0.54,0.57,0.53
0.52,0.55,0.56,0.52
0.56,0.54,0.56,0.54
0.53,0.53,0.54,0.52
0.53,0.52,0.54,0.52
0.52,0.52,0.53,0.52
0.53,0.53,0.53,0.52
0.52,0.52,0.55,0.52
0.52,0.54,0.55,0.52
0.52,0.53,0.55,0.52
0.55,0.55,0.55,0.53
0.55,0.52,0.55,0.52
0.53,0.53,0.54,0.52
0.52,0.52,0.53,0.52
0.52,0.51,0.53,0.51
0.51,0.51,0.53,0.50
