KOSS,Koss Corporation - Common Stock,NASDAQ
5.51,5.51,5.51,5.51
5.51,5.51,5.51,5.51
5.51,5.51,5.51,5.51
5.51,5.51,5.51,5.51
5.51,5.51,5.51,5.51
4.99,4.19,4.99,3.76
4.25,4.10,4.70,4.08
4.05,4.00,4.25,4.00
4.00,4.00,4.16,4.00
4.00,3.90,4.05,3.83
3.85,3.90,4.11,3.85
3.88,3.89,4.00,3.83
4.19,4.25,4.43,3.84
4.25,4.39,4.47,4.25
4.39,4.22,4.42,4.01
4.75,4.26,4.75,4.02
4.24,4.30,4.30,4.24
4.26,4.19,4.26,4.16
4.19,4.15,4.20,4.15
4.30,4.26,4.30,4.26
4.15,4.18,4.23,4.10
4.18,4.20,4.20,4.18
4.16,4.29,4.29,4.16
4.29,4.25,4.29,4.19
4.26,4.31,4.54,4.26
4.31,4.41,4.49,4.29
4.40,4.41,4.41,4.40
4.25,4.25,4.25,4.25
4.39,4.27,4.39,4.27
4.51,4.41,4.51,4.28
4.45,4.50,4.54,4.40
4.59,4.48,4.60,4.39
4.48,4.55,4.55,4.42
4.50,4.85,4.96,4.50
4.82,4.85,4.98,4.65
4.85,5.50,5.50,4.85
5.57,5.40,5.65,5.21
5.50,5.55,5.70,5.50
5.51,5.39,5.51,5.30
5.49,5.51,5.51,5.34
5.50,5.51,5.69,5.50
5.61,5.73,5.73,5.60
5.75,5.90,5.95,5.75
5.95,5.90,5.95,5.88
6.00,5.93,6.00,5.89
5.99,5.88,5.99,5.85
5.87,5.61,5.87,5.59
5.65,5.59,5.73,5.59
5.59,5.60,5.67,5.59
5.60,5.60,5.65,5.60
5.70,5.60,5.74,5.58
5.68,5.60,5.68,5.58
5.72,5.60,5.75,5.58
5.59,5.87,5.87,5.59
5.95,5.85,5.95,5.71
5.96,5.79,6.00,5.75
5.75,5.97,6.00,5.75
6.00,5.86,6.00,5.86
5.86,5.75,5.88,5.69
5.75,5.75,5.75,5.75
5.75,5.69,5.75,5.69
5.75,5.50,5.75,5.45
