KRE,SPDR S&P Regional Banking ETF,NASDAQ
22.43,22.70,22.73,22.43
22.69,22.18,22.69,22.01
22.17,22.35,22.41,22.11
22.29,23.14,23.15,22.21
23.08,23.57,23.57,22.90
23.60,23.21,23.60,23.11
23.14,23.05,23.30,22.91
23.12,23.26,23.47,22.79
23.22,23.97,24.11,23.22
23.95,23.68,24.04,23.35
23.68,24.22,24.26,23.65
23.97,24.18,24.35,23.30
24.34,24.93,25.09,24.03
24.90,24.35,25.08,24.17
24.48,24.16,24.59,23.74
24.12,24.13,24.68,23.87
24.11,24.89,24.90,23.96
25.13,24.57,25.22,24.28
24.68,24.07,24.77,24.07
24.24,24.01,24.38,23.83
24.08,23.85,24.33,23.69
23.79,23.38,23.84,23.14
23.18,22.81,23.18,22.52
22.92,23.11,23.49,22.38
22.94,22.85,23.21,22.69
23.06,23.07,23.27,22.83
22.99,23.34,23.38,22.84
23.18,23.26,23.39,23.03
23.01,23.34,23.34,23.00
23.58,23.86,23.86,23.34
23.84,23.72,23.94,23.50
23.69,23.95,23.95,23.62
23.85,24.04,24.09,23.79
24.11,24.51,24.58,24.11
24.50,24.32,24.54,24.17
24.42,24.90,25.01,24.37
24.65,24.75,24.80,24.47
24.68,24.53,24.69,24.27
24.53,24.38,24.65,24.37
24.54,24.52,24.75,24.49
24.59,24.48,24.71,24.36
24.49,24.51,24.56,24.33
24.75,25.17,25.20,24.53
25.24,25.07,25.26,25.02
24.99,25.07,25.23,24.86
25.17,25.49,25.62,25.06
25.47,25.83,25.84,25.39
26.07,25.70,26.07,25.56
25.63,25.72,25.79,25.47
25.81,26.08,26.08,25.59
26.14,26.51,26.56,26.09
26.51,26.41,26.72,26.31
26.42,26.42,26.46,26.00
26.19,26.77,26.78,26.15
26.78,26.81,26.86,26.40
26.73,26.55,26.89,26.51
26.78,26.61,27.32,26.60
26.69,26.33,26.96,26.24
26.53,26.21,26.53,25.98
26.26,26.23,26.36,26.06
26.10,26.22,26.53,26.07
26.40,26.28,26.40,26.01
26.45,26.59,26.61,26.20
26.49,27.50,27.55,26.42
27.53,27.20,27.64,27.04
27.15,27.41,27.53,27.05
27.57,27.54,27.70,27.32
27.66,27.82,27.83,27.46
27.73,27.48,27.78,27.26
27.84,28.32,28.32,27.69
28.36,28.40,28.65,28.31
28.35,27.59,28.40,27.25
27.46,27.73,27.95,27.16
27.97,28.18,28.19,27.69
28.20,28.76,28.83,28.05
28.57,29.58,29.66,28.45
29.58,29.70,29.75,29.28
29.78,28.61,29.79,28.61
28.47,28.00,28.89,27.95
28.22,28.09,28.50,28.02
28.22,28.78,28.88,27.97
28.74,27.92,28.85,27.90
28.21,27.97,28.56,27.72
27.70,26.95,27.71,26.82
26.51,27.13,27.31,26.37
26.95,26.14,29.50,22.11
26.40,25.65,26.57,25.33
26.77,27.10,27.19,26.50
26.78,27.52,28.03,26.53
27.95,28.31,28.31,27.56
28.30,28.01,28.43,27.86
27.76,27.32,27.87,26.95
27.30,27.37,27.75,26.73
27.59,26.59,27.73,26.35
26.28,26.37,27.11,26.00
25.84,24.83,25.87,24.79
24.24,25.29,25.56,24.22
25.47,24.70,25.47,24.59
24.13,24.73,24.82,23.76
25.17,24.84,25.26,24.71
25.40,25.68,25.76,25.05
25.63,25.21,25.64,25.04
25.00,24.54,25.22,24.47
24.54,25.33,25.33,24.47
25.49,25.35,25.49,25.01
24.79,23.81,24.80,23.76
23.82,23.62,24.17,23.62
23.67,23.61,23.84,23.05
23.79,23.40,23.89,23.30
23.75,24.13,24.15,23.54
23.89,24.37,24.39,23.83
24.47,24.31,24.82,24.26
24.57,24.84,24.92,23.79
24.62,24.88,25.15,24.62
24.95,24.91,25.09,24.64
24.85,24.88,25.04,24.50
25.01,24.84,25.19,24.64
24.82,24.46,25.14,24.39
24.38,24.13,24.62,24.00
24.17,23.78,24.25,23.68
24.06,24.37,24.39,23.75
24.37,24.27,24.46,24.10
23.84,23.44,23.97,23.27
23.38,23.09,23.84,23.02
23.02,22.74,23.30,22.19
22.82,22.50,22.99,22.30
22.77,22.45,23.16,22.28
22.51,23.46,23.46,22.51
23.57,23.75,23.84,23.40
23.67,24.27,24.30,23.67
24.13,24.10,24.42,23.88
24.51,25.12,25.19,24.40
25.07,24.67,25.07,24.41
24.80,24.40,24.80,23.95
24.33,23.34,24.33,23.20
23.45,23.10,23.50,22.86
22.88,23.28,23.28,22.62
23.51,22.21,23.59,22.21
22.64,23.10,23.19,22.55
23.04,23.42,23.51,22.80
23.44,24.06,24.07,23.29
24.37,24.29,24.61,24.22
24.16,23.94,24.45,23.86
24.34,23.88,24.34,23.58
23.58,23.77,24.12,23.52
24.17,24.24,24.33,23.98
24.24,24.11,24.54,23.94
24.36,24.16,24.43,24.07
