KROO,IQ Australia Small Cap ETF,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
25.40,25.35,25.40,25.22
25.30,25.06,25.30,25.00
25.20,25.08,25.38,25.06
25.18,24.96,25.18,24.85
25.47,25.49,25.49,25.40
25.61,25.48,25.61,25.43
25.25,25.39,25.48,25.24
25.75,25.82,25.87,25.73
25.95,26.25,26.25,25.88
26.25,26.34,26.36,26.06
26.27,26.22,26.42,26.21
26.19,26.42,26.44,26.03
26.59,26.72,26.74,26.58
26.80,26.72,26.80,26.69
26.30,26.36,26.45,26.15
26.58,26.84,26.84,26.58
26.62,26.60,26.69,26.55
26.56,26.11,26.56,26.03
25.80,25.99,25.99,25.69
26.28,26.39,26.39,26.20
26.43,26.15,26.45,26.15
25.95,26.25,26.25,25.82
26.00,26.25,26.30,25.93
26.40,26.26,26.40,26.25
26.02,25.35,26.02,25.35
25.63,25.66,25.73,25.42
25.80,25.96,25.96,25.80
25.82,25.27,25.82,25.25
25.43,25.57,25.61,25.39
24.57,24.11,24.57,24.01
23.71,23.82,24.09,23.58
23.57,22.87,23.74,22.00
22.87,22.60,23.07,22.22
24.20,24.06,24.28,24.05
23.83,23.70,24.04,23.65
23.98,23.98,24.10,23.92
24.13,23.89,24.23,23.89
23.76,23.29,23.76,23.25
23.20,22.87,23.21,22.61
22.88,22.15,22.88,21.99
21.46,21.39,21.63,20.98
20.40,19.98,20.40,19.67
19.94,20.30,20.49,19.94
20.83,20.57,20.83,20.57
19.47,20.21,20.21,19.47
20.48,20.08,20.53,20.05
20.98,21.36,21.36,20.91
21.50,21.33,21.61,21.13
20.84,20.70,21.12,20.70
20.59,21.17,21.17,20.55
21.61,21.19,21.61,20.98
20.86,20.12,20.95,20.00
20.12,19.64,20.12,19.58
20.10,20.53,20.53,19.89
20.38,20.37,20.68,20.37
21.05,21.32,21.32,21.01
21.32,21.32,21.32,21.32
21.82,21.71,21.91,21.71
21.65,22.09,22.09,21.65
22.01,22.27,22.27,22.01
22.38,22.16,22.38,22.06
22.40,22.44,22.46,22.35
23.01,22.58,23.01,22.58
22.53,22.29,22.53,22.27
21.95,21.81,21.95,21.53
21.72,21.55,21.76,21.55
21.54,21.63,21.65,21.39
21.67,21.49,21.67,21.45
20.80,20.31,20.83,20.28
20.20,20.13,20.43,20.05
20.10,20.04,20.10,19.69
20.48,20.27,20.48,20.03
20.92,20.60,21.12,20.60
20.53,21.04,21.04,20.53
21.04,21.04,21.04,21.04
21.59,21.49,21.60,21.49
21.83,21.86,21.86,21.83
21.84,21.97,21.97,21.72
22.00,21.89,22.00,21.87
21.90,21.92,21.95,21.90
21.56,21.27,21.56,21.12
21.08,20.99,21.08,20.78
21.07,21.91,21.91,21.07
21.62,21.43,21.62,21.43
22.08,22.50,22.50,22.08
22.49,22.71,22.71,22.45
22.85,23.00,23.06,22.85
23.02,23.02,23.02,23.02
22.56,22.41,22.56,22.40
22.69,22.54,22.69,22.50
22.51,22.64,22.70,22.49
23.29,23.45,23.45,23.27
23.37,23.39,23.39,23.07
23.40,23.38,23.40,23.38
23.38,23.51,23.51,23.38
23.43,23.21,23.43,23.10
23.84,23.71,23.84,23.66
23.71,23.71,23.71,23.71
22.63,22.33,22.63,22.30
21.94,22.05,22.05,21.88
22.55,22.47,22.56,22.47
22.56,22.59,22.62,22.46
23.20,23.30,23.38,23.10
23.23,23.00,23.23,22.96
22.97,22.53,23.04,22.46
22.28,22.25,22.29,22.20
22.60,22.50,22.77,22.50
22.03,21.94,22.11,21.84
21.52,21.67,21.67,21.52
21.83,21.83,21.83,21.83
22.12,22.59,22.59,22.12
22.68,22.69,22.69,22.64
22.64,22.70,22.82,22.64
23.41,23.87,23.99,23.41
23.86,23.94,23.94,23.68
24.49,24.51,24.55,24.49
24.42,24.31,24.51,24.25
24.48,24.54,24.72,24.48
25.03,24.94,25.09,24.94
24.97,24.77,24.97,24.77
25.42,25.60,25.64,25.42
25.82,26.03,26.12,25.70
25.94,26.04,26.04,25.73
25.82,25.80,25.82,25.68
26.03,25.85,26.03,25.75
26.11,26.40,26.42,26.11
26.28,26.24,26.32,26.03
26.45,26.20,26.47,26.16
25.87,25.87,26.16,25.79
26.43,26.61,26.61,26.38
26.58,26.64,26.83,26.58
26.84,27.09,27.09,26.53
26.96,26.78,26.96,26.68
26.86,26.52,26.95,26.26
26.60,26.74,26.74,26.39
26.61,26.34,26.68,26.24
26.81,26.96,27.02,26.59
27.39,27.41,27.45,27.19
28.06,27.50,28.06,27.41
27.60,27.77,27.79,27.45
28.01,27.88,28.01,27.79
27.74,27.80,27.89,27.38
28.00,28.15,28.36,27.90
28.41,28.47,28.55,28.23
28.72,28.34,28.72,28.12
28.18,28.35,29.27,28.08
27.55,27.29,27.80,27.11
27.46,27.97,28.01,27.44
28.08,27.72,28.24,27.48
27.81,27.83,27.86,27.73
28.49,28.39,28.54,28.33
28.02,28.09,28.15,27.93
27.27,27.25,27.28,26.90
27.59,27.56,27.66,27.43
27.62,27.63,27.66,27.43
28.10,28.05,28.35,27.93
28.68,28.63,28.69,28.55
28.63,28.69,28.69,28.23
29.64,29.72,29.79,29.42
29.69,29.76,29.84,29.65
29.42,29.55,29.61,29.26
29.85,29.10,29.85,29.00
29.11,29.27,29.27,28.69
29.07,28.98,29.07,28.80
28.75,28.34,28.77,28.17
28.60,28.40,28.76,28.40
27.97,27.56,27.98,27.40
27.44,27.41,27.56,27.34
28.11,28.21,28.32,27.33
28.02,28.10,28.12,27.78
28.09,28.09,28.14,27.71
27.39,26.96,27.39,26.90
27.72,27.85,27.88,27.65
27.07,26.99,27.19,26.97
26.87,27.13,27.13,26.65
26.80,26.82,27.04,26.70
27.18,27.49,27.59,27.18
27.76,28.16,28.20,27.76
28.33,28.69,28.69,28.30
28.69,28.75,28.78,28.58
29.44,28.78,29.44,28.70
28.64,28.60,28.64,28.27
28.88,28.78,28.94,28.63
28.89,28.78,28.89,28.63
28.93,28.96,29.16,28.90
29.32,29.11,29.38,29.11
29.04,28.75,29.11,28.69
28.90,28.92,28.92,28.60
28.85,28.95,28.95,28.75
28.98,29.01,29.12,28.84
29.19,29.18,29.20,29.07
29.20,29.14,29.25,29.11
29.02,28.91,29.17,28.76
28.82,28.96,28.96,28.69
29.23,29.04,29.23,29.04
29.31,29.61,29.64,29.31
29.66,29.64,29.66,29.49
29.62,29.81,29.85,29.42
29.82,29.94,30.17,29.82
29.73,29.37,29.73,29.10
28.97,29.04,29.14,28.73
28.81,28.61,28.84,28.53
28.81,28.71,28.81,28.50
28.62,28.76,28.83,28.41
28.56,28.58,28.64,28.40
28.84,28.97,29.05,28.80
29.45,29.25,29.53,29.25
29.19,29.34,29.35,29.16
29.33,29.44,29.45,29.28
29.74,29.53,29.74,29.42
29.19,29.10,29.22,28.85
28.88,28.81,29.03,28.76
28.98,29.18,29.35,28.98
29.00,29.20,29.20,28.85
29.32,29.39,29.40,29.17
29.03,28.99,29.07,28.84
28.76,28.29,28.76,28.20
28.35,28.48,28.64,28.34
28.99,29.22,29.34,28.94
29.10,29.28,29.34,29.10
29.45,29.64,29.70,29.35
30.16,29.95,30.16,29.76
29.94,29.96,30.13,29.94
29.95,30.00,30.10,29.85
29.71,29.84,29.94,29.64
29.61,29.43,29.61,29.00
29.37,29.37,29.46,29.15
29.52,29.64,29.64,29.44
29.58,29.30,29.58,29.28
29.36,29.67,29.71,29.36
29.70,30.02,30.05,29.70
30.05,30.11,30.16,29.96
29.22,28.79,29.30,28.75
28.83,28.86,28.97,28.59
29.07,29.03,29.11,28.84
29.47,29.67,29.67,29.34
29.70,29.87,29.88,29.68
29.82,29.28,29.82,29.25
29.37,29.59,29.72,29.37
29.78,29.91,29.94,29.73
29.85,29.61,29.85,29.51
29.60,29.29,29.70,29.08
29.09,29.16,29.33,28.94
28.97,28.91,28.98,28.84
28.07,27.75,28.07,27.70
27.44,28.20,28.24,27.44
27.55,27.59,27.64,27.29
26.22,26.73,26.76,25.92
26.84,26.35,26.85,26.04
26.94,26.69,26.94,26.61
27.79,27.67,27.93,27.56
28.11,28.15,28.26,28.06
28.36,28.27,28.46,28.23
28.13,28.42,28.47,27.92
28.96,29.20,29.26,28.89
29.52,29.48,29.63,29.40
29.51,29.35,29.59,29.34
29.43,29.74,29.79,29.37
30.08,30.13,30.19,30.04
30.11,30.18,30.30,30.07
30.42,30.52,30.58,30.40
30.67,30.76,30.76,30.52
30.46,30.60,30.71,30.34
31.04,31.07,31.12,30.91
31.20,31.02,31.25,30.82
31.48,31.42,31.50,31.23
31.53,31.19,31.59,31.11
30.74,30.40,30.74,30.31
30.72,30.60,30.74,30.47
30.37,30.75,30.78,30.31
30.52,30.59,30.77,30.50
30.18,30.20,30.27,29.80
29.90,30.00,30.04,29.81
30.89,31.09,31.14,30.89
31.38,31.44,31.45,31.33
31.13,31.50,31.50,31.13
31.55,31.74,31.80,31.50
31.48,31.73,31.76,31.17
31.38,31.52,31.52,31.21
31.05,31.20,31.21,30.95
30.87,30.60,30.88,30.48
30.31,30.06,30.35,29.87
30.02,29.60,30.13,29.51
29.58,29.23,29.72,29.22
30.18,29.81,30.27,29.75
29.99,30.26,30.26,29.97
30.35,30.37,30.37,30.30
30.54,29.96,30.54,29.96
29.72,29.81,29.89,29.39
29.53,29.06,29.53,29.00
28.84,28.91,29.30,28.78
28.85,28.85,28.95,28.55
29.23,29.32,29.32,29.23
29.76,29.72,29.87,29.57
29.42,29.68,29.72,29.31
28.49,28.58,28.72,28.42
28.86,28.70,28.86,28.58
28.48,28.66,28.70,28.29
28.89,29.31,29.31,28.89
29.54,29.55,29.67,29.54
29.94,29.84,30.02,29.65
29.90,29.10,29.91,29.10
29.09,29.13,29.13,28.74
28.53,28.81,29.09,28.43
28.82,28.50,28.82,28.46
28.84,28.93,28.93,28.84
