KYO,Kyocera Corporation Common Stock,NASDAQ
90.07,91.17,91.35,89.42
92.59,92.63,92.97,91.94
91.20,91.16,91.25,90.74
89.56,90.08,90.08,89.52
90.25,91.55,91.55,90.08
91.66,91.89,92.10,91.01
91.90,92.02,92.56,91.70
91.77,91.45,91.77,91.17
92.48,93.78,93.83,92.48
93.54,92.38,93.54,92.01
92.02,91.50,92.02,90.58
90.18,90.02,90.18,89.05
90.95,90.49,91.15,90.31
88.70,87.06,89.00,86.91
88.85,89.25,89.25,88.54
88.36,88.40,89.11,88.05
88.05,87.45,88.05,86.91
92.08,93.50,93.75,89.74
92.45,92.72,93.69,91.08
91.85,91.43,91.85,90.51
91.45,92.95,93.18,91.45
92.18,91.53,92.18,90.99
90.07,89.02,90.07,88.31
88.09,87.49,88.09,85.94
87.90,86.83,88.00,86.83
88.61,88.89,88.93,88.16
88.83,88.52,89.13,88.08
88.42,89.25,89.25,88.42
87.71,88.32,88.51,87.49
87.96,89.00,89.50,87.96
89.96,89.90,90.44,89.90
89.44,89.86,90.05,89.38
88.95,89.42,89.42,88.51
90.41,91.03,91.03,90.41
90.25,89.93,90.48,89.53
90.05,90.00,90.05,89.85
88.50,89.36,89.36,88.46
88.31,88.94,89.16,88.31
88.31,89.75,89.78,88.31
89.55,90.46,90.88,89.55
90.68,90.99,91.50,90.68
89.65,89.52,89.98,89.24
90.79,91.73,91.73,90.79
92.63,92.91,93.29,92.63
94.77,93.88,94.77,93.70
94.45,95.20,95.25,94.45
95.20,96.15,96.16,95.10
96.40,96.20,96.44,95.57
93.25,94.90,94.90,93.25
95.61,96.97,97.21,95.61
96.69,96.53,97.28,96.29
95.41,95.54,95.54,94.69
94.45,94.45,95.75,94.45
95.15,96.19,96.24,95.00
95.79,96.03,96.82,95.67
96.95,96.90,97.46,96.76
98.00,98.70,98.93,97.78
98.37,98.00,98.59,97.13
97.79,97.86,98.00,97.73
98.44,98.40,99.99,98.40
97.60,97.22,98.11,97.22
99.86,100.88,101.11,99.86
102.72,103.22,103.22,101.51
102.60,103.07,103.53,102.03
102.33,102.29,102.58,101.68
101.32,101.02,101.43,100.30
100.68,100.65,100.68,100.11
100.65,100.70,101.46,100.65
100.79,100.39,100.82,99.92
101.33,102.18,103.50,101.33
102.49,102.22,102.61,102.10
100.60,100.53,101.30,99.59
98.48,99.49,100.03,98.48
99.99,100.47,100.50,99.42
101.21,100.91,101.68,100.59
99.71,99.53,99.77,98.41
98.60,98.79,98.79,97.01
101.02,101.50,101.77,101.00
102.30,103.00,105.85,102.20
100.40,99.73,101.53,99.73
100.63,100.46,100.93,100.06
99.98,98.25,100.00,98.25
99.10,100.41,100.98,99.10
98.86,96.71,98.95,96.63
95.04,97.08,97.40,87.13
96.64,96.82,97.81,93.62
95.40,93.67,95.63,93.00
95.98,96.08,97.31,95.59
95.30,94.94,95.33,94.50
94.94,95.18,95.59,94.56
95.02,95.04,95.10,94.52
92.16,93.24,93.65,92.02
92.26,92.15,92.55,90.29
92.41,91.33,92.69,91.33
91.00,91.86,92.13,90.72
89.73,88.51,90.39,88.51
89.12,90.00,90.00,88.05
89.10,88.26,89.10,87.79
85.09,86.71,86.84,85.00
86.70,86.30,87.07,85.46
87.26,88.28,89.17,87.05
87.11,87.32,88.03,86.15
86.17,85.27,87.22,85.27
85.10,85.70,86.04,84.19
86.73,86.91,88.05,86.73
86.37,84.81,86.37,84.57
84.11,83.00,84.11,82.37
83.83,83.88,84.10,82.54
83.71,83.02,84.51,83.02
85.00,84.99,85.97,84.78
85.16,86.90,86.90,85.16
86.50,87.30,87.61,86.26
88.13,89.27,89.27,88.13
89.27,89.90,89.90,88.97
88.93,87.90,88.93,87.09
87.45,87.02,87.79,86.61
87.18,86.99,87.46,86.70
86.42,85.11,87.02,84.77
85.16,85.18,85.33,83.85
84.69,84.48,84.76,83.86
84.62,84.36,84.62,84.01
84.10,83.81,84.19,83.46
82.84,81.33,82.84,81.07
80.87,80.70,81.89,80.54
80.32,79.41,80.32,79.08
80.41,80.28,80.43,79.90
81.77,82.07,83.83,81.73
82.15,83.32,83.41,82.15
84.39,84.51,84.51,83.53
84.56,84.02,84.56,83.94
83.63,83.67,84.94,83.39
84.84,85.18,85.71,84.81
86.36,87.25,87.62,86.36
86.90,87.74,87.75,86.61
84.25,82.65,84.25,82.65
83.07,83.29,83.82,82.50
82.15,83.50,83.71,82.01
83.68,82.46,83.76,82.08
83.52,84.03,84.70,83.52
84.53,85.21,85.51,84.48
85.27,86.04,86.55,85.27
85.58,85.16,85.58,84.77
86.95,87.35,87.79,86.95
95.00,95.00,98.50,93.69
89.11,89.44,89.61,88.60
91.12,92.11,92.11,90.71
92.27,91.72,92.63,91.72
90.92,90.32,90.92,89.34
90.74,91.39,91.70,90.62
91.95,92.08,92.30,91.83
91.24,90.98,91.24,90.93
89.75,90.59,91.02,89.60
88.01,86.85,88.01,86.59
88.48,88.60,88.80,88.36
87.98,87.80,88.56,87.80
88.35,88.64,88.85,88.35
89.65,89.84,90.28,88.99
89.54,89.83,90.01,88.95
90.60,89.39,90.75,89.24
88.50,87.79,88.50,86.69
88.28,86.81,88.28,86.81
85.00,84.71,85.41,84.71
84.00,84.87,85.02,83.55
85.20,85.54,86.05,85.20
85.65,85.66,85.66,85.65
86.13,86.37,86.90,86.13
84.70,84.83,85.56,84.45
86.50,87.93,87.96,86.40
89.01,89.40,89.65,88.77
89.24,89.85,90.02,89.19
90.03,90.24,91.46,90.03
89.41,89.64,89.96,89.41
91.00,90.33,91.25,90.25
91.07,91.53,91.65,91.07
93.49,93.08,93.82,92.79
93.88,94.54,94.93,93.88
94.47,96.02,96.04,94.15
94.76,94.93,95.07,94.17
95.95,94.90,95.95,94.75
95.50,96.32,96.80,95.50
96.00,96.25,96.53,95.95
95.75,94.91,95.75,94.63
94.49,94.48,94.91,93.97
95.00,95.43,95.45,95.00
96.55,96.31,96.87,96.31
95.04,95.29,95.47,94.52
95.60,95.34,96.21,95.03
95.67,95.14,95.67,94.27
96.03,95.82,96.03,95.27
96.49,96.14,96.74,95.68
99.47,100.78,101.27,99.47
101.55,101.22,101.70,100.73
101.86,101.43,101.99,100.77
100.73,101.18,101.18,100.03
101.08,101.57,101.82,101.08
100.03,100.84,101.07,99.96
103.09,103.53,104.22,103.02
105.29,105.84,106.04,105.19
105.73,106.12,106.45,105.50
106.03,106.36,106.66,105.82
104.45,103.70,104.79,103.49
103.27,104.54,104.74,103.15
104.05,103.79,105.16,103.13
104.18,104.35,104.35,103.62
103.36,103.93,105.67,103.35
102.81,103.03,103.73,102.43
102.04,102.45,102.45,100.63
102.93,104.89,106.22,102.93
99.84,99.73,100.30,99.23
99.90,99.48,100.23,99.48
100.00,99.91,100.50,99.74
100.26,100.99,100.99,99.94
102.53,103.18,103.32,102.53
104.58,105.36,105.63,104.58
105.90,106.16,106.93,105.90
106.21,104.93,106.65,104.80
105.97,105.61,105.97,104.74
103.77,103.40,103.77,102.75
101.97,101.14,102.43,100.91
104.39,103.99,104.50,103.65
102.44,101.33,102.57,100.14
101.84,101.78,102.54,101.78
103.34,102.75,103.81,102.75
100.99,101.75,101.76,100.15
101.96,102.44,102.67,101.55
100.96,101.00,101.02,99.90
102.61,102.37,102.72,102.24
100.02,100.35,101.37,100.02
101.35,101.32,101.49,100.16
100.95,102.47,102.47,100.95
101.00,102.40,102.48,101.00
102.69,103.57,104.11,102.69
104.19,104.70,104.89,103.87
104.27,104.74,104.74,103.76
104.48,103.46,104.70,103.46
103.35,103.66,104.15,102.82
104.59,104.98,104.98,104.21
103.25,102.76,103.25,102.47
103.13,103.33,103.81,103.06
102.62,103.46,104.18,101.14
102.71,101.68,102.71,101.31
101.63,101.33,101.77,100.35
101.76,101.98,102.46,101.45
102.21,102.65,102.99,101.04
103.52,103.41,103.58,103.04
102.97,102.22,102.97,101.65
102.32,101.83,102.42,101.72
101.22,101.64,101.75,100.79
101.70,101.07,101.79,100.87
101.88,102.19,102.46,101.72
101.67,101.00,101.67,100.46
101.16,102.18,102.40,101.16
103.38,103.35,103.38,102.60
103.43,103.74,103.82,103.19
101.51,102.58,102.83,101.51
104.25,104.17,104.49,103.77
104.50,103.52,104.50,103.25
103.27,103.71,103.96,102.92
103.91,104.70,104.75,103.01
104.79,104.67,104.90,103.75
105.08,105.25,105.83,104.86
103.36,103.43,103.98,103.29
103.00,102.81,103.15,102.50
102.35,101.49,102.50,101.14
101.30,100.63,101.30,99.62
100.39,99.95,101.16,99.86
100.40,101.79,102.07,100.40
101.97,102.66,102.72,101.97
102.39,102.02,102.54,101.19
101.62,105.00,105.49,101.62
104.95,103.99,104.95,102.45
104.06,103.51,105.43,103.51
104.57,105.66,105.94,104.56
105.78,106.62,106.72,105.78
106.52,107.38,107.38,105.66
107.86,108.04,108.29,107.29
107.79,107.97,108.99,107.74
107.59,107.52,108.00,107.30
106.79,107.02,107.02,106.33
104.37,104.99,105.07,104.21
104.14,104.92,105.48,104.14
105.27,105.49,105.49,105.25
104.80,104.01,104.80,103.47
105.74,105.85,105.86,105.02
105.44,105.34,105.89,104.86
104.78,104.71,105.20,104.40
103.11,102.09,103.11,101.39
102.25,102.63,102.90,102.00
102.45,102.38,102.47,101.24
103.19,103.18,103.54,103.18
104.50,104.43,105.30,103.79
104.78,103.94,105.00,103.31
103.98,103.31,104.04,103.22
103.56,105.13,105.50,102.61
104.43,103.30,104.48,102.52
103.32,102.50,103.50,102.03
102.99,103.34,104.00,102.73
103.32,102.92,103.32,102.11
101.32,100.90,101.57,100.90
97.95,98.18,98.18,96.27
94.90,92.93,94.90,91.01
84.63,88.82,90.34,84.04
89.06,87.10,89.91,86.20
94.00,93.63,95.65,92.33
97.69,99.78,100.00,96.46
100.04,99.96,100.99,99.80
98.50,96.60,98.50,95.50
96.10,95.12,96.82,94.11
96.90,97.65,98.23,96.31
97.52,96.87,98.03,96.87
97.22,96.55,97.66,96.55
97.50,98.25,98.38,96.91
100.00,101.82,102.00,100.00
101.37,100.91,101.46,100.61
100.79,100.58,100.96,99.60
102.12,101.10,102.12,100.29
100.59,100.20,101.10,99.90
100.19,100.09,100.97,99.58
98.33,98.41,99.05,97.01
100.54,100.20,100.85,100.20
100.15,98.68,100.53,98.67
99.18,98.72,99.18,98.36
101.43,99.99,101.43,99.87
99.18,99.52,99.78,99.14
100.07,99.66,100.15,99.54
98.38,98.63,98.63,97.69
99.33,99.64,99.80,99.13
101.85,102.56,102.56,101.85
103.00,102.94,103.03,102.67
102.69,101.84,102.69,101.58
101.09,102.21,102.21,101.09
102.05,104.53,105.00,102.00
110.26,109.78,110.26,108.70
110.22,109.91,110.50,109.73
109.03,109.99,111.00,109.03
110.50,109.25,110.50,108.65
109.84,107.90,109.84,107.79
106.50,107.75,109.21,106.50
109.98,108.94,110.50,108.82
109.87,110.05,110.70,109.56
109.79,108.88,109.79,108.21
108.54,107.61,108.54,107.14
107.40,107.47,107.53,106.55
106.45,106.06,107.57,105.50
104.47,105.00,106.19,104.25
104.39,104.66,104.66,103.29
104.48,105.13,105.50,104.48
103.00,103.82,103.82,102.90
103.96,102.59,103.96,102.00
101.05,102.08,102.08,101.05
103.85,103.94,104.45,103.54
102.94,102.71,102.94,101.58
103.92,103.54,103.98,103.25
103.47,103.60,103.88,103.18
104.75,105.45,105.45,104.49
