LCNB,LCNB Corporation - Common Stock,NASDAQ
10.50,10.50,10.50,10.50
10.50,10.50,10.50,10.50
11.00,10.50,11.00,10.50
11.50,11.00,11.50,11.00
11.00,11.00,11.00,11.00
10.60,10.60,10.60,10.60
10.60,11.25,11.25,10.60
10.60,10.60,10.60,10.60
10.60,10.60,10.60,10.60
11.25,11.25,11.25,11.25
11.00,11.00,11.00,11.00
11.00,11.25,11.25,11.00
11.09,11.09,11.09,11.09
11.00,10.60,11.00,10.60
10.74,11.00,11.00,10.74
10.99,10.99,10.99,10.99
11.00,10.95,11.00,10.95
11.05,11.25,12.25,11.05
11.25,11.50,11.50,11.25
11.05,11.00,11.50,11.00
11.10,11.50,12.50,10.85
11.40,11.40,11.40,11.40
11.00,11.00,11.00,11.00
11.00,10.60,11.00,10.60
10.70,11.00,11.00,10.61
10.75,10.61,10.75,10.61
10.61,10.61,10.61,10.61
10.61,10.61,10.61,10.61
11.00,10.85,11.50,10.85
11.50,10.72,11.50,10.72
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.40,11.40,11.40,11.40
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
12.25,11.74,12.25,11.74
11.45,11.50,11.50,11.45
11.50,11.50,11.50,11.50
11.50,11.50,11.60,11.50
11.50,11.50,11.50,11.50
11.50,11.25,11.50,11.25
11.50,11.25,11.50,11.25
11.25,11.25,11.25,11.25
11.40,11.70,11.70,11.40
11.50,12.00,12.00,11.50
12.00,12.10,12.20,12.00
12.10,12.25,12.25,12.10
11.51,11.51,11.51,11.51
12.25,12.25,12.25,12.25
11.84,11.84,11.84,11.84
11.84,11.84,11.84,11.84
11.75,12.05,12.05,11.75
12.25,12.25,12.25,12.24
12.25,12.25,12.25,12.25
12.25,12.25,12.25,12.25
12.15,12.00,12.15,12.00
12.25,12.00,12.25,11.75
11.75,11.75,11.75,11.75
11.75,11.70,11.75,11.70
11.70,11.70,11.70,11.70
11.95,11.95,11.95,11.95
12.00,12.00,12.00,12.00
11.90,11.90,11.90,11.90
11.90,11.90,11.90,11.90
11.90,11.80,12.00,11.80
11.85,11.75,11.85,11.75
11.90,11.80,11.95,11.80
11.81,11.81,11.81,11.81
11.95,12.50,12.50,11.95
12.25,12.25,12.25,12.25
12.14,12.00,12.14,12.00
12.00,11.96,12.25,11.96
12.00,12.00,12.00,12.00
12.25,12.00,12.25,12.00
12.00,12.00,12.00,11.95
12.00,12.00,12.00,12.00
12.00,11.95,12.00,11.95
11.95,11.90,12.00,11.90
12.25,12.50,12.50,12.25
12.25,12.00,12.25,12.00
12.15,11.75,12.15,11.75
12.00,11.75,12.00,11.75
12.25,12.25,12.25,12.25
12.25,12.25,12.25,12.25
12.25,11.75,12.25,11.75
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
11.75,12.00,12.25,11.75
12.00,12.00,12.00,12.00
11.80,11.75,11.80,11.75
11.75,13.00,13.00,11.70
13.00,13.00,13.00,13.00
12.00,11.80,12.01,11.80
11.70,11.50,11.70,10.34
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.25,12.25,12.25,12.25
12.25,12.25,12.25,12.25
11.80,12.24,12.24,11.80
12.24,12.24,12.24,12.24
12.24,12.24,12.24,12.24
12.10,11.80,12.10,11.80
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,11.70
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
11.80,12.00,12.00,11.40
12.00,12.00,12.00,12.00
11.85,12.10,12.10,11.85
11.75,12.00,12.00,11.75
12.00,12.00,12.00,12.00
11.75,11.75,12.00,11.75
11.75,11.75,11.75,11.75
11.75,11.75,11.75,11.75
