LEN,Lennar Corporation Class A Common Stock,NASDAQ
12.81,13.01,13.02,12.65
12.95,13.55,13.60,12.72
13.51,13.70,13.75,13.25
14.93,15.46,16.00,14.62
15.40,15.95,16.07,15.19
16.07,16.26,16.35,15.98
16.15,16.13,16.53,15.95
16.29,16.25,16.44,15.85
16.52,16.35,16.84,16.28
16.27,15.96,16.38,15.85
15.76,16.21,16.34,15.76
16.06,15.74,16.14,15.71
15.77,15.31,15.88,15.28
15.31,14.78,15.57,14.71
15.05,14.70,15.10,14.42
14.62,14.56,14.95,14.51
14.55,15.11,15.16,14.30
15.33,15.39,15.87,15.02
15.49,15.36,15.96,15.27
15.47,15.32,15.49,15.06
15.64,16.55,16.63,15.64
16.37,16.26,16.52,15.91
15.89,15.34,15.99,15.24
15.30,14.71,15.45,14.22
14.75,15.39,15.85,14.52
15.40,15.60,15.67,15.03
15.67,15.61,15.70,15.18
15.96,16.99,17.00,15.80
16.78,16.96,17.19,16.55
17.18,17.34,17.37,17.15
17.52,17.34,17.88,17.09
17.23,17.04,17.29,16.75
16.92,17.31,17.44,16.92
17.43,17.17,17.54,16.97
17.08,16.28,17.25,16.09
16.45,16.27,16.56,15.26
15.91,16.27,16.32,15.59
16.21,16.41,16.47,15.79
16.48,16.64,16.70,16.41
16.80,16.60,16.95,16.50
16.64,16.79,16.97,16.56
16.68,16.55,16.93,16.34
16.71,17.01,17.04,16.61
17.10,17.20,17.31,16.98
17.27,17.29,17.47,17.00
17.29,16.93,17.41,16.80
16.81,16.64,16.88,16.43
16.74,16.33,16.82,16.22
16.50,16.09,16.50,15.86
16.26,16.74,16.84,16.10
16.76,16.64,17.01,16.58
16.56,16.54,16.74,16.41
16.11,16.11,16.73,16.10
15.89,16.30,16.41,15.89
16.38,17.06,17.13,16.17
18.09,17.69,18.33,17.53
17.98,18.05,18.58,17.81
18.22,18.30,18.93,18.17
18.47,18.24,18.56,17.80
17.87,18.05,18.49,17.87
17.92,17.21,18.04,17.17
17.32,17.13,17.60,17.01
17.36,17.56,17.73,17.18
17.46,17.29,17.48,17.05
17.31,16.95,17.52,16.78
16.88,17.26,17.35,16.81
17.38,17.52,17.60,17.27
17.58,17.17,17.71,17.03
17.22,17.28,17.55,17.13
17.40,18.28,18.43,17.28
18.20,17.79,18.23,17.65
17.67,17.15,17.69,16.98
17.00,17.24,17.57,16.97
17.45,17.97,18.00,17.33
18.03,18.52,18.63,17.90
18.38,19.74,19.84,18.07
20.23,20.53,21.79,20.09
20.17,20.10,21.03,20.10
19.80,18.94,19.99,18.84
19.15,19.35,19.70,19.07
19.44,20.52,20.92,19.43
20.60,19.92,21.17,19.88
20.11,20.71,20.96,19.97
20.34,20.02,20.50,19.40
19.65,19.31,20.12,19.15
19.10,18.45,19.64,16.79
18.33,17.49,18.70,17.17
18.74,19.76,19.80,18.40
19.47,19.46,20.10,19.26
19.70,19.46,20.05,19.06
19.51,18.75,19.56,18.62
18.75,18.41,18.75,17.95
18.49,18.42,18.49,17.31
18.69,18.16,19.20,18.11
17.86,18.15,18.66,17.74
17.56,17.44,18.06,17.37
16.97,17.47,17.66,16.87
17.48,17.30,17.87,17.27
16.78,17.16,17.20,16.53
17.43,17.25,18.19,17.16
17.87,17.57,17.88,17.15
17.48,17.30,17.80,17.21
17.02,16.33,17.16,16.31
16.42,16.55,16.72,16.40
16.78,16.28,16.79,16.00
15.94,15.47,16.14,15.35
15.47,14.76,15.66,14.69
14.80,14.75,15.00,14.23
14.94,14.43,15.22,14.32
14.70,15.58,15.67,14.51
15.32,15.55,15.77,15.18
15.75,15.25,15.89,15.18
15.47,15.76,15.79,15.26
15.48,15.55,15.94,15.30
15.54,15.30,15.54,14.94
15.35,14.74,15.35,14.66
15.05,14.57,15.22,14.49
