LGCY,Legacy Reserves LP - Units Representing Limited Partner Interests,NASDAQ
19.81,20.17,20.56,19.81
20.30,20.80,20.95,20.20
20.87,20.69,20.95,20.66
20.83,20.52,20.84,20.45
20.61,20.82,20.88,20.50
21.00,21.50,21.59,20.97
20.42,20.70,20.82,20.42
20.65,20.67,20.82,20.51
20.65,20.80,20.84,20.60
20.84,21.42,21.42,20.60
21.36,21.38,21.44,20.96
21.50,21.63,21.67,21.06
21.60,21.09,21.73,20.87
21.09,20.59,21.35,20.51
20.65,21.01,21.20,20.43
21.10,21.05,21.50,20.64
21.19,20.51,21.38,20.43
19.76,20.05,20.30,19.76
19.79,18.90,20.40,18.26
19.00,19.72,19.75,19.00
19.90,20.15,20.19,19.50
19.60,19.96,20.29,19.60
20.04,19.01,20.04,18.95
18.96,18.39,19.15,17.04
18.30,19.19,19.43,18.14
19.43,19.21,19.49,19.08
19.38,19.43,19.76,19.17
19.40,20.02,20.23,19.20
20.20,20.15,20.20,19.57
20.32,20.60,20.85,20.23
20.76,20.68,20.76,20.40
20.60,21.30,21.35,20.34
21.30,21.24,21.31,20.85
21.14,20.94,21.20,20.86
21.00,20.45,21.00,20.25
20.57,20.39,20.80,20.34
20.07,20.92,20.96,20.05
20.92,21.16,21.19,20.78
21.25,21.29,21.37,21.05
21.45,21.34,21.48,21.00
21.34,21.60,21.84,21.10
21.31,21.28,21.59,20.82
21.73,21.61,21.77,21.40
21.81,22.52,22.53,21.77
22.49,22.53,22.84,22.25
22.50,22.92,23.15,22.48
22.99,22.99,23.04,22.60
23.18,22.70,23.20,22.40
22.56,22.83,22.99,22.14
22.83,22.91,23.20,22.32
22.90,22.91,23.19,22.65
22.84,22.58,22.84,22.38
22.06,22.06,22.59,21.94
21.86,22.08,22.14,21.52
22.20,22.14,22.28,21.95
22.00,21.98,22.25,21.86
22.24,21.94,22.30,21.91
21.94,21.94,22.13,21.77
22.00,22.54,22.64,22.00
22.71,22.79,22.79,22.39
22.79,23.03,23.22,22.48
23.09,23.30,23.30,23.09
23.25,23.60,23.85,23.22
23.64,23.68,23.78,23.55
23.60,23.40,23.71,23.31
23.40,23.42,23.67,23.11
23.43,23.63,23.68,23.41
23.63,24.05,24.49,23.60
23.96,23.60,24.00,23.15
