LINC,Lincoln Educational Services Corporation - Common Stock,NASDAQ
21.73,21.95,22.26,21.70
22.04,22.32,23.34,21.96
22.23,22.59,23.33,22.20
22.65,22.26,22.75,21.90
22.06,21.41,22.07,21.30
21.50,21.37,21.79,21.12
21.35,21.21,21.39,21.12
21.30,21.12,21.34,20.94
21.12,21.11,21.21,20.89
21.24,21.15,21.26,20.90
20.96,21.63,21.64,20.96
22.34,21.24,22.34,21.13
21.36,21.16,21.75,21.16
21.09,21.05,21.42,20.97
21.21,20.90,21.26,20.88
20.81,20.81,21.07,20.52
20.87,21.31,21.39,20.52
21.28,20.96,21.28,20.64
21.05,20.72,21.12,20.63
20.59,20.50,20.78,20.30
20.67,20.12,20.75,20.11
20.15,20.42,20.72,20.15
20.31,19.73,20.31,19.71
19.76,19.42,19.98,19.22
19.42,19.10,19.91,18.91
19.23,19.41,19.44,18.90
19.34,19.50,19.68,19.08
19.52,19.43,19.68,19.18
19.30,19.51,19.60,18.99
19.14,20.00,20.00,19.05
20.00,20.37,20.38,19.60
20.30,20.98,21.11,20.24
21.01,20.93,21.38,20.71
21.01,21.15,21.30,20.89
21.04,21.30,21.35,21.04
21.28,21.51,21.60,21.16
21.38,21.77,21.84,21.20
21.83,22.30,22.57,21.67
22.22,22.85,22.96,22.12
22.95,22.49,23.20,22.35
24.60,24.34,24.87,23.83
24.43,24.74,24.77,23.91
24.86,25.73,25.89,24.34
25.98,25.60,25.99,25.50
25.67,25.55,25.75,25.34
25.55,25.98,26.04,25.55
25.85,26.58,26.74,25.51
26.74,26.80,27.17,26.60
26.50,26.67,26.89,25.90
26.86,27.25,27.36,26.62
27.19,27.71,27.82,26.90
27.76,27.98,28.06,27.35
27.78,27.78,28.09,27.28
27.86,27.75,28.08,27.26
27.69,28.10,28.17,27.52
28.01,27.17,28.10,27.17
27.21,26.71,27.23,26.62
26.75,26.75,27.04,26.58
26.93,26.38,26.93,26.24
26.35,26.50,26.73,26.06
25.41,25.30,25.69,25.30
25.22,25.32,25.49,25.10
25.51,25.07,25.73,24.89
24.95,25.50,25.53,24.60
25.30,25.45,25.58,25.11
25.43,25.18,25.43,24.98
25.99,25.70,25.99,25.31
25.93,25.78,25.93,25.51
25.75,26.77,26.87,25.70
27.01,27.30,27.78,26.80
27.43,27.49,27.52,27.23
27.45,27.47,27.66,27.19
27.43,27.17,27.43,26.95
27.45,27.25,27.69,27.03
27.40,27.94,28.21,27.16
27.76,27.32,27.76,27.25
27.64,27.12,28.21,26.96
27.21,26.78,27.34,26.55
26.81,25.65,26.81,25.65
25.82,25.26,26.13,24.88
25.59,25.18,25.62,24.22
25.05,24.96,25.60,24.77
24.83,24.97,25.36,24.54
24.74,24.22,24.93,23.78
23.91,24.29,24.33,23.50
24.30,23.91,24.44,23.59
23.80,22.99,23.83,22.76
24.29,24.17,24.55,23.51
24.10,24.49,24.84,23.91
24.53,25.00,25.00,24.45
25.07,24.91,25.19,24.78
24.77,24.68,24.79,24.42
24.70,25.15,25.28,24.27
25.33,24.74,25.90,24.52
24.53,23.93,24.68,23.55
23.36,23.16,24.14,23.06
22.91,23.44,23.77,22.50
23.52,23.29,23.65,22.98
22.91,23.04,23.30,22.50
23.17,23.82,24.26,23.17
24.18,24.25,24.27,23.69
24.27,23.83,24.32,23.76
23.06,22.79,23.36,22.63
22.75,23.19,23.33,22.46
23.00,23.06,23.36,22.71
22.79,21.92,22.87,21.89
21.92,21.45,22.06,21.38
21.58,21.41,21.64,21.11
21.56,21.56,21.74,21.15
22.49,22.36,22.76,21.77
22.10,22.55,22.89,21.69
22.55,22.45,22.95,22.37
22.35,22.82,22.92,22.01
22.55,22.74,23.25,22.55
22.90,22.71,22.90,22.56
22.83,22.71,23.13,22.10
22.96,22.40,22.96,22.26
22.51,21.65,22.62,21.60
21.70,21.46,21.72,21.26
21.34,21.38,21.75,21.12
21.39,20.96,21.39,20.78
20.91,21.10,21.44,20.66
20.81,20.69,21.12,20.39
20.63,20.59,20.94,20.42
20.55,19.93,20.67,19.79
20.00,19.44,20.00,19.31
19.61,19.08,19.87,18.64
19.09,19.03,19.45,18.61
19.24,19.50,19.52,18.40
19.53,20.10,20.11,19.34
20.06,19.87,20.10,19.64
20.11,20.68,20.74,20.05
20.68,20.75,20.87,20.52
20.82,20.41,20.82,20.27
20.24,20.28,20.38,19.65
20.18,21.00,21.09,20.18
20.82,21.23,21.27,20.72
21.43,20.76,21.47,20.56
21.01,20.95,21.13,20.71
20.78,21.55,21.60,20.78
21.53,21.25,21.54,21.19
21.44,21.06,21.46,21.01
20.94,20.97,21.12,20.73
21.00,20.88,21.16,20.71
20.63,21.09,21.19,20.57
21.30,21.47,21.54,21.21
21.34,20.71,21.44,20.68
20.74,20.62,20.91,20.31
17.83,16.30,18.40,16.23
15.98,15.20,15.99,15.12
15.20,14.75,15.21,14.69
14.61,14.04,14.67,13.89
13.75,14.00,14.28,13.68
13.71,13.14,13.83,13.05
13.07,12.07,13.19,12.03
11.58,11.35,11.83,10.91
11.30,11.36,11.59,11.07
11.32,11.95,12.10,11.17
11.87,11.78,11.99,11.45
11.69,11.19,11.87,11.06
11.20,10.95,11.28,10.80
10.80,10.31,10.95,10.15
10.14,10.43,10.50,9.73
10.42,10.99,11.09,10.42
11.06,11.31,11.40,10.70
11.19,10.97,11.67,10.97
11.00,10.92,11.16,10.65
11.08,11.27,11.61,11.08
11.26,11.82,11.86,11.21
11.95,12.40,12.46,11.72
12.25,11.56,12.33,11.49
11.64,11.40,11.93,11.30
11.70,12.03,12.09,11.57
12.10,12.59,12.77,11.92
12.71,12.70,12.92,12.43
12.69,12.13,12.69,12.12
12.11,12.29,12.41,11.85
12.24,12.37,12.55,12.04
12.53,12.85,12.95,12.49
13.01,13.44,13.61,12.88
13.44,12.87,13.51,12.76
12.87,12.81,12.92,12.57
12.74,13.65,13.96,12.55
13.78,14.00,14.50,13.73
13.92,13.59,14.10,13.55
13.71,13.91,13.93,13.37
13.80,13.86,14.09,13.71
13.93,14.41,14.45,13.66
14.48,14.26,14.75,14.21
14.18,13.31,14.33,13.25
13.46,14.08,14.25,13.30
14.03,14.12,14.41,13.87
14.17,13.64,14.19,13.64
13.60,13.65,13.76,13.40
13.70,14.27,14.34,13.56
14.20,13.65,14.24,13.55
13.70,13.79,13.96,13.64
12.79,12.28,12.94,11.82
12.43,12.07,12.43,12.00
12.08,12.70,12.74,12.08
12.51,12.07,12.56,12.00
12.09,12.23,12.36,12.00
12.25,12.25,12.35,12.02
12.30,12.60,12.62,12.27
12.61,12.83,13.03,12.58
12.78,12.80,12.97,12.50
12.70,12.64,12.70,12.49
12.76,12.57,12.94,12.55
12.50,12.46,12.60,12.39
12.48,12.41,12.62,12.36
12.54,12.36,12.59,12.17
13.80,14.52,14.57,13.25
14.46,15.93,16.24,14.26
15.98,15.37,16.19,15.30
15.37,15.11,15.37,14.90
15.15,15.10,15.26,14.78
15.24,15.73,15.77,15.11
15.55,15.66,15.78,15.38
15.57,14.91,15.79,14.89
14.96,14.81,15.16,14.81
14.68,14.55,14.83,14.39
14.63,14.73,14.85,14.43
15.03,15.47,15.55,14.83
15.44,15.19,15.44,15.05
15.11,14.88,15.11,14.56
14.57,14.61,14.69,14.37
14.79,15.09,15.16,14.79
14.87,14.83,15.04,14.71
14.71,14.91,14.97,14.49
14.60,14.66,14.78,14.53
14.96,15.21,15.28,14.71
15.17,15.51,15.72,15.16
15.45,16.14,16.15,15.28
16.09,16.09,16.35,15.84
16.34,16.53,17.18,16.31
16.62,16.77,16.85,16.50
16.92,16.41,16.92,16.31
15.33,15.21,15.67,15.06
15.14,15.44,15.54,14.95
15.45,15.43,15.66,15.32
15.45,15.19,15.68,15.15
15.19,14.93,15.21,14.80
15.16,15.54,15.80,14.99
15.56,15.76,15.91,15.27
15.75,15.51,15.92,15.32
15.49,15.61,15.74,15.31
15.60,15.58,15.69,15.52
15.59,15.60,15.73,15.42
15.60,15.39,15.60,15.15
15.35,15.55,15.73,15.26
15.49,15.69,15.80,15.45
15.71,15.51,15.80,15.50
15.72,15.79,15.82,15.50
15.79,15.29,15.87,15.10
15.33,15.80,15.81,15.30
15.85,15.99,16.12,15.62
16.05,15.48,16.16,15.35
14.98,14.28,14.98,14.13
14.54,14.47,14.83,14.00
14.63,14.74,14.99,14.35
14.79,14.69,14.91,14.62
14.73,14.70,14.86,14.64
14.75,14.94,15.02,14.61
14.90,14.33,14.95,14.15
14.29,14.47,14.57,14.16
14.60,14.70,14.84,14.50
14.66,14.96,15.12,14.66
14.88,15.01,15.09,14.88
15.09,15.54,15.67,14.99
15.62,15.80,15.93,15.34
15.92,15.19,15.92,15.05
15.21,15.10,15.32,15.00
15.30,15.53,15.63,15.11
15.51,15.16,15.63,15.12
15.17,15.59,15.75,14.91
15.64,15.41,15.64,15.23
15.29,15.61,15.72,15.27
15.55,15.64,15.72,15.26
15.53,15.66,15.84,15.52
15.56,15.66,15.80,15.50
15.55,15.76,15.78,15.42
15.70,15.93,15.99,15.70
15.77,15.58,15.85,15.49
15.71,15.75,15.86,15.54
15.74,15.60,15.83,15.59
15.75,15.88,16.10,15.61
15.26,15.49,15.88,15.25
15.42,15.32,15.61,15.12
15.31,15.49,15.50,15.00
15.51,15.82,15.82,15.41
15.75,15.51,15.99,15.44
15.50,15.36,15.70,15.29
15.29,15.34,15.43,15.07
15.46,16.11,16.42,15.36
16.12,16.37,16.57,15.80
16.40,16.30,16.61,16.08
16.33,16.62,17.00,16.28
16.63,16.51,16.83,16.44
16.42,15.69,16.50,15.68
15.29,15.73,15.86,14.90
15.49,15.44,15.74,15.28
15.00,14.99,15.29,14.62
14.88,14.81,15.00,14.54
15.04,14.53,15.04,14.52
14.78,14.77,14.91,14.49
14.80,15.02,15.15,14.76
15.02,15.46,15.58,15.00
15.39,15.69,15.69,15.26
15.77,16.07,16.22,15.77
16.19,16.35,16.49,16.10
16.36,16.16,16.50,16.11
15.98,15.88,16.02,15.36
16.04,15.82,16.11,15.77
15.70,15.89,15.97,15.67
16.07,16.36,16.39,15.60
16.40,16.43,16.47,16.07
16.41,16.41,16.41,16.30
16.48,16.56,16.79,15.80
16.65,16.66,16.86,16.51
16.83,16.60,16.96,16.54
16.70,16.51,16.94,16.46
16.33,16.25,16.47,15.96
16.32,15.71,16.32,15.58
15.64,15.75,15.91,15.52
15.70,15.94,15.96,15.62
15.69,15.73,15.77,15.46
15.81,15.59,15.83,15.58
15.88,15.50,15.88,15.26
15.63,15.67,15.69,15.22
15.74,16.19,16.31,15.73
16.25,16.39,16.46,16.17
16.37,16.66,16.72,16.34
16.68,16.78,16.79,16.41
16.75,16.70,16.83,16.52
16.75,16.76,16.95,16.71
16.77,16.70,16.90,16.53
16.81,16.57,17.00,16.57
16.00,16.06,16.34,15.49
16.18,15.14,16.33,14.81
15.04,15.16,15.35,14.90
15.21,14.48,15.22,14.31
14.41,14.11,14.65,14.02
14.03,14.88,14.96,13.92
14.86,14.73,14.87,14.51
14.61,14.84,15.11,14.59
14.64,14.72,14.77,14.54
14.72,15.11,15.15,14.64
15.23,14.97,15.24,14.69
14.86,14.73,14.88,14.51
14.43,14.45,14.71,14.37
14.47,14.69,14.75,14.46
14.69,14.78,14.85,14.62
14.80,14.64,14.80,14.50
14.69,14.78,14.79,14.43
14.87,14.63,14.87,14.40
14.51,14.59,14.84,14.11
16.92,15.65,17.38,15.32
15.33,15.50,15.64,15.02
15.55,15.18,15.63,15.14
15.32,15.00,15.38,14.95
14.92,14.62,14.94,14.57
14.69,14.62,14.82,14.62
14.55,14.38,14.72,14.15
