LL,Lumber Liquidators Holdings,NASDAQ
27.18,26.18,27.25,25.29
26.37,26.10,26.54,25.82
26.02,26.24,26.40,25.77
26.27,26.85,26.86,26.21
26.63,27.64,27.65,26.63
28.53,26.25,28.53,25.38
25.41,25.16,26.54,24.95
25.36,26.10,26.27,24.63
26.10,25.59,26.19,25.56
25.72,25.03,26.03,24.75
25.13,25.02,25.13,24.90
24.90,25.07,25.26,24.80
25.04,24.69,25.37,24.64
24.66,23.30,24.67,23.05
23.57,22.94,23.79,22.59
22.84,23.75,23.87,22.84
23.69,24.05,24.06,23.25
24.18,23.65,24.18,23.25
23.69,23.68,23.90,23.53
23.67,24.05,24.10,23.53
24.00,24.91,24.92,23.79
24.69,24.81,25.01,24.55
24.70,23.45,24.70,23.45
23.51,22.75,23.51,22.65
22.79,23.32,23.61,22.69
23.60,24.16,24.17,23.29
24.15,24.23,24.26,23.62
24.10,24.93,24.96,23.92
24.74,25.46,25.46,24.58
25.74,25.81,25.91,25.23
25.96,25.80,26.21,25.40
25.30,22.57,25.30,22.04
22.43,22.78,23.13,22.12
22.92,23.34,23.36,22.82
23.30,22.94,23.42,22.82
22.86,22.51,23.01,22.34
22.19,22.51,22.81,21.85
22.46,22.18,22.51,22.03
22.15,22.86,22.96,22.05
22.90,23.07,23.18,22.62
23.04,23.77,23.88,22.79
23.89,24.53,24.67,23.81
24.65,24.89,25.00,24.60
24.81,24.70,24.99,24.48
24.53,23.99,24.74,23.73
24.00,23.80,24.00,23.63
23.86,24.19,24.31,23.38
24.35,24.16,24.73,23.78
24.17,24.37,24.42,23.95
24.39,25.14,25.20,24.06
25.12,25.76,25.89,24.85
25.61,25.59,25.85,25.34
24.92,24.92,25.70,24.64
24.81,26.30,26.46,24.50
26.38,26.75,26.99,26.27
26.56,26.42,26.98,25.88
26.47,26.70,26.93,26.29
26.72,26.42,27.08,26.26
26.41,26.50,26.72,26.00
26.60,26.57,26.90,26.32
26.46,26.67,26.97,26.17
26.78,26.69,27.00,26.21
