MAIN,Main Street Capital Corporation Common Stock,NASDAQ
16.31,16.14,16.31,15.95
16.18,15.76,16.21,15.75
15.69,15.63,15.83,15.50
15.63,16.08,16.20,15.63
16.00,15.93,16.15,15.80
16.04,16.05,16.15,15.86
16.05,14.92,16.07,14.76
14.70,14.74,14.79,14.65
14.78,14.78,14.85,14.72
14.78,14.73,14.80,14.70
14.75,14.79,14.80,14.38
14.73,14.72,14.76,14.56
14.70,14.50,14.76,14.50
14.60,14.29,14.65,14.20
14.30,14.41,14.45,13.80
14.21,14.21,14.42,14.13
14.21,14.37,14.40,14.16
14.41,14.44,14.48,14.27
14.52,14.06,14.52,14.06
14.09,14.36,14.37,14.00
14.41,14.32,14.49,14.24
14.36,14.32,14.49,14.26
14.29,14.09,14.34,14.09
14.05,14.11,14.30,13.90
14.17,14.03,14.17,14.00
14.15,13.95,14.15,13.94
13.95,13.97,14.05,13.70
13.96,14.23,14.24,13.84
14.22,14.29,14.29,14.02
14.46,14.47,14.67,14.27
14.54,14.64,14.66,14.40
14.62,14.58,14.62,14.45
14.60,14.51,14.60,14.45
14.64,14.50,14.65,14.43
14.53,14.41,14.58,14.37
14.49,14.56,14.64,14.25
14.64,14.46,14.64,14.33
14.54,14.45,14.54,14.34
14.41,14.53,14.55,14.41
14.60,14.62,14.64,14.40
14.65,14.59,14.65,14.51
14.59,14.59,14.64,14.56
14.60,14.83,14.85,14.50
15.10,14.94,15.10,14.91
15.10,15.04,15.10,14.95
15.05,15.05,15.09,14.97
15.00,15.10,15.15,15.00
15.10,15.15,15.20,15.01
15.43,15.35,15.50,15.13
15.40,15.30,15.40,15.06
15.40,15.33,15.40,15.10
15.35,15.13,15.39,15.12
15.14,15.14,15.27,15.06
15.18,15.32,15.62,15.15
15.31,15.25,15.44,15.15
15.15,15.45,15.50,15.15
15.50,15.34,15.50,15.30
15.30,15.38,15.50,15.15
15.41,15.46,15.46,15.30
15.41,15.55,15.57,15.37
15.50,15.61,15.78,15.39
15.63,15.82,15.92,15.61
15.92,16.00,16.03,15.80
16.01,16.01,16.24,15.20
16.00,15.90,16.13,15.88
15.90,15.90,16.00,15.84
15.95,15.89,16.00,15.86
15.97,15.84,16.09,15.79
15.87,15.98,16.00,15.75
16.00,16.20,16.23,15.90
16.25,16.19,16.25,16.10
16.21,16.09,16.31,16.05
15.96,16.01,16.31,15.87
16.20,16.09,16.20,15.90
16.03,16.00,16.17,15.97
15.99,16.03,16.10,15.90
16.08,16.07,16.09,15.98
16.18,16.21,16.25,16.00
16.21,15.85,16.21,15.85
16.33,15.87,16.33,15.76
15.94,15.99,16.10,15.89
16.05,15.84,16.05,15.83
15.88,16.18,16.20,15.84
16.10,15.96,16.10,15.82
15.97,15.09,15.97,15.03
15.02,14.38,15.59,10.45
14.40,14.54,15.11,13.85
15.25,15.66,16.20,15.09
15.55,15.72,15.93,15.25
15.73,16.13,16.13,15.50
16.10,16.03,16.15,15.76
15.83,15.59,15.91,15.35
