MATW,Matthews International Corporation - Class A Common Stock,NASDAQ
35.56,35.87,36.30,35.56
35.73,34.79,35.73,34.45
34.63,34.00,34.68,33.72
33.93,34.44,34.49,33.76
34.36,34.53,34.53,34.04
34.73,34.59,34.73,34.38
34.39,34.60,34.63,34.39
34.75,34.82,34.99,34.52
34.64,35.07,35.16,34.48
35.20,34.44,35.20,34.06
34.59,35.02,35.28,34.58
34.70,34.29,34.91,33.97
34.42,34.01,34.42,33.92
34.01,34.19,35.57,33.97
34.55,34.33,34.55,33.85
34.14,34.29,34.60,33.43
34.05,34.66,34.79,33.90
34.59,34.01,34.59,33.91
34.00,33.85,34.35,33.71
33.85,34.05,34.15,33.68
34.00,33.95,34.37,33.93
33.73,33.15,34.02,32.95
33.29,32.43,33.29,32.41
32.40,32.37,32.54,31.81
32.33,31.80,32.33,31.59
32.13,32.22,32.33,31.69
32.05,31.85,32.05,31.38
31.72,31.73,32.04,31.33
31.83,32.50,32.57,31.73
32.53,32.31,32.55,32.01
32.46,32.75,32.76,32.14
32.82,33.20,33.35,32.63
33.26,34.17,34.29,32.97
34.05,34.03,34.20,33.65
34.05,33.98,34.37,33.43
33.98,34.17,34.22,33.80
33.70,34.09,34.26,33.60
34.20,33.52,34.20,33.51
33.68,33.75,34.13,33.60
33.71,33.78,33.88,33.61
33.95,33.88,34.09,33.78
33.80,33.60,33.95,33.55
33.56,33.91,33.95,33.56
33.80,34.05,34.09,33.61
33.87,34.19,34.54,33.73
34.08,34.52,34.58,33.78
34.21,34.43,34.45,34.00
34.42,34.58,34.58,34.01
34.58,34.93,34.93,34.43
34.90,35.25,35.27,34.83
35.41,35.53,35.66,35.34
35.59,35.46,35.71,35.41
35.65,35.08,37.00,34.99
34.81,35.36,35.46,34.81
35.25,36.05,36.14,35.10
36.03,35.94,36.19,35.69
36.20,35.23,36.25,35.14
35.38,34.99,35.48,34.82
35.16,35.17,35.30,34.99
35.28,35.62,35.62,35.09
35.41,35.50,36.03,35.19
35.70,35.12,35.70,34.65
35.05,35.60,35.89,35.01
35.38,36.00,36.13,35.38
35.83,35.73,36.06,34.31
35.54,35.70,35.88,35.47
35.81,35.46,35.81,35.28
35.50,35.54,35.74,35.36
35.56,35.87,35.93,35.20
35.94,36.15,36.20,35.22
36.06,36.38,36.58,35.99
36.39,36.14,36.39,35.58
36.15,35.87,36.21,35.36
35.92,35.90,36.26,35.75
