MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
20.50,20.50,20.50,20.50
20.50,20.50,20.50,20.50
20.50,20.50,20.50,20.50
20.50,20.50,20.50,20.50
20.50,20.50,20.50,20.50
20.50,20.50,20.50,20.50
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.50,21.50,21.50,21.50
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.50,22.00,22.00,21.50
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
21.00,21.00,21.00,21.00
22.00,22.00,22.00,22.00
19.50,19.50,19.50,19.50
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
20.00,20.00,20.00,20.00
19.55,19.55,19.55,19.55
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
22.50,23.50,23.50,22.50
23.50,23.50,23.50,23.50
24.65,23.50,24.65,23.50
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
24.00,24.00,24.00,24.00
24.50,24.50,24.50,24.50
24.50,24.50,24.50,24.50
24.00,24.00,24.00,24.00
24.00,23.50,24.00,23.50
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
21.25,21.25,21.25,21.25
22.00,22.00,22.00,22.00
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
23.00,23.00,23.00,23.00
21.50,23.00,23.00,21.50
