MDSO,Medidata Solutions,NASDAQ
15.84,16.02,16.04,15.59
16.00,15.56,16.20,15.38
15.60,15.80,15.93,15.37
15.73,16.00,16.13,15.53
15.86,15.62,16.00,15.47
15.62,15.98,16.01,15.62
15.91,15.89,16.15,15.59
15.87,15.86,15.98,15.56
15.80,15.76,16.00,15.69
15.83,15.56,15.97,15.40
15.58,16.01,16.05,15.48
15.91,16.31,16.38,15.68
16.29,15.97,16.30,15.77
15.90,15.88,16.24,15.72
15.93,15.70,16.01,15.66
15.60,16.25,16.68,15.51
16.14,16.67,16.69,16.00
16.57,16.64,16.89,16.37
16.65,16.68,16.84,16.43
16.65,16.77,16.91,16.50
15.99,16.78,16.98,15.85
16.66,16.72,16.78,16.30
16.70,16.07,16.70,16.05
15.75,14.97,15.75,14.90
14.95,14.87,15.21,14.82
15.01,15.26,15.29,14.84
15.24,15.07,15.24,14.88
15.07,15.09,15.19,14.95
14.92,15.09,15.11,14.50
15.15,15.00,15.15,14.95
15.10,15.01,15.32,14.79
15.04,15.27,15.31,14.85
15.25,15.19,15.40,15.10
15.16,15.02,15.20,14.82
14.96,15.27,15.41,14.86
15.27,15.03,15.33,14.84
14.98,15.07,15.16,14.84
15.05,15.42,15.51,14.86
15.43,15.55,15.55,15.22
15.64,15.88,16.12,15.56
15.90,15.69,15.96,15.60
15.78,15.75,15.78,15.38
16.00,15.85,16.17,15.83
15.80,15.37,15.86,15.12
15.26,15.39,15.49,15.10
15.34,15.03,15.43,14.99
15.00,15.25,15.27,14.97
15.26,15.32,15.36,15.11
15.29,15.18,15.29,15.05
15.25,15.12,15.25,15.02
15.09,15.15,15.20,15.05
15.21,15.47,15.48,15.15
15.66,15.66,15.67,15.38
15.51,15.88,15.88,15.41
15.78,15.13,15.78,14.96
15.00,15.26,15.62,14.89
15.27,15.26,15.59,15.09
15.25,15.25,15.32,15.15
15.25,15.28,15.38,15.22
15.22,15.25,15.35,15.11
15.14,15.20,15.31,15.00
15.15,15.25,15.25,14.90
15.23,15.25,15.25,15.05
15.15,15.35,15.37,15.05
15.27,15.26,15.37,15.15
15.29,15.10,15.29,15.00
15.16,15.00,15.21,14.92
15.07,15.24,15.30,15.07
15.19,15.21,15.32,15.00
15.25,15.17,15.29,15.06
15.10,15.29,15.29,15.10
15.74,15.96,16.69,15.72
16.00,15.71,16.26,15.63
15.71,15.88,15.91,15.51
15.83,15.46,15.93,15.40
15.45,15.20,15.45,15.17
15.20,14.84,15.28,14.80
14.85,14.90,15.15,14.85
14.86,14.64,15.25,14.62
14.70,14.96,15.10,14.51
15.03,15.01,15.10,14.86
14.97,14.67,15.02,14.64
14.67,15.13,15.14,14.60
14.96,14.84,15.17,14.73
14.82,14.89,14.95,14.74
14.87,14.50,14.91,14.00
14.50,14.48,14.90,14.23
14.88,14.59,15.00,14.22
14.44,14.63,14.71,14.17
14.64,15.46,15.56,14.64
15.38,15.49,15.95,15.36
15.32,15.26,15.33,14.90
15.26,15.55,15.60,14.95
15.63,15.35,15.63,15.15
15.24,14.34,15.30,14.30
14.10,13.88,14.19,13.51
13.68,13.85,14.11,13.50
13.80,13.93,14.23,13.55
13.68,13.81,13.86,13.36
13.79,13.64,13.86,13.50
13.89,14.26,14.26,13.77
14.28,14.05,14.36,13.44
13.95,13.93,14.35,13.93
13.99,14.37,14.37,13.83
14.29,14.97,14.99,14.16
14.70,14.63,14.79,14.44
14.74,14.02,14.74,13.93
14.05,14.85,14.85,13.72
14.91,14.49,14.96,14.39
14.52,14.50,14.55,14.28
14.32,14.50,14.51,14.32
14.58,14.42,14.80,14.35
14.48,14.95,14.97,14.38
14.85,14.92,15.15,14.68
15.00,15.13,15.15,14.93
15.20,15.50,15.67,15.09
15.65,15.50,15.78,15.18
15.49,15.33,15.80,15.15
15.31,15.33,15.76,15.01
15.33,15.89,15.94,15.30
15.88,16.42,16.57,15.63
16.27,15.58,16.27,15.53
15.41,15.29,15.41,14.99
15.34,15.49,15.71,15.09
15.55,15.52,15.78,15.13
15.59,15.81,15.89,15.44
15.91,15.61,15.98,15.56
15.68,15.83,15.86,15.45
15.95,15.87,16.25,15.70
15.82,16.00,16.03,15.82
16.00,15.97,16.16,15.91
16.00,15.80,16.08,15.69
15.88,15.94,16.07,15.82
15.90,15.79,16.01,15.54
15.66,15.38,15.85,15.36
15.38,15.06,15.52,15.00
14.96,15.64,15.75,14.75
15.72,15.20,15.77,15.11
15.37,15.30,15.47,15.26
15.31,15.38,15.41,15.12
15.45,15.65,15.72,15.31
15.73,15.50,15.80,15.44
15.50,15.20,15.50,15.19
15.21,15.17,15.44,15.08
15.02,15.08,15.34,14.91
15.20,15.22,15.45,15.12
15.14,15.32,15.79,15.09
15.33,15.99,16.00,15.33
15.89,15.93,16.00,15.71
15.71,15.79,15.85,15.58
15.80,16.12,16.13,15.63
15.96,16.35,16.42,15.95
16.13,15.99,16.26,15.90
15.82,16.19,16.27,15.66
16.21,16.74,16.93,15.95
16.75,16.77,16.96,16.52
16.91,16.95,17.15,16.80
16.97,17.15,17.17,16.79
17.08,16.74,17.13,16.64
16.72,16.56,16.78,16.51
16.50,16.50,16.71,16.28
16.36,16.38,16.66,16.23
16.33,16.70,16.86,16.33
16.63,16.45,16.70,16.34
16.59,17.29,17.57,16.53
17.27,17.04,17.42,16.96
17.10,17.15,17.25,16.86
17.28,17.66,17.75,17.08
17.75,17.21,17.75,17.00
17.22,17.29,17.33,17.02
17.20,17.08,17.29,17.01
17.13,17.40,17.49,17.03
17.50,17.43,17.51,17.14
17.55,17.63,17.75,17.38
17.68,17.94,17.99,17.61
17.83,17.71,18.00,17.64
17.62,17.50,17.75,17.42
17.99,17.98,18.00,17.83
18.00,18.30,18.71,18.00
18.26,18.26,18.75,17.97
18.28,17.98,18.34,17.91
17.99,17.56,18.02,17.38
17.45,17.55,17.93,17.17
17.75,18.20,18.21,17.55
