MDXG,MiMedx Group,NASDAQ
0.73,0.75,0.75,0.72
0.75,0.75,0.75,0.75
0.78,0.80,0.80,0.78
0.80,0.80,0.80,0.78
0.80,0.78,0.80,0.78
0.76,0.84,0.85,0.76
0.81,0.84,0.84,0.81
0.84,0.85,0.85,0.84
0.85,0.87,0.87,0.81
0.85,0.87,0.87,0.85
0.87,0.90,0.90,0.87
0.90,0.95,0.95,0.90
0.95,1.00,1.00,0.95
1.00,1.03,1.09,1.00
1.03,1.12,1.12,1.03
1.12,1.30,1.34,1.12
1.30,1.51,1.70,1.30
1.45,1.27,1.50,1.20
1.30,1.45,1.45,1.30
1.45,1.40,1.45,1.38
1.35,1.45,1.45,1.35
1.45,1.45,1.51,1.40
1.45,1.55,1.60,1.45
1.55,1.62,1.62,1.55
1.70,1.70,1.77,1.65
1.70,1.75,1.75,1.70
1.75,1.72,1.80,1.72
1.72,1.60,1.72,1.59
1.55,1.50,1.60,1.50
1.57,1.55,1.57,1.50
1.57,1.58,1.60,1.56
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.55
1.55,1.50,1.55,1.49
1.45,1.65,1.65,1.39
1.44,1.50,1.50,1.44
1.45,1.45,1.48,1.45
1.45,1.45,1.45,1.45
1.45,1.47,1.52,1.40
1.45,1.45,1.50,1.40
1.45,1.51,1.60,1.45
1.51,1.60,1.60,1.51
1.61,1.60,1.61,1.49
1.62,1.60,1.62,1.59
1.60,1.72,1.72,1.60
1.65,1.67,1.67,1.64
1.65,1.65,1.70,1.65
1.45,1.65,1.70,1.45
1.65,1.60,1.65,1.60
1.55,1.55,1.60,1.55
1.60,1.55,1.60,1.55
1.57,1.57,1.60,1.57
1.57,1.57,1.66,1.51
1.51,1.57,1.58,1.51
1.58,1.57,1.64,1.57
1.60,1.60,1.61,1.57
1.60,1.57,1.60,1.57
1.60,1.57,1.60,1.57
1.55,1.54,1.56,1.53
1.57,1.60,1.60,1.55
1.50,1.40,1.54,1.40
1.45,1.50,1.54,1.45
1.54,1.55,1.57,1.53
1.55,1.50,1.55,1.45
1.46,1.46,1.50,1.46
1.48,1.46,1.48,1.46
1.47,1.50,1.50,1.46
1.50,1.50,1.52,1.49
1.51,1.50,1.52,1.50
1.50,1.49,1.50,1.45
1.46,1.50,1.50,1.46
1.50,1.45,1.50,1.40
1.50,1.50,1.50,1.50
1.49,1.45,1.49,1.45
1.45,1.45,1.45,1.45
1.47,1.45,1.48,1.45
1.45,1.45,1.49,1.45
1.40,1.35,1.40,1.30
1.40,1.35,1.49,1.35
1.35,1.40,1.40,1.35
1.40,1.40,1.40,1.40
1.40,1.30,1.44,1.30
1.35,1.35,1.39,1.35
1.35,1.30,1.35,1.30
1.30,1.25,1.30,1.17
1.25,1.06,1.25,1.02
1.20,1.15,1.25,1.15
1.20,1.30,1.30,1.17
1.30,1.20,1.30,1.20
1.30,1.30,1.34,1.30
1.29,1.20,1.29,1.20
1.20,1.25,1.25,1.20
1.35,1.25,1.35,1.24
1.25,1.20,1.30,1.20
1.15,1.15,1.25,1.15
1.15,1.06,1.15,1.06
1.20,1.18,1.25,1.18
1.15,1.10,1.18,1.10
1.10,1.00,1.10,0.52
1.05,1.10,1.20,1.05
1.10,1.11,1.20,1.10
1.17,1.15,1.18,1.10
1.18,1.20,1.20,1.18
1.20,1.16,1.20,1.11
1.20,1.15,1.20,1.15
1.15,1.15,1.15,1.15
1.19,1.10,1.20,1.10
1.15,1.15,1.15,1.15
1.17,1.10,1.17,1.10
1.11,1.15,1.15,1.05
1.10,1.10,1.15,1.10
1.10,1.10,1.14,1.10
1.14,1.14,1.14,1.14
1.14,1.07,1.14,1.07
1.09,1.09,1.10,1.09
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.11,1.10,1.11,1.10
1.12,1.10,1.12,1.10
1.11,1.10,1.11,1.05
1.10,1.07,1.10,1.05
1.07,1.07,1.07,1.07
1.02,1.05,1.05,1.02
1.05,1.05,1.05,1.05
1.13,1.05,1.13,1.05
1.05,1.05,1.05,1.00
1.07,1.10,1.11,1.07
1.10,1.10,1.10,1.07
1.10,1.15,1.15,1.09
1.18,1.18,1.18,1.18
1.18,1.20,1.21,1.17
1.21,1.21,1.21,1.21
1.20,1.37,1.37,1.20
1.30,1.45,1.47,1.25
1.50,1.48,1.50,1.30
1.44,1.45,1.45,1.40
1.40,1.35,1.45,1.35
1.33,1.28,1.33,1.26
1.28,1.43,1.43,1.28
1.43,1.25,1.47,1.25
1.25,1.05,1.29,1.00
1.10,1.05,1.10,1.05
1.05,1.09,1.09,1.05
1.10,1.00,1.10,1.00
1.02,1.05,1.05,1.02
1.01,1.01,1.09,1.01
1.02,1.02,1.02,0.97
1.09,1.09,1.09,1.06
1.09,1.09,1.09,1.09
1.05,1.08,1.08,1.02
1.05,1.08,1.08,1.05
1.09,1.09,1.10,1.09
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.10,1.10,1.10,1.10
1.11,1.11,1.11,1.11
1.11,1.15,1.24,1.11
1.15,1.10,1.15,1.10
1.10,1.10,1.10,1.10
1.02,1.04,1.04,1.02
1.08,1.09,1.10,1.08
1.02,1.00,1.03,0.88
0.98,1.02,1.02,0.93
1.02,0.99,1.03,0.99
1.00,1.00,1.00,0.98
1.00,1.01,1.04,1.00
1.00,1.01,1.01,0.98
0.98,1.07,1.07,0.98
1.01,1.05,1.05,1.01
1.01,1.00,1.01,1.00
1.01,1.01,1.01,1.01
1.05,1.04,1.05,1.04
1.04,1.04,1.04,1.04
1.07,1.09,1.10,1.07
1.09,1.14,1.15,1.07
1.15,1.03,1.15,1.03
1.05,1.10,1.10,1.01
1.10,1.04,1.15,1.03
1.07,1.05,1.07,1.05
1.07,1.09,1.10,1.07
1.08,1.07,1.15,1.07
1.09,1.07,1.09,1.07
1.07,1.04,1.07,1.04
1.04,1.07,1.07,1.03
1.04,1.04,1.04,1.04
1.04,1.01,1.04,1.01
1.02,1.03,1.03,1.02
1.01,1.01,1.01,1.00
1.00,1.00,1.00,0.99
1.00,1.00,1.00,1.00
0.98,1.11,1.11,0.98
