MEI,Methode Electronics,NASDAQ
8.96,8.89,9.14,8.82
8.90,8.96,9.29,8.72
8.92,8.96,9.14,8.88
8.92,9.05,9.05,8.80
9.57,11.32,11.34,9.53
11.44,12.36,12.50,11.44
12.23,12.24,12.34,12.10
12.24,12.52,12.74,11.69
12.49,12.32,12.75,12.14
12.28,11.99,12.37,11.70
12.07,12.03,12.18,11.64
11.83,11.90,11.94,11.44
11.91,11.86,12.16,11.72
11.86,11.87,12.40,11.85
12.02,12.32,12.60,11.86
12.21,12.22,12.44,11.94
12.15,12.48,12.54,12.05
12.51,11.63,12.51,11.58
11.73,10.99,11.85,10.88
11.04,11.08,11.23,10.70
11.06,11.08,11.13,10.77
10.98,10.71,11.10,10.40
10.55,10.50,10.73,10.38
10.51,11.19,11.29,10.42
11.20,10.55,11.27,10.54
10.73,10.95,10.95,10.21
10.91,11.40,11.46,10.72
11.38,12.11,12.14,11.17
11.95,12.81,12.96,11.78
13.17,13.13,13.17,12.65
13.15,13.11,13.22,12.76
13.05,13.97,14.32,12.89
13.71,13.59,14.00,13.38
13.69,13.42,13.69,13.28
13.34,12.67,13.34,12.51
12.67,12.75,13.19,12.66
12.48,12.93,12.93,12.31
12.97,12.44,13.15,12.33
12.57,12.99,13.04,12.31
13.07,13.01,13.20,12.77
12.98,13.01,13.16,12.82
13.09,11.52,13.09,11.44
11.60,10.85,11.60,10.68
10.78,10.03,10.85,9.87
10.23,10.03,10.65,9.96
10.05,10.11,10.30,9.95
10.00,10.05,10.15,9.92
10.06,10.13,10.20,10.00
10.10,10.03,10.13,10.00
10.04,9.89,10.12,9.73
9.97,10.08,10.24,9.95
10.08,10.04,10.19,9.98
10.00,10.00,10.14,9.99
9.86,10.15,10.16,9.70
10.20,10.39,10.48,10.07
10.44,10.08,10.50,10.04
10.16,10.10,10.32,10.07
10.13,10.12,10.23,10.03
10.20,10.16,10.24,10.13
10.21,10.19,10.34,10.12
10.10,9.90,10.19,9.86
9.96,9.99,10.09,9.80
10.08,10.29,10.30,10.00
10.22,10.17,10.38,10.12
10.11,10.42,10.45,10.11
10.33,10.44,10.50,10.26
10.40,10.47,10.50,10.30
10.42,11.29,11.39,10.42
11.28,11.01,11.38,10.96
11.07,11.24,11.30,10.86
11.21,11.02,11.21,10.86
11.00,11.32,11.38,10.97
11.21,11.11,11.42,10.89
11.14,11.14,11.26,10.94
11.24,11.24,11.33,10.94
11.09,11.39,11.42,10.99
11.37,11.74,11.82,11.21
11.75,11.68,11.87,11.45
11.57,11.32,11.85,11.22
11.44,11.38,11.66,11.30
11.48,11.80,11.86,11.28
11.83,11.10,11.97,11.06
11.22,11.47,11.60,11.15
11.29,11.03,11.35,10.93
