MFM,MFS Municipal Income Trust Common Stock,NASDAQ
6.86,6.85,6.94,6.78
6.88,6.95,6.97,6.87
6.91,6.93,6.95,6.90
6.93,6.97,6.99,6.91
6.98,6.93,6.98,6.88
6.88,6.94,6.97,6.88
6.87,6.87,6.95,6.83
6.84,6.94,7.00,6.84
6.91,6.95,6.96,6.90
6.87,6.96,7.00,6.87
6.96,6.93,6.97,6.93
6.95,6.93,6.95,6.93
6.93,6.88,7.02,6.88
6.88,6.84,6.90,6.84
6.90,6.87,6.90,6.84
6.89,6.96,6.96,6.89
7.00,6.98,7.03,6.92
6.96,6.93,7.01,6.93
7.01,6.84,7.05,6.83
6.90,6.87,6.95,6.85
6.87,6.93,6.95,6.86
6.94,7.00,7.00,6.93
6.95,6.87,6.99,6.87
6.88,6.90,6.99,6.84
6.97,6.80,6.97,6.78
6.80,6.70,6.80,6.65
6.67,6.57,6.68,6.54
6.57,6.59,6.64,6.57
6.59,6.60,6.64,6.59
6.65,6.60,6.65,6.60
6.61,6.60,6.64,6.58
6.61,6.62,6.62,6.58
6.63,6.56,6.64,6.49
6.53,6.52,6.57,6.45
6.54,6.65,6.65,6.51
6.65,6.70,6.70,6.61
6.64,6.63,6.67,6.62
6.66,6.65,6.72,6.59
6.72,6.70,6.72,6.67
6.72,6.79,6.80,6.72
6.80,6.74,6.80,6.72
6.75,6.75,6.79,6.75
6.79,6.69,6.79,6.66
6.72,6.69,6.72,6.66
6.65,6.66,6.67,6.60
6.64,6.69,6.70,6.64
6.69,6.66,6.70,6.64
6.67,6.62,6.68,6.58
6.60,6.59,6.64,6.55
6.63,6.58,6.63,6.58
6.59,6.67,6.67,6.59
6.67,6.68,6.70,6.66
6.68,6.68,6.71,6.68
6.68,6.75,6.75,6.68
6.75,6.76,6.78,6.73
6.75,6.79,6.79,6.72
6.78,6.82,6.82,6.77
6.78,6.77,6.83,6.77
6.75,6.78,6.80,6.72
6.81,6.79,6.83,6.76
6.82,6.84,6.86,6.80
6.88,6.84,6.89,6.81
6.82,6.88,6.88,6.82
6.88,6.92,6.97,6.86
6.94,6.96,7.00,6.90
6.98,7.00,7.00,6.96
6.97,6.97,7.02,6.97
6.92,6.97,6.99,6.91
6.95,7.00,7.00,6.92
7.01,6.96,7.03,6.95
6.96,6.85,6.96,6.82
6.88,6.91,6.91,6.87
6.88,6.83,6.89,6.70
6.83,6.84,6.87,6.81
6.82,6.85,6.87,6.81
6.81,6.89,6.89,6.79
6.86,6.91,6.91,6.86
6.90,6.91,6.91,6.87
6.90,6.92,6.94,6.88
6.89,6.97,6.98,6.89
6.95,6.96,6.97,6.93
6.98,6.89,6.98,6.86
6.93,6.95,6.96,6.90
6.96,6.98,6.98,6.93
6.98,7.00,7.00,6.97
6.99,6.65,6.99,2.74
6.71,6.75,6.80,6.67
6.87,6.84,6.90,6.81
6.70,6.88,6.89,6.70
6.89,6.95,6.95,6.85
6.93,6.96,6.96,6.90
6.89,6.78,6.92,6.66
6.78,6.77,6.80,6.72
6.79,6.76,6.82,6.73
6.75,6.71,6.80,6.68
6.67,6.60,6.70,6.51
6.43,6.63,6.67,6.38
6.55,6.72,6.72,6.55
6.65,6.68,6.69,6.45
6.74,6.75,6.83,6.58
6.78,6.84,6.85,6.75
6.90,6.84,6.90,6.82
6.85,6.81,6.85,6.79
6.81,6.88,6.90,6.78
6.89,6.91,6.93,6.87
6.87,6.91,6.92,6.86
6.91,6.93,6.93,6.90
6.90,6.88,6.91,6.82
6.86,6.86,6.91,6.85
6.91,6.82,6.94,6.81
6.86,6.85,6.88,6.81
6.90,6.89,6.95,6.85
6.90,6.88,6.93,6.87
6.88,6.83,6.89,6.83
6.85,6.85,6.87,6.84
6.86,6.94,6.94,6.86
6.91,6.88,6.93,6.85
6.86,6.83,6.87,6.82
6.83,6.81,6.85,6.80
6.81,6.81,6.86,6.79
6.80,6.88,6.90,6.79
6.90,6.94,6.94,6.87
6.93,6.94,6.94,6.88
6.93,6.95,6.95,6.91
6.94,6.96,6.96,6.93
6.96,6.99,7.00,6.93
7.00,7.00,7.00,6.96
7.00,7.01,7.01,6.95
7.01,7.01,7.05,7.00
7.02,7.06,7.06,7.01
7.04,6.94,7.04,6.88
6.99,6.96,6.99,6.94
6.95,6.94,6.96,6.92
6.95,7.08,7.08,6.91
7.07,7.02,7.07,6.98
7.01,7.05,7.05,7.01
7.04,7.08,7.08,7.03
7.06,7.07,7.11,7.06
7.12,7.12,7.12,7.07
7.08,7.14,7.14,7.07
7.13,7.13,7.17,7.12
7.13,7.07,7.17,7.07
7.06,7.09,7.13,7.06
7.08,7.10,7.13,7.07
7.10,7.11,7.15,7.09
7.16,7.19,7.22,7.13
7.20,7.26,7.26,7.17
7.25,7.33,7.39,7.25
7.32,7.24,7.32,7.22
7.24,7.32,7.32,7.24
7.30,7.33,7.33,7.30
7.30,7.31,7.39,7.28
7.31,7.12,7.35,7.12
7.10,7.09,7.18,7.07
7.12,7.18,7.20,7.10
7.20,7.19,7.20,7.15
7.17,7.21,7.21,7.14
7.19,7.16,7.23,7.15
7.18,7.18,7.24,7.17
7.18,7.23,7.23,7.18
7.23,7.20,7.23,7.16
7.16,7.16,7.21,7.16
7.17,7.18,7.18,7.14
7.13,7.24,7.25,7.13
7.23,7.19,7.24,7.17
7.18,7.19,7.19,7.16
7.25,7.18,7.25,7.17
7.18,7.19,7.19,7.17
7.20,7.19,7.22,7.16
7.17,7.13,7.19,7.10
7.15,7.11,7.17,7.07
7.10,7.14,7.16,7.10
7.14,7.16,7.16,7.13
7.14,7.17,7.17,7.11
7.11,7.16,7.16,7.08
7.13,7.14,7.16,7.10
7.13,6.99,7.13,6.98
