MFSF,MutualFirst Financial Inc. - Common Stock,NASDAQ
5.94,5.90,5.94,5.90
6.02,6.00,6.18,6.00
5.95,5.95,5.95,5.95
6.15,6.24,6.29,6.11
6.06,6.05,6.06,6.05
6.01,5.96,6.01,5.96
5.96,5.96,5.96,5.96
6.00,6.00,6.00,6.00
6.16,6.16,6.16,6.16
6.01,6.01,6.01,6.01
6.01,5.95,6.02,5.94
6.00,6.00,6.00,6.00
5.51,6.25,6.40,5.51
6.26,6.41,6.41,6.26
6.07,6.10,6.10,6.07
6.49,6.53,6.57,6.48
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.33,6.47,6.47,6.33
6.50,6.52,6.59,6.50
6.52,6.52,6.52,6.52
6.45,6.45,6.46,6.33
6.13,6.45,6.45,6.12
6.40,6.33,6.41,6.33
6.33,6.33,6.33,6.33
6.18,6.28,6.28,6.18
6.28,6.28,6.28,6.28
6.25,6.25,6.26,6.25
6.18,6.25,6.25,6.18
6.18,6.18,6.18,6.18
6.25,6.35,6.40,6.25
6.30,6.25,6.30,6.18
6.20,6.01,6.25,6.00
6.07,6.00,6.10,6.00
6.00,6.00,6.00,6.00
5.97,5.95,5.97,5.90
5.92,5.87,5.97,5.87
6.00,5.89,6.01,5.75
5.97,5.93,5.98,5.93
5.93,5.84,5.93,5.77
5.96,5.85,5.97,5.85
5.85,5.90,5.90,5.84
5.94,6.30,6.30,5.90
6.24,6.39,6.39,6.00
6.30,6.32,6.32,6.30
6.10,6.22,6.22,6.10
6.22,6.22,6.22,6.22
6.40,6.32,6.40,6.30
6.25,6.06,6.25,6.05
6.10,6.00,6.10,5.90
6.00,6.10,6.10,6.00
6.14,6.20,6.20,6.14
6.05,6.05,6.05,6.05
6.39,6.18,6.39,6.06
6.38,6.42,6.80,6.38
6.42,6.60,6.60,6.42
6.56,6.90,7.25,6.56
7.00,6.65,7.00,6.45
6.54,6.46,6.56,6.43
6.43,6.40,6.43,6.40
6.49,6.65,6.75,6.36
6.60,6.65,6.65,6.60
6.60,6.62,6.63,6.60
6.50,6.50,6.57,6.40
6.50,6.57,6.57,6.50
6.50,6.60,6.69,6.50
6.75,6.69,6.75,6.69
6.70,6.70,6.88,6.63
6.80,6.58,6.80,6.58
6.60,6.73,6.73,6.60
6.80,6.81,6.98,6.75
6.80,6.81,6.81,6.79
6.95,6.95,7.00,6.95
6.94,6.95,6.95,6.94
6.87,7.15,7.15,6.87
7.23,7.65,7.75,7.23
7.69,8.25,8.25,7.69
8.50,8.75,9.71,8.46
8.99,8.91,9.09,8.65
8.92,8.30,9.00,8.19
8.49,8.51,8.57,8.40
8.50,8.99,9.35,8.45
8.59,8.25,8.59,7.53
8.21,8.44,8.50,8.21
8.15,8.14,8.29,8.07
8.11,8.32,8.32,8.11
8.05,7.82,8.16,7.59
8.21,8.04,8.21,8.04
8.04,8.11,8.11,8.00
8.17,8.05,8.17,7.96
7.89,7.99,8.00,7.89
7.90,7.90,7.92,7.90
7.85,7.90,7.90,7.85
7.90,7.90,7.98,7.90
7.90,7.97,7.97,7.90
7.97,7.81,7.97,7.81
7.80,7.83,7.98,7.80
7.93,7.80,7.94,7.80
7.80,7.71,7.83,7.51
7.95,7.61,7.95,7.56
7.85,7.70,7.97,7.69
7.54,7.66,7.79,7.51
7.52,7.50,7.60,7.50
7.60,7.31,7.60,7.31
7.31,7.36,7.36,7.31
7.35,7.27,7.68,7.15
7.27,7.36,7.50,6.90
7.22,6.96,7.22,6.91
6.93,6.86,6.93,6.86
6.85,6.84,6.90,6.84
6.84,6.84,6.84,6.84
6.85,6.63,6.85,6.63
6.80,6.60,6.80,6.50
6.50,6.60,6.60,6.50
6.60,6.84,6.84,6.60
6.70,7.13,7.13,6.46
6.80,7.10,7.28,6.80
7.24,7.00,7.24,6.87
6.85,6.97,6.97,6.85
6.54,6.78,6.95,6.50
6.85,6.75,6.90,6.75
6.62,6.95,7.02,6.62
6.85,6.65,6.85,6.60
6.70,6.70,6.79,6.21
6.30,6.50,6.50,6.30
6.26,6.24,6.40,6.24
6.23,6.20,6.26,6.10
6.50,6.40,6.50,6.35
6.40,6.40,6.40,6.40
6.42,6.43,6.66,6.25
6.43,6.43,6.43,6.43
6.49,6.64,6.78,6.49
6.77,6.77,6.77,6.77
6.75,6.61,6.77,6.57
6.51,6.54,6.54,6.50
6.54,6.54,6.54,6.54
6.50,6.50,6.50,6.30
6.50,6.89,6.89,6.50
6.90,7.24,7.25,6.85
7.28,7.16,7.30,7.12
7.45,7.30,7.45,7.15
7.57,7.30,7.75,7.30
7.34,7.42,7.42,7.24
7.41,7.18,7.41,7.01
7.38,7.15,7.40,7.05
7.47,7.40,7.47,7.25
7.40,7.40,7.40,7.40
7.26,7.27,7.29,7.25
7.00,7.25,7.25,7.00
7.35,7.38,7.38,7.25
7.38,7.25,7.38,7.25
7.26,7.25,7.26,7.25
7.23,7.15,7.23,7.15
7.23,7.23,7.23,7.23
7.25,7.00,7.25,7.00
7.05,7.09,7.09,7.05
7.31,6.94,7.31,6.90
6.87,6.95,7.31,6.87
6.99,6.80,7.01,6.66
7.10,7.20,7.21,7.05
7.20,7.20,7.20,7.20
7.20,7.20,7.20,7.20
7.09,6.95,7.09,6.91
6.92,6.87,7.03,6.52
7.15,7.04,7.15,7.04
7.18,7.01,7.30,7.01
6.96,7.11,7.11,6.53
7.19,7.14,7.19,6.55
7.08,6.98,7.19,6.91
7.02,7.16,7.20,7.02
7.20,7.04,7.20,7.04
7.04,7.00,7.04,7.00
6.97,6.97,6.97,6.97
6.97,6.97,6.97,6.97
6.97,7.00,7.00,6.97
7.19,7.00,7.19,7.00
7.00,7.00,7.10,7.00
7.02,7.19,7.20,7.02
7.00,7.20,7.20,7.00
7.20,7.07,7.20,7.07
7.10,7.10,7.10,7.00
7.05,7.05,7.07,7.05
7.10,7.06,7.20,7.06
7.19,7.40,7.40,7.18
7.41,7.50,7.60,7.41
7.55,7.46,7.55,7.45
7.60,7.56,7.79,7.50
7.50,7.69,7.69,7.45
7.50,7.50,7.50,7.50
7.50,7.50,7.80,7.50
7.50,7.50,7.80,7.40
7.74,7.86,8.10,7.74
7.75,7.76,8.10,7.75
7.90,8.35,8.90,7.80
8.17,8.18,8.45,8.16
8.05,8.15,8.15,8.05
8.11,8.05,8.11,8.03
8.00,8.08,8.15,8.00
8.01,8.01,8.01,8.01
8.00,8.02,8.02,8.00
8.07,8.20,8.20,8.07
8.19,8.21,8.21,8.05
8.07,8.10,8.21,8.00
8.11,8.20,8.20,7.97
