MLN,VanEck Vectors AMT-Free Long Municipal Index ETF,NASDAQ
18.18,18.19,18.22,18.15
18.22,18.19,18.28,18.19
18.24,18.25,18.31,18.21
18.28,18.28,18.38,18.19
18.27,18.27,18.29,18.25
18.29,18.28,18.30,18.27
18.29,18.27,18.31,18.20
18.30,18.34,18.35,18.30
18.34,18.33,18.35,18.33
18.33,18.37,18.37,18.32
18.34,18.35,18.37,18.32
18.36,18.38,18.38,18.34
18.36,18.40,18.42,18.36
18.34,18.38,18.40,18.34
18.41,18.38,18.41,18.35
18.27,18.32,18.33,18.23
18.34,18.25,18.37,18.25
18.30,18.29,18.31,18.27
18.27,18.26,18.30,18.25
18.19,18.22,18.29,18.12
18.21,18.18,18.22,18.12
18.21,18.22,18.23,18.18
18.19,18.29,18.32,18.19
18.32,18.33,18.35,18.26
18.33,18.32,18.33,18.30
18.34,18.30,18.35,18.30
18.32,18.31,18.33,18.23
18.32,18.30,18.32,18.23
18.30,18.31,18.32,18.22
18.32,18.31,18.32,18.25
18.30,18.30,18.33,18.25
18.30,18.24,18.30,18.21
18.28,18.22,18.28,18.20
18.27,18.25,18.27,18.20
18.30,18.29,18.32,18.23
18.30,18.32,18.32,18.24
18.32,18.26,18.80,18.25
18.30,18.33,18.34,18.27
18.30,18.30,18.30,18.20
18.31,18.27,18.31,18.27
18.30,18.31,18.31,18.25
18.28,18.35,18.35,18.25
18.34,18.33,18.36,18.29
18.34,18.32,18.34,18.32
18.33,18.34,18.34,18.30
18.34,18.28,18.34,18.28
18.29,18.32,18.33,18.28
18.29,18.31,18.36,18.27
18.37,18.30,18.93,18.28
18.26,18.29,18.33,18.26
18.35,18.31,18.36,18.30
18.31,18.32,18.34,18.31
18.39,18.39,18.39,18.32
18.40,18.37,18.41,18.35
18.40,18.39,18.40,18.37
18.30,18.32,18.41,18.30
18.33,18.27,18.34,18.25
18.30,18.28,18.34,18.27
18.39,18.26,18.39,18.25
18.32,18.30,18.32,18.26
18.30,18.32,18.32,18.27
18.28,18.24,18.28,18.19
18.25,18.17,18.25,18.17
18.21,18.22,18.26,18.20
18.25,18.25,18.26,18.20
18.25,18.26,18.26,18.21
18.25,18.26,18.27,18.23
18.21,18.26,18.26,18.21
18.28,18.29,18.29,18.28
18.25,18.25,18.30,18.25
18.31,18.27,18.31,18.27
18.27,18.30,18.32,18.27
18.30,18.34,18.35,18.30
18.35,18.36,18.37,18.31
18.33,18.43,18.44,18.33
18.44,18.45,18.46,18.41
18.45,18.43,18.46,18.41
18.42,18.45,18.45,18.42
18.46,18.51,18.52,18.45
18.53,18.52,18.53,18.47
18.47,18.52,18.54,18.46
18.54,18.52,18.54,18.49
18.49,18.45,18.49,18.43
18.47,18.45,18.50,18.44
18.46,18.46,18.50,18.45
18.44,18.51,18.51,18.44
18.53,18.45,18.53,18.44
18.51,18.42,18.51,18.41
18.49,18.46,18.49,18.45
18.47,18.43,18.51,18.43
18.48,18.44,18.49,18.43
18.47,18.47,18.51,18.44
18.53,18.52,18.53,18.48
18.47,18.51,18.52,18.45
18.51,18.48,18.54,18.46
18.56,18.53,18.58,18.51
18.56,18.54,18.57,18.54
18.58,18.58,18.58,18.55
18.60,18.65,18.65,18.60
18.61,18.60,18.62,18.59
18.57,18.51,18.59,18.51
18.57,18.58,18.58,18.51
18.50,18.46,18.51,18.44
18.51,18.45,18.52,18.44
18.53,18.50,18.53,18.46
18.49,18.45,18.49,18.44
18.50,18.47,18.50,18.43
18.42,18.45,18.50,18.42
18.46,18.47,18.48,18.46
18.46,18.44,18.46,18.44
18.46,18.47,18.47,18.42
18.49,18.41,18.49,18.37
18.40,18.41,18.42,18.38
18.41,18.43,18.43,18.41
18.42,18.41,18.42,18.41
18.41,18.45,18.45,18.36
18.36,18.42,18.45,18.35
18.44,18.39,18.46,18.37
18.44,18.42,18.44,18.38
18.49,18.46,18.49,18.40
18.48,18.45,18.48,18.39
18.46,18.45,18.47,18.41
