MNOV,MediciNova,NASDAQ
6.88,6.88,7.42,6.55
6.99,7.00,7.00,6.99
6.96,6.96,7.65,6.96
7.00,7.00,7.00,7.00
7.23,7.10,7.23,7.10
7.10,7.77,8.00,7.04
7.80,7.79,7.84,7.79
7.48,7.46,7.48,7.46
7.46,7.46,7.46,7.46
8.21,8.23,8.23,8.08
8.50,8.03,8.50,8.03
7.84,7.48,7.84,7.36
7.85,7.86,7.86,7.85
8.00,7.98,8.00,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.90,8.02,8.02,7.40
7.67,7.34,7.67,7.30
7.34,7.34,7.34,7.34
7.00,7.00,7.00,7.00
7.00,7.05,7.05,7.00
6.90,7.14,7.14,6.84
6.83,7.00,7.00,6.83
6.98,7.00,7.03,6.98
7.28,7.28,7.28,7.28
7.28,7.28,7.28,7.28
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.01,7.01,7.00
7.00,6.65,7.11,6.45
6.70,6.90,7.09,6.09
7.10,7.10,7.10,7.10
7.66,7.48,7.66,6.99
7.46,7.53,7.85,7.14
7.50,8.05,8.11,7.50
8.39,8.24,8.39,7.79
7.71,7.04,8.46,7.01
7.48,7.76,7.76,7.47
7.77,7.75,7.77,7.75
7.72,8.20,8.20,7.40
7.95,7.89,7.98,7.28
7.90,7.88,7.90,7.49
7.51,7.55,7.80,7.46
7.71,7.44,7.73,7.44
7.35,8.27,9.00,7.35
8.32,8.00,8.60,7.69
8.30,7.52,8.30,7.50
7.34,7.34,7.54,7.34
7.36,7.40,7.68,7.36
7.45,7.50,7.60,7.40
7.80,7.69,7.80,7.49
7.37,7.85,8.47,7.29
7.40,7.06,7.69,7.06
7.06,7.24,7.32,7.05
7.24,7.24,7.24,7.24
7.74,7.51,7.74,7.51
7.51,7.51,7.51,7.51
7.39,7.02,7.51,7.02
6.90,6.64,7.06,6.63
6.62,6.80,7.02,6.62
6.30,6.10,6.30,6.10
6.35,6.43,6.57,6.35
6.03,7.10,7.27,6.03
7.15,6.41,7.15,6.39
6.99,6.89,6.99,6.75
6.33,6.39,6.91,6.28
6.58,6.78,6.78,6.58
6.76,6.41,6.76,6.15
6.55,6.59,6.61,6.50
6.32,6.45,6.58,6.32
6.38,6.43,6.46,6.38
6.43,6.43,6.43,6.43
6.38,6.38,6.54,6.38
6.47,6.48,6.59,6.47
6.48,6.48,6.48,6.48
6.46,6.40,6.46,6.40
6.41,6.49,6.49,6.36
6.31,5.94,6.31,5.72
5.91,5.65,6.00,5.60
5.63,5.65,5.73,5.63
5.63,5.85,5.88,5.63
6.19,6.00,6.20,6.00
6.21,6.06,6.21,5.65
6.20,6.00,6.20,6.00
6.23,5.85,6.23,5.85
6.00,5.95,6.00,5.95
5.87,5.87,5.87,5.87
5.95,5.85,5.95,5.83
5.75,5.59,5.98,5.59
5.54,5.47,5.56,5.29
5.47,5.47,5.47,5.47
5.47,5.47,5.47,5.47
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.00,5.55,5.55,5.00
5.55,5.55,5.55,5.55
5.55,5.55,5.55,5.55
5.55,5.55,5.55,5.55
5.33,5.23,5.33,5.00
5.23,5.23,5.23,5.23
5.30,5.10,5.30,5.10
5.27,5.25,5.27,5.11
