MRCY,Mercury Systems Inc - Common Stock,NASDAQ
11.22,11.66,11.68,11.10
11.67,11.17,11.75,11.02
11.14,10.94,11.27,10.78
10.96,11.56,11.70,10.76
11.47,11.86,11.95,11.25
11.91,11.59,11.94,11.18
11.44,11.30,11.46,10.93
11.35,11.95,12.01,11.18
11.90,11.98,12.06,11.44
12.03,11.97,12.07,11.53
12.00,13.07,13.17,12.00
13.00,12.57,13.21,12.39
12.56,12.61,13.15,12.41
12.56,12.55,12.97,12.46
12.72,12.90,12.96,12.36
12.80,12.48,12.81,12.36
12.53,13.72,14.33,12.53
13.71,12.41,13.71,12.31
12.45,11.94,13.20,11.94
11.99,12.07,12.63,11.99
12.12,11.63,12.29,11.59
11.54,11.12,11.58,11.03
11.06,10.67,11.52,10.64
10.67,10.85,11.01,10.57
10.85,10.61,10.93,10.55
10.81,11.31,11.66,10.81
11.22,12.38,12.64,11.22
12.74,12.61,12.78,12.49
12.41,12.59,12.61,12.33
12.69,12.68,12.97,12.51
12.63,12.66,12.80,12.39
12.61,12.75,12.88,12.61
12.74,12.70,12.96,12.65
12.70,12.84,13.00,12.70
12.83,12.61,12.93,12.43
12.62,12.76,12.98,12.26
12.48,12.37,12.64,12.17
12.37,12.22,12.48,12.06
12.35,12.44,12.75,12.25
12.47,12.58,12.92,12.25
12.65,12.37,12.68,12.35
12.37,12.36,12.62,12.19
12.45,12.72,12.72,12.05
12.68,12.72,12.75,12.67
12.65,12.96,13.00,12.51
12.90,12.86,12.99,12.81
13.11,12.89,13.11,12.77
12.89,12.78,12.89,12.67
12.72,12.59,12.72,12.32
12.61,12.48,12.61,12.00
12.48,12.53,12.65,12.34
12.47,12.72,12.95,12.38
12.83,12.25,12.83,11.95
12.10,12.90,12.93,12.10
12.89,13.32,13.36,12.73
13.27,13.37,13.69,13.26
13.47,13.30,13.84,13.27
13.32,13.20,13.50,13.11
13.26,13.24,13.42,13.11
13.25,13.88,13.92,13.07
13.87,13.72,13.99,13.72
13.80,13.38,13.94,13.27
13.51,14.02,14.03,13.44
13.79,13.83,13.94,13.57
13.77,13.79,13.88,13.48
13.67,13.79,13.83,13.46
13.82,13.67,13.83,13.49
13.64,13.71,13.90,13.32
13.72,13.63,13.72,13.37
13.68,14.01,14.07,13.62
13.95,13.97,14.07,13.75
13.95,13.89,14.00,13.40
13.81,13.91,13.92,13.40
13.94,13.93,14.28,13.84
13.99,14.17,14.25,13.63
13.94,14.10,14.15,13.57
14.12,14.12,14.16,13.70
14.06,13.88,14.23,13.88
13.73,13.24,13.96,13.12
13.76,13.07,13.79,12.36
13.22,13.67,13.67,13.09
13.60,12.86,13.60,12.86
12.93,12.91,13.16,12.69
12.58,12.75,12.78,12.23
12.63,12.49,12.73,12.38
12.35,12.04,12.56,10.50
12.00,11.43,12.23,11.01
12.17,12.73,12.81,11.75
12.50,13.01,13.08,12.25
13.11,13.50,13.50,13.01
13.40,13.35,13.58,12.96
13.23,13.16,13.23,12.86
13.34,12.85,13.50,12.77
13.06,12.38,13.09,12.34
12.29,12.20,12.43,12.03
12.00,11.26,12.14,11.20
11.05,11.93,12.05,10.76
11.88,11.54,12.39,11.44
11.17,11.45,11.55,10.96
11.54,11.19,11.89,11.13
11.50,11.90,11.93,11.29
11.81,11.75,11.95,11.53
11.64,11.14,11.68,11.13
11.29,11.73,11.75,11.06
11.68,11.78,11.90,11.20
11.47,10.88,11.70,10.82
10.95,10.58,11.18,10.52
10.33,10.35,10.51,9.77
10.46,10.35,10.70,10.30
10.63,10.99,11.01,10.60
10.82,11.28,11.34,10.82
11.40,11.51,12.15,11.37
11.57,11.41,11.57,10.99
11.20,11.30,11.52,11.13
11.31,11.29,11.49,11.16
11.32,11.50,11.65,11.02
11.76,11.47,11.87,11.32
11.56,11.33,11.87,11.30
11.33,11.59,11.90,11.29
11.43,11.38,11.70,11.32
11.42,12.08,12.08,11.28
12.06,11.87,12.24,11.43
11.56,11.00,11.56,10.89
11.03,11.73,12.13,11.03
11.74,11.64,12.19,11.33
11.79,11.85,11.99,11.46
12.05,11.75,12.10,11.59
11.85,11.91,12.03,11.60
12.09,11.99,12.45,11.91
11.99,11.87,11.99,11.62
11.80,11.75,12.40,11.41
11.95,12.20,12.32,11.69
12.14,12.20,12.32,11.83
12.25,11.96,12.29,11.76
11.80,11.53,12.12,11.39
11.56,12.06,12.09,11.56
11.83,12.31,12.34,11.65
12.41,11.69,12.46,11.67
11.96,12.41,12.49,11.88
12.29,13.13,13.15,12.26
13.15,13.31,13.41,12.89
13.49,13.29,13.79,13.26
13.21,13.10,13.49,13.01
13.22,12.96,13.39,12.59
12.66,13.20,13.49,12.43
13.50,13.15,13.50,13.01
13.03,12.96,13.37,12.90
12.30,12.30,12.41,11.29
12.13,12.04,12.61,11.75
11.75,12.05,12.18,11.65
12.21,12.21,12.29,11.87
12.04,11.70,12.04,11.66
11.33,11.18,11.47,10.90
10.82,10.98,11.33,10.76
10.91,10.72,11.16,10.57
10.61,10.99,11.22,10.60
11.13,11.22,11.50,11.04
11.18,11.06,11.18,10.94
10.97,10.78,11.03,10.74
10.75,10.82,10.93,10.63
10.90,10.90,10.96,10.75
10.70,11.03,11.15,10.70
10.99,11.08,11.17,10.81
11.11,10.77,11.23,10.75
10.96,11.33,11.35,10.76
11.29,10.90,11.66,10.88
10.90,11.07,11.22,10.78
11.34,12.11,12.13,11.34
12.03,12.02,12.17,11.70
12.19,12.37,12.47,12.06
12.35,12.41,12.61,12.25
12.44,12.77,12.85,12.23
12.98,12.77,13.00,12.63
12.80,12.46,12.80,12.29
12.60,12.71,12.87,12.38
12.69,12.72,12.96,12.42
12.61,12.88,13.00,12.23
12.81,12.23,12.90,12.13
12.40,12.00,12.40,11.77
11.90,12.05,12.31,11.54
12.12,11.85,12.28,11.53
11.79,11.92,12.08,11.53
