MSFT,Microsoft Corporation - Common Stock,NASDAQ
30.62,30.95,31.10,30.59
30.85,30.96,31.10,30.64
30.88,30.77,31.08,30.52
30.63,30.45,30.70,30.19
30.28,30.66,30.88,30.24
30.71,30.27,30.76,30.12
30.15,30.07,30.40,29.91
30.26,30.35,30.52,30.01
30.31,30.96,31.10,30.26
31.08,30.86,31.24,30.71
30.75,31.10,31.24,30.68
30.81,30.59,30.94,30.31
30.61,30.01,30.72,30.00
30.00,28.96,30.20,28.84
29.24,29.32,29.66,29.10
29.20,29.50,29.85,29.09
29.35,29.67,29.82,29.02
29.84,29.16,29.87,28.89
29.90,28.18,29.92,27.66
28.39,28.41,28.48,27.92
28.37,28.46,28.50,28.14
28.26,28.63,28.79,28.12
28.38,27.84,28.50,27.81
28.00,28.02,28.28,27.57
28.01,27.72,28.08,27.57
27.97,28.01,28.34,27.75
28.03,27.99,28.24,27.84
27.93,28.12,28.40,27.70
27.81,27.93,28.06,27.58
28.13,28.35,28.37,28.02
28.53,28.59,28.65,28.36
28.59,28.97,29.03,28.51
28.79,28.77,28.92,28.69
28.84,28.73,28.94,28.65
28.68,28.33,28.83,28.09
28.52,28.63,28.79,28.38
28.27,28.60,28.65,28.02
28.65,28.67,28.85,28.51
28.77,29.02,29.05,28.53
29.08,28.46,29.30,28.24
28.51,28.46,28.61,28.35
28.46,28.63,28.65,28.27
28.66,28.59,28.68,28.42
28.52,28.63,28.93,28.50
28.56,28.80,29.11,28.55
28.86,28.97,29.11,28.80
28.89,29.18,29.19,28.85
29.32,29.27,29.38,29.04
29.18,29.29,29.37,29.01
29.42,29.37,29.49,29.20
29.50,29.63,29.87,29.40
29.63,29.61,29.72,29.50
29.76,29.59,29.90,29.35
29.50,29.60,29.70,29.39
29.59,29.88,29.90,29.41
29.72,29.65,29.85,29.60
29.83,30.01,30.57,29.80
30.09,29.66,30.20,29.59
29.71,29.59,29.82,29.55
29.63,29.77,29.86,29.50
29.64,29.29,29.72,29.17
29.35,29.16,29.54,28.62
29.13,29.27,29.43,29.03
29.15,29.32,29.58,28.98
29.16,29.35,29.56,29.14
29.32,29.92,29.98,29.30
29.95,30.34,30.41,29.90
30.25,30.32,30.49,30.21
30.15,30.45,30.50,30.13
30.79,30.82,31.00,30.66
30.82,30.87,30.95,30.71
30.79,30.67,30.98,30.60
30.77,31.04,31.25,30.76
31.22,31.36,31.44,31.13
31.33,31.33,31.50,31.23
31.04,31.39,31.53,30.90
31.12,30.96,31.58,30.65
31.00,31.11,31.28,30.86
30.95,30.85,31.25,30.75
30.92,30.91,31.00,30.62
30.93,31.00,31.43,30.67
31.07,30.54,31.08,30.52
30.67,30.86,31.06,30.58
30.52,30.13,30.55,29.75
29.77,29.85,30.09,29.69
29.59,28.98,29.88,27.91
28.93,28.21,28.95,27.32
29.01,28.94,29.48,28.71
28.68,28.88,29.65,28.57
28.98,29.44,29.58,28.92
29.26,29.24,29.73,29.18
29.20,28.93,29.21,28.64
29.12,28.94,29.23,28.45
28.87,28.60,29.00,28.40
28.52,28.24,28.69,27.79
27.65,27.11,27.84,27.04
26.63,26.84,27.11,26.44
26.85,26.27,26.86,26.26
25.65,26.07,26.33,25.38
26.23,25.01,26.61,24.56
25.73,26.00,26.36,25.73
25.84,25.80,26.12,25.66
25.53,25.89,26.31,25.52
26.06,26.46,26.48,25.73
26.55,26.86,26.93,26.41
26.10,25.79,26.57,25.62
25.82,25.29,25.83,25.24
25.25,25.11,25.26,24.65
25.22,24.79,25.52,24.75
25.13,25.00,25.15,24.78
25.04,25.66,25.72,24.77
25.86,25.50,25.96,25.47
25.75,26.58,26.65,25.74
26.47,26.32,26.58,26.23
26.56,26.37,26.67,26.04
26.37,26.44,26.53,26.17
26.78,25.95,26.89,25.89
26.16,25.77,26.45,25.76
25.78,25.31,25.78,25.22
25.46,25.00,25.72,24.93
25.05,24.53,25.11,24.31
24.51,24.31,24.61,24.12
24.13,23.31,24.20,23.11
23.30,23.01,23.68,22.95
23.09,23.16,23.32,22.73
23.36,23.27,23.48,23.05
23.70,23.82,24.09,23.58
23.82,24.30,24.32,23.61
24.60,24.41,24.62,23.97
24.33,24.27,24.41,24.15
24.43,24.83,24.89,24.42
25.14,25.13,25.30,24.90
25.50,25.44,25.61,25.12
25.50,25.51,25.59,24.98
25.51,24.89,25.64,24.88
24.96,25.23,25.30,24.91
24.86,25.48,25.48,24.70
25.60,25.12,25.65,24.98
25.51,25.84,25.99,25.47
25.84,25.81,26.02,25.25
25.86,26.10,26.20,25.80
26.14,26.16,26.24,25.96
26.07,25.95,26.19,25.83
26.13,26.03,26.41,25.60
25.75,25.81,25.84,25.35
25.99,26.33,26.38,25.75
26.20,26.16,26.35,25.97
26.15,25.73,26.24,25.44
25.49,25.37,25.58,25.21
25.18,25.55,25.56,25.02
25.55,25.61,25.73,25.37
25.33,25.07,25.34,24.88
24.68,24.86,24.90,24.56
24.42,24.49,24.68,24.36
24.35,24.40,24.67,24.24
24.36,24.50,24.61,24.30
24.71,24.71,24.96,24.60
24.68,24.82,24.95,24.41
24.62,24.44,24.74,24.21
24.31,24.23,24.40,24.20
24.44,24.28,24.64,24.24
24.09,24.04,24.35,24.00
24.00,24.10,24.22,23.87
24.09,23.82,24.19,23.79
23.88,23.93,24.02,23.51
23.74,23.64,23.82,23.60
23.60,23.47,23.73,23.32
23.67,23.90,23.95,23.54
23.88,23.94,23.95,23.71
24.24,24.29,24.45,24.20
24.10,23.96,24.30,23.92
24.07,23.93,24.20,23.74
24.19,24.01,24.21,23.99
23.98,23.85,24.03,23.79
24.20,25.11,25.29,24.09
25.04,25.03,25.35,24.89
25.10,25.12,25.22,24.92
25.06,25.33,25.37,25.05
25.40,25.22,25.53,25.08
25.28,25.43,25.52,25.11
25.42,25.15,25.42,25.08
24.89,24.61,24.97,24.36
24.51,24.43,24.59,24.36
24.64,24.78,24.80,24.58
24.85,24.73,24.99,24.59
24.80,24.68,24.90,24.35
24.63,24.50,24.66,24.40
24.61,24.49,24.83,24.36
24.77,24.38,24.82,24.30
23.96,23.91,23.99,23.78
24.06,24.35,24.45,23.91
24.32,24.43,24.54,24.13
24.62,24.53,24.75,24.28
24.62,24.57,24.65,24.37
24.74,24.59,24.74,24.50
24.65,24.83,24.93,24.43
25.02,25.34,25.54,24.89
25.29,25.23,25.34,25.00
25.36,25.54,25.55,25.23
25.59,25.82,25.95,25.45
25.27,25.10,25.37,24.95
25.26,25.31,25.40,25.10
25.40,25.42,25.54,25.05
25.52,25.38,25.54,25.27
25.24,25.19,25.35,25.17
25.12,25.90,25.97,25.06
25.79,26.05,26.11,25.62
26.21,26.28,26.38,25.92
27.15,26.67,27.20,26.48
26.88,26.95,27.22,26.70
27.06,27.39,27.42,27.02
