MSI,Motorola Solutions,NASDAQ
7.88,7.97,8.02,7.87
7.95,7.86,8.26,7.72
8.00,7.97,8.04,7.88
8.01,8.13,8.19,7.97
8.09,7.76,8.12,7.73
7.88,7.68,7.88,7.67
7.64,7.40,7.65,7.34
7.41,7.60,7.65,7.41
7.56,7.71,7.82,7.55
7.70,7.58,7.73,7.53
7.58,7.64,7.69,7.45
7.56,7.48,7.56,7.39
7.53,7.37,7.58,7.32
7.30,7.21,7.44,7.16
7.35,7.18,7.44,7.17
7.21,7.19,7.31,7.14
7.20,7.40,7.44,7.17
6.65,6.48,6.82,6.33
6.43,6.15,6.44,6.04
6.23,6.33,6.35,6.16
6.37,6.55,6.60,6.26
6.54,6.69,6.82,6.50
6.59,6.32,6.60,6.29
6.49,6.40,6.50,6.33
6.62,6.57,6.70,6.51
6.65,6.54,6.72,6.49
6.55,6.63,6.69,6.53
6.60,6.65,6.67,6.57
6.81,7.15,7.29,6.75
7.29,7.26,7.34,7.15
7.28,7.11,7.30,6.99
7.09,7.01,7.11,6.98
6.99,7.01,7.07,6.95
7.03,6.87,7.05,6.84
6.86,6.78,6.87,6.75
6.81,6.79,6.84,6.74
6.69,6.85,6.87,6.61
6.75,6.76,6.85,6.70
6.78,6.74,6.81,6.61
6.77,6.81,6.82,6.66
6.82,6.87,7.00,6.82
6.90,6.80,6.90,6.73
6.85,6.95,7.00,6.81
6.98,6.91,6.98,6.86
6.83,6.97,7.03,6.81
6.94,7.11,7.19,6.94
7.08,7.03,7.16,7.01
7.02,7.01,7.10,6.95
6.98,7.03,7.05,6.86
7.02,7.38,7.41,7.02
7.41,7.27,7.42,7.21
7.25,7.35,7.40,7.22
7.18,7.18,7.42,7.10
7.12,7.26,7.33,7.11
7.31,7.35,7.41,7.27
7.33,7.25,7.36,7.24
7.35,7.24,7.51,7.23
7.21,7.17,7.35,7.15
7.22,7.23,7.29,7.18
7.23,7.20,7.30,7.13
7.14,7.02,7.21,7.01
7.10,7.06,7.19,7.00
7.07,7.16,7.18,6.98
7.09,7.28,7.37,7.08
7.24,7.23,7.30,7.20
7.20,7.43,7.45,7.15
7.42,7.39,7.43,7.34
7.37,7.42,7.51,7.34
7.40,7.41,7.50,7.33
7.48,7.67,7.75,7.46
7.61,7.59,7.75,7.57
7.53,7.31,7.54,7.18
7.27,7.39,7.44,7.25
7.41,7.42,7.46,7.30
7.39,7.34,7.40,7.27
7.19,7.08,7.20,6.98
7.10,7.09,7.29,7.06
7.14,7.16,7.20,7.03
7.09,6.91,7.14,6.88
6.83,6.92,6.96,6.74
7.43,7.16,7.51,7.09
7.16,7.07,7.22,6.98
7.17,7.10,7.19,6.96
7.05,6.96,7.11,6.91
6.94,6.87,7.01,6.80
6.85,6.68,6.99,6.25
6.64,6.60,6.76,6.48
6.87,6.94,6.97,6.81
6.89,6.99,7.12,6.87
6.99,6.98,7.10,6.96
6.93,6.84,6.96,6.81
6.82,6.79,6.83,6.69
6.75,6.85,6.87,6.73
6.93,6.78,6.97,6.75
6.77,6.81,6.90,6.71
6.67,6.70,6.87,6.61
6.61,6.84,6.90,6.57
6.74,6.73,6.85,6.71
6.61,6.75,6.76,6.51
6.72,6.76,6.96,6.70
6.89,6.92,6.93,6.84
6.91,6.85,6.94,6.79
6.77,6.70,6.91,6.69
6.76,6.85,6.87,6.73
6.83,6.87,6.88,6.75
6.78,6.70,6.82,6.64
6.70,6.57,6.74,6.54
6.53,6.66,6.68,6.52
6.67,6.68,6.81,6.64
6.78,6.84,7.03,6.72
6.84,7.11,7.19,6.76
7.17,6.96,7.19,6.95
7.01,7.06,7.17,6.99
6.94,7.11,7.17,6.94
7.10,7.19,7.19,6.99
7.17,7.26,7.26,7.12
7.31,7.17,7.38,7.13
7.15,7.20,7.32,7.13
7.18,7.30,7.36,7.06
7.23,6.99,7.24,6.96
7.02,7.07,7.17,6.95
7.13,7.07,7.19,7.05
7.01,6.80,7.01,6.73
6.79,6.52,6.87,6.50
6.54,6.52,6.58,6.36
6.53,6.48,6.55,6.40
6.59,6.54,6.68,6.49
6.55,6.79,6.82,6.55
6.84,6.85,6.89,6.75
6.84,6.76,6.85,6.70
6.73,6.99,7.05,6.73
7.08,7.21,7.28,7.01
7.27,7.46,7.56,7.26
7.60,7.72,7.75,7.46
7.68,7.50,7.80,7.43
7.64,7.92,8.03,7.51
7.83,8.00,8.10,7.64
7.98,7.91,8.01,7.78
7.97,7.79,8.00,7.70
7.75,7.75,7.88,7.59
7.75,7.86,7.91,7.68
7.92,7.74,7.98,7.72
7.72,7.68,7.76,7.62
7.69,7.61,8.03,7.61
7.60,7.49,7.64,7.45
7.60,7.62,7.69,7.52
7.55,7.62,7.68,7.48
7.85,8.06,8.18,7.77
8.03,8.02,8.18,7.85
7.95,8.00,8.02,7.83
8.05,7.98,8.12,7.96
7.91,8.04,8.08,7.84
7.89,7.70,7.89,7.66
7.61,8.02,8.10,7.58
7.98,7.64,8.02,7.62
7.61,7.81,7.86,7.58
7.86,7.80,7.90,7.75
7.79,7.79,7.88,7.76
7.81,7.54,7.81,7.47
7.51,7.48,7.63,7.43
7.52,7.44,7.60,7.41
7.33,7.46,7.56,7.29
7.38,7.50,7.54,7.38
7.52,7.50,7.56,7.45
7.62,7.68,7.75,7.48
7.64,7.52,7.67,7.50
7.52,7.52,7.60,7.49
7.65,7.73,7.84,7.65
7.73,7.86,7.90,7.66
7.94,7.94,8.01,7.85
7.93,7.83,7.93,7.74
7.84,7.98,8.03,7.79
8.03,7.98,8.14,7.92
7.94,7.92,8.08,7.87
8.00,8.28,8.30,7.97
8.23,8.25,8.32,8.12
8.25,8.36,8.38,8.12
8.36,8.41,8.42,8.24
8.45,8.38,8.49,8.25
8.40,8.45,8.45,8.30
8.40,8.33,8.46,8.29
8.30,8.29,8.37,8.22
8.19,8.38,8.41,8.16
8.45,8.68,8.74,8.41
8.63,8.58,8.67,8.54
8.57,8.58,8.60,8.40
8.50,8.56,8.59,8.45
8.56,8.53,8.68,8.38
8.56,8.56,8.65,8.49
8.52,8.46,8.62,8.34
8.42,8.64,8.65,8.42
8.53,8.56,8.72,8.44
8.60,8.59,8.66,8.43
8.46,8.30,8.46,8.22
8.28,8.29,8.38,8.24
8.25,8.13,8.30,8.04
8.16,8.12,8.21,8.08
8.09,7.96,8.14,7.88
8.05,7.95,8.08,7.90
7.87,7.89,7.93,7.73
7.81,7.89,8.01,7.75
7.95,7.96,8.02,7.91
