MUA,Blackrock MuniAssets Fund,NASDAQ
12.17,12.17,12.24,12.14
12.19,12.29,12.29,12.19
12.28,12.42,12.50,12.28
12.50,12.36,12.50,12.31
12.41,12.37,12.43,12.32
12.47,12.40,12.49,12.35
12.40,12.38,12.45,12.36
12.33,12.42,12.42,12.33
12.40,12.49,12.49,12.38
12.50,12.61,12.70,12.44
12.56,12.63,12.75,12.55
12.61,12.55,12.67,12.55
12.56,12.51,12.59,12.49
12.43,12.46,12.49,12.41
12.56,12.65,12.65,12.48
12.61,12.60,12.65,12.59
12.55,12.53,12.78,12.53
12.50,12.47,12.52,12.40
12.55,12.49,12.55,12.42
12.52,12.41,12.52,12.38
12.36,12.38,12.45,12.35
12.38,12.41,12.51,12.38
12.39,12.25,12.43,12.25
12.25,12.26,12.30,12.24
12.33,12.32,12.35,12.30
12.35,12.44,12.45,12.33
12.38,12.34,12.45,12.30
12.28,12.28,12.35,12.26
12.33,12.40,12.48,12.29
12.37,12.43,12.47,12.37
12.45,12.51,12.58,12.38
12.44,12.35,12.44,12.19
12.28,12.21,12.31,12.20
12.20,12.19,12.24,12.19
12.21,12.24,12.30,12.19
12.35,12.40,12.49,12.24
12.24,12.39,12.39,12.24
12.36,12.40,12.40,12.27
12.40,12.46,12.53,12.37
12.38,12.40,12.44,12.29
12.42,12.40,12.49,12.35
12.43,12.43,12.47,12.37
12.42,12.44,12.52,12.40
12.46,12.48,12.55,12.46
12.50,12.47,12.55,12.47
12.54,12.43,12.54,12.40
12.38,12.40,12.43,12.37
12.35,12.38,12.44,12.34
12.34,12.33,12.40,12.33
12.29,12.36,12.37,12.25
12.27,12.43,12.46,12.27
12.36,12.42,12.43,12.36
12.36,12.36,12.43,12.28
12.35,12.39,12.40,12.35
12.36,12.36,12.40,12.35
12.35,12.36,12.41,12.34
12.44,12.36,12.44,12.36
12.32,12.37,12.45,12.32
12.34,12.44,12.44,12.34
12.41,12.36,12.46,12.35
12.35,12.39,12.41,12.35
12.40,12.40,12.46,12.36
12.40,12.47,12.47,12.39
12.41,12.55,12.56,12.41
12.47,12.51,12.57,12.47
12.50,12.51,12.53,12.49
12.51,12.48,12.53,12.48
12.48,12.50,12.55,12.48
12.47,12.47,12.47,12.44
12.44,12.41,12.50,12.41
12.41,12.42,12.46,12.38
12.36,12.34,12.40,12.30
12.37,12.35,12.37,12.34
12.32,12.38,12.43,12.32
12.34,12.41,12.44,12.33
12.41,12.56,12.57,12.40
12.52,12.70,12.71,12.52
12.75,12.61,12.75,12.51
12.54,12.64,12.64,12.54
12.64,12.67,12.68,12.58
12.68,12.68,12.68,12.64
12.67,12.65,12.73,12.62
12.70,12.59,12.70,12.56
12.59,12.66,12.66,12.59
12.66,12.72,12.72,12.61
12.67,12.66,12.71,12.54
13.17,12.52,13.17,12.37
12.56,12.57,12.62,12.54
12.62,12.62,12.65,12.32
12.54,12.58,12.59,12.49
12.52,12.58,12.62,12.52
12.51,12.50,12.57,12.43
12.40,12.42,12.48,12.36
12.43,12.48,12.48,12.40
12.48,12.55,12.55,12.38
12.49,12.45,12.49,12.29
12.27,12.45,12.50,12.27
12.47,12.46,12.50,12.45
12.45,12.44,12.49,12.26
12.46,12.42,12.62,12.42
12.45,12.62,12.62,12.45
12.56,12.60,12.63,12.52
12.63,12.67,12.67,12.60
12.61,12.57,12.70,12.56
12.59,12.57,12.62,12.54
12.51,12.55,12.57,12.50
12.59,12.60,12.61,12.53
12.61,12.52,12.63,12.52
12.62,12.52,12.62,12.50
12.54,12.57,12.60,12.54
12.49,12.50,12.58,12.49
12.50,12.42,12.55,12.42
12.46,12.45,12.54,12.43
12.49,12.52,12.61,12.48
12.51,12.55,12.58,12.49
12.58,12.44,12.61,12.44
12.43,12.47,12.47,12.43
12.44,12.48,12.48,12.43
12.48,12.48,12.49,12.43
12.46,12.46,12.49,12.44
12.44,12.48,12.52,12.44
12.48,12.54,12.56,12.48
12.54,12.60,12.62,12.52
12.55,12.57,12.61,12.55
12.60,12.62,12.62,12.56
12.62,12.65,12.65,12.61
12.65,12.58,12.66,12.58
12.61,12.61,12.64,12.58
12.58,12.60,12.64,12.58
12.61,12.65,12.66,12.59
12.62,12.67,12.68,12.62
12.63,12.52,12.64,12.50
12.52,12.60,12.60,12.52
12.60,12.57,12.62,12.53
12.59,12.56,12.60,12.56
12.60,12.62,12.63,12.60
12.60,12.65,12.68,12.57
12.65,12.70,12.71,12.60
12.69,12.76,12.78,12.69
12.79,12.82,12.82,12.79
12.80,12.75,12.83,12.75
12.73,12.76,12.76,12.69
12.80,12.88,12.88,12.78
12.88,12.85,12.90,12.80
12.80,12.79,12.82,12.75
12.82,12.83,12.87,12.82
12.85,12.96,12.96,12.77
12.92,12.93,13.03,12.92
12.97,12.93,12.97,12.93
12.95,12.98,13.03,12.94
