MXC,Mexco Energy Corporation Common Stock,NASDAQ
10.05,10.34,10.67,10.05
10.12,10.04,10.20,9.18
9.99,9.82,10.00,9.35
9.85,10.63,11.00,9.79
10.70,10.60,10.89,10.60
10.83,10.60,10.83,10.60
10.55,10.02,10.57,10.02
10.01,9.97,10.01,9.60
9.95,9.89,10.00,9.89
9.36,10.07,10.55,9.35
9.99,10.15,10.15,9.69
9.97,9.68,9.97,9.68
9.71,9.08,9.71,9.00
9.05,9.00,9.17,9.00
9.07,8.88,9.07,8.88
8.90,9.00,9.24,8.90
8.90,9.02,9.09,8.90
9.06,8.87,9.06,8.81
8.73,8.90,8.90,8.73
8.90,8.60,8.90,8.50
7.56,8.49,8.49,7.56
8.46,8.36,8.46,8.36
8.30,8.16,8.30,8.16
8.19,7.88,8.19,7.81
7.81,7.55,7.81,7.55
7.60,8.29,8.38,7.60
8.30,9.19,9.47,8.30
9.38,9.20,9.98,9.09
9.10,8.57,9.10,8.30
8.53,8.76,8.77,8.53
8.99,8.75,9.05,8.70
8.75,8.85,8.85,8.57
8.66,8.40,8.66,8.40
8.40,8.54,8.54,8.38
8.50,8.50,8.50,8.50
8.48,8.33,8.49,8.08
8.33,8.40,8.40,8.08
8.22,8.30,8.36,8.15
8.18,8.21,8.21,8.02
8.24,7.98,9.79,7.18
8.02,8.17,8.79,7.81
8.30,8.19,8.35,8.00
8.13,8.22,8.30,8.13
8.44,8.30,9.04,8.30
8.46,8.18,8.46,8.18
8.70,8.66,8.85,8.50
8.60,8.75,8.75,8.60
8.75,8.56,9.00,8.56
8.47,8.45,8.47,8.45
8.45,8.25,8.47,8.25
8.24,8.17,8.25,8.17
8.23,8.00,8.27,7.93
7.80,7.80,7.95,7.60
7.96,7.73,8.39,7.64
7.82,7.61,7.82,7.36
7.66,8.02,8.05,7.66
7.87,7.66,8.00,7.66
8.15,7.85,8.15,7.85
8.53,8.20,8.53,8.00
8.25,8.25,8.25,8.25
8.24,8.15,8.24,8.15
8.05,7.87,8.09,7.86
8.10,8.52,8.95,8.01
8.64,8.93,9.07,8.64
8.73,9.05,9.30,8.73
8.78,9.01,9.20,8.78
9.40,9.80,9.89,9.26
9.72,10.16,10.79,9.72
10.30,10.10,10.30,9.70
10.10,10.00,10.22,9.80
10.08,9.89,10.14,9.28
9.73,9.45,9.73,9.33
9.30,8.80,9.30,8.04
8.98,9.22,9.47,8.98
8.74,9.03,9.08,8.74
9.10,9.10,9.10,9.08
8.88,8.97,9.39,8.82
8.80,8.72,8.99,8.64
8.91,8.72,9.00,8.72
8.70,8.90,8.90,8.70
8.79,8.91,9.10,8.79
8.95,9.21,9.60,8.95
8.72,9.00,9.09,8.72
8.85,8.71,9.00,8.62
8.58,8.49,8.65,8.31
8.33,8.02,8.33,8.02
8.18,8.34,8.47,8.02
8.49,8.13,8.66,8.13
8.07,8.01,8.53,7.85
8.09,8.40,8.40,8.09
8.55,8.64,8.65,8.50
8.50,8.31,8.50,8.28
8.30,8.07,8.30,8.00
8.11,8.05,8.19,8.05
8.27,8.13,8.32,8.09
8.02,8.05,8.17,8.00
8.04,8.00,8.11,8.00
8.04,7.88,8.11,7.85
7.49,7.60,7.88,7.34
7.65,7.72,8.00,7.65
7.71,8.00,8.00,7.71
8.13,7.95,8.13,7.95
8.02,7.80,8.20,7.80
7.80,7.77,7.80,7.60
7.67,7.65,7.70,7.51
7.69,7.86,9.22,7.67
7.95,7.90,8.25,7.69
8.09,7.60,8.11,7.60
7.85,8.06,8.06,7.70
7.91,8.00,8.19,7.91
8.10,8.29,8.29,7.95
8.29,8.10,8.30,7.80
8.10,8.44,8.45,8.10
8.45,9.23,9.78,8.45
9.11,9.36,9.92,8.80
9.36,8.75,9.37,8.75
8.76,7.92,8.77,7.56
7.97,7.94,8.10,7.92
8.20,8.03,8.33,8.00
8.12,7.90,8.12,7.90
8.09,8.09,8.09,7.80
8.19,8.05,8.19,7.91
7.97,7.85,7.97,7.85
8.00,7.55,8.00,7.55
7.75,7.55,7.90,7.55
7.89,6.54,7.89,5.75
6.66,6.28,7.05,6.27
6.40,6.28,6.75,6.16
