MXL,MaxLinear,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
17.95,18.70,19.39,17.56
18.90,18.04,19.50,18.04
18.19,18.62,18.62,17.90
18.75,18.70,18.97,18.19
18.70,18.25,18.70,18.20
18.00,17.78,18.16,17.67
17.78,17.69,17.81,17.05
17.54,17.12,18.16,16.85
17.00,17.15,17.42,16.51
17.00,17.18,17.30,16.82
17.10,17.00,17.10,16.90
16.95,17.23,17.63,16.88
17.47,17.12,17.47,17.04
16.90,16.91,17.15,16.80
16.88,17.61,17.62,16.88
17.69,18.18,18.36,17.59
18.20,17.99,18.20,17.50
17.85,17.55,17.89,17.50
17.47,17.91,17.91,17.47
17.99,17.37,17.99,17.32
17.20,17.09,17.25,16.89
17.05,17.10,17.49,16.90
16.99,17.50,17.70,16.99
17.41,17.19,17.82,17.13
17.06,17.06,17.34,16.90
17.18,16.98,17.18,16.82
17.00,16.90,17.12,16.86
17.35,17.33,17.61,16.89
17.30,17.36,17.57,17.00
17.38,17.17,17.38,16.61
17.31,15.75,17.31,15.28
15.75,15.31,15.80,15.26
16.28,16.58,16.63,15.64
16.31,16.32,16.50,16.20
16.36,15.57,16.36,15.40
15.53,16.10,16.39,15.49
15.91,15.73,16.01,15.51
15.81,16.53,16.55,15.79
16.58,16.00,16.58,15.89
15.83,16.35,16.36,15.69
15.96,15.48,16.25,15.32
15.28,15.40,15.75,15.09
15.51,15.41,15.94,15.30
15.18,14.89,15.21,14.81
14.99,14.96,15.10,14.90
15.27,15.61,15.95,14.95
15.51,15.98,16.00,15.42
15.69,15.59,15.80,15.19
15.59,15.50,15.72,15.07
15.48,15.96,15.97,15.35
15.52,15.00,15.73,14.95
15.00,14.65,15.16,13.82
14.59,13.69,14.59,13.01
13.67,14.00,15.08,13.35
14.23,14.20,14.65,14.05
14.06,15.04,15.25,14.06
15.46,14.41,15.48,14.26
14.59,14.74,14.75,14.27
14.52,15.86,16.48,14.52
15.83,16.10,16.48,15.11
16.00,15.76,16.35,15.75
15.95,15.49,15.97,15.26
15.48,15.27,16.05,15.21
15.26,15.88,16.19,14.75
15.84,15.72,16.15,15.70
15.77,15.18,15.77,15.01
15.21,15.36,15.77,14.92
15.14,14.40,15.14,14.29
14.21,13.98,14.50,13.86
14.00,13.28,14.00,13.03
13.30,13.20,13.32,13.05
13.37,13.26,13.97,13.15
13.26,13.57,13.62,13.09
13.50,13.60,13.97,13.45
13.61,14.36,14.71,13.61
14.40,14.16,14.55,14.07
14.29,14.25,14.45,14.05
14.23,13.90,14.48,13.78
13.96,13.44,14.00,13.42
13.40,12.86,13.40,12.81
12.94,13.38,13.41,12.70
13.17,13.25,13.40,12.95
13.28,13.36,13.96,13.28
13.58,13.60,13.63,13.37
13.54,13.63,13.66,13.31
13.67,13.70,13.95,13.40
13.79,13.63,13.93,13.56
13.58,13.63,13.98,13.58
13.72,12.37,13.74,12.31
12.30,12.51,12.85,12.02
12.72,12.35,12.87,12.05
12.33,11.83,12.33,11.63
11.85,11.79,12.08,11.63
11.70,11.48,11.70,11.41
11.45,11.00,11.45,10.90
11.12,10.82,11.12,10.75
10.65,10.24,10.79,10.11
10.06,9.93,10.06,9.76
9.75,9.79,9.80,9.65
9.73,9.75,9.81,9.70
10.40,10.28,10.44,10.01
10.39,10.27,10.48,10.13
10.24,10.20,10.30,10.01
10.14,9.78,10.16,9.72
9.76,10.21,10.30,9.65
10.23,10.87,11.06,10.23
10.62,10.33,10.84,10.32
10.25,10.62,10.74,10.00
10.57,10.40,10.65,10.25
10.48,12.14,12.33,10.36
12.21,11.38,13.16,11.37
11.31,11.40,11.66,11.14
11.59,11.74,11.74,11.36
11.80,11.45,11.80,11.02
11.73,11.50,11.73,11.17
11.45,11.29,11.45,11.05
11.31,11.30,11.49,11.05
11.48,11.30,11.55,11.24
11.30,11.54,11.71,11.28
11.69,11.93,11.98,11.55
11.93,12.12,12.20,11.62
12.15,12.60,12.75,11.97
12.66,12.77,13.05,12.44
12.84,12.42,12.84,12.26
12.38,12.31,12.73,12.02
12.25,11.66,12.25,11.51
11.85,11.30,11.85,11.20
11.23,10.95,11.30,10.88
10.87,11.26,11.33,10.87
11.25,11.16,11.60,10.94
11.10,11.24,11.36,11.05
11.17,11.53,11.53,11.14
11.52,11.22,11.61,11.15
11.35,11.20,11.41,11.05
11.15,11.36,11.50,11.15
9.50,10.03,10.49,9.30
10.00,9.80,10.17,9.75
9.87,9.92,10.03,9.82
9.95,9.99,10.03,9.85
9.93,9.83,10.03,9.79
9.85,9.88,9.97,9.85
9.96,10.00,10.09,9.85
10.00,9.99,10.13,9.87
10.07,9.97,10.10,9.93
9.96,10.00,10.00,9.85
9.90,10.01,10.04,9.82
10.10,9.93,10.10,9.89
9.99,10.19,10.30,9.82
10.26,10.26,10.32,10.10
10.32,10.22,10.32,10.08
10.19,10.25,10.26,10.05
10.13,10.25,10.29,10.07
10.24,10.50,10.57,10.16
10.51,10.44,10.57,10.30
10.52,10.06,10.52,10.01
10.08,10.00,10.08,9.54
9.91,10.85,10.96,9.76
10.70,10.75,10.80,10.22
10.70,10.54,10.78,10.52
10.57,10.14,10.57,10.09
10.21,10.07,10.30,10.01
10.12,10.11,10.15,9.90
10.04,10.40,10.43,9.81
10.35,10.41,10.50,10.31
10.40,10.45,10.57,10.36
10.24,10.10,10.27,9.86
10.10,10.10,10.11,9.88
10.12,10.14,10.30,9.95
10.11,10.22,10.30,10.07
10.21,10.36,10.39,9.93
10.26,10.23,10.30,9.91
10.25,10.37,10.45,10.22
10.30,10.39,10.41,10.14
10.37,10.50,10.60,10.15
10.50,10.74,10.89,10.26
10.85,10.89,11.00,10.66
10.85,10.99,11.08,10.79
10.99,11.06,11.17,10.73
11.00,10.61,11.00,10.56
10.72,11.08,11.10,10.50
11.10,10.85,11.10,10.65
10.87,10.83,10.87,10.61
10.89,10.82,11.03,10.66
10.90,10.77,10.91,10.42
10.76,10.69,10.77,10.29
10.66,10.50,10.72,10.37
10.46,10.59,10.72,10.22
10.54,10.46,10.54,10.30
10.44,10.39,10.49,10.17
10.37,10.26,10.39,10.18
10.23,10.25,10.29,10.00
10.21,10.04,10.21,10.00
10.00,10.35,10.45,9.87
10.33,10.14,10.33,10.10
10.10,10.28,10.30,10.09
10.30,10.37,10.41,10.24
10.38,10.76,10.88,10.37
10.82,10.89,10.90,10.63
10.87,10.87,11.00,10.76
10.82,10.90,10.92,10.54
10.88,10.79,10.88,10.65
10.79,10.99,10.99,10.72
10.94,11.97,11.98,10.79
12.00,11.97,12.00,11.63
12.00,12.08,12.11,11.64
12.06,12.62,12.83,12.06
12.67,12.54,12.74,12.38
12.48,12.31,12.48,12.04
12.25,11.70,12.25,11.62
11.63,11.29,11.64,11.05
11.32,11.07,11.58,10.87
11.02,11.13,11.27,10.90
11.07,11.04,11.13,10.95
11.04,11.26,11.48,10.95
11.30,11.35,11.49,11.05
11.32,11.09,11.32,10.95
11.10,11.16,11.23,11.01
11.23,11.31,11.47,11.04
11.27,11.34,11.45,11.15
11.31,11.36,11.49,11.08
11.60,11.43,11.88,11.00
11.46,11.94,12.11,11.46
11.80,11.07,11.80,10.90
11.07,10.90,11.07,10.50
10.85,10.99,11.05,10.74
11.31,11.45,11.95,11.15
11.51,11.36,11.56,10.99
11.42,11.42,11.60,11.19
11.48,11.39,11.48,11.15
11.40,11.12,11.40,10.62
11.23,11.07,11.39,10.93
11.00,10.55,11.11,10.31
10.52,10.55,10.56,10.23
10.50,10.50,10.78,10.34
10.51,10.72,10.74,10.42
10.75,10.52,10.75,10.40
10.51,10.15,10.52,10.10
10.11,10.41,10.45,10.00
10.44,9.90,10.44,9.75
9.93,9.54,9.93,9.00
9.59,9.75,9.82,9.42
9.73,9.85,9.95,9.49
9.83,9.82,9.98,9.71
9.76,9.42,9.76,9.26
9.20,9.42,9.80,9.13
9.38,9.14,9.38,9.04
9.00,8.98,9.11,8.77
8.98,8.83,9.04,8.76
8.86,8.28,9.04,8.20
8.30,8.08,8.30,7.83
8.20,8.24,8.51,8.09
8.29,8.06,8.42,8.06
8.06,8.11,8.11,7.93
8.17,8.15,8.18,8.10
8.15,8.09,8.17,7.94
8.11,7.76,8.11,7.50
7.73,7.77,7.77,7.32
7.84,8.29,8.30,7.83
8.29,8.17,8.50,7.99
8.21,8.22,8.30,8.03
8.22,7.91,8.25,7.86
7.94,8.26,8.34,7.94
8.28,8.49,8.54,8.22
8.49,8.38,8.49,8.24
8.39,8.38,8.45,8.31
8.38,8.17,8.38,8.11
8.06,7.92,8.15,7.92
7.97,7.94,7.97,7.70
7.88,8.00,8.08,7.87
7.96,8.07,8.15,7.89
7.93,7.82,8.13,7.78
7.88,7.80,7.96,7.79
7.93,7.98,8.15,7.71
8.06,8.05,8.07,7.94
8.02,7.95,8.12,7.92
7.95,8.09,8.18,7.83
8.10,8.09,8.15,8.08
8.00,7.93,8.04,7.84
8.16,9.39,9.60,8.16
9.46,9.11,9.68,9.08
9.09,8.87,9.15,8.75
8.81,8.87,8.89,8.75
8.82,8.88,9.04,8.76
8.99,9.10,9.32,8.84
9.05,8.86,9.05,8.86
8.91,9.10,9.12,8.91
9.04,8.96,9.12,8.95
8.95,8.93,9.00,8.88
8.87,8.91,9.07,8.87
8.89,8.85,9.00,8.76
8.74,8.80,9.00,8.74
8.83,9.02,9.05,8.65
9.04,9.07,9.09,8.95
8.92,8.98,9.06,8.92
8.86,9.03,9.05,8.86
9.04,8.94,9.04,8.85
8.97,8.97,9.00,8.89
8.90,8.93,9.03,8.54
8.99,9.03,9.06,8.90
9.09,9.11,9.43,9.08
9.12,8.95,9.42,8.95
8.94,9.18,9.28,8.91
9.07,9.00,9.19,8.97
9.00,9.14,9.22,9.00
9.17,9.35,9.53,9.15
9.34,9.10,9.36,9.08
