NAT,Nordic American Tankers Limited Common Stock,NASDAQ
30.18,30.62,30.63,30.12
30.69,30.69,30.79,30.45
30.86,32.03,32.25,30.78
32.12,32.40,32.41,31.62
32.10,32.66,32.74,32.06
33.47,33.97,34.19,33.26
33.54,33.58,33.97,33.38
33.51,33.69,33.90,33.50
33.69,33.53,33.99,33.51
33.42,33.25,33.66,32.80
33.59,34.00,34.00,33.53
33.88,33.74,33.88,33.40
33.74,32.65,34.00,32.57
30.45,30.31,30.65,30.22
30.51,30.45,30.70,30.20
30.39,30.52,30.88,30.32
30.45,30.74,30.85,30.32
30.81,30.24,30.81,30.03
30.41,29.67,30.73,29.67
29.84,29.85,29.99,28.95
29.93,29.73,30.05,29.38
29.71,29.60,29.90,29.50
29.49,28.64,29.50,28.59
28.68,28.36,28.68,27.56
28.38,27.89,28.42,27.80
28.12,28.11,28.47,27.87
28.24,28.37,28.39,27.81
28.38,28.81,28.88,28.17
28.11,28.88,28.88,28.00
29.49,29.52,29.52,29.10
29.60,29.46,29.65,29.27
29.38,29.54,29.56,29.31
29.26,29.47,29.68,29.22
29.68,29.30,29.75,29.22
29.17,28.65,29.19,28.50
28.80,28.82,29.09,28.65
28.64,29.00,29.02,28.46
29.10,29.06,29.15,28.70
29.05,28.93,29.31,28.85
29.00,28.76,29.00,28.75
28.91,28.89,29.02,28.78
28.81,28.84,29.17,28.65
28.89,28.73,28.96,28.67
29.24,29.86,30.06,29.00
30.14,30.33,30.67,29.93
30.65,30.74,31.07,30.42
30.72,30.31,30.80,30.20
30.44,30.43,30.55,30.30
30.23,30.19,30.39,29.90
30.07,30.35,30.39,30.06
30.30,30.31,30.38,30.20
30.31,30.46,30.55,30.30
29.97,29.97,30.46,29.77
29.89,29.92,29.99,29.50
29.89,30.25,30.29,29.89
30.22,30.19,30.90,30.00
30.27,29.80,30.40,29.78
29.81,29.92,30.18,29.70
29.98,29.97,30.15,29.92
30.08,30.42,30.54,29.95
30.27,30.27,30.46,30.10
30.39,30.74,30.98,30.39
30.92,31.34,31.50,30.75
31.35,31.45,31.51,31.10
31.32,31.04,31.46,30.80
30.83,31.01,31.04,30.56
31.37,31.60,31.82,31.10
31.47,31.50,31.73,31.43
31.41,31.53,31.60,31.22
31.58,31.89,31.99,31.36
31.71,31.66,32.18,31.51
31.62,31.40,31.85,30.93
31.19,31.32,31.35,30.93
31.36,31.69,31.85,31.36
31.65,31.77,31.84,31.50
31.49,31.84,31.84,31.26
31.77,32.04,32.04,31.60
31.92,31.78,32.08,31.76
31.67,31.30,31.76,30.96
31.41,31.16,31.53,31.03
31.39,31.07,31.56,30.95
31.05,31.24,31.48,30.87
31.34,32.03,32.39,31.34
31.63,31.37,31.80,31.10
