NATH,Nathan's Famous,NASDAQ
15.00,15.00,15.25,14.81
14.89,15.10,15.15,14.89
15.02,15.05,15.25,14.90
15.00,14.98,15.04,14.88
14.97,15.05,15.17,14.27
15.00,15.11,15.15,14.87
14.83,14.75,14.90,14.61
14.78,14.90,14.90,14.78
14.91,15.43,16.18,14.90
15.55,15.51,15.68,15.47
15.35,15.15,15.35,15.00
15.19,15.15,15.20,15.15
15.34,15.18,15.34,14.81
15.08,14.93,15.10,14.75
15.38,15.15,15.46,14.96
15.15,15.10,15.20,15.00
15.17,15.13,15.20,15.04
14.52,14.70,14.96,14.25
14.91,14.90,15.05,14.90
15.04,15.05,15.05,14.91
14.83,15.09,15.19,14.83
15.20,15.02,15.20,15.02
15.10,14.99,15.11,14.62
14.94,15.35,15.35,14.79
15.28,15.50,15.50,15.05
15.61,15.37,15.61,15.17
15.36,15.11,15.37,15.02
15.21,15.00,15.21,14.76
14.91,15.65,15.65,14.52
15.79,15.25,15.79,15.20
15.51,15.25,15.51,14.98
15.15,14.94,15.15,14.90
14.80,15.04,15.04,14.60
14.97,14.87,14.97,14.75
14.98,14.80,14.98,14.62
14.80,14.74,14.86,14.65
14.71,15.00,15.00,14.64
14.96,15.36,15.36,14.84
15.17,15.24,15.81,15.17
15.22,15.31,15.77,15.18
15.26,15.31,15.50,15.21
15.23,15.65,15.65,15.12
15.69,15.73,15.95,15.45
15.42,15.59,15.61,15.16
15.50,15.36,15.50,15.36
15.44,15.50,15.81,15.44
15.52,15.45,15.52,15.29
15.73,15.19,15.73,15.16
15.22,15.17,15.22,15.17
15.23,15.79,16.00,15.20
15.56,15.68,15.95,15.51
15.41,15.29,15.80,15.29
15.31,15.49,15.50,15.18
15.33,15.78,15.78,15.26
15.48,15.31,15.48,15.15
15.25,15.52,15.72,15.25
15.50,15.25,15.90,15.25
15.47,15.25,15.74,15.06
15.26,15.26,15.32,15.06
15.26,15.36,15.51,15.25
15.44,15.49,15.71,15.13
15.42,15.41,15.42,15.33
15.32,15.48,15.49,15.25
