NCV,AllianzGI Convertible & Income Fund,NASDAQ
9.36,9.30,9.41,9.26
9.32,9.39,9.39,9.29
9.40,9.59,9.69,9.39
9.54,9.71,9.76,9.53
9.76,9.71,9.76,9.65
9.76,9.79,9.81,9.75
9.68,9.63,9.69,9.57
9.59,9.50,9.61,9.48
9.45,9.46,9.52,9.40
9.48,9.47,9.50,9.35
9.47,9.61,9.70,9.47
9.50,9.55,9.62,9.50
9.51,9.38,9.67,9.33
9.28,9.21,9.32,8.92
9.19,9.18,9.22,8.99
9.08,9.11,9.26,9.06
9.18,9.05,9.20,8.92
9.09,8.92,9.12,8.88
8.90,8.76,8.93,8.61
8.93,9.04,9.04,8.78
9.09,9.39,9.40,9.05
9.42,9.39,9.42,9.20
9.33,8.93,9.33,8.93
8.87,8.84,8.95,8.52
8.84,8.93,8.98,8.78
8.82,8.95,9.01,8.81
8.99,8.94,8.99,8.90
9.02,9.01,9.03,8.92
9.03,8.96,9.03,8.89
9.02,9.06,9.06,8.94
9.02,9.03,9.11,8.95
9.00,9.13,9.14,8.97
9.09,9.26,9.27,9.09
9.33,9.35,9.38,9.29
9.37,9.34,9.39,9.24
9.38,9.32,9.41,9.24
9.25,9.28,9.32,9.21
9.34,9.39,9.41,9.28
9.40,9.57,9.57,9.40
9.59,9.60,9.60,9.46
9.54,9.51,9.63,9.50
9.52,9.45,9.58,9.42
9.53,9.59,9.59,9.46
9.63,9.63,9.64,9.56
9.49,9.62,9.62,9.49
9.61,9.56,9.61,9.54
9.53,9.52,9.65,9.51
9.52,9.53,9.57,9.45
9.57,9.39,9.57,9.39
9.47,9.55,9.58,9.41
9.59,9.65,9.68,9.56
9.67,9.70,9.70,9.64
9.57,9.57,9.69,9.54
9.57,9.65,9.68,9.52
9.68,9.70,9.70,9.67
9.69,9.78,9.82,9.68
9.86,9.87,9.96,9.78
9.89,9.90,9.90,9.80
9.96,9.93,9.97,9.89
9.95,9.92,9.98,9.88
9.90,9.85,9.94,9.81
9.90,9.83,9.92,9.78
9.84,9.94,9.94,9.80
9.91,9.93,9.94,9.86
9.93,9.84,9.96,9.80
9.75,9.87,9.87,9.69
9.89,9.95,9.95,9.86
9.95,10.06,10.06,9.93
10.06,9.94,10.09,9.94
9.92,9.92,9.97,9.86
9.92,9.94,10.00,9.90
9.97,9.85,9.99,9.80
9.83,9.87,9.96,9.80
9.94,10.08,10.08,9.92
10.04,10.06,10.13,10.04
10.03,10.19,10.20,10.03
10.23,10.45,10.48,10.22
10.48,10.30,10.50,10.29
10.26,10.30,10.34,10.24
10.30,10.34,10.36,10.25
10.37,10.63,10.66,10.37
10.65,10.76,10.82,10.64
10.84,10.83,10.88,10.76
10.56,10.35,10.70,10.35
10.30,9.75,10.30,9.25
9.78,9.28,9.81,8.13
9.21,9.31,9.46,9.00
9.78,9.82,9.99,9.67
9.69,9.75,9.79,9.62
9.85,9.94,9.97,9.76
9.96,9.89,9.97,9.82
9.76,9.57,9.82,9.44
9.67,9.25,9.67,9.05
9.26,9.15,9.40,9.11
9.14,8.94,9.14,8.70
8.63,8.43,8.77,8.38
8.24,8.91,8.99,8.13
8.88,8.92,8.99,8.76
8.59,8.75,8.76,8.50
8.92,8.74,8.98,8.65
8.84,8.96,9.03,8.84
9.03,9.04,9.05,8.93
9.01,9.13,9.13,8.93
9.16,9.15,9.16,8.99
9.17,9.30,9.30,9.16
9.17,9.10,9.31,9.09
9.12,9.04,9.23,9.02
9.10,9.04,9.10,8.92
8.98,8.92,9.04,8.91
9.04,8.96,9.05,8.86
8.80,9.02,9.13,8.80
9.15,9.07,9.26,9.06
9.15,9.28,9.28,9.14
9.24,9.38,9.39,9.24
9.45,9.25,9.46,9.22
9.33,9.36,9.41,9.30
9.44,9.31,9.44,9.30
9.30,9.34,9.43,9.30
9.38,9.37,9.43,9.31
9.41,9.35,9.42,9.30
9.41,9.50,9.54,9.36
9.46,9.45,9.50,9.43
9.41,9.15,9.41,9.10
9.18,9.17,9.25,9.12
9.10,9.02,9.13,8.87
9.00,9.06,9.09,8.96
9.22,9.19,9.22,9.04
9.22,9.36,9.36,9.18
9.26,9.16,9.35,9.09
9.14,9.19,9.23,9.14
9.16,9.14,9.23,9.09
9.23,9.15,9.23,9.15
9.19,9.23,9.25,9.12
9.25,9.27,9.27,9.18
9.27,9.27,9.29,9.20
9.29,9.29,9.32,9.24
9.24,9.39,9.40,9.24
9.45,9.38,9.45,9.36
9.45,9.56,9.58,9.44
9.57,9.77,9.77,9.56
9.80,9.83,9.90,9.78
9.90,9.70,9.90,9.64
9.73,9.63,9.74,9.60
9.67,9.79,9.79,9.61
9.72,9.83,9.93,9.72
9.94,9.86,9.96,9.84
9.90,9.92,9.97,9.87
9.97,9.97,9.99,9.89
9.99,9.91,9.99,9.90
9.95,9.94,10.00,9.87
9.92,10.04,10.10,9.92
9.94,9.84,9.98,9.80
9.79,9.63,9.79,9.56
9.51,9.63,9.69,9.50
9.68,9.71,9.74,9.65
9.65,9.69,9.69,9.64
9.70,9.62,9.70,9.60
9.62,9.64,9.68,9.60
9.69,9.60,9.69,9.52
9.57,9.60,9.62,9.52
9.66,9.62,9.66,9.60
9.55,9.53,9.59,9.49
9.48,9.43,9.52,9.32
9.44,9.27,9.44,9.25
9.32,9.20,9.32,8.87
9.23,9.25,9.35,9.19
9.21,9.25,9.27,9.19
9.28,9.44,9.47,9.27
9.52,9.50,9.52,9.46
9.59,9.72,9.72,9.56
9.72,9.69,9.74,9.63
9.49,9.69,9.72,9.27
9.69,9.67,9.69,9.59
9.39,9.64,9.67,9.39
9.63,9.66,9.72,9.63
9.70,9.70,9.75,9.64
9.69,9.69,9.75,9.65
9.71,9.73,9.74,9.66
9.72,9.80,9.80,9.72
9.85,9.97,9.97,9.81
9.96,9.89,9.97,9.84
9.85,9.86,9.89,9.84
9.77,9.85,9.88,9.77
9.83,9.89,9.92,9.83
9.93,9.75,9.93,9.72
9.75,9.81,9.83,9.73
9.83,9.87,9.87,9.78
9.88,9.88,9.94,9.83
9.88,9.89,9.92,9.86
9.89,9.87,9.91,9.82
9.83,9.95,9.98,9.83
9.90,9.74,9.90,9.74
9.81,9.78,9.82,9.74
9.80,9.79,9.83,9.75
9.78,9.81,9.81,9.74
9.75,9.76,9.79,9.71
9.82,9.78,9.86,9.77
9.76,9.98,9.99,9.76
9.97,9.87,10.01,9.82
9.89,9.91,9.91,9.85
9.90,9.95,9.95,9.85
9.94,9.91,9.99,9.90
9.94,9.96,9.99,9.92
9.91,10.00,10.00,9.91
10.00,9.98,10.03,9.95
9.91,10.02,10.02,9.91
10.00,10.02,10.02,9.99
10.01,10.02,10.02,9.98
10.01,10.02,10.05,10.00
10.07,10.08,10.09,10.03
10.06,10.03,10.09,10.02
10.02,10.03,10.05,9.98
10.03,10.10,10.11,10.02
10.11,10.19,10.19,10.10
10.14,10.12,10.25,10.11
10.09,10.14,10.16,10.04
10.08,10.02,10.12,9.99
10.03,9.93,10.03,9.90
9.94,9.77,9.97,9.75
9.84,9.79,9.88,9.65
9.74,9.50,9.75,9.25
9.50,9.65,9.69,9.42
9.64,9.75,9.83,9.64
9.75,9.81,9.81,9.71
9.76,9.86,9.88,9.75
9.83,9.73,9.83,9.70
9.75,9.85,9.87,9.75
9.81,9.90,9.90,9.79
9.85,9.85,9.87,9.75
9.79,9.83,9.88,9.76
9.89,9.89,9.92,9.83
9.87,9.85,9.91,9.79
9.80,9.78,9.91,9.73
9.82,9.84,9.88,9.80
10.01,9.85,10.01,9.80
9.87,9.85,9.90,9.82
