NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,NASDAQ
13.91,13.91,13.93,13.80
14.06,13.96,14.06,13.75
13.97,13.94,14.00,13.90
13.99,14.01,14.03,13.93
14.02,14.14,14.22,14.00
14.20,14.14,14.22,14.06
14.05,14.14,14.14,14.05
14.10,14.19,14.19,14.00
14.13,14.13,14.17,14.10
14.16,14.18,14.25,14.11
14.15,14.15,14.19,14.08
14.15,14.12,14.16,14.07
14.14,14.11,14.15,14.11
14.18,14.12,14.18,14.10
14.09,14.09,14.12,14.08
14.12,14.11,14.12,14.07
14.11,14.21,14.21,14.10
14.13,14.09,14.17,14.09
14.13,14.18,14.24,14.11
14.56,14.27,14.56,14.21
14.60,14.44,14.60,14.25
14.38,14.49,14.53,14.38
14.50,14.45,14.51,14.43
14.50,14.39,14.51,14.26
14.39,14.37,14.40,14.32
14.35,14.09,14.39,14.00
14.03,14.02,14.12,14.00
13.99,14.04,14.04,13.97
14.05,14.16,14.17,13.98
14.61,14.19,14.61,14.08
14.21,14.23,14.23,14.17
14.22,14.19,14.30,14.18
14.13,14.19,14.23,14.13
14.14,14.05,14.25,14.05
14.08,14.14,14.19,14.04
14.16,14.17,14.25,14.16
14.17,14.32,14.32,14.17
14.32,14.32,14.38,14.27
14.59,14.34,14.59,14.31
15.11,14.29,15.11,14.20
14.26,14.19,14.37,13.93
14.25,14.13,14.26,14.12
14.16,14.17,14.20,14.10
14.20,14.23,14.30,14.16
14.21,14.32,14.42,14.20
14.48,14.39,14.48,14.28
14.32,14.30,14.37,14.30
14.21,14.18,14.33,14.14
14.25,14.25,14.35,14.21
14.33,14.37,14.37,14.30
14.33,14.36,14.43,14.31
14.40,14.31,14.40,14.30
14.32,14.32,14.40,14.30
14.39,14.47,14.47,14.36
14.49,14.47,14.50,14.45
14.44,14.46,14.59,14.43
14.50,14.39,14.60,14.36
14.54,14.34,14.54,14.30
14.39,14.30,14.43,14.27
14.30,14.28,14.34,14.27
14.06,14.20,14.33,14.06
14.38,14.10,14.38,14.07
14.27,14.23,14.34,14.16
14.30,14.25,14.43,14.19
14.40,14.40,14.45,14.21
14.44,14.46,14.52,14.32
14.48,14.63,14.63,14.44
14.60,14.52,14.60,14.45
14.45,14.51,14.51,14.43
14.54,14.53,14.60,14.45
14.49,14.63,14.63,14.49
14.60,14.72,14.76,14.60
14.65,14.76,14.76,14.65
14.76,14.68,14.76,14.67
14.62,14.68,14.70,14.62
14.70,14.81,14.81,14.68
14.81,14.86,14.87,14.77
14.78,14.73,14.85,14.71
14.59,14.71,14.77,14.59
14.77,14.72,14.83,14.72
14.79,14.65,14.92,14.61
14.61,14.52,14.68,14.50
14.75,14.56,14.75,14.50
15.33,14.61,15.33,14.53
14.68,14.74,14.75,14.60
14.79,14.63,14.80,14.50
14.50,14.86,14.92,14.50
15.01,14.89,15.01,14.84
14.89,14.92,14.93,14.77
14.91,14.86,14.92,14.76
14.86,14.58,14.91,14.40
14.59,14.63,14.63,14.47
14.63,14.41,14.64,14.37
14.50,14.38,14.50,14.35
14.35,14.35,14.50,14.27
14.28,14.43,14.44,14.28
14.30,14.49,14.50,14.30
14.49,14.48,14.56,14.48
14.35,14.41,14.48,14.35
14.60,14.59,14.63,14.48
14.78,14.63,14.80,14.57
14.65,14.61,14.65,14.60
14.73,14.71,14.80,14.65
14.86,14.88,14.88,14.68
14.89,14.93,14.99,14.73
14.83,14.91,14.98,14.83
14.99,14.74,14.99,14.74
14.80,14.84,14.91,14.75
14.78,14.77,14.87,14.77
14.80,14.92,14.95,14.80
14.78,14.94,14.95,14.78
14.96,14.88,14.96,14.88
14.89,14.78,14.93,14.70
14.76,14.76,14.83,14.63
14.79,14.55,14.79,14.55
14.60,14.65,14.65,14.51
14.74,14.52,14.74,14.51
14.05,14.43,14.57,14.02
14.44,14.46,14.46,14.42
14.48,14.55,14.57,14.47
14.49,14.65,14.68,14.48
14.72,14.86,14.88,14.69
14.78,14.74,14.80,14.72
14.80,14.90,14.95,14.75
14.98,15.00,15.00,14.90
15.00,15.03,15.05,14.95
15.52,15.10,15.52,14.96
15.09,15.20,15.20,15.09
15.23,15.02,15.29,14.92
14.97,15.01,15.01,14.96
15.06,14.99,15.06,14.97
15.02,14.96,15.12,14.96
15.00,14.97,15.00,14.92
14.97,14.99,15.02,14.95
14.89,14.92,15.00,14.84
14.94,14.96,14.99,14.94
15.00,14.87,15.00,14.68
14.93,15.00,15.00,14.86
15.00,14.99,15.06,14.95
15.00,15.06,15.06,14.98
15.10,15.10,15.11,15.08
15.15,15.19,15.20,15.11
15.18,15.25,15.26,15.15
15.24,15.40,15.43,15.24
15.32,15.39,15.43,15.32
15.60,15.42,15.60,15.40
15.48,15.31,15.50,15.30
15.44,15.47,15.48,15.36
15.39,15.44,15.48,15.39
15.47,15.47,15.50,15.45
15.46,15.49,15.49,15.45
15.44,15.48,15.50,15.44
15.41,15.52,15.52,15.41
15.41,15.37,15.50,15.35
15.36,15.49,15.50,15.36
15.50,15.48,15.51,15.43
15.51,15.38,15.52,15.35
15.39,15.53,15.56,15.38
15.54,15.40,15.57,15.40
15.31,15.18,15.41,15.12
15.19,15.21,15.26,15.18
15.18,15.12,15.18,15.09
15.13,15.23,15.23,15.13
15.24,15.30,15.41,15.21
15.33,15.38,15.44,15.32
15.39,15.37,15.40,15.37
15.40,15.48,15.48,15.37
15.54,15.52,15.63,15.48
15.61,15.52,15.61,15.50
15.56,15.54,15.56,15.52
15.52,15.54,15.57,15.52
15.57,15.57,15.63,15.55
15.59,15.61,15.70,15.57
15.61,15.62,15.62,15.57
15.54,15.33,15.58,15.33
15.34,15.40,15.41,15.29
15.42,15.09,15.42,15.07
15.09,15.18,15.20,15.06
15.17,15.24,15.27,15.15
15.20,15.35,15.35,15.15
15.22,15.11,15.35,15.07
15.11,15.21,15.35,15.10
15.28,15.35,15.35,15.21
15.35,15.36,15.39,15.31
15.37,15.31,15.37,15.30
15.34,15.38,15.40,15.30
15.49,15.49,15.49,15.39
15.50,15.43,15.50,15.43
15.58,15.41,15.63,15.38
15.50,15.41,15.50,15.41
15.45,15.27,15.45,15.27
15.25,15.31,15.35,15.23
15.28,15.28,15.31,15.27
15.30,15.25,15.35,15.23
15.17,15.33,15.38,15.17
15.40,15.31,15.42,15.29
15.15,15.17,15.24,15.11
15.20,15.08,15.20,15.01
15.08,15.02,15.12,14.99
15.00,14.97,15.06,14.91
14.94,14.80,14.96,14.76
14.78,14.72,14.78,14.60
14.75,14.81,14.85,14.74
14.81,14.80,14.87,14.79
14.85,14.96,15.04,14.80
14.95,14.94,15.04,14.91
14.96,14.91,14.99,14.91
14.93,14.88,14.94,14.88
14.88,14.95,14.97,14.88
15.05,15.00,15.05,14.93
15.18,14.99,15.18,14.95
15.00,14.98,15.00,14.93
14.99,14.99,14.99,14.94
15.00,14.96,15.02,14.93
14.92,14.90,14.94,14.87
15.05,14.66,15.05,14.66
14.62,14.23,14.65,14.11
14.20,13.80,14.20,13.55
13.62,13.83,13.98,13.45
13.75,13.42,13.87,13.40
13.35,13.53,13.54,12.66
13.30,13.71,13.86,13.30
13.65,13.72,13.75,13.31
13.73,13.85,13.92,13.66
13.90,13.98,14.05,13.89
14.00,14.05,14.06,13.96
14.00,14.06,14.10,14.00
14.03,14.18,14.18,14.00
14.16,14.07,14.19,14.05
14.06,14.08,14.15,14.00
14.14,13.83,14.17,13.80
13.83,13.75,13.89,13.66
13.70,13.73,13.83,13.70
13.68,13.58,13.71,13.53
13.57,13.32,13.57,13.15
13.25,13.19,13.26,12.94
13.16,13.16,13.30,13.05
13.14,13.20,13.27,13.00
13.13,12.96,13.13,12.96
12.84,12.75,12.94,12.70
12.84,12.85,12.95,12.63
12.74,13.27,13.27,12.74
13.27,13.53,13.55,13.20
13.41,13.10,13.42,12.90
13.08,12.88,13.08,12.75
12.87,13.00,13.12,12.84
12.95,13.10,13.26,12.85
13.08,12.91,13.11,12.90
12.89,12.99,13.00,12.87
12.95,12.97,12.98,12.84
12.89,13.04,13.05,12.84
13.14,13.39,13.39,12.99
13.30,13.23,13.35,13.14
13.38,13.21,13.40,13.20
13.16,13.18,13.22,13.15
13.11,13.13,13.18,13.11
13.10,13.10,13.20,13.10
13.10,13.02,13.13,12.98
13.05,12.99,13.11,12.93
12.96,12.80,12.96,12.75
12.82,12.60,12.82,12.53
12.50,12.49,12.58,12.21
12.42,12.57,12.74,12.36
12.52,12.52,12.57,12.40
12.41,12.76,12.81,12.41
12.80,12.86,12.90,12.80
12.96,12.95,12.99,12.86
12.92,12.96,13.01,12.92
13.05,13.00,13.24,13.00
13.05,13.00,13.08,13.00
13.01,13.00,13.05,12.95
13.01,12.95,13.05,12.95
13.01,12.97,13.08,12.96
12.93,12.99,13.04,12.93
12.99,12.95,13.06,12.95
12.93,12.88,12.97,12.85
12.88,12.89,13.00,12.88
12.89,12.96,12.99,12.89
12.90,12.98,12.98,12.90
13.00,13.05,13.07,12.93
13.06,13.04,13.06,12.95
13.02,12.91,13.02,12.87
12.91,12.87,12.99,12.82
13.00,12.93,13.00,12.92
12.93,13.01,13.04,12.93
13.05,13.05,13.11,13.02
13.02,12.90,13.02,12.84
12.85,12.84,13.00,12.81
12.89,12.92,13.03,12.87
12.88,12.99,13.00,12.88
13.03,13.07,13.07,12.98
13.08,13.12,13.14,13.06
13.09,13.18,13.19,13.09
13.19,13.22,13.22,13.12
13.22,13.20,13.22,13.16
13.20,13.24,13.25,13.17
13.25,13.35,13.44,13.23
13.35,13.40,13.46,13.35
13.30,13.32,13.37,13.23
13.26,13.21,13.26,13.15
13.16,13.17,13.24,13.15
13.02,13.14,13.15,12.93
13.12,13.15,13.23,13.05
13.25,13.23,13.26,13.15
13.22,13.05,13.26,13.05
13.05,13.11,13.25,13.05
13.07,13.04,13.13,13.03
13.04,13.11,13.19,13.04
13.08,13.08,13.18,13.07
13.08,13.15,13.17,13.06
13.16,13.21,13.25,13.16
13.20,13.15,13.22,13.12
13.15,13.15,13.20,13.14
13.13,13.17,13.23,13.11
13.24,13.15,13.27,13.14
13.14,13.23,13.24,13.14
13.20,13.25,13.26,13.16
13.22,13.25,13.27,13.19
13.26,13.26,13.28,13.21
13.26,13.20,13.26,13.16
13.22,13.18,13.28,13.17
13.15,13.27,13.27,13.12
13.19,13.07,13.22,13.07
13.10,13.13,13.13,13.05
13.13,13.12,13.16,13.06
13.05,13.07,13.12,13.03
