NEWT,Newtek Business Services Corp. - Common Stock,NASDAQ
1.00,0.96,1.00,0.96
0.99,0.97,1.00,0.95
0.96,0.96,1.07,0.96
0.97,1.07,1.09,0.97
1.10,1.05,1.13,1.05
1.09,1.10,1.10,1.03
1.11,1.07,1.11,1.06
1.08,0.99,1.08,0.99
1.07,1.00,1.08,0.97
1.02,0.99,1.02,0.97
1.00,0.98,1.02,0.98
1.01,0.95,1.07,0.95
1.01,1.04,1.07,0.95
1.01,0.99,1.07,0.95
0.96,0.95,0.99,0.95
0.96,0.96,0.96,0.95
0.96,0.99,0.99,0.96
0.96,0.98,0.98,0.96
0.98,0.97,0.98,0.92
0.95,0.93,0.96,0.92
0.93,0.99,1.00,0.92
1.00,0.93,1.00,0.93
0.94,0.99,0.99,0.94
0.95,0.99,0.99,0.95
1.00,1.00,1.05,1.00
1.02,1.03,1.03,0.97
1.03,1.03,1.03,1.03
1.03,1.03,1.04,1.03
1.03,1.03,1.06,1.03
1.11,1.08,1.15,1.04
1.11,1.11,1.12,1.05
1.07,1.10,1.12,1.06
1.10,1.12,1.19,1.10
1.30,1.14,1.30,1.07
1.14,1.18,1.19,1.14
1.18,1.30,1.30,1.18
1.32,1.27,1.37,1.25
1.29,1.33,1.35,1.27
1.30,1.23,1.30,1.12
1.20,1.13,1.25,1.13
1.13,1.11,1.35,1.06
1.14,1.13,1.20,1.11
1.11,1.08,1.11,1.08
1.07,1.16,1.17,1.07
1.15,1.25,1.25,1.15
1.18,1.12,1.24,1.08
1.15,1.27,1.30,1.15
1.29,1.34,1.35,1.23
1.32,1.30,1.35,1.28
1.27,1.27,1.31,1.26
1.28,1.25,1.30,1.25
1.26,1.20,1.28,1.20
1.21,1.23,1.29,1.19
1.21,1.18,1.29,1.18
1.18,1.22,1.30,1.18
1.20,1.18,1.30,1.18
1.18,1.20,1.31,1.18
1.18,1.22,1.27,1.18
1.37,1.26,1.37,1.18
1.25,1.18,1.25,1.17
1.19,1.25,1.28,1.18
1.19,1.25,1.25,1.19
1.22,1.24,1.36,1.18
1.24,1.25,1.36,1.24
1.25,1.30,1.48,1.24
1.28,1.32,1.41,1.26
1.19,1.32,1.33,1.19
1.30,1.31,1.36,1.30
1.31,1.39,1.39,1.31
1.42,1.40,1.46,1.39
1.40,1.32,1.45,1.32
1.31,1.26,1.32,1.23
1.24,1.25,1.38,1.24
1.26,1.30,1.34,1.25
1.30,1.30,1.30,1.30
1.30,1.27,1.31,1.24
1.24,1.32,1.34,1.24
1.35,1.44,1.49,1.35
1.40,1.48,1.49,1.39
1.47,1.47,1.50,1.37
1.49,1.48,1.49,1.47
1.50,1.49,1.50,1.48
1.48,1.54,1.54,1.48
1.45,1.52,1.54,1.45
1.46,1.53,1.53,1.46
1.52,1.52,1.53,1.52
1.52,1.45,1.52,1.42
1.47,1.52,1.52,1.47
1.54,1.51,1.54,1.50
1.54,1.52,1.55,1.50
1.50,1.52,1.52,1.50
1.52,1.54,1.54,1.52
1.54,1.52,1.54,1.50
1.52,1.52,1.52,1.50
1.50,1.52,1.52,1.50
1.50,1.51,1.51,1.45
1.52,1.50,1.52,1.49
1.50,1.51,1.51,1.50
1.50,1.47,1.51,1.47
1.48,1.43,1.50,1.42
1.47,1.46,1.47,1.43
1.46,1.48,1.48,1.43
1.50,1.46,1.50,1.46
1.50,1.43,1.50,1.43
1.47,1.43,1.47,1.43
1.45,1.43,1.49,1.43
1.44,1.39,1.44,1.39
1.40,1.39,1.42,1.39
1.39,1.31,1.40,1.30
1.35,1.35,1.35,1.32
1.35,1.32,1.35,1.31
1.32,1.36,1.37,1.30
1.34,1.35,1.36,1.31
1.31,1.30,1.32,1.30
1.29,1.29,1.32,1.26
1.31,1.40,1.40,1.31
1.37,1.40,1.40,1.37
1.38,1.39,1.39,1.33
1.35,1.34,1.37,1.32
1.34,1.36,1.38,1.33
1.39,1.35,1.55,1.35
1.48,1.34,1.49,1.34
1.32,1.38,1.50,1.32
1.33,1.33,1.39,1.32
1.35,1.45,1.45,1.35
1.41,1.33,1.44,1.32
1.34,1.32,1.34,1.32
1.42,1.38,1.42,1.38
1.36,1.36,1.39,1.36
1.34,1.33,1.36,1.32
1.42,1.40,1.42,1.37
1.40,1.37,1.40,1.37
1.40,1.35,1.40,1.32
1.38,1.24,1.40,1.24
1.31,1.20,1.34,1.20
1.21,1.20,1.40,1.20
1.25,1.20,1.38,1.17
1.28,1.18,1.31,1.18
1.18,1.18,1.28,1.18
1.20,1.22,1.25,1.20
1.25,1.22,1.35,1.20
1.30,1.13,1.31,1.04
1.13,1.07,1.17,1.07
1.07,1.13,1.19,1.07
1.13,1.21,1.21,1.13
1.27,1.21,1.28,1.21
1.21,1.28,1.28,1.21
1.27,1.15,1.27,1.15
1.16,1.20,1.21,1.16
1.16,1.18,1.18,1.15
1.18,1.23,1.23,1.18
1.22,1.22,1.22,1.22
1.16,1.25,1.25,1.15
1.16,1.25,1.25,1.16
1.23,1.23,1.23,1.23
1.23,1.30,1.30,1.15
1.30,1.25,1.30,1.25
1.21,1.24,1.25,1.20
1.21,1.20,1.21,1.20
1.20,1.20,1.20,1.20
1.19,1.29,1.29,1.19
1.15,1.15,1.28,1.15
1.15,1.16,1.16,1.15
1.20,1.18,1.20,1.18
1.15,1.24,1.25,1.15
1.22,1.18,1.22,1.11
1.18,1.18,1.23,1.14
1.21,1.12,1.21,1.12
1.12,1.14,1.15,1.12
1.15,1.22,1.24,1.15
1.23,1.17,1.23,1.17
1.19,1.12,1.19,1.12
1.17,1.23,1.23,1.17
1.23,1.21,1.23,1.20
1.20,1.21,1.21,1.12
1.22,1.26,1.26,1.22
1.23,1.20,1.23,1.20
1.22,1.20,1.27,1.20
1.22,1.30,1.30,1.21
1.27,1.39,1.39,1.27
1.40,1.29,1.40,1.27
1.29,1.33,1.35,1.29
1.35,1.30,1.35,1.30
1.30,1.40,1.44,1.30
1.42,1.40,1.45,1.40
1.43,1.42,1.47,1.40
1.39,1.38,1.42,1.33
1.43,1.38,1.43,1.38
1.42,1.38,1.42,1.38
1.40,1.44,1.44,1.35
1.43,1.40,1.43,1.40
1.40,1.40,1.42,1.40
1.40,1.40,1.40,1.40
1.42,1.40,1.42,1.40
1.40,1.42,1.44,1.40
1.41,1.46,1.46,1.40
1.45,1.47,1.54,1.45
1.44,1.42,1.54,1.42
1.35,1.32,1.43,1.31
1.33,1.35,1.39,1.33
1.40,1.37,1.40,1.36
1.45,1.38,1.45,1.35
