NKTR,Nektar Therapeutics - Common Stock,NASDAQ
9.41,9.68,9.71,9.38
9.69,9.66,9.84,9.56
9.62,9.53,9.74,9.42
9.62,9.57,9.66,9.41
9.51,9.39,9.52,9.33
9.41,9.50,9.59,9.29
9.76,9.70,9.79,9.21
9.75,11.01,11.72,9.69
11.05,11.82,12.00,11.04
11.91,11.97,12.05,11.29
12.09,12.02,12.19,11.87
11.94,12.04,12.06,11.75
12.02,12.19,12.28,11.99
12.27,11.85,12.27,11.77
11.98,11.80,12.01,11.76
11.80,11.77,11.87,11.65
11.71,11.97,12.00,11.62
11.96,11.42,11.96,11.41
11.45,11.42,11.60,11.37
11.35,11.34,11.51,11.20
11.32,11.88,11.93,11.23
11.87,11.95,11.97,11.67
11.80,11.28,11.80,11.27
11.34,11.32,11.45,10.96
11.34,11.40,11.62,11.15
11.56,11.71,11.76,11.40
11.63,11.69,11.72,11.38
11.66,11.78,11.82,11.45
11.61,11.92,11.93,11.61
11.98,12.12,12.15,11.88
12.15,12.60,12.86,12.14
12.64,12.87,12.88,12.47
12.90,12.84,13.00,12.76
12.85,12.93,12.97,12.75
12.97,12.52,13.00,12.49
12.55,12.67,12.85,12.50
12.46,12.59,12.61,12.25
12.53,12.39,12.63,12.34
12.43,12.77,12.80,12.37
12.83,12.53,12.90,12.46
12.59,14.32,14.43,12.53
14.28,14.58,14.74,14.23
14.74,14.94,15.15,14.71
15.07,14.89,15.30,14.85
14.81,15.29,15.30,14.76
15.32,15.36,15.51,15.29
15.33,15.46,15.51,15.06
15.52,15.39,15.56,15.04
15.40,15.40,15.50,15.07
15.44,15.37,15.50,15.15
15.35,15.22,15.44,15.18
15.12,15.29,15.48,15.00
15.38,14.84,15.38,14.83
14.81,15.19,15.20,14.61
15.15,15.50,15.51,15.04
15.55,15.37,15.73,15.37
15.51,15.52,15.84,15.37
15.55,15.20,15.66,15.17
15.26,15.33,15.36,15.11
15.39,15.32,15.58,15.15
15.26,15.21,15.46,15.18
15.34,15.55,15.57,15.21
15.54,15.58,15.72,15.47
15.52,15.10,15.61,15.08
15.04,14.63,15.19,14.47
14.53,14.58,14.67,14.32
14.62,14.96,14.96,14.30
15.01,14.60,15.03,14.49
14.59,14.68,14.75,14.39
14.79,14.56,14.80,14.42
14.58,14.75,14.79,14.53
14.66,14.28,14.66,14.23
14.26,14.11,14.55,13.96
14.14,14.47,14.47,14.12
14.44,14.47,14.80,14.37
14.39,14.50,14.52,14.15
14.50,14.26,14.68,14.17
14.22,13.62,14.26,13.25
13.55,13.67,13.93,13.13
13.73,14.05,14.10,13.65
14.14,14.41,14.44,13.93
14.34,13.96,14.43,13.95
14.01,15.08,15.15,14.01
14.94,14.55,15.05,14.30
14.37,14.51,14.74,14.20
14.47,13.13,14.57,11.50
13.01,12.95,13.59,12.57
13.71,13.83,14.12,13.57
13.53,13.16,13.66,13.12
13.26,13.83,13.87,13.25
13.75,13.39,13.81,13.20
13.25,13.00,13.35,12.74
13.04,12.97,13.20,12.72
13.17,12.49,13.30,12.47
12.42,12.57,12.61,11.87
12.23,12.20,12.58,12.02
11.96,11.71,12.23,11.50
11.64,12.01,12.17,11.59
11.56,11.87,11.91,11.43
11.90,11.81,12.22,11.66
12.10,12.31,12.35,11.96
12.33,12.23,12.43,12.01
12.10,12.14,12.45,12.05
12.16,12.53,12.53,12.00
12.55,12.83,12.89,12.53
12.38,11.72,12.59,11.68
11.83,11.36,11.87,11.08
11.38,11.25,11.76,11.10
11.43,11.83,12.19,11.43
12.08,12.48,12.50,11.93
12.32,12.70,13.07,12.26
12.87,13.14,13.39,12.75
13.37,13.89,13.95,13.25
13.72,13.48,13.80,13.44
13.48,13.12,13.58,12.97
