NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,NASDAQ
14.85,14.87,14.98,14.76
14.93,15.33,15.44,14.87
15.50,15.55,15.59,15.10
15.72,15.41,15.75,15.34
15.61,15.84,16.00,15.55
15.83,15.65,16.50,15.53
15.66,16.01,16.04,15.66
16.24,16.30,16.39,15.95
16.38,16.41,16.51,16.20
16.51,16.45,16.67,16.04
16.74,16.98,17.05,16.53
16.99,16.84,17.02,16.60
16.99,16.57,17.10,16.46
16.69,16.39,16.75,16.30
16.77,16.98,17.24,16.51
16.97,17.14,17.25,16.88
17.27,17.20,17.45,17.02
17.05,16.48,17.14,15.59
16.48,16.46,16.83,16.24
16.66,16.23,17.04,16.15
16.38,16.40,16.62,16.24
15.24,15.47,15.55,15.24
15.20,14.80,15.20,14.68
14.88,14.50,14.88,13.70
14.50,15.02,15.35,14.29
15.21,14.86,15.21,14.70
14.99,14.73,14.99,14.30
14.91,14.98,15.05,14.69
14.69,14.97,15.10,14.40
14.97,15.25,15.25,14.97
15.30,15.30,15.34,15.15
15.29,15.24,15.30,15.20
15.15,15.46,15.48,15.09
15.77,15.47,15.77,15.25
15.31,15.33,15.47,15.30
15.52,15.47,15.52,15.30
15.45,15.54,15.54,15.34
15.55,15.73,15.75,15.47
15.97,15.75,15.97,15.57
15.88,15.86,15.98,15.75
15.97,15.92,15.98,15.81
15.90,15.92,15.97,15.86
16.00,16.05,16.05,15.86
16.01,16.54,16.63,16.01
16.42,16.48,16.63,16.25
16.41,16.71,16.74,16.32
16.74,16.83,16.84,16.65
16.85,17.16,17.21,16.80
17.25,17.12,17.45,16.66
17.24,17.25,17.41,16.80
17.23,17.40,17.47,17.20
17.39,17.31,17.39,17.26
17.02,17.02,17.47,16.83
16.87,16.81,17.04,16.77
17.05,17.34,17.39,16.62
17.54,17.44,17.62,17.13
17.55,17.74,17.90,17.51
17.75,17.46,17.86,17.40
17.66,17.77,17.87,17.56
17.76,17.76,17.90,17.68
17.70,17.56,17.80,17.44
17.74,17.87,17.91,17.51
18.00,17.99,18.00,17.86
18.00,18.19,18.19,17.90
18.19,18.22,18.48,18.00
18.08,18.51,18.53,18.00
18.65,19.27,19.31,18.65
19.74,19.50,20.17,19.30
19.56,19.64,19.73,18.79
20.00,19.53,20.00,19.38
19.50,19.56,19.90,19.50
19.63,18.62,19.63,18.25
18.58,18.90,19.10,18.50
18.91,18.56,19.05,18.20
18.82,18.91,18.96,18.52
18.91,18.96,19.04,18.40
