NSP,Insperity,NASDAQ
23.82,24.09,24.09,23.57
24.04,24.05,24.11,23.84
24.10,24.56,24.60,23.86
24.47,25.13,25.16,24.38
25.10,25.02,25.10,24.70
25.07,24.82,25.13,24.71
24.72,24.46,24.75,24.35
24.62,24.59,24.70,24.08
24.51,24.62,24.71,24.36
24.70,24.17,24.70,23.94
24.14,24.33,24.46,24.14
24.11,23.93,24.13,23.78
24.00,23.45,24.14,23.41
23.48,23.05,23.67,22.90
23.17,22.97,23.17,22.62
22.91,22.90,23.02,22.70
22.90,23.19,23.38,22.90
23.29,22.79,23.29,22.71
22.82,22.84,23.44,22.73
22.86,23.02,23.18,22.68
23.23,22.98,23.41,22.85
22.96,22.94,23.17,22.82
22.83,22.41,22.83,22.30
22.37,22.68,22.78,21.93
22.66,22.58,22.71,22.06
22.84,22.83,23.28,22.73
22.74,22.85,22.91,22.36
19.71,17.19,20.00,16.90
17.15,16.67,17.41,16.45
16.84,17.00,17.17,16.65
17.07,16.95,17.20,16.90
16.98,17.00,17.04,16.77
16.94,17.19,17.25,16.90
17.40,17.41,17.45,17.19
17.45,17.45,17.58,17.33
17.48,17.51,17.74,17.38
17.14,17.81,17.88,17.14
17.81,18.02,18.07,17.77
18.11,18.55,18.60,18.07
18.52,18.73,18.82,18.42
18.85,18.69,18.89,18.63
18.80,18.96,18.96,18.65
19.01,19.36,19.37,18.98
19.38,19.44,19.54,19.32
19.43,19.68,19.76,19.36
19.62,19.67,19.72,19.49
19.54,19.71,19.71,19.46
19.77,20.03,20.37,19.59
19.94,20.24,20.27,19.91
20.26,20.39,20.48,20.14
20.45,20.83,20.88,20.38
20.78,21.18,21.23,20.65
21.48,21.48,21.52,20.79
21.26,21.89,21.92,21.20
21.95,22.00,22.12,21.81
21.93,21.89,22.00,21.82
21.91,21.86,22.21,21.82
21.91,21.92,22.21,21.88
21.86,21.35,21.92,21.25
21.28,21.48,21.77,21.02
21.26,21.34,21.56,21.02
21.43,21.19,21.76,21.05
21.32,21.79,21.81,21.14
21.64,22.00,22.14,21.52
21.93,22.02,22.15,21.93
21.96,22.01,22.19,21.80
22.07,22.53,22.57,22.00
22.60,22.52,22.60,22.28
22.47,22.75,22.76,22.47
22.86,23.59,23.84,22.79
23.62,23.23,23.96,23.21
23.24,22.77,23.24,22.73
22.75,23.20,23.30,22.68
23.29,23.66,23.77,23.22
23.53,23.62,23.70,23.35
23.42,23.72,23.80,23.20
23.74,23.64,23.74,23.46
23.58,23.08,23.77,23.00
22.97,22.39,23.12,21.98
22.45,22.50,22.87,22.37
22.63,22.67,22.82,21.70
22.60,22.14,22.65,21.98
25.92,27.49,27.82,24.43
26.71,27.09,27.21,26.39
25.69,26.51,27.09,25.69
26.44,26.17,26.72,25.01
26.13,25.46,26.36,25.42
26.54,26.34,26.73,25.94
26.07,26.49,26.90,25.76
26.62,27.37,27.43,26.46
27.24,26.90,27.50,26.77
26.60,26.02,26.60,25.56
26.14,25.87,26.47,25.15
26.14,26.17,26.54,25.97
25.97,25.75,26.20,25.32
24.88,24.77,25.21,24.17
24.32,24.90,25.18,24.31
24.81,24.68,24.94,24.41
24.13,24.10,24.43,23.81
24.12,23.97,24.64,23.84
24.55,24.43,24.68,24.05
24.32,24.13,24.51,23.99
23.91,23.55,24.03,23.52
23.78,23.82,23.86,23.46
24.21,24.32,24.47,23.86
23.97,23.15,24.06,23.03
23.18,22.87,23.39,22.79
22.89,22.53,23.06,22.16
22.70,22.42,22.94,22.24
22.66,23.34,23.41,22.52
22.96,23.79,23.82,22.96
23.92,23.78,24.22,23.66
24.03,24.81,24.89,23.94
24.59,24.45,24.78,24.40
24.53,24.27,24.57,24.06
24.39,24.15,24.46,24.05
24.49,24.10,24.89,23.90
24.26,23.55,24.49,23.45
23.48,23.48,23.70,23.18
23.29,23.91,24.23,23.19
24.08,24.59,24.75,23.76
24.55,24.91,25.22,24.44
24.57,24.07,24.67,23.90
24.13,24.16,24.35,23.97
24.06,23.67,24.08,23.15
23.86,23.04,23.86,22.89
23.44,23.58,23.72,23.32
23.73,24.74,24.80,23.49
25.07,24.83,25.25,24.57
24.86,25.30,25.32,24.83
