NUE,Nucor Corporation Common Stock,NASDAQ
47.38,47.79,48.28,47.32
47.77,48.12,48.26,47.39
48.05,49.57,50.10,48.05
49.29,49.23,49.29,48.11
49.13,49.93,50.44,48.83
50.68,49.64,50.72,48.96
48.80,48.41,48.94,47.86
48.41,48.43,48.88,47.39
48.39,47.91,48.54,47.38
47.94,47.43,48.08,47.01
47.45,48.11,48.25,47.12
47.58,47.11,47.69,46.95
47.11,45.69,47.25,45.60
44.43,44.19,45.49,43.52
44.93,44.13,45.35,43.99
42.93,43.56,44.61,42.75
43.39,42.59,44.06,41.65
43.31,41.40,43.31,41.10
42.04,40.80,42.29,40.57
41.30,41.97,42.17,41.07
42.34,42.92,43.04,41.71
42.42,41.94,43.18,41.80
40.67,39.50,41.30,39.50
39.97,40.46,40.54,38.93
40.62,39.57,40.85,39.56
40.42,40.46,40.98,39.88
40.10,39.92,40.23,39.24
40.08,41.15,41.17,39.90
40.34,41.13,41.45,40.00
41.98,42.69,42.77,41.73
42.98,42.44,42.98,42.20
42.45,43.62,43.78,42.28
43.26,44.35,45.04,43.20
44.46,43.66,44.49,43.53
43.51,42.00,43.70,41.69
42.34,42.09,42.91,41.68
41.11,41.88,41.97,40.50
41.98,41.40,42.07,40.87
41.78,42.37,42.61,41.49
42.93,42.91,43.29,42.50
43.23,43.16,43.98,43.13
43.16,43.51,43.68,42.91
44.06,44.56,44.72,43.95
44.94,44.84,45.26,44.72
44.51,44.93,45.32,44.31
44.99,45.03,45.49,44.55
44.40,45.01,45.03,44.17
45.22,45.28,45.46,44.76
44.99,45.12,45.20,44.63
45.79,46.07,46.20,45.05
45.87,45.11,46.22,44.87
45.14,44.74,45.49,44.32
44.39,44.39,45.01,43.97
43.74,44.66,44.71,43.54
44.82,46.33,46.39,44.71
46.05,45.82,46.11,45.63
46.43,44.88,46.43,44.76
45.21,45.67,46.00,45.09
45.99,46.04,46.38,45.70
46.46,45.56,46.46,45.19
45.42,45.38,45.83,45.24
45.98,45.95,46.22,45.57
46.44,47.53,47.85,46.08
47.48,47.64,48.05,47.12
47.44,47.61,48.06,47.24
47.25,47.49,47.59,46.96
47.71,47.40,47.81,46.96
47.45,47.15,47.73,46.96
47.15,47.00,47.44,46.42
47.60,47.67,47.77,47.17
47.60,46.65,47.60,46.53
46.31,45.64,46.61,45.15
45.29,45.53,45.60,44.76
45.97,45.26,46.25,44.73
45.34,45.11,45.56,44.55
44.89,45.27,45.44,43.67
45.71,46.06,46.24,45.01
46.40,45.76,46.80,45.70
45.68,44.62,46.02,44.49
45.13,45.01,45.13,44.30
45.39,45.66,45.93,45.11
45.86,45.32,46.17,45.28
45.81,45.93,46.15,44.88
45.25,45.16,45.60,44.66
44.09,45.77,47.01,44.09
45.39,44.70,46.69,42.64
44.48,44.90,45.77,43.04
46.58,46.57,46.77,45.90
45.92,45.99,46.74,45.63
46.35,46.77,46.87,45.95
46.97,46.33,47.48,46.19
45.84,45.89,46.08,44.98
45.96,45.53,46.04,44.56
46.04,44.51,46.45,44.37
44.08,44.56,45.13,43.75
43.32,42.71,43.90,42.27
41.83,42.95,43.44,41.72
42.75,42.25,43.47,42.25
40.81,42.90,42.99,40.56
43.22,42.45,44.00,42.32
43.80,43.85,43.89,42.98
43.56,43.05,43.72,42.62
42.56,41.43,42.99,41.43
41.62,42.76,42.83,41.59
43.11,42.54,43.20,41.82
41.69,40.93,42.09,40.67
41.06,40.12,41.22,40.12
40.17,40.95,41.05,39.83
41.28,41.09,41.94,40.87
41.90,42.43,42.49,41.69
