NVDA,NVIDIA Corporation - Common Stock,NASDAQ
18.51,18.49,18.62,18.11
18.42,18.76,18.96,18.42
18.75,18.88,18.92,18.57
18.78,18.51,18.86,18.37
18.36,18.55,18.68,18.25
18.65,18.29,18.73,18.03
18.02,17.67,18.09,17.29
17.79,17.91,17.97,17.10
17.69,17.63,17.82,17.33
17.50,17.11,17.65,16.88
16.98,17.43,17.54,16.93
17.21,17.36,17.43,16.98
17.35,17.05,17.66,16.89
16.85,16.46,17.16,16.36
16.73,16.74,17.06,16.61
16.66,16.21,16.77,16.20
16.20,16.65,16.71,16.02
16.78,16.09,16.84,15.86
16.27,15.39,16.45,15.15
15.45,16.57,16.60,15.32
16.51,16.74,16.95,16.46
16.59,16.88,16.95,16.51
16.73,15.90,16.73,15.72
15.88,16.22,16.26,15.60
16.17,16.19,16.58,15.87
16.45,16.06,16.53,15.90
16.16,16.37,16.52,16.05
16.63,17.12,17.30,16.51
17.00,17.35,17.70,16.81
17.58,17.67,17.74,17.37
17.89,17.84,17.90,17.33
16.86,16.67,16.95,16.21
16.60,16.58,16.78,16.50
16.65,16.61,16.90,16.50
16.66,16.21,16.73,16.04
16.35,16.55,16.71,16.30
16.17,16.40,16.44,15.76
16.32,16.20,16.44,16.10
16.21,16.85,16.93,16.08
17.00,16.84,17.21,16.72
16.94,16.63,17.03,16.49
16.70,16.66,16.83,16.45
16.54,17.17,17.29,16.54
17.18,16.92,17.23,16.85
17.09,17.55,17.72,17.08
17.50,17.59,17.78,17.49
17.45,17.19,17.51,17.12
17.38,17.25,17.43,17.16
17.23,17.16,17.40,17.00
17.15,17.76,17.86,17.14
17.86,18.10,18.34,17.86
18.13,17.46,18.13,17.30
17.72,17.25,17.77,17.03
17.03,17.53,17.60,17.03
17.66,17.89,17.98,17.54
17.74,17.29,17.79,17.26
17.54,17.34,17.65,17.30
17.49,17.34,17.67,17.20
17.45,17.56,17.60,17.21
17.76,17.63,17.85,17.33
17.56,17.40,17.64,17.31
17.48,17.22,17.68,17.04
17.33,17.48,17.51,17.31
17.26,17.05,17.30,16.75
16.94,17.16,17.45,16.80
17.05,16.88,17.18,16.79
16.84,16.99,17.05,16.75
17.01,17.30,17.37,16.98
17.37,17.66,17.72,17.30
18.04,17.88,18.13,17.60
17.94,18.01,18.12,17.76
17.28,17.06,17.35,16.68
16.93,16.98,17.03,16.41
17.10,17.04,17.28,16.82
17.13,16.60,17.15,16.40
16.33,16.67,16.72,16.10
16.62,16.44,16.66,16.15
16.46,16.60,16.80,16.43
16.48,16.13,16.65,16.08
16.12,16.16,16.39,15.83
16.21,16.65,16.67,15.97
16.45,15.71,16.48,15.70
15.79,15.54,15.88,15.30
15.30,14.75,15.33,14.53
14.45,14.50,14.87,14.32
