NWLI,National Western Life Group,NASDAQ
177.99,181.60,181.60,177.49
181.58,178.45,183.76,178.03
178.45,171.80,178.45,171.20
173.59,173.50,174.66,171.71
172.57,174.24,174.38,172.18
175.00,175.85,176.70,174.30
173.96,172.07,174.60,172.07
172.57,172.57,172.57,172.57
173.50,176.44,176.44,173.50
177.24,175.61,178.78,173.41
172.92,174.01,175.36,172.92
173.84,172.42,173.84,169.44
171.21,168.07,171.21,168.07
169.25,169.05,171.00,167.92
172.44,170.29,172.44,168.69
170.21,169.55,170.83,169.16
167.55,166.81,167.55,165.01
167.88,162.46,169.45,162.46
163.80,162.50,168.38,160.22
156.80,158.61,164.40,154.00
159.47,160.92,164.64,159.47
156.45,160.55,161.81,156.45
155.65,156.41,159.78,154.23
156.35,154.66,156.35,151.49
152.60,152.90,153.99,152.00
157.00,152.12,157.00,151.71
151.22,148.79,151.35,148.01
149.98,153.92,153.92,147.68
150.29,158.90,158.90,150.23
158.31,160.16,160.31,158.31
163.60,162.01,164.51,159.57
163.41,163.80,164.19,161.00
163.49,164.20,165.70,159.46
164.94,166.69,166.69,164.87
163.00,163.67,164.91,161.79
163.99,169.48,169.53,163.99
169.09,169.09,169.09,169.09
167.81,167.89,168.58,165.51
166.80,161.00,167.10,160.21
161.38,167.02,167.02,158.27
163.07,164.50,167.00,162.29
166.07,169.55,171.99,165.00
169.61,174.63,174.66,168.86
175.00,182.00,185.58,175.00
181.31,185.25,185.25,181.31
184.25,181.70,184.25,177.24
180.21,185.72,185.72,180.21
185.44,180.23,187.00,179.24
177.69,178.81,180.00,177.16
178.79,177.99,178.79,177.00
177.50,175.48,177.75,175.01
171.37,180.19,181.00,171.37
182.29,192.88,195.63,180.38
189.03,193.86,193.89,187.04
193.00,192.81,194.32,191.42
192.61,193.20,193.20,191.79
194.20,192.00,195.41,192.00
192.99,191.60,192.99,190.00
191.33,193.70,193.70,191.33
194.15,192.75,196.52,191.50
190.00,184.35,192.00,184.35
181.25,179.90,187.00,179.00
180.02,184.00,184.52,179.99
181.01,188.87,188.87,181.01
184.30,192.39,192.99,184.30
190.99,185.00,191.01,184.65
184.06,185.45,185.45,181.50
189.16,186.30,189.16,183.51
184.50,183.89,184.50,182.35
186.98,187.00,187.00,186.20
185.01,185.41,187.53,184.00
185.24,183.60,186.07,183.60
182.03,185.24,185.74,182.03
186.99,188.47,188.47,184.36
186.80,189.38,189.40,186.21
187.59,190.00,190.00,187.59
189.21,189.16,189.57,186.41
186.02,191.71,192.30,186.02
191.58,189.09,192.98,189.09
190.99,189.88,190.99,189.24
190.00,194.35,196.69,189.06
192.93,191.14,192.93,189.98
191.59,192.84,192.84,191.46
188.00,180.75,188.00,180.09
181.32,176.00,182.71,176.00
174.06,174.10,181.90,172.48
170.03,169.01,176.92,168.08
172.06,176.28,176.75,170.56
175.99,176.00,176.95,172.85
175.00,182.55,182.55,174.00
181.71,180.50,182.75,178.91
176.03,173.16,177.25,173.16
176.16,174.55,177.80,173.13
176.52,173.29,179.95,173.29
172.48,173.05,174.29,172.00
169.10,165.79,170.00,165.79
162.43,166.68,171.00,162.43
167.39,161.59,169.19,161.11
159.10,162.91,163.99,159.10
163.07,163.39,165.82,162.11
166.35,168.41,168.91,163.81
167.07,167.00,168.99,165.47
164.50,161.61,168.50,161.61
161.30,163.92,166.40,161.30
164.09,162.57,164.52,162.57
160.41,153.28,160.41,153.28
154.88,151.12,154.88,149.05
150.14,149.10,150.50,146.57
150.00,150.26,152.57,149.00
152.12,154.90,157.51,152.12
155.00,158.20,158.20,153.53
159.46,157.34,163.49,153.70
158.31,160.04,161.11,156.26
160.00,159.66,160.67,159.66
160.00,160.40,166.96,160.00
161.61,164.60,167.31,161.61
167.00,166.91,167.00,165.99
167.40,162.63,167.40,161.81
163.90,163.65,166.86,163.07
162.04,158.02,162.48,158.02
159.73,161.29,161.31,156.51
161.76,160.89,161.76,160.00
155.25,155.41,158.00,155.25
156.81,152.76,156.81,152.76
152.00,145.93,153.99,145.14
146.72,146.82,147.78,145.67
149.21,137.41,149.21,136.78
138.78,138.98,139.50,137.15
140.38,139.93,141.50,139.41
141.99,140.50,141.99,138.60
137.33,142.87,144.00,137.33
143.50,150.43,150.80,143.50
149.88,148.95,150.59,147.52
147.85,147.21,147.85,145.65
145.29,140.18,145.29,140.18
140.10,139.25,140.71,138.90
138.75,140.00,140.00,137.03
140.00,137.18,140.00,137.14
142.14,142.78,142.78,140.00
142.10,147.34,147.34,142.10
147.75,150.00,150.00,145.91
150.85,155.00,155.00,150.85
154.78,157.87,157.88,154.78
156.83,156.61,158.42,156.61
154.00,154.16,154.16,154.00
157.00,157.38,159.03,155.69
148.71,153.21,156.91,148.71
155.85,155.44,155.87,152.13
155.97,149.01,155.97,148.45
149.01,149.97,149.97,144.11
152.00,160.19,160.19,152.00
154.27,154.15,157.46,154.15
149.08,145.13,149.08,145.13
142.91,141.99,145.06,140.03
142.50,138.06,144.74,138.06
137.07,142.53,145.53,135.17
144.46,143.57,144.46,142.08
144.00,140.21,144.54,140.13
138.05,133.13,138.05,133.13
133.64,134.51,135.54,133.64
136.85,130.68,136.85,129.96
130.25,129.00,133.00,129.00
131.12,134.31,134.31,130.93
134.74,130.59,134.74,130.59
133.60,135.09,135.75,132.22
