NXQ,Nuveen Select Tax Free Income Portfolio II Common Stock,NASDAQ
13.92,14.19,14.35,13.85
14.13,14.25,14.34,14.06
14.33,14.23,14.35,14.14
14.30,14.11,14.30,14.01
14.10,14.07,14.13,14.06
14.09,14.07,14.13,14.03
14.12,14.13,14.15,14.02
14.12,14.10,14.22,14.00
14.09,14.24,14.24,14.03
14.28,14.12,14.28,14.11
14.07,14.02,14.07,14.00
13.92,13.97,14.00,13.92
14.02,13.91,14.02,13.76
13.89,13.90,13.94,13.89
13.86,13.86,13.90,13.82
13.87,13.91,13.92,13.86
13.92,13.90,13.99,13.87
13.97,13.86,13.97,13.85
13.95,13.89,13.95,13.79
13.92,14.00,14.00,13.91
14.00,14.06,14.07,13.95
14.06,14.08,14.10,13.96
14.02,13.98,14.09,13.92
13.93,13.85,14.07,13.80
13.84,13.88,13.88,13.83
13.85,13.81,13.89,13.73
13.75,13.76,13.79,13.68
13.75,13.77,13.84,13.71
13.74,13.79,13.79,13.70
13.73,13.82,13.83,13.72
13.78,13.89,13.95,13.78
13.83,13.86,13.86,13.80
13.77,13.83,13.86,13.77
13.81,13.66,13.86,13.51
13.61,13.69,13.69,13.60
13.69,13.74,13.75,13.65
13.68,13.77,13.78,13.68
13.71,13.73,13.76,13.65
13.75,13.74,13.75,13.67
13.75,13.72,13.76,13.69
13.73,13.76,13.77,13.68
13.77,13.84,13.84,13.72
13.87,13.94,13.94,13.80
13.90,13.99,13.99,13.88
13.98,13.93,13.98,13.85
13.94,13.94,13.94,13.87
13.84,13.83,13.95,13.79
13.90,13.74,13.90,13.74
13.80,13.77,13.80,13.70
13.76,13.82,13.82,13.71
13.82,13.76,13.84,13.71
13.76,13.78,13.83,13.76
13.88,13.88,13.88,13.77
13.80,13.89,13.91,13.80
13.90,13.88,13.90,13.80
13.81,13.85,13.86,13.78
13.80,13.83,13.88,13.80
13.82,13.80,13.85,13.73
13.82,13.81,13.84,13.77
13.81,13.76,13.85,13.75
13.76,13.81,13.83,13.74
13.85,13.87,13.89,13.79
13.90,13.88,13.91,13.81
13.88,13.88,13.89,13.83
13.82,13.77,13.87,13.77
13.76,13.84,13.86,13.76
13.79,13.78,13.85,13.78
13.78,13.78,13.80,13.73
13.73,13.75,13.77,13.73
13.78,13.75,13.83,13.74
13.75,13.75,13.80,13.72
13.73,13.76,13.78,13.73
13.75,13.73,13.77,13.70
13.73,13.72,13.75,13.71
13.73,13.74,13.76,13.71
13.74,13.75,13.94,13.73
13.73,13.79,13.79,13.73
13.77,13.84,13.85,13.77
13.80,13.76,13.86,13.73
13.79,13.77,13.80,13.74
13.76,13.80,13.82,13.75
13.82,13.82,13.84,13.80
13.85,13.88,13.88,13.83
13.88,13.86,13.88,13.83
13.86,13.85,13.87,13.81
13.81,13.80,13.86,13.76
13.82,13.80,13.83,13.77
13.83,13.81,13.91,13.81
13.81,13.96,13.96,13.81
13.88,13.92,13.95,13.88
13.89,13.83,13.93,13.81
13.83,13.80,13.89,13.76
13.73,13.79,13.81,13.68
13.80,13.78,13.82,13.73
13.79,13.75,13.84,13.75
13.73,13.75,13.80,13.63
13.70,13.90,13.90,13.70
13.93,13.98,13.98,13.88
13.86,13.96,13.96,13.80
13.98,13.93,13.98,13.92
13.96,13.89,13.97,13.83
13.92,13.94,13.97,13.89
13.97,13.82,13.97,13.82
13.88,13.83,13.90,13.77
13.82,13.78,13.86,13.76
13.69,13.80,13.83,13.69
13.79,13.78,13.86,13.74
13.74,13.74,13.80,13.70
13.74,13.83,13.83,13.74
13.84,13.80,13.85,13.75
13.75,13.76,13.77,13.74
13.74,13.71,13.82,13.70
13.70,13.71,13.79,13.70
13.74,13.76,13.78,13.74
13.78,13.77,13.82,13.71
13.81,13.71,13.82,13.71
13.73,13.72,13.79,13.70
13.78,13.77,13.79,13.71
13.76,13.91,13.91,13.72
13.84,13.78,13.89,13.78
13.78,13.77,13.82,13.74
13.83,13.86,13.89,13.80
13.81,13.85,13.87,13.80
13.80,13.97,13.98,13.80
14.03,13.98,14.03,13.85
14.00,14.01,14.03,13.95
14.03,13.90,14.13,13.90
13.95,13.96,14.04,13.91
14.05,13.95,14.11,13.88
13.90,13.90,13.94,13.86
13.96,14.02,14.64,13.87
13.97,14.00,14.00,13.88
13.98,13.94,14.00,13.90
13.89,13.94,13.97,13.89
13.98,13.96,14.06,13.90
14.02,14.05,14.05,13.97
14.01,14.11,14.13,13.93
14.11,14.04,14.11,14.04
14.10,14.09,14.10,13.93
14.10,13.99,14.10,13.98
14.03,13.99,14.03,13.88
13.95,13.95,13.98,13.92
13.92,13.98,13.99,13.85
13.95,13.92,13.99,13.90
13.88,14.09,14.09,13.87
14.19,14.22,14.24,14.12
14.25,14.13,14.25,14.12
14.18,14.25,14.25,14.18
14.22,14.24,14.48,14.19
14.20,14.30,14.31,14.20
14.27,14.23,14.34,14.20
14.14,14.17,14.17,14.09
14.05,14.07,14.12,14.03
14.02,13.96,14.07,13.91
13.97,14.01,14.05,13.96
14.01,14.07,14.07,13.99
14.07,14.17,14.17,14.06
14.13,14.20,14.22,14.13
14.12,14.16,14.19,14.02
14.16,14.14,14.16,14.07
14.08,14.14,14.14,14.08
14.13,14.20,14.25,14.10
14.14,14.22,14.22,14.09
14.16,14.13,14.21,14.10
14.15,14.15,14.16,14.10
14.18,14.23,14.23,14.16
14.22,14.42,14.46,14.22
14.37,14.40,14.49,14.37
14.50,14.27,14.62,14.25
14.27,14.21,14.30,14.15
14.16,14.16,14.24,14.15
14.15,14.09,14.16,14.09
14.13,14.07,14.13,14.07
14.07,14.09,14.10,14.03
14.02,14.08,14.08,14.02
14.08,14.05,14.10,14.05
14.05,13.97,14.08,13.97
13.98,14.01,14.01,13.95
13.94,14.08,14.08,13.91
14.06,14.08,14.10,14.02
14.08,14.07,14.10,14.00
14.03,14.10,14.10,13.99
14.13,14.09,14.16,14.08
14.15,14.18,14.18,14.09
14.18,14.11,14.18,13.95
14.07,14.07,14.12,14.06
14.04,14.10,14.13,14.03
14.11,14.20,14.20,14.11
14.29,14.19,14.29,14.18
14.23,14.15,14.23,14.14
14.18,14.11,14.19,14.10
14.19,14.14,14.19,14.12
14.13,14.15,14.18,14.10
14.11,14.12,14.15,14.11
14.13,14.11,14.17,14.11
14.11,14.16,14.17,14.11
14.13,14.08,14.16,14.08
14.06,14.04,14.08,13.98
14.05,14.12,14.12,14.04
14.10,14.08,14.11,14.04
14.08,13.96,14.08,13.96
13.97,14.00,14.03,13.94
14.00,13.95,14.05,13.90
13.91,13.94,13.95,13.89
13.95,13.91,13.99,13.91
13.98,14.05,14.05,13.91
14.03,13.91,14.03,13.90
13.91,13.96,13.98,13.91
13.96,13.96,14.03,13.90
14.04,14.02,14.04,13.93
13.97,13.95,14.03,13.94
13.97,14.00,14.04,13.97
14.05,14.03,14.05,13.99
13.99,13.98,14.05,13.93
13.95,13.90,13.99,13.86
13.90,13.78,13.90,13.64
13.75,13.43,13.75,13.36
13.40,13.20,13.44,13.07
13.17,13.23,13.33,13.15
13.31,12.90,13.31,12.80
12.95,13.12,13.12,12.52
12.86,13.01,13.21,12.62
13.00,12.86,13.03,12.66
12.71,13.25,13.39,12.69
13.32,13.42,13.48,13.25
13.45,13.35,13.49,13.23
13.41,13.30,13.41,13.25
13.27,13.35,13.40,13.27
13.30,13.30,13.35,13.28
13.34,13.29,13.34,13.25
13.29,13.26,13.47,13.26
13.39,13.15,13.41,13.15
13.14,13.25,13.43,13.14
13.19,13.00,13.32,12.97
13.04,13.02,13.12,12.90
12.76,13.06,13.08,12.67
13.06,13.07,13.17,12.90
13.01,12.89,13.09,12.83
12.74,12.82,12.97,12.66
12.72,12.65,12.77,12.65
12.70,12.73,12.79,12.62
12.73,12.96,12.96,12.73
13.00,13.00,13.07,12.92
12.97,12.60,12.97,12.53
12.63,12.66,12.68,12.53
12.57,12.62,12.78,12.57
12.53,12.55,12.61,12.48
12.51,12.59,12.62,12.43
12.55,12.60,12.66,12.49
12.65,12.58,12.65,12.40
12.51,12.49,12.51,12.42
12.46,12.73,12.74,12.46
12.70,12.68,12.72,12.60
12.75,12.70,12.78,12.63
12.68,12.74,12.76,12.63
12.67,12.72,12.77,12.67
12.67,12.74,12.75,12.67
12.69,12.57,12.69,12.49
12.52,12.48,12.54,12.42
12.44,12.32,12.50,12.25
12.30,12.18,12.32,12.16
12.00,12.14,12.15,11.85
12.01,12.28,12.34,12.01
12.32,12.31,12.35,12.15
12.25,12.47,12.54,12.22
12.50,12.45,12.60,12.43
12.44,12.46,12.50,12.37
12.47,12.50,12.51,12.35
12.52,12.50,12.55,12.50
12.55,12.47,12.57,12.40
12.44,12.42,12.52,12.39
12.46,12.46,12.48,12.37
12.49,12.44,12.53,12.38
12.47,12.55,12.57,12.47
12.50,12.50,12.54,12.43
12.51,12.44,12.51,12.42
12.46,12.53,12.53,12.46
12.49,12.46,12.55,12.46
12.51,12.50,12.52,12.44
12.52,12.49,12.52,12.45
12.45,12.50,12.54,12.40
12.46,12.45,12.52,12.39
12.45,12.42,12.45,12.35
12.40,12.52,12.53,12.39
12.51,12.56,12.61,12.49
12.58,12.46,12.58,12.42
12.38,12.15,12.40,12.00
12.18,12.27,12.30,12.18
12.30,12.38,12.44,12.29
12.43,12.36,12.47,12.25
12.33,12.40,12.42,12.26
12.41,12.39,12.43,12.30
12.38,12.36,12.39,12.31
12.38,12.35,12.40,12.30
12.31,12.45,12.48,12.30
12.50,12.44,12.54,12.41
12.47,12.47,12.50,12.42
12.45,12.40,12.51,12.40
12.40,12.43,12.47,12.35
12.36,12.43,12.43,12.36
12.38,12.40,12.50,12.36
12.37,12.36,12.38,12.26
12.39,12.33,12.43,12.33
12.34,12.34,12.42,12.30
12.35,12.38,12.41,12.35
12.37,12.34,12.42,12.33
12.35,12.29,12.36,12.28
12.32,12.35,12.39,12.29
12.34,12.33,12.38,12.33
12.30,12.36,12.36,12.30
12.38,12.42,12.43,12.38
12.43,12.47,12.49,12.37
12.47,12.43,12.51,12.43
12.47,12.40,12.48,12.39
12.49,12.49,12.52,12.44
12.49,12.50,12.50,12.44
12.46,12.56,12.56,12.46
12.54,12.56,12.60,12.53
12.58,12.50,12.62,12.41
12.50,12.53,12.59,12.50
12.52,12.53,12.57,12.50
12.50,12.52,12.52,12.49
12.48,12.48,12.53,12.47
12.49,12.54,12.54,12.45
12.55,12.54,12.55,12.51
12.52,12.51,12.67,12.51
12.51,12.58,12.59,12.48
12.58,12.61,12.64,12.57
12.60,12.69,12.75,12.59
12.76,12.73,12.76,12.62
12.73,12.69,12.81,12.69
12.67,12.68,12.78,12.67
12.70,12.65,12.77,12.65
12.68,12.71,12.73,12.67
12.85,12.73,12.90,12.73
12.75,12.75,12.79,12.74
12.80,12.80,12.84,12.73
12.79,12.81,12.91,12.79
12.85,12.63,12.86,12.63
12.64,12.64,12.67,12.63
12.68,12.65,12.71,12.61
12.65,12.63,12.65,12.59
12.61,12.70,12.70,12.61
12.68,12.80,12.80,12.64
12.80,12.87,12.89,12.80
12.86,12.87,12.87,12.85
12.87,12.79,12.90,12.75
12.76,12.75,12.94,12.70
12.76,12.70,12.78,12.70
12.70,12.73,12.77,12.67
12.77,12.84,12.87,12.75
12.83,12.85,12.86,12.81
12.89,12.84,12.89,12.83
12.89,12.90,12.90,12.85
12.90,12.98,12.98,12.88
13.00,13.14,13.14,12.98
13.16,12.90,13.16,12.89
12.87,12.76,12.92,12.75
12.75,12.75,12.82,12.73
12.77,12.76,12.77,12.73
12.75,12.85,12.89,12.74
12.85,12.81,12.87,12.81
12.78,12.77,12.84,12.76
12.73,12.75,12.79,12.69
12.73,12.76,12.83,12.73
12.79,12.67,12.79,12.67
12.69,12.78,12.78,12.69
12.79,12.73,12.79,12.68
12.70,12.74,12.78,12.67
12.78,12.78,12.79,12.75
12.79,12.82,12.83,12.77
12.80,12.85,12.85,12.77
12.82,12.85,12.86,12.76
12.87,12.92,12.92,12.81
12.92,12.97,12.99,12.91
12.95,12.89,13.00,12.86
12.93,12.83,12.95,12.83
12.90,12.86,12.93,12.84
12.97,12.94,12.99,12.90
12.98,12.89,12.98,12.87
12.90,12.92,12.97,12.89
12.92,12.90,12.93,12.88
12.91,12.95,12.99,12.88
12.95,12.95,12.97,12.93
12.96,12.88,12.98,12.84
12.85,12.82,12.89,12.78
12.82,12.78,12.83,12.72
12.80,12.67,12.80,12.64
12.70,12.75,12.80,12.66
12.78,12.76,12.79,12.71
12.75,12.75,12.82,12.72
12.80,12.78,12.80,12.73
12.74,12.83,12.83,12.71
12.83,12.71,12.85,12.64
12.69,12.54,12.69,12.44
12.51,12.61,12.63,12.46
12.59,12.57,12.59,12.47
12.65,12.63,12.72,12.62
12.69,12.71,12.73,12.65
12.73,12.75,12.75,12.68
12.73,12.65,12.81,12.65
12.62,12.51,12.65,12.44
12.31,12.05,12.35,12.02
11.96,12.32,12.38,11.96
12.21,12.51,12.58,12.21
12.49,12.57,12.60,12.36
12.72,12.63,12.72,12.52
12.67,12.69,12.72,12.59
12.68,12.66,12.73,12.63
12.71,12.71,12.73,12.64
12.65,12.76,12.81,12.59
12.67,12.65,12.76,12.62
12.67,12.81,12.87,12.67
12.83,12.81,12.91,12.80
12.78,12.70,12.86,12.70
12.67,12.72,12.85,12.65
12.73,12.85,12.85,12.73
12.86,12.82,12.86,12.72
12.85,12.86,12.95,12.81
12.92,12.93,12.93,12.86
12.97,12.94,13.00,12.82
12.94,13.00,13.03,12.92
12.96,12.95,12.99,12.88
12.96,12.93,12.96,12.85
