NXTM,NxStage Medical,NASDAQ
8.45,8.54,8.58,8.32
8.48,8.50,8.53,8.41
8.50,8.47,8.55,8.28
8.47,8.50,8.55,8.25
8.50,8.60,8.63,8.34
8.67,8.59,8.67,8.49
8.51,8.75,8.79,8.48
8.78,8.87,9.25,8.70
8.88,8.90,9.11,8.88
8.94,8.70,8.94,8.60
8.74,8.90,9.01,8.70
8.80,8.59,8.81,8.32
8.63,8.12,8.67,8.00
8.12,7.88,8.16,7.85
7.98,7.90,8.24,7.79
8.12,7.78,8.19,7.75
7.78,8.53,8.59,7.78
8.52,8.24,8.52,8.00
8.27,8.11,8.49,8.11
8.17,8.21,8.33,8.00
8.21,8.02,8.29,7.96
8.02,7.97,8.33,7.85
7.93,7.80,8.08,7.70
7.78,8.08,8.08,7.64
8.07,7.69,8.07,7.60
7.81,7.81,7.87,7.66
7.75,8.03,8.28,7.75
8.00,8.46,8.46,8.00
8.38,8.73,8.76,8.22
8.85,8.39,8.85,8.23
8.40,8.51,8.52,8.27
8.50,8.41,8.57,8.38
7.89,8.97,9.00,7.89
9.03,9.10,9.31,8.77
9.11,9.20,9.26,8.79
9.27,9.32,9.49,9.20
9.16,9.87,9.87,8.99
9.89,10.65,10.94,9.60
10.66,10.13,10.79,10.05
10.01,10.00,10.23,9.82
10.05,9.96,10.43,9.80
10.01,10.04,10.18,9.94
10.07,10.12,10.19,10.00
10.15,9.91,10.17,9.63
9.90,10.13,10.16,9.85
9.80,10.34,10.35,9.80
10.20,10.50,10.50,10.06
10.50,10.75,10.81,10.45
10.75,11.00,11.00,10.52
10.88,10.49,10.98,10.40
10.47,10.57,10.74,10.37
10.61,10.49,10.66,10.41
10.34,10.34,10.57,10.20
10.20,10.49,10.56,10.11
10.50,10.54,10.61,10.47
10.50,10.34,10.73,10.33
10.42,10.25,10.67,10.22
10.28,10.48,10.56,10.28
10.56,11.17,11.60,10.56
11.24,11.40,11.49,11.06
11.32,11.45,11.70,11.25
11.54,11.57,11.70,11.36
11.64,11.38,11.70,11.32
11.31,11.19,11.47,11.19
11.15,10.96,11.25,10.73
10.95,11.26,11.32,10.63
11.29,11.35,11.66,11.25
11.39,11.97,12.00,11.39
11.97,11.88,12.00,11.47
11.90,12.00,12.03,11.79
12.00,12.05,12.07,11.82
12.08,11.78,12.11,11.70
11.75,11.72,11.87,11.61
11.75,12.08,12.14,11.55
12.09,12.17,12.24,11.94
12.00,11.98,12.06,11.90
12.00,11.98,12.01,11.88
12.00,11.88,12.12,11.88
11.90,11.62,11.94,11.55
11.65,11.87,11.90,11.55
11.95,12.62,12.76,11.91
12.66,12.72,12.79,12.30
12.73,13.12,13.54,12.26
13.01,12.89,13.02,12.51
12.83,13.02,13.25,12.51
13.01,12.65,13.47,11.00
12.69,12.46,12.94,12.10
12.90,13.21,13.23,12.52
13.00,13.17,13.55,12.82
13.15,13.89,14.08,13.10
13.96,13.57,13.96,13.51
13.85,14.06,14.36,13.66
14.06,13.51,14.22,13.32
13.53,13.07,13.70,12.99
12.90,12.29,12.90,11.93
11.97,11.84,12.16,11.80
11.30,12.02,12.26,11.30
12.06,12.60,12.64,12.06
12.40,13.08,13.16,12.32
13.20,13.71,14.00,13.10
13.99,13.88,14.05,13.76
13.89,13.99,14.17,13.55
13.90,13.79,14.05,13.19
13.81,14.23,14.23,13.81
14.16,13.99,14.59,13.95
13.69,12.98,13.95,12.95
13.00,12.91,13.30,12.81
12.94,12.71,13.17,12.50
12.89,13.43,13.44,12.58
13.64,13.44,13.84,12.90
13.34,13.77,13.85,12.98
13.96,13.77,14.12,13.72
13.81,13.91,14.03,13.72
13.74,13.95,14.10,13.64
13.88,13.88,14.05,13.67
13.98,13.71,13.98,13.68
13.99,13.93,14.19,13.74
13.92,13.54,14.02,13.45
13.57,14.00,14.15,13.31
13.91,14.43,14.60,13.80
14.48,15.21,15.23,14.40
15.15,15.50,15.80,14.73
15.20,14.94,15.65,14.81
14.97,14.84,15.06,14.58
14.85,14.92,15.00,14.25
14.97,14.48,15.08,14.32
14.78,14.01,14.90,13.96
14.01,14.05,14.23,13.91
14.15,14.46,14.47,13.66
14.47,14.60,14.73,14.13
14.50,13.92,14.71,13.85
14.13,14.37,14.50,14.04
14.25,14.14,14.45,14.12
14.08,14.90,15.00,13.76
14.74,14.01,14.91,13.90
13.99,13.98,14.20,13.61
13.79,13.94,14.22,13.50
14.00,13.59,14.07,13.45
13.80,13.88,14.05,13.62
14.80,17.06,17.11,14.50
16.50,16.95,17.28,16.07
16.95,16.89,17.20,16.71
16.80,16.13,17.00,16.05
16.06,15.56,16.22,15.41
15.25,15.79,16.21,14.98
16.08,16.32,16.66,16.00
16.26,16.39,16.65,15.90
16.41,16.28,16.71,15.94
16.16,16.25,16.50,16.01
15.97,16.22,16.31,15.78
16.40,16.11,16.40,15.94
15.88,15.99,16.19,15.70
15.70,16.20,16.21,15.57
15.82,16.20,16.49,15.82
16.09,16.16,16.31,15.98
16.15,17.10,17.32,15.98
17.20,17.00,17.35,16.93
16.92,16.79,17.30,16.53
16.61,16.41,16.97,16.26
16.32,16.12,16.63,15.85
16.19,15.55,16.28,15.55
15.33,15.12,15.50,15.05
15.00,15.59,15.69,14.63
15.61,15.25,15.83,15.08
15.45,15.95,15.99,15.07
15.87,15.53,15.90,15.51
15.47,15.77,15.92,15.47
15.97,16.28,16.50,15.93
16.30,16.57,16.70,16.27
16.70,16.89,16.93,16.59
16.76,16.38,16.88,16.33
16.42,16.20,16.65,16.18
16.43,16.40,16.67,16.19
16.31,16.70,16.85,16.31
16.81,16.73,16.93,16.53
16.60,16.45,16.75,16.37
16.39,16.25,16.45,16.12
16.20,16.29,16.46,16.16
16.36,16.49,16.57,15.93
16.94,17.52,17.67,16.17
17.52,18.15,18.72,17.35
18.14,18.80,18.88,18.10
18.71,18.25,19.00,18.25
18.55,18.59,18.64,18.28
18.65,18.51,18.65,18.36
18.52,19.08,19.15,18.10
19.03,19.40,19.44,18.61
19.49,19.10,19.49,18.80
19.27,19.72,19.97,19.02
19.61,19.35,19.75,19.16
19.65,20.00,20.25,19.45
19.97,20.38,20.53,19.97
20.43,20.37,20.48,19.82
20.46,20.60,21.12,20.32
20.60,20.88,21.08,20.45
20.75,20.83,21.10,20.48
20.90,21.65,21.98,20.79
20.52,21.11,21.16,20.42
21.15,21.43,21.50,20.89
21.35,21.48,21.72,21.14
21.21,20.91,21.44,20.71
20.90,21.32,21.55,20.61
21.38,21.28,21.71,20.93
21.41,21.68,21.86,21.30
21.56,21.32,21.75,20.30
21.12,21.07,21.70,20.68
20.79,20.77,20.99,20.36
20.96,20.58,21.13,20.31
20.43,20.16,20.54,19.55
20.10,20.49,20.90,20.00
20.76,20.51,20.76,20.33
20.44,20.77,20.90,20.23
19.41,22.25,22.47,18.95
22.38,22.46,22.48,21.68
21.00,21.77,21.96,21.00
21.69,21.76,22.34,21.26
21.62,21.72,22.21,21.42
21.50,21.84,21.90,21.13
21.62,21.71,21.88,21.34
21.70,21.90,22.06,21.51
21.77,21.60,22.01,21.28
21.57,21.38,21.87,21.17
20.81,20.66,21.20,20.59
20.68,20.61,20.84,20.05
20.54,21.26,21.41,20.52
21.03,21.59,21.78,20.81
21.81,21.99,22.01,21.43
21.70,22.10,22.45,21.68
21.90,22.00,22.15,21.57
21.63,21.64,21.96,21.31
21.87,22.45,22.75,21.87
22.43,22.66,22.79,22.35
22.78,23.14,23.32,22.30
23.06,23.14,23.73,22.99
23.35,23.12,23.47,23.05
23.09,22.38,23.10,22.30
22.56,23.12,23.24,22.25
23.12,23.10,23.30,22.67
23.19,23.22,23.76,23.00
23.21,23.59,23.77,22.92
23.64,23.61,24.25,23.42
23.55,23.37,23.84,23.31
23.49,23.91,24.00,23.49
24.00,24.04,24.33,23.90
24.19,24.32,24.34,23.88
24.45,24.54,24.72,24.24
24.56,24.28,24.60,24.16
24.32,24.70,24.90,24.15
24.76,24.66,24.76,24.28
24.66,24.70,24.87,24.57
24.70,24.78,25.07,24.70
24.83,24.88,25.03,24.71
25.20,25.15,25.45,24.67
25.25,24.95,25.27,24.69
24.87,25.06,25.25,24.63
25.03,24.98,25.04,24.72
25.06,24.93,25.06,24.71
24.87,25.11,25.19,24.77
25.07,25.04,25.43,24.87
25.27,25.42,25.42,24.78
25.45,26.07,26.21,25.44
26.09,26.37,26.55,26.09
26.37,26.80,26.81,26.29
26.86,25.86,27.12,25.60
25.73,24.38,25.73,24.32
24.60,24.12,24.60,23.72
24.19,24.56,24.58,23.53
24.50,24.48,24.57,24.22
24.58,24.39,24.80,24.23
24.23,23.98,24.25,23.61
23.95,23.77,24.00,23.57
23.95,24.04,24.05,23.61
24.13,24.34,24.48,23.98
23.42,22.60,23.47,22.32
22.50,22.44,22.73,22.07
22.34,22.01,22.38,22.00
21.62,22.35,22.56,21.18
22.25,22.00,22.57,21.88
21.91,21.81,22.15,21.73
21.72,21.73,22.00,21.70
21.60,21.00,21.60,20.98
21.03,21.07,21.18,20.67
20.82,21.81,21.84,20.74
21.78,22.58,22.63,21.50
23.00,23.28,24.12,22.48
23.45,22.58,23.45,22.42
21.53,20.30,21.75,19.91
20.07,19.83,20.42,19.75
19.85,19.79,20.20,19.64
19.72,20.01,20.15,19.39
20.21,20.63,20.74,20.13
20.66,20.82,20.98,20.58
20.70,20.99,21.24,20.56
21.19,22.14,22.45,21.03
22.10,22.27,22.37,21.92
22.40,21.74,22.40,21.50
21.67,21.89,22.12,21.52
21.86,21.52,21.90,21.22
21.05,21.00,21.35,20.57
20.96,20.47,21.24,20.35
20.20,20.15,20.51,19.40
19.50,19.70,19.92,19.45
19.73,19.63,19.85,19.50
19.83,19.41,19.83,19.20
19.63,20.07,20.11,19.51
20.20,21.11,21.11,20.09
21.18,22.00,22.40,21.18
22.00,21.66,22.14,21.48
21.68,21.52,21.76,21.17
21.53,21.61,22.25,21.53
21.59,21.60,21.80,21.51
21.57,21.93,22.03,21.37
22.02,22.00,22.10,21.77
21.86,21.98,22.13,21.76
22.18,22.11,22.40,21.91
22.20,22.44,23.27,22.20
22.40,22.35,22.66,22.32
22.51,22.49,22.75,22.33
22.44,22.32,22.62,22.29
22.49,22.36,22.74,22.31
22.24,22.43,22.52,22.23
22.26,22.82,22.94,22.07
22.95,22.55,22.99,22.48
22.16,22.86,22.98,22.16
22.90,23.23,23.27,22.58
22.89,23.13,23.19,22.68
23.20,23.31,23.41,22.98
23.46,24.24,24.26,23.44
23.92,24.10,24.42,23.92
24.02,24.10,24.11,23.86
24.14,24.50,24.58,24.01
24.55,24.68,24.80,24.05
24.61,24.54,24.61,24.19
24.55,24.64,24.77,24.29
24.79,24.46,24.85,24.40
24.46,23.69,24.51,23.26
23.52,20.43,23.55,20.27
20.29,20.29,20.95,20.04
20.25,20.09,20.42,19.76
20.02,19.84,20.37,19.67
19.85,19.77,20.00,19.68
19.76,19.11,19.78,18.97
18.89,20.10,20.21,18.89
20.12,19.99,20.67,19.95
19.66,19.12,19.66,19.11
19.02,19.04,19.23,18.96
19.15,19.23,19.34,19.00
19.39,18.84,19.42,18.70
18.70,18.45,18.83,18.44
18.29,18.10,18.29,17.86
18.12,17.95,18.39,17.85
17.91,18.11,18.37,17.82
17.98,18.55,18.67,17.98
18.61,18.59,18.97,18.50
18.84,18.81,18.92,18.55
