OBCI,Ocean Bio-Chem,NASDAQ
1.00,0.98,1.01,0.92
0.99,0.98,1.00,0.98
0.99,0.96,1.07,0.93
0.99,1.00,1.04,0.91
1.00,1.02,1.08,1.00
1.02,1.13,1.38,1.02
1.11,1.03,1.11,1.03
0.95,1.02,1.07,0.95
1.05,1.18,1.18,1.01
1.19,1.10,1.19,1.03
1.20,1.08,1.20,1.03
1.06,1.15,1.15,1.00
1.11,1.10,1.11,1.05
1.04,1.08,1.08,1.00
1.07,1.06,1.08,1.02
1.06,1.10,1.13,1.06
1.06,1.09,1.09,1.02
1.02,1.06,1.10,1.02
1.04,1.00,1.04,1.00
1.10,1.09,1.10,0.99
1.09,1.05,1.09,1.05
1.03,1.06,1.09,1.03
1.07,1.06,1.10,1.06
1.01,1.09,1.09,1.00
1.09,1.07,1.09,1.07
1.01,1.05,1.05,1.01
1.05,1.10,1.10,1.05
1.10,1.10,1.10,1.10
1.02,1.08,1.08,1.02
1.08,1.08,1.08,1.08
1.03,1.05,1.05,1.03
1.03,1.03,1.04,1.02
1.05,1.13,1.15,1.05
1.19,1.19,1.26,1.14
1.24,1.25,1.32,1.14
1.35,1.30,1.35,1.17
1.19,1.23,1.30,1.14
1.23,1.34,1.42,1.20
1.35,1.36,1.43,1.22
1.36,1.37,1.40,1.27
1.35,1.40,1.45,1.35
1.40,1.33,1.40,1.32
1.41,1.35,1.41,1.35
1.38,1.30,1.40,1.30
1.30,1.30,1.30,1.30
1.31,1.38,1.39,1.30
1.37,1.35,1.37,1.32
1.35,1.36,1.36,1.31
1.34,1.40,1.44,1.28
1.44,1.46,1.48,1.39
1.48,1.46,1.48,1.37
1.37,1.34,1.37,1.33
1.34,1.45,1.46,1.33
1.37,1.46,1.60,1.37
1.49,1.59,1.59,1.35
1.65,1.46,1.65,1.46
1.50,1.56,1.61,1.35
1.45,1.48,1.60,1.35
1.69,1.41,1.77,1.40
1.45,1.75,2.48,1.43
1.70,1.69,1.80,1.57
1.74,1.67,1.75,1.61
1.69,1.70,1.80,1.69
1.69,1.79,1.84,1.66
1.78,1.75,1.80,1.71
1.80,1.90,1.96,1.67
1.98,1.91,2.03,1.87
1.98,1.95,2.21,1.92
1.95,1.91,2.00,1.89
1.96,1.86,1.96,1.82
1.87,1.96,2.03,1.87
2.01,1.94,2.01,1.85
1.97,1.89,1.98,1.86
1.87,1.80,1.94,1.77
1.94,2.02,2.63,1.94
1.97,2.05,2.09,1.91
2.06,2.09,2.20,1.95
2.12,2.08,2.18,2.00
2.06,2.02,2.06,2.00
2.33,2.36,2.47,2.23
2.49,2.52,2.60,2.38
2.54,2.39,2.58,2.35
2.39,2.31,2.58,2.28
2.23,2.21,2.34,2.10
2.14,2.12,2.36,2.10
2.10,2.10,2.16,1.85
2.10,2.10,2.17,1.87
2.20,2.11,2.43,2.09
2.15,2.27,2.30,2.15
2.64,2.58,2.80,2.46
2.66,2.61,2.77,2.50
2.74,2.32,2.74,2.30
2.28,2.21,2.28,2.16
2.32,2.22,2.32,2.19
2.26,2.24,2.30,2.15
2.14,1.91,2.14,1.90
1.91,2.19,2.30,1.81
2.19,2.16,2.30,2.15
2.08,2.15,2.15,1.95
2.13,2.08,2.18,1.97
2.10,2.11,2.30,1.98
2.11,2.21,2.30,1.99
2.30,2.10,2.30,2.09
2.09,2.14,2.16,2.09
2.06,2.06,2.11,2.05
2.05,2.16,2.16,2.05
2.06,2.10,2.12,2.04
2.17,2.06,2.17,2.06
2.07,2.07,2.09,2.06
2.07,2.10,2.10,2.07
2.07,2.06,2.10,2.05
2.10,2.18,2.24,1.97
2.18,2.27,2.30,2.07
2.25,2.19,2.28,2.07
2.18,2.25,2.25,2.11
2.30,2.26,2.30,2.15
2.26,2.20,2.29,2.16
2.16,2.27,2.28,2.16
2.23,2.25,2.25,2.22
2.18,2.28,2.28,2.18
2.25,2.16,2.25,2.08
2.16,2.12,2.16,2.06
2.14,2.05,2.14,1.97
2.05,2.13,2.17,1.92
2.04,1.88,2.05,1.88
1.87,1.98,2.08,1.87
1.88,2.05,2.05,1.88
2.00,2.01,2.11,1.95
2.11,2.09,2.12,2.09
2.08,2.14,2.14,2.03
2.11,2.15,2.20,2.05
2.05,2.05,2.08,2.05
2.10,2.13,2.15,2.05
2.11,2.14,2.15,2.03
2.15,2.12,2.15,2.08
2.15,2.15,2.19,2.11
2.20,2.31,2.38,2.14
2.29,2.20,2.29,2.15
2.24,2.20,2.32,2.14
2.21,2.12,2.21,2.08
2.39,2.29,2.39,2.22
2.35,2.25,2.35,2.20
2.17,2.19,2.19,2.16
2.18,2.13,2.18,2.08
2.11,2.08,2.19,2.08
2.12,2.22,2.31,2.12
2.15,2.17,2.23,2.15
2.20,2.12,2.20,2.12
2.12,2.12,2.12,2.12
2.15,2.24,2.24,2.08
2.25,2.15,2.25,2.15
2.18,2.18,2.29,2.18
2.26,2.25,2.29,2.24
2.19,2.29,2.37,2.05
2.20,2.07,2.25,2.06
2.07,2.03,2.07,2.03
2.03,2.00,2.04,1.93
1.97,1.95,1.98,1.93
1.95,1.90,1.95,1.90
1.93,1.70,1.93,1.70
1.72,1.73,1.79,1.72
1.76,1.72,1.76,1.66
1.72,1.70,1.73,1.67
1.69,1.70,1.70,1.67
1.72,1.70,1.73,1.66
1.67,1.71,1.72,1.67
1.68,1.70,1.70,1.68
1.70,1.75,1.75,1.70
1.76,1.70,1.76,1.69
1.71,1.70,1.71,1.70
1.66,1.65,1.69,1.60
1.60,1.63,1.68,1.60
1.62,1.63,1.63,1.62
1.62,1.68,1.68,1.62
1.70,1.65,1.70,1.65
1.65,1.67,1.68,1.63
1.67,1.71,1.71,1.67
1.81,1.74,1.81,1.74
1.72,1.66,1.73,1.66
1.66,1.71,1.71,1.66
1.73,1.73,1.73,1.73
1.74,1.77,1.77,1.74
1.78,1.75,1.78,1.75
1.73,1.75,1.77,1.73
1.67,1.68,1.74,1.66
1.69,1.75,1.75,1.68
1.75,1.80,1.80,1.75
1.81,1.83,1.85,1.80
1.68,1.75,1.82,1.66
1.88,1.85,1.89,1.84
1.84,1.86,1.89,1.84
1.90,1.85,1.99,1.84
1.85,1.85,1.85,1.85
1.80,1.87,1.94,1.80
1.89,1.84,1.90,1.78
1.86,1.90,1.90,1.81
1.93,1.90,2.00,1.88
1.94,2.10,2.10,1.91
2.10,2.02,2.10,1.95
2.02,1.97,2.02,1.97
1.92,1.96,1.96,1.92
1.94,1.95,2.00,1.82
1.91,2.00,2.02,1.91
1.94,2.00,2.00,1.94
2.00,2.05,2.09,1.99
2.10,2.03,2.10,1.99
2.10,2.01,2.10,2.01
2.10,2.02,2.10,1.92
2.01,2.01,2.01,2.00
2.10,2.05,2.10,2.02
2.10,2.06,2.10,2.03
2.14,2.15,2.16,2.05
2.16,1.96,2.21,1.96
2.04,2.15,2.15,2.03
2.21,2.21,2.21,2.12
2.19,2.24,2.24,2.11
2.16,2.17,2.22,2.07
2.36,2.10,2.43,1.97
2.07,2.08,2.13,2.03
2.02,1.91,2.08,1.91
2.06,1.96,2.09,1.91
2.00,1.94,2.00,1.90
1.94,1.83,1.96,1.77
1.80,1.84,1.90,1.73
1.79,1.75,1.90,1.75
1.79,1.72,1.79,1.72
1.76,1.75,1.80,1.74
1.72,1.72,1.83,1.72
1.72,1.74,1.76,1.70
1.77,1.79,1.79,1.75
1.75,1.78,1.78,1.71
1.80,1.80,1.80,1.80
1.80,1.73,1.80,1.73
1.79,1.78,1.80,1.73
1.75,1.70,1.82,1.70
1.77,1.73,1.77,1.72
1.73,1.80,1.82,1.72
1.79,1.92,1.92,1.79
1.92,2.05,2.05,1.90
1.95,2.01,2.04,1.95
2.01,2.03,2.07,1.93
2.01,1.96,2.01,1.96
1.98,1.86,2.00,1.86
1.86,1.82,1.86,1.82
1.78,1.93,1.93,1.78
1.93,1.92,1.99,1.91
1.97,1.85,1.97,1.85
1.85,1.96,2.00,1.81
1.88,1.89,1.98,1.80
1.81,1.92,1.92,1.80
1.84,1.95,1.99,1.84
2.00,1.87,2.00,1.82
1.83,1.82,1.95,1.80
1.82,1.91,1.91,1.80
1.87,1.91,1.91,1.85
1.84,1.94,1.94,1.83
1.86,1.89,1.89,1.80
1.86,1.94,2.00,1.86
1.92,1.95,1.95,1.87
1.91,1.90,1.91,1.90
1.91,1.94,2.02,1.90
1.91,2.03,2.03,1.90
1.98,2.02,2.03,1.94
2.02,2.02,2.02,2.02
1.94,1.94,1.94,1.94
1.96,1.95,1.96,1.95
1.96,2.02,2.04,1.96
1.97,1.91,1.97,1.90
1.92,2.03,2.03,1.92
2.00,2.09,2.09,1.95
2.06,2.04,2.10,2.03
2.04,2.15,2.16,2.04
2.20,2.18,2.22,2.15
2.16,2.14,2.24,2.01
2.14,2.23,2.24,2.14
2.11,2.07,2.11,2.06
2.07,2.13,2.13,2.07
2.17,2.12,2.17,2.12
2.15,2.05,2.15,2.05
2.05,2.07,2.08,2.05
2.07,2.02,2.07,1.95
2.00,2.06,2.06,2.00
2.00,2.06,2.08,1.95
2.06,1.99,2.06,1.93
1.99,2.07,2.08,1.99
2.00,2.00,2.08,1.99
2.00,1.83,2.07,1.81
1.83,1.91,1.97,1.83
1.91,1.90,1.91,1.86
1.87,1.99,1.99,1.87
1.91,2.03,2.04,1.90
2.01,1.91,2.02,1.91
1.97,1.97,1.97,1.97
1.96,1.90,1.96,1.90
1.90,1.90,1.90,1.90
1.98,1.86,2.00,1.85
1.92,1.90,1.92,1.90
1.91,1.94,1.94,1.91
1.90,1.89,1.90,1.82
1.92,1.86,1.93,1.86
1.88,1.93,1.93,1.88
1.90,1.90,2.00,1.87
1.97,1.96,1.97,1.96
1.97,2.10,2.14,1.96
2.02,2.10,2.10,2.02
2.09,2.13,2.18,2.09
2.10,2.17,2.17,2.10
2.10,2.17,2.18,2.10
2.17,2.09,2.17,2.09
2.10,2.15,2.15,2.09
2.82,3.24,3.93,2.75
3.00,2.64,3.07,2.55
2.69,2.65,2.79,2.50
2.66,2.50,2.66,2.44
2.47,2.50,2.65,2.47
2.64,2.48,2.65,2.47
2.58,2.52,2.59,2.48
2.63,2.56,2.63,2.44
2.54,2.52,2.60,2.49
2.56,2.47,2.56,2.47
2.50,2.37,2.50,2.34
2.31,2.24,2.35,2.16
2.28,2.28,2.30,2.27
2.32,2.35,2.41,2.24
2.32,2.47,2.47,2.32
2.48,2.47,2.62,2.35
2.50,2.57,2.60,2.50
