ONVI,Onvia,NASDAQ
8.03,8.00,8.04,7.99
8.00,8.00,8.05,8.00
8.00,8.00,8.00,7.92
8.00,8.10,8.10,8.00
8.00,7.94,8.10,7.77
8.02,7.98,8.02,7.95
7.76,7.82,7.82,7.56
7.56,7.56,7.56,7.49
7.37,7.50,7.57,7.36
7.77,7.93,8.01,7.77
7.93,8.00,8.00,7.93
7.99,8.00,8.00,7.53
8.00,8.00,8.00,8.00
7.65,7.90,7.98,7.65
7.31,7.71,7.76,7.28
7.48,7.57,7.65,7.29
7.57,7.57,7.57,7.57
7.28,7.26,7.28,7.25
7.26,7.26,7.26,7.26
7.56,7.60,7.60,7.56
7.58,7.60,7.64,7.58
7.55,7.55,7.55,7.55
7.19,7.34,7.43,7.16
6.86,7.25,7.32,6.76
7.20,7.20,7.20,6.90
7.21,7.37,7.37,7.20
7.16,7.57,7.57,7.05
7.41,7.46,7.46,7.40
7.50,7.43,7.50,7.43
7.43,7.43,7.43,7.43
7.30,7.31,7.36,7.10
7.40,7.43,7.43,7.40
7.40,7.40,7.40,7.40
7.01,7.42,7.64,7.00
7.05,7.50,7.62,7.01
7.50,7.65,7.65,7.50
7.59,7.71,7.78,7.59
8.10,7.75,8.10,7.74
7.90,8.07,8.15,7.90
8.07,8.05,8.07,7.90
8.02,8.09,8.09,7.70
7.74,8.49,8.49,7.74
8.29,8.50,8.50,8.25
8.46,8.25,8.46,6.73
8.15,8.25,8.27,8.15
8.19,8.02,8.19,8.02
8.02,8.02,8.02,8.02
7.99,8.02,8.02,7.99
7.90,8.01,8.01,7.05
8.01,8.01,8.01,8.01
7.85,7.94,8.01,7.85
7.94,7.94,7.94,7.94
7.08,7.88,8.00,7.04
7.86,7.99,7.99,7.70
7.97,8.00,8.00,7.85
7.96,7.96,8.00,7.93
7.98,7.68,7.98,7.48
7.70,7.80,7.80,7.70
7.86,7.81,7.95,7.38
7.61,7.94,7.94,7.59
7.94,8.01,8.01,7.85
7.98,8.00,8.05,7.73
7.91,7.99,8.05,7.91
7.99,7.99,7.99,7.99
7.70,7.88,7.92,7.70
7.88,7.88,7.88,7.88
7.94,8.00,8.00,7.94
7.80,7.89,7.93,7.68
7.89,7.89,7.89,7.89
7.84,7.80,7.85,7.71
7.80,7.80,7.80,7.80
7.28,7.75,7.75,7.28
7.59,7.67,7.80,7.26
7.69,7.70,7.70,7.66
7.70,7.70,7.70,7.70
7.62,7.98,7.98,7.60
7.97,7.92,7.97,7.91
7.01,7.63,7.84,7.01
7.59,7.37,7.59,7.37
7.40,7.34,7.40,7.34
7.40,7.29,7.40,7.25
7.18,7.25,7.36,7.09
7.19,7.20,7.20,7.19
6.82,6.88,7.24,6.61
6.90,6.70,6.90,6.55
6.53,6.26,6.53,6.26
6.37,6.30,6.40,6.14
6.30,6.00,6.30,5.83
6.00,6.27,6.58,5.57
6.31,6.23,6.31,5.69
5.78,6.25,6.25,5.76
6.04,6.09,6.09,5.62
